symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
360ONE,EQ,25-Mar-2026,989.30,999.80,"1,018.80",992.10,"1,001.00","1,002.10","1,009.34","8,71,077","87,92,17,096.00","52,981","4,87,493",55.96
360ONE,EQ,24-Mar-2026,985.40,996.00,"1,010.00",984.30,994.00,989.30,991.14,"20,23,338","2,00,54,20,575.10","32,153","15,38,101",76.02
360ONE,EQ,23-Mar-2026,"1,040.60","1,040.60","1,040.60",973.90,982.20,985.40,993.54,"5,50,431","54,68,73,901.90","30,173","3,00,705",54.63
360ONE,EQ,20-Mar-2026,"1,040.50","1,034.60","1,055.00","1,034.60","1,044.20","1,040.60","1,044.82","4,13,078","43,15,93,817.30","14,840","2,29,421",55.54
360ONE,EQ,19-Mar-2026,"1,069.80","1,059.10","1,065.00","1,036.00","1,041.10","1,040.50","1,047.34","5,63,719","59,04,03,106.20","17,224","3,69,496",65.55
360ONE,EQ,18-Mar-2026,"1,043.40","1,050.00","1,088.50","1,041.50","1,084.80","1,069.80","1,071.57","5,66,638","60,71,91,299.50","25,976","2,14,531",37.86
360ONE,EQ,17-Mar-2026,"1,022.90","1,022.90","1,045.90","1,020.10","1,038.70","1,043.40","1,034.61","4,33,488","44,84,90,428.30","16,033","2,73,450",63.08
360ONE,EQ,16-Mar-2026,"1,027.40","1,025.00","1,038.90","1,010.30","1,025.00","1,022.90","1,021.53","3,31,156","33,82,85,997.20","13,362","1,56,510",47.26
360ONE,EQ,13-Mar-2026,"1,043.40","1,041.90","1,041.90","1,021.50","1,030.00","1,027.40","1,028.22","5,82,449","59,88,84,063.20","14,713","3,59,007",61.64
360ONE,EQ,12-Mar-2026,"1,048.10","1,040.00","1,049.10","1,017.30","1,046.70","1,043.40","1,037.10","9,34,229","96,88,91,564.90","29,095","4,89,037",52.35
360ONE,EQ,11-Mar-2026,"1,055.80","1,055.00","1,065.00","1,040.00","1,053.20","1,048.10","1,054.93","7,45,098","78,60,26,777.70","21,806","4,43,417",59.51
360ONE,EQ,10-Mar-2026,"1,035.10","1,039.90","1,060.30","1,032.80","1,056.00","1,055.80","1,048.47","3,26,555","34,23,82,736.30","14,680","1,34,987",41.34
360ONE,EQ,09-Mar-2026,"1,064.20","1,049.10","1,058.00","1,022.40","1,032.00","1,035.10","1,034.12","14,39,537","1,48,86,58,248.40","66,502","8,38,854",58.27
360ONE,EQ,06-Mar-2026,"1,081.00","1,074.00","1,084.40","1,061.30","1,064.80","1,064.20","1,070.62","2,76,113","29,56,12,751.60","16,415","1,55,151",56.19
360ONE,EQ,05-Mar-2026,"1,066.40","1,065.30","1,084.10","1,065.30","1,078.00","1,081.00","1,074.37","3,15,551","33,90,17,816.70","15,920","1,70,363",53.99
360ONE,EQ,04-Mar-2026,"1,074.70","1,056.30","1,071.20","1,039.30","1,061.10","1,066.40","1,055.40","11,97,644","1,26,39,96,563.30","50,326","7,17,446",59.90
360ONE,EQ,02-Mar-2026,"1,103.60","1,055.00","1,094.80","1,048.20","1,068.40","1,074.70","1,073.26","18,37,718","1,97,23,56,790.20","36,059","12,20,359",66.41
360ONE,EQ,27-Feb-2026,"1,128.30","1,130.00","1,130.00","1,093.00","1,104.10","1,103.60","1,105.49","12,53,674","1,38,59,18,604.10","46,613","6,21,417",49.57
360ONE,EQ,26-Feb-2026,"1,131.80","1,134.60","1,142.90","1,119.10","1,128.30","1,128.30","1,128.54","6,28,620","70,94,25,860.60","26,978","3,47,988",55.36
360ONE,EQ,25-Feb-2026,"1,113.40","1,120.00","1,137.30","1,104.50","1,137.30","1,131.80","1,125.57","6,82,336","76,80,19,058.80","24,917","4,04,683",59.31
360ONE,EQ,24-Feb-2026,"1,126.90","1,120.00","1,129.00","1,099.00","1,119.40","1,113.40","1,109.78","4,32,011","47,94,35,310.80","23,181","2,12,826",49.26
360ONE,EQ,23-Feb-2026,"1,100.60","1,110.00","1,130.00","1,100.10","1,125.00","1,126.90","1,112.24","7,93,296","88,23,36,100.10","30,698","4,58,925",57.85
360ONE,EQ,20-Feb-2026,"1,104.50","1,104.50","1,111.20","1,083.80","1,098.70","1,100.60","1,100.83","4,05,322","44,61,90,235.70","24,144","1,59,483",39.35
360ONE,EQ,19-Feb-2026,"1,127.20","1,122.60","1,129.70","1,089.40","1,102.00","1,104.50","1,105.71","6,48,460","71,70,07,620.10","19,240","3,25,715",50.23
360ONE,EQ,18-Feb-2026,"1,124.60","1,124.00","1,142.00","1,120.30","1,122.60","1,127.20","1,127.55","3,11,999","35,17,95,187.50","15,682","97,865",31.37
360ONE,EQ,17-Feb-2026,"1,119.60","1,112.60","1,131.40","1,112.60","1,126.20","1,124.60","1,123.69","8,84,322","99,37,08,013.60","17,373","97,188",10.99
360ONE,EQ,16-Feb-2026,"1,126.80","1,109.00","1,135.80","1,093.90","1,125.00","1,119.60","1,118.45","7,61,308","85,14,83,694.90","38,423","3,22,204",42.32
360ONE,EQ,13-Feb-2026,"1,144.40","1,136.30","1,146.20","1,115.60","1,126.70","1,126.80","1,127.43","4,71,438","53,15,15,046.30","30,541","2,71,579",57.61
360ONE,EQ,12-Feb-2026,"1,138.40","1,135.00","1,146.80","1,110.60","1,142.10","1,144.40","1,133.25","5,68,928","64,47,40,077.20","25,941","2,80,246",49.26
360ONE,EQ,11-Feb-2026,"1,162.40","1,163.10","1,163.20","1,126.70","1,137.00","1,138.40","1,138.27","7,66,800","87,28,27,308.60","29,596","3,36,556",43.89
360ONE,EQ,10-Feb-2026,"1,138.30","1,138.00","1,170.30","1,124.00","1,160.90","1,162.40","1,147.11","10,57,832","1,21,34,51,680.80","29,368","3,71,129",35.08
360ONE,EQ,09-Feb-2026,"1,113.90","1,114.90","1,140.00","1,114.90","1,138.00","1,138.30","1,129.29","3,57,498","40,37,19,206.00","13,376","1,81,171",50.68
360ONE,EQ,06-Feb-2026,"1,140.80","1,132.00","1,135.00","1,102.00","1,113.90","1,113.90","1,113.12","5,61,036","62,45,01,848.90","26,196","3,05,086",54.38
360ONE,EQ,05-Feb-2026,"1,166.10","1,166.80","1,171.90","1,131.20","1,138.50","1,140.80","1,140.30","8,79,272","1,00,26,31,877.50","35,828","5,79,136",65.87
360ONE,EQ,04-Feb-2026,"1,167.60","1,143.00","1,170.30","1,136.80","1,165.00","1,166.10","1,157.13","9,91,518","1,14,73,19,592.30","33,421","5,55,909",56.07
360ONE,EQ,03-Feb-2026,"1,110.50","1,150.00","1,188.50","1,150.00","1,167.00","1,167.60","1,163.08","12,08,601","1,40,57,02,318.80","57,684","5,89,252",48.75
360ONE,EQ,02-Feb-2026,"1,101.80","1,092.00","1,125.00","1,067.40","1,117.00","1,110.50","1,089.24","12,95,821","1,41,14,55,579.00","57,069","7,47,506",57.69
360ONE,EQ,01-Feb-2026,"1,134.30","1,134.30","1,135.10","1,025.10","1,117.00","1,101.80","1,103.97","10,75,542","1,18,73,68,182.80","30,782","3,48,602",32.41
