symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ABB,EQ,25-Mar-2026,"6,162.00","6,200.00","6,290.00","6,185.50","6,212.00","6,212.50","6,240.49","2,31,844","1,44,68,19,812.50","36,477","1,06,779",46.06
ABB,EQ,24-Mar-2026,"6,041.50","6,200.00","6,244.50","6,045.00","6,140.00","6,162.00","6,153.28","2,80,421","1,72,55,09,621.00","39,862","97,189",34.66
ABB,EQ,23-Mar-2026,"6,297.00","6,264.00","6,264.00","5,975.00","6,018.00","6,041.50","6,077.72","2,74,731","1,66,97,37,552.50","33,252","95,761",34.86
ABB,EQ,20-Mar-2026,"6,214.00","6,250.00","6,380.00","6,250.00","6,295.50","6,297.00","6,321.21","2,74,862","1,73,74,60,455.00","36,972","1,05,071",38.23
ABB,EQ,19-Mar-2026,"6,337.50","6,261.00","6,322.00","6,178.50","6,230.00","6,214.00","6,241.99","2,12,355","1,32,55,18,559.00","25,667","84,643",39.86
ABB,EQ,18-Mar-2026,"6,310.50","6,320.50","6,415.50","6,280.50","6,329.50","6,337.50","6,349.26","2,80,678","1,78,20,98,078.50","39,988","99,934",35.6
ABB,EQ,17-Mar-2026,"6,218.00","6,237.50","6,337.50","6,176.50","6,310.00","6,310.50","6,249.86","2,97,126","1,85,69,95,050.00","40,146","1,05,999",35.67
ABB,EQ,16-Mar-2026,"6,392.50","6,400.00","6,417.00","6,162.50","6,218.50","6,218.00","6,232.65","3,71,084","2,31,28,35,068.50","40,172","1,19,294",32.15
ABB,EQ,13-Mar-2026,"6,409.00","6,439.50","6,554.00","6,339.50","6,389.00","6,392.50","6,434.14","10,70,957","6,89,06,87,227.00","1,06,134","4,50,328",42.05
ABB,EQ,12-Mar-2026,"6,280.00","6,242.00","6,429.50","6,146.00","6,415.50","6,409.00","6,339.68","5,96,298","3,78,03,36,168.50","55,915","2,71,347",45.51
ABB,EQ,11-Mar-2026,"6,224.50","6,230.00","6,325.00","6,181.00","6,268.50","6,280.00","6,284.28","5,99,883","3,76,98,31,813.50","55,293","3,05,187",50.87
ABB,EQ,10-Mar-2026,"5,982.50","6,032.50","6,250.00","6,032.00","6,230.00","6,224.50","6,184.72","4,74,110","2,93,22,38,426.00","50,514","1,57,852",33.29
ABB,EQ,09-Mar-2026,"6,062.00","5,982.00","6,000.00","5,853.00","6,000.00","5,982.50","5,925.37","2,49,926","1,48,09,02,863.00","31,333","90,878",36.36
ABB,EQ,06-Mar-2026,"5,929.00","5,900.00","6,118.00","5,869.00","6,058.00","6,062.00","6,047.88","3,77,080","2,28,05,34,911.00","31,641","1,74,543",46.29
ABB,EQ,05-Mar-2026,"5,830.50","5,844.00","6,000.50","5,833.50","5,915.00","5,929.00","5,919.25","2,68,401","1,58,87,31,795.50","26,369","1,22,709",45.72
ABB,EQ,04-Mar-2026,"5,983.00","5,900.00","5,911.50","5,793.50","5,820.50","5,830.50","5,847.28","2,75,613","1,61,15,85,644.50","26,601","1,28,985",46.8
ABB,EQ,02-Mar-2026,"6,073.00","5,840.00","6,073.00","5,835.00","5,980.00","5,983.00","5,980.23","2,75,442","1,64,72,05,908.00","31,966","1,28,816",46.77
ABB,EQ,27-Feb-2026,"6,133.00","6,128.00","6,128.00","6,039.00","6,080.00","6,073.00","6,080.45","6,02,254","3,66,19,73,496.50","31,624","4,34,382",72.13
ABB,EQ,26-Feb-2026,"6,167.50","6,170.00","6,205.50","6,110.50","6,135.00","6,133.00","6,154.28","2,83,878","1,74,70,65,896.00","27,708","1,32,718",46.75
ABB,EQ,25-Feb-2026,"6,056.00","6,101.00","6,180.00","6,046.50","6,158.00","6,167.50","6,142.14","3,63,747","2,23,41,86,114.00","37,983","1,32,144",36.33
ABB,EQ,24-Feb-2026,"5,917.50","5,881.50","6,075.00","5,881.50","6,060.00","6,056.00","5,986.05","7,82,563","4,68,44,61,770.50","67,375","2,56,723",32.81
ABB,EQ,23-Feb-2026,"5,987.00","6,090.00","6,090.00","5,775.00","5,906.00","5,917.50","5,916.56","8,31,004","4,91,66,81,682.00","77,824","1,68,581",20.29
ABB,EQ,20-Feb-2026,"5,719.50","5,725.00","6,246.00","5,719.50","6,005.00","5,987.00","6,093.51","40,34,978","24,58,71,89,620.50","2,98,233","9,22,829",22.87
ABB,EQ,19-Feb-2026,"5,881.50","5,885.00","5,908.00","5,695.00","5,715.00","5,719.50","5,803.68","1,36,031","78,94,80,816.50","19,081","45,793",33.66
ABB,EQ,18-Feb-2026,"5,836.00","5,836.00","5,909.00","5,771.50","5,865.00","5,881.50","5,845.09","1,78,419","1,04,28,75,139.50","25,527","85,464",47.9
ABB,EQ,17-Feb-2026,"5,888.00","5,922.50","5,940.00","5,806.00","5,830.00","5,836.00","5,868.43","1,16,120","68,14,41,654.50","16,118","40,936",35.25
ABB,EQ,16-Feb-2026,"5,780.50","5,781.00","5,914.00","5,742.50","5,891.00","5,888.00","5,862.21","1,88,248","1,10,35,48,416.50","28,270","90,271",47.95
ABB,EQ,13-Feb-2026,"5,788.50","5,788.50","5,855.00","5,726.50","5,768.00","5,780.50","5,796.68","1,52,957","88,66,42,376.00","19,812","67,748",44.29
ABB,EQ,12-Feb-2026,"5,825.50","5,819.00","5,864.50","5,760.00","5,795.00","5,788.50","5,789.82","1,69,801","98,31,17,303.50","16,847","99,312",58.49
ABB,EQ,11-Feb-2026,"5,870.00","5,851.00","5,861.00","5,781.00","5,819.00","5,825.50","5,821.68","91,365","53,18,97,749.50","14,157","35,810",39.19
ABB,EQ,10-Feb-2026,"5,815.50","5,850.00","5,884.00","5,806.00","5,851.00","5,870.00","5,847.53","1,55,125","90,70,97,727.00","17,970","77,651",50.06
ABB,EQ,09-Feb-2026,"5,816.00","5,845.00","5,850.00","5,748.00","5,815.50","5,815.50","5,807.52","1,37,449","79,82,38,204.00","18,100","55,604",40.45
