symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ABCAPITAL,EQ,22-Jan-2025,174.36,174.5,175.0,168.56,173.56,173.03,171.49,"25,52,548","43,77,44,047.80","32,998","8,28,192",32.45
ABCAPITAL,EQ,23-Jan-2025,173.03,173.0,176.0,172.05,173.9,174.27,174.38,"15,76,070","27,48,34,155.85","21,870","6,50,317",41.26
ABCAPITAL,EQ,24-Jan-2025,174.27,174.27,174.99,169.25,170.3,170.43,171.91,"18,50,615","31,81,40,600.42","23,464","6,37,227",34.43
ABCAPITAL,EQ,27-Jan-2025,170.43,169.99,169.99,163.9,164.68,165.1,165.68,"48,94,227","81,08,62,097.67","45,375","21,33,040",43.58
ABCAPITAL,EQ,28-Jan-2025,165.1,167.79,172.4,162.66,169.26,169.01,167.35,"76,03,826","1,27,24,63,461.16","87,644","38,70,199",50.90
ABCAPITAL,EQ,29-Jan-2025,169.01,168.03,176.83,168.03,176.23,176.54,175.01,"33,52,447","58,67,18,303.68","30,780","9,90,401",29.54
ABCAPITAL,EQ,30-Jan-2025,176.54,176.54,177.68,175.25,177.06,177.18,176.6,"25,57,549","45,16,74,121.31","31,385","9,61,064",37.58
ABCAPITAL,EQ,31-Jan-2025,177.18,177.08,181.6,175.32,179.02,179.39,179.05,"26,60,220","47,63,20,577.69","27,174","10,30,591",38.74
ABCAPITAL,EQ,01-Feb-2025,179.39,180.6,180.6,172.61,176.8,176.62,176.74,"24,33,075","43,00,22,069.99","29,869","4,88,872",20.09
ABCAPITAL,EQ,03-Feb-2025,176.62,175.8,178.79,168.71,169.12,172.46,174.17,"76,83,639","1,33,82,96,595.71","67,170","14,04,661",18.28
ABCAPITAL,EQ,04-Feb-2025,172.46,171.89,172.69,165.74,167.65,167.51,167.86,"70,57,180","1,18,46,20,660.70","63,147","24,78,032",35.11
ABCAPITAL,EQ,05-Feb-2025,167.51,169.5,172.69,168.27,172.1,171.76,171.32,"44,48,345","76,20,68,464.17","30,058","19,57,535",44.01
ABCAPITAL,EQ,06-Feb-2025,171.76,172.0,173.59,168.64,168.9,169.19,170.78,"18,05,857","30,84,07,742.51","18,028","7,68,514",42.56
ABCAPITAL,EQ,07-Feb-2025,169.19,169.3,172.29,167.79,169.3,169.41,169.82,"34,74,325","59,00,26,790.33","46,725","7,66,443",22.06
ABCAPITAL,EQ,10-Feb-2025,169.41,171.0,171.5,166.6,167.24,167.21,168.06,"32,04,828","53,86,15,840.86","62,987","16,49,919",51.48
ABCAPITAL,EQ,11-Feb-2025,167.21,167.12,167.69,160.0,160.2,160.62,162.37,"30,54,217","49,59,11,278.65","35,539","15,05,333",49.29
ABCAPITAL,EQ,12-Feb-2025,160.62,160.0,160.87,153.4,159.75,158.59,157.18,"38,55,119","60,59,34,656.94","37,018","13,48,848",34.99
ABCAPITAL,EQ,13-Feb-2025,158.59,158.7,162.99,157.9,159.37,159.25,160.83,"33,58,637","54,01,61,500.18","29,498","12,88,281",38.36
ABCAPITAL,EQ,14-Feb-2025,159.25,159.27,160.8,151.37,152.6,152.74,154.59,"34,88,171","53,92,26,043.12","33,457","13,17,672",37.78
ABCAPITAL,EQ,17-Feb-2025,152.74,152.65,155.01,149.01,153.86,153.97,152.96,"42,51,881","65,03,72,138.22","42,259","16,65,334",39.17
ABCAPITAL,EQ,18-Feb-2025,153.97,153.36,154.74,149.65,153.62,154.09,152.46,"40,01,586","61,00,74,139.10","35,791","16,03,811",40.08
ABCAPITAL,EQ,19-Feb-2025,154.09,152.2,156.91,151.7,155.42,155.51,155.31,"19,53,982","30,34,72,640.89","27,877","6,07,926",31.11
ABCAPITAL,EQ,20-Feb-2025,155.51,155.0,158.45,154.13,158.11,158.07,157.04,"15,71,866","24,68,45,294.88","20,093","6,87,285",43.72
ABCAPITAL,EQ,21-Feb-2025,158.07,158.45,161.16,155.72,156.6,157.28,157.7,"29,03,247","45,78,55,036.46","23,586","10,74,650",37.02
ABCAPITAL,EQ,24-Feb-2025,157.28,156.28,156.28,152.3,154.56,154.68,154.11,"25,97,413","40,02,75,914.01","26,160","9,57,393",36.86
ABCAPITAL,EQ,25-Feb-2025,154.68,153.5,155.31,151.16,152.4,152.32,153.47,"18,97,177","29,11,58,808.17","29,276","9,35,033",49.29
ABCAPITAL,EQ,27-Feb-2025,152.32,156.0,160.17,154.18,157.45,157.67,157.52,"1,03,17,835","1,62,52,49,152.15","71,260","43,68,553",42.34
ABCAPITAL,EQ,28-Feb-2025,157.67,155.1,158.77,155.01,156.7,156.33,156.58,"60,53,279","94,78,42,494.44","52,034","29,47,606",48.69
ABCAPITAL,EQ,03-Mar-2025,156.33,156.71,158.43,151.05,153.15,152.98,153.55,"64,52,462","99,07,88,205.97","57,236","35,45,972",54.96
ABCAPITAL,EQ,04-Mar-2025,152.98,151.0,155.65,149.85,155.65,154.55,153.79,"73,46,014","1,12,97,35,839.49","47,287","36,12,275",49.17
ABCAPITAL,EQ,05-Mar-2025,154.55,156.0,157.49,150.56,157.3,156.7,154.98,"87,01,149","1,34,84,79,824.39","68,642","45,64,523",52.46
ABCAPITAL,EQ,06-Mar-2025,156.7,161.0,161.39,157.01,159.5,159.58,159.37,"81,91,918","1,30,55,33,810.99","53,204","44,30,508",54.08
ABCAPITAL,EQ,07-Mar-2025,159.58,159.97,163.54,158.73,160.8,160.85,161.06,"63,86,257","1,02,85,49,340.71","74,458","33,01,426",51.70
ABCAPITAL,EQ,10-Mar-2025,160.85,161.05,162.84,156.85,157.53,158.06,159.78,"40,72,347","65,06,67,173.20","32,282","22,44,232",55.11
ABCAPITAL,EQ,11-Mar-2025,158.06,157.31,158.69,154.92,158.6,157.88,157.17,"31,17,970","49,00,64,437.33","25,211","13,59,106",43.59
ABCAPITAL,EQ,12-Mar-2025,157.88,159.73,163.6,158.6,162.9,162.8,161.42,"69,43,158","1,12,07,52,942.20","46,270","24,96,042",35.95
ABCAPITAL,EQ,13-Mar-2025,162.8,163.61,164.71,161.02,162.17,162.19,162.61,"28,15,149","45,77,82,359.70","24,451","10,63,069",37.76
ABCAPITAL,EQ,17-Mar-2025,162.19,162.19,163.3,160.59,162.0,161.82,161.63,"25,87,916","41,82,82,545.70","28,083","14,23,628",55.01
ABCAPITAL,EQ,18-Mar-2025,161.82,162.0,166.75,161.83,166.5,166.49,165.14,"28,39,881","46,89,78,661.85","40,481","13,18,277",46.42
ABCAPITAL,EQ,19-Mar-2025,166.49,166.92,171.49,166.25,170.58,170.79,169.58,"47,06,833","79,81,99,675.63","38,562","25,70,645",54.62
ABCAPITAL,EQ,20-Mar-2025,170.79,173.0,177.4,171.19,176.6,176.78,175.37,"66,93,138","1,17,37,67,914.69","43,982","27,14,939",40.56
ABCAPITAL,EQ,21-Mar-2025,176.78,178.7,186.41,177.46,186.0,185.52,183.85,"1,36,79,696","2,51,50,80,354.26","83,658","49,52,921",36.21
ABCAPITAL,EQ,24-Mar-2025,185.52,186.38,187.6,183.25,184.8,184.59,185.13,"41,93,804","77,64,17,718.70","44,675","18,54,248",44.21
ABCAPITAL,EQ,25-Mar-2025,184.59,185.5,185.5,181.0,181.7,181.55,182.51,"31,12,169","56,80,09,245.33","26,786","14,19,916",45.62
