symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIENSOL,EQ,22-Jan-2025,813.35,825.00,827.35,785.10,801.45,802.80,798.64,"23,16,536","1,85,00,73,665.30","82,737","5,56,593",24.03
ADANIENSOL,EQ,23-Jan-2025,802.80,795.10,826.60,791.35,805.10,808.80,808.77,"37,65,979","3,04,58,06,850.75","1,20,125","9,50,486",25.24
ADANIENSOL,EQ,24-Jan-2025,808.80,814.00,816.00,781.00,787.00,790.45,792.40,"27,73,445","2,19,76,77,585.55","82,530","9,27,616",33.45
ADANIENSOL,EQ,27-Jan-2025,790.45,779.25,781.30,750.80,754.00,755.65,765.68,"23,19,145","1,77,57,31,258.25","88,127","8,12,606",35.04
ADANIENSOL,EQ,28-Jan-2025,755.65,753.00,769.90,735.30,749.80,747.60,751.13,"18,60,951","1,39,78,09,824.45","71,176","3,74,107",20.10
ADANIENSOL,EQ,29-Jan-2025,747.60,750.95,759.75,738.10,743.80,744.70,747.02,"13,98,816","1,04,49,47,874.50","58,122","3,94,852",28.23
ADANIENSOL,EQ,30-Jan-2025,744.70,751.95,760.30,728.30,740.60,740.25,745.78,"13,80,777","1,02,97,56,017.65","62,459","3,77,357",27.33
ADANIENSOL,EQ,31-Jan-2025,740.25,748.90,763.30,737.85,753.50,748.35,750.10,"30,73,984","2,30,58,08,363.25","80,146","15,89,886",51.72
ADANIENSOL,EQ,01-Feb-2025,748.35,756.00,767.90,732.00,747.00,746.05,755.77,"11,26,229","85,11,66,364.85","40,773","2,23,917",19.88
ADANIENSOL,EQ,03-Feb-2025,746.05,740.00,742.70,725.35,728.30,728.15,733.03,"8,61,101","63,12,12,292.15","41,013","2,14,571",24.92
ADANIENSOL,EQ,04-Feb-2025,728.15,734.90,753.45,731.00,751.90,751.80,745.22,"10,07,055","75,04,74,062.05","43,288","3,61,821",35.93
ADANIENSOL,EQ,05-Feb-2025,751.80,752.00,782.70,751.80,775.00,775.50,770.08,"16,64,111","1,28,15,05,242.70","63,046","5,84,947",35.15
ADANIENSOL,EQ,06-Feb-2025,775.50,780.90,788.20,767.15,772.20,773.15,777.49,"10,09,247","78,46,78,896.20","44,349","2,52,975",25.07
ADANIENSOL,EQ,07-Feb-2025,773.15,773.95,782.90,759.20,773.90,773.40,770.41,"7,71,037","59,40,13,213.10","36,822","1,53,220",19.87
ADANIENSOL,EQ,10-Feb-2025,773.40,776.90,777.00,738.05,741.00,741.70,749.08,"11,32,859","84,86,03,340.75","43,657","3,24,527",28.65
ADANIENSOL,EQ,11-Feb-2025,741.70,741.80,763.60,725.20,728.65,732.05,743.86,"15,30,185","1,13,82,40,909.10","61,155","2,32,907",15.22
ADANIENSOL,EQ,12-Feb-2025,732.05,738.00,760.00,728.65,759.05,756.80,747.91,"31,37,758","2,34,67,50,620.45","1,02,311","7,14,833",22.78
ADANIENSOL,EQ,13-Feb-2025,756.80,760.20,777.80,740.00,742.00,744.00,759.81,"13,10,157","99,54,66,843.05","47,504","3,88,900",29.68
ADANIENSOL,EQ,14-Feb-2025,744.00,747.45,751.10,696.75,707.60,708.40,716.74,"17,79,389","1,27,53,57,645.30","76,883","4,67,889",26.29
ADANIENSOL,EQ,17-Feb-2025,708.40,703.85,708.75,677.40,704.00,702.00,693.73,"23,94,243","1,66,09,64,070.25","1,21,442","8,55,741",35.74
ADANIENSOL,EQ,18-Feb-2025,702.00,706.80,706.80,668.00,676.00,677.15,677.96,"29,68,321","2,01,24,12,051.00","98,552","9,22,980",31.09
ADANIENSOL,EQ,19-Feb-2025,677.15,667.10,681.90,660.00,671.05,670.65,672.93,"18,83,969","1,26,77,73,954.40","63,359","6,01,707",31.94
ADANIENSOL,EQ,20-Feb-2025,670.65,669.90,686.50,662.35,679.50,678.00,676.98,"12,71,876","86,10,32,351.95","45,545","4,43,692",34.88
ADANIENSOL,EQ,21-Feb-2025,678.00,680.95,695.70,667.20,668.80,670.95,681.91,"12,11,108","82,58,64,645.90","44,933","2,66,395",22.00
ADANIENSOL,EQ,24-Feb-2025,670.95,670.00,680.70,656.65,667.40,669.60,669.02,"12,37,728","82,80,59,874.25","36,824","4,48,459",36.23
ADANIENSOL,EQ,25-Feb-2025,669.60,672.30,686.35,665.70,667.95,669.70,675.06,"16,54,419","1,11,68,36,408.15","51,169","3,77,534",22.82
ADANIENSOL,EQ,27-Feb-2025,669.70,673.50,678.45,660.00,663.00,661.70,667.13,"11,09,229","74,00,01,155.10","37,836","3,63,474",32.77
ADANIENSOL,EQ,28-Feb-2025,661.70,661.70,673.35,648.05,651.45,650.90,658.83,"17,66,312","1,16,36,98,307.35","66,056","4,56,046",25.82
ADANIENSOL,EQ,03-Mar-2025,650.90,652.55,664.05,639.45,655.25,654.05,650.32,"11,60,382","75,46,16,952.60","50,106","3,41,704",29.45
ADANIENSOL,EQ,04-Mar-2025,654.05,649.45,660.60,641.15,647.55,646.65,651.40,"10,74,477","69,99,13,647.65","32,851","4,62,281",43.02
ADANIENSOL,EQ,05-Mar-2025,646.65,647.00,731.50,646.00,707.00,709.45,696.28,"62,65,335","4,36,24,09,974.05","1,35,993","15,12,533",24.14
ADANIENSOL,EQ,06-Mar-2025,709.45,719.00,746.60,707.60,735.15,733.25,730.66,"48,97,354","3,57,83,02,739.00","1,21,378","10,18,056",20.79
ADANIENSOL,EQ,07-Mar-2025,733.25,730.00,753.90,724.00,746.25,747.60,739.61,"26,22,387","1,93,95,32,717.05","63,627","7,79,425",29.72
ADANIENSOL,EQ,10-Mar-2025,747.60,747.00,790.00,738.00,758.10,759.10,772.93,"68,61,685","5,30,35,73,422.85","1,36,878","13,84,307",20.17
ADANIENSOL,EQ,11-Mar-2025,759.10,745.00,768.00,742.00,766.00,761.05,758.23,"27,85,862","2,11,23,15,957.65","66,551","7,31,633",26.26
ADANIENSOL,EQ,12-Mar-2025,761.05,765.00,784.90,744.05,783.30,781.75,768.79,"27,34,197","2,10,20,13,750.05","55,808","10,31,877",37.74
ADANIENSOL,EQ,13-Mar-2025,781.75,783.80,795.95,776.85,781.00,783.20,787.65,"22,01,144","1,73,37,28,760.40","62,732","6,96,458",31.64
ADANIENSOL,EQ,17-Mar-2025,783.20,779.80,801.15,776.80,795.60,795.05,793.95,"18,50,753","1,46,94,06,061.65","52,306","4,95,183",26.76
ADANIENSOL,EQ,18-Mar-2025,795.05,800.70,807.80,786.30,798.15,798.55,798.75,"13,44,527","1,07,39,43,836.20","37,811","4,32,384",32.16
ADANIENSOL,EQ,19-Mar-2025,798.55,801.10,820.65,799.15,813.90,813.90,811.37,"14,17,575","1,15,01,79,895.75","48,820","4,81,715",33.98
ADANIENSOL,EQ,20-Mar-2025,813.90,820.00,823.00,800.90,812.00,815.10,812.07,"12,86,932","1,04,50,75,772.45","34,887","3,43,699",26.71
ADANIENSOL,EQ,21-Mar-2025,815.10,815.00,846.95,811.85,830.00,831.70,832.37,"27,11,820","2,25,72,28,318.80","61,915","10,21,115",37.65
ADANIENSOL,EQ,24-Mar-2025,831.70,838.75,844.70,817.55,820.50,820.25,827.91,"18,08,999","1,49,76,82,457.80","55,509","6,62,214",36.61
