symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIENT,EQ,22-Jan-2025,"2,384.30","2,399.00","2,399.00","2,325.15","2,377.00","2,376.55","2,350.04","11,47,334","2,69,62,81,355.85","70,492","3,31,459",28.89
ADANIENT,EQ,23-Jan-2025,"2,376.55","2,383.00","2,405.15","2,355.00","2,376.30","2,385.00","2,383.47","8,26,721","1,97,04,68,165.95","57,688","3,07,154",37.15
ADANIENT,EQ,24-Jan-2025,"2,385.00","2,387.75","2,406.00","2,299.40","2,314.05","2,315.10","2,350.05","13,88,583","3,26,32,39,949.80","82,631","3,59,234",25.87
ADANIENT,EQ,27-Jan-2025,"2,315.10","2,310.05","2,318.10","2,250.05","2,259.05","2,259.70","2,283.92","10,32,995","2,35,92,76,146.20","70,412","3,15,636",30.56
ADANIENT,EQ,28-Jan-2025,"2,259.70","2,274.20","2,315.85","2,242.00","2,293.50","2,286.05","2,280.67","9,66,497","2,20,42,56,354.50","68,907","2,03,815",21.09
ADANIENT,EQ,29-Jan-2025,"2,286.05","2,297.00","2,326.25","2,282.60","2,321.80","2,318.60","2,311.65","7,85,220","1,81,51,53,515.15","54,577","1,41,285",17.99
ADANIENT,EQ,30-Jan-2025,"2,318.60","2,325.00","2,351.50","2,201.30","2,247.90","2,252.60","2,267.93","26,01,625","5,90,03,14,531.05","1,46,148","5,26,199",20.23
ADANIENT,EQ,31-Jan-2025,"2,252.60","2,238.85","2,314.95","2,213.75","2,297.00","2,287.80","2,280.98","20,13,345","4,59,23,96,053.15","96,876","8,60,486",42.74
ADANIENT,EQ,01-Feb-2025,"2,287.80","2,297.00","2,351.45","2,237.55","2,269.95","2,270.00","2,290.99","9,87,362","2,26,20,38,363.60","60,333","1,44,114",14.60
ADANIENT,EQ,03-Feb-2025,"2,270.00","2,266.75","2,279.00","2,213.90","2,266.90","2,261.85","2,247.60","8,24,942","1,85,41,42,528.10","63,131","1,77,092",21.47
ADANIENT,EQ,04-Feb-2025,"2,261.85","2,278.90","2,312.00","2,267.55","2,303.25","2,301.50","2,295.26","6,91,187","1,58,64,56,760.25","55,343","1,90,423",27.55
ADANIENT,EQ,05-Feb-2025,"2,301.50","2,314.95","2,349.40","2,309.05","2,326.80","2,324.60","2,325.60","5,60,940","1,30,45,21,649.55","43,537","1,73,805",30.98
ADANIENT,EQ,06-Feb-2025,"2,324.60","2,340.00","2,340.00","2,298.20","2,309.00","2,312.45","2,313.94","6,80,544","1,57,47,35,886.10","56,800","1,62,565",23.89
ADANIENT,EQ,07-Feb-2025,"2,312.45","2,312.45","2,374.90","2,307.35","2,340.00","2,338.80","2,340.71","8,92,900","2,09,00,22,372.55","65,292","2,59,627",29.08
ADANIENT,EQ,10-Feb-2025,"2,338.80","2,350.00","2,350.95","2,280.10","2,287.00","2,290.80","2,299.96","7,39,708","1,70,13,00,256.05","48,267","2,50,990",33.93
ADANIENT,EQ,11-Feb-2025,"2,290.80","2,312.00","2,397.00","2,306.00","2,321.00","2,321.75","2,356.84","48,95,456","11,53,78,30,168.85","2,17,468","7,92,217",16.18
ADANIENT,EQ,12-Feb-2025,"2,321.75","2,325.00","2,378.45","2,281.00","2,357.00","2,353.45","2,330.04","19,33,098","4,50,41,88,676.65","1,17,486","6,06,864",31.39
ADANIENT,EQ,13-Feb-2025,"2,353.45","2,354.00","2,372.75","2,233.40","2,237.45","2,244.70","2,296.20","25,51,940","5,85,97,73,361.40","1,33,317","10,73,431",42.06
ADANIENT,EQ,14-Feb-2025,"2,244.70","2,245.70","2,249.30","2,124.55","2,149.00","2,152.65","2,173.43","25,50,043","5,54,23,34,587.70","1,51,036","7,10,083",27.85
ADANIENT,EQ,17-Feb-2025,"2,152.65","2,152.65","2,240.40","2,110.65","2,237.30","2,223.70","2,180.52","14,00,160","3,05,30,75,121.80","1,01,955","2,01,961",14.42
ADANIENT,EQ,18-Feb-2025,"2,223.70","2,240.00","2,240.00","2,166.05","2,213.05","2,220.30","2,199.31","11,38,090","2,50,30,16,206.15","75,933","2,60,522",22.89
ADANIENT,EQ,19-Feb-2025,"2,220.30","2,166.00","2,219.40","2,127.00","2,177.00","2,180.80","2,187.51","12,03,163","2,63,19,29,703.40","77,627","2,32,451",19.32
ADANIENT,EQ,20-Feb-2025,"2,180.80","2,180.80","2,216.35","2,156.80","2,178.00","2,179.00","2,187.58","10,86,670","2,37,71,74,267.60","74,127","3,27,637",30.15
ADANIENT,EQ,21-Feb-2025,"2,179.00","2,190.45","2,199.60","2,116.85","2,125.00","2,133.10","2,152.24","15,40,308","3,31,51,17,241.20","85,375","6,09,815",39.59
ADANIENT,EQ,24-Feb-2025,"2,133.10","2,128.95","2,138.50","2,096.70","2,114.90","2,115.15","2,116.22","10,32,294","2,18,45,57,734.20","73,399","3,01,593",29.22
