symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ADANIGREEN,EQ,25-Mar-2026,839.55,843.00,868.75,843.00,852.40,853.80,859.75,"22,01,430","1,89,26,72,766.45","32,868","6,04,282",27.45
ADANIGREEN,EQ,24-Mar-2026,816.45,833.00,842.15,801.40,839.00,839.55,823.42,"41,39,485","3,40,85,48,011.90","65,096","12,34,598",29.82
ADANIGREEN,EQ,23-Mar-2026,863.10,863.00,863.00,810.45,817.00,816.45,825.98,"27,46,629","2,26,86,51,961.55","54,394","7,93,163",28.88
ADANIGREEN,EQ,20-Mar-2026,854.90,865.45,887.00,860.00,866.00,863.10,873.61,"19,90,204","1,73,86,60,199.60","41,226","5,44,335",27.35
ADANIGREEN,EQ,19-Mar-2026,891.30,880.00,882.05,850.60,859.95,854.90,865.91,"22,19,917","1,92,22,50,075.55","38,081","7,32,119",32.98
ADANIGREEN,EQ,18-Mar-2026,868.65,872.05,904.00,871.55,890.00,891.30,887.80,"23,15,274","2,05,55,03,663.35","38,946","6,91,637",29.87
ADANIGREEN,EQ,17-Mar-2026,866.95,874.85,874.85,848.05,868.95,868.65,859.40,"26,44,896","2,27,30,34,919.85","42,172","8,21,245",31.05
ADANIGREEN,EQ,16-Mar-2026,861.35,861.35,873.80,853.00,867.00,866.95,863.61,"26,09,169","2,25,32,99,629.20","48,047","10,17,605",39.00
ADANIGREEN,EQ,13-Mar-2026,866.55,865.25,878.75,844.00,863.00,861.35,855.80,"67,56,426","5,78,21,59,954.35","61,609","42,72,683",63.24
ADANIGREEN,EQ,12-Mar-2026,849.65,849.60,881.95,837.40,866.65,866.55,862.94,"65,91,414","5,68,79,96,086.60","90,427","29,50,682",44.77
ADANIGREEN,EQ,11-Mar-2026,856.90,866.60,877.90,846.90,852.00,849.65,863.96,"30,05,645","2,59,67,66,220.45","51,884","10,48,442",34.88
ADANIGREEN,EQ,10-Mar-2026,854.15,875.00,878.95,843.25,858.50,856.90,855.50,"32,40,047","2,77,18,59,499.10","48,641","13,83,441",42.70
ADANIGREEN,EQ,09-Mar-2026,858.40,841.00,858.00,825.00,855.50,854.15,841.54,"19,22,632","1,61,79,62,409.55","37,608","4,73,724",24.64
ADANIGREEN,EQ,06-Mar-2026,884.55,879.60,894.55,855.15,863.00,858.40,870.70,"57,84,124","5,03,62,60,958.05","87,497","36,67,033",63.40
ADANIGREEN,EQ,05-Mar-2026,871.95,886.25,889.75,864.60,883.60,884.55,873.20,"46,55,262","4,06,49,91,612.20","79,707","24,73,163",53.13
ADANIGREEN,EQ,04-Mar-2026,903.55,880.00,882.80,867.00,870.00,871.95,873.87,"19,76,974","1,72,76,21,436.85","47,372","6,15,168",31.12
ADANIGREEN,EQ,02-Mar-2026,947.35,915.00,926.95,880.25,906.85,903.55,902.11,"34,82,707","3,14,17,95,675.00","70,675","7,57,201",21.74
ADANIGREEN,EQ,27-Feb-2026,965.95,960.35,969.50,942.00,944.00,947.35,956.35,"11,56,653","1,10,61,66,087.30","23,727","2,68,437",23.21
ADANIGREEN,EQ,26-Feb-2026,964.15,964.15,973.50,956.55,962.60,965.95,965.57,"9,11,136","87,97,65,827.10","19,190","1,78,842",19.63
ADANIGREEN,EQ,25-Feb-2026,981.35,984.95,988.60,960.00,963.00,964.15,970.04,"13,45,367","1,30,50,65,084.05","26,908","3,51,798",26.15
ADANIGREEN,EQ,24-Feb-2026,970.35,970.15,988.00,956.45,984.00,981.35,969.81,"12,90,484","1,25,15,23,006.15","25,195","3,42,293",26.52
ADANIGREEN,EQ,23-Feb-2026,968.25,978.25,987.55,962.00,970.30,970.35,974.25,"11,88,654","1,15,80,41,972.55","26,487","2,47,037",20.78
ADANIGREEN,EQ,20-Feb-2026,976.50,976.40,980.75,965.00,967.20,968.25,972.97,"12,21,495","1,18,84,82,488.40","25,844","2,62,957",21.53
ADANIGREEN,EQ,19-Feb-2026,"1,000.10","1,000.10","1,005.00",970.00,971.05,976.50,987.82,"15,00,530","1,48,22,48,989.70","31,644","4,30,377",28.68
ADANIGREEN,EQ,18-Feb-2026,"1,016.80","1,019.00","1,019.95",987.40,998.55,"1,000.10",999.73,"19,64,869","1,96,43,38,719.25","40,944","4,54,459",23.13
ADANIGREEN,EQ,17-Feb-2026,991.25,982.65,"1,018.95",979.25,"1,014.25","1,016.80","1,001.51","37,70,349","3,77,60,47,280.50","67,504","11,34,622",30.09
ADANIGREEN,EQ,16-Feb-2026,950.50,949.50,999.00,936.45,991.80,991.25,982.06,"41,71,950","4,09,71,20,994.70","84,832","11,19,824",26.84
ADANIGREEN,EQ,13-Feb-2026,997.65,988.90,989.90,943.75,949.55,950.50,956.90,"29,43,844","2,81,69,60,451.55","62,445","12,29,865",41.78
ADANIGREEN,EQ,12-Feb-2026,994.75,992.45,999.60,980.05,996.50,997.65,990.71,"12,50,477","1,23,88,55,520.45","24,363","4,66,053",37.27
ADANIGREEN,EQ,11-Feb-2026,978.30,977.00,998.15,975.05,992.40,994.75,988.97,"14,89,878","1,47,34,47,581.65","28,263","5,47,204",36.73
ADANIGREEN,EQ,10-Feb-2026,982.65,985.80,987.80,953.05,976.00,978.30,976.11,"20,57,124","2,00,79,76,131.10","35,705","4,12,021",20.03
ADANIGREEN,EQ,09-Feb-2026,971.85,985.00,996.25,976.45,982.00,982.65,982.29,"16,45,440","1,61,62,94,145.00","31,363","3,65,936",22.24
ADANIGREEN,EQ,06-Feb-2026,967.15,966.00,974.95,954.25,968.00,971.85,963.97,"16,08,144","1,55,02,00,375.15","32,595","3,76,836",23.43
ADANIGREEN,EQ,05-Feb-2026,954.45,954.00,972.00,951.45,966.00,967.15,963.71,"31,02,511","2,98,99,06,184.65","60,973","6,47,017",20.85
ADANIGREEN,EQ,04-Feb-2026,932.10,935.00,970.90,920.35,953.45,954.45,950.45,"42,30,654","4,02,10,22,917.15","89,908","9,41,590",22.26
ADANIGREEN,EQ,03-Feb-2026,843.95,924.00,951.55,900.00,932.00,932.10,929.42,"1,08,26,968","10,06,28,36,917.90","1,94,957","20,86,053",19.27
ADANIGREEN,EQ,02-Feb-2026,806.80,814.20,847.90,807.00,845.00,843.95,833.21,"39,22,655","3,26,83,91,388.15","80,487","9,50,113",24.22
ADANIGREEN,EQ,01-Feb-2026,852.30,854.50,861.45,796.65,807.50,806.80,830.93,"36,22,961","3,01,04,31,448.50","78,941","7,94,232",21.92
ADANIGREEN,EQ,30-Jan-2026,858.80,854.90,864.80,842.70,851.30,852.30,855.51,"28,87,230","2,47,00,41,312.90","39,979","12,00,339",41.57
ADANIGREEN,EQ,29-Jan-2026,822.90,824.40,864.80,816.50,854.50,858.80,847.32,"73,56,835","6,23,35,91,667.30","98,226","17,75,218",24.13
ADANIGREEN,EQ,28-Jan-2026,799.10,809.00,825.70,795.00,821.20,822.90,809.47,"43,77,377","3,54,33,48,877.10","64,017","13,33,260",30.46
ADANIGREEN,EQ,27-Jan-2026,772.80,789.00,819.20,768.10,798.00,799.10,797.39,"1,37,52,483","10,96,60,63,588.90","2,23,255","19,31,610",14.05
ADANIGREEN,EQ,23-Jan-2026,904.30,909.00,909.00,765.00,779.40,772.80,803.93,"2,29,73,223","18,46,88,14,749.50","3,07,283","42,22,283",18.38
ADANIGREEN,EQ,22-Jan-2026,878.70,894.00,916.40,889.10,909.00,904.30,905.27,"18,51,769","1,67,63,50,011.60","37,698","4,18,812",22.62
ADANIGREEN,EQ,21-Jan-2026,883.20,885.50,892.60,868.00,885.00,878.70,880.47,"22,59,912","1,98,97,94,466.00","46,599","5,61,301",24.84
ADANIGREEN,EQ,20-Jan-2026,914.00,914.10,927.00,878.00,885.50,883.20,898.83,"21,95,862","1,97,37,10,470.00","54,857","7,18,291",32.71
ADANIGREEN,EQ,19-Jan-2026,930.10,928.00,936.00,911.50,912.50,914.00,920.15,"12,03,147","1,10,70,81,364.30","32,616","3,56,115",29.60
ADANIGREEN,EQ,16-Jan-2026,935.30,935.30,946.80,926.30,930.00,930.10,935.29,"10,88,002","1,01,76,00,599.80","25,458","3,66,780",33.71
ADANIGREEN,EQ,14-Jan-2026,936.70,935.50,945.00,932.10,935.00,935.30,938.32,"7,74,904","72,71,05,279.30","19,091","2,18,005",28.13
ADANIGREEN,EQ,13-Jan-2026,942.20,952.40,952.40,927.40,935.50,936.70,938.24,"20,66,428","1,93,88,06,319.30","32,013","6,19,068",29.96
ADANIGREEN,EQ,12-Jan-2026,946.10,947.80,949.10,921.20,944.00,942.20,935.67,"21,43,293","2,00,54,05,037.20","43,718","5,84,211",27.26
ADANIGREEN,EQ,09-Jan-2026,988.80,988.00,991.00,942.20,944.90,946.10,963.07,"23,26,860","2,24,09,23,260.70","54,558","10,04,079",43.15
ADANIGREEN,EQ,08-Jan-2026,"1,019.20","1,024.10","1,024.10",982.90,983.80,988.80,998.80,"19,93,966","1,99,15,71,498.20","46,129","8,64,593",43.36
ADANIGREEN,EQ,07-Jan-2026,"1,019.40","1,019.00","1,023.70","1,011.40","1,018.90","1,019.20","1,017.93","7,42,308","75,56,15,402.00","17,635","1,86,202",25.08
ADANIGREEN,EQ,06-Jan-2026,"1,030.50","1,031.00","1,034.80","1,012.80","1,018.40","1,019.40","1,023.99","8,91,487","91,28,75,002.80","20,406","2,67,305",29.98
ADANIGREEN,EQ,05-Jan-2026,"1,038.80","1,039.00","1,044.70","1,027.70","1,028.80","1,030.50","1,034.33","10,20,610","1,05,56,46,015.90","23,107","3,05,750",29.96
