symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ALKEM,EQ,25-Mar-2026,"5,297.00","5,355.00","5,464.00","5,311.50","5,434.50","5,435.50","5,411.86","61,346","33,19,96,198.00","11,503","33,315",54.31
ALKEM,EQ,24-Mar-2026,"5,144.50","5,200.00","5,304.50","5,160.50","5,301.00","5,297.00","5,240.34","79,204","41,50,56,209.00","14,266","37,565",47.43
ALKEM,EQ,23-Mar-2026,"5,257.50","5,260.00","5,272.50","5,111.50","5,160.00","5,144.50","5,156.85","1,10,544","57,00,59,056.50","23,945","49,986",45.22
ALKEM,EQ,20-Mar-2026,"5,240.00","5,245.00","5,298.50","5,211.00","5,280.00","5,257.50","5,257.55","3,25,586","1,71,17,85,107.00","20,696","2,17,535",66.81
ALKEM,EQ,19-Mar-2026,"5,351.50","5,309.00","5,336.00","5,222.50","5,257.00","5,240.00","5,252.64","60,008","31,52,00,265.50","14,132","27,130",45.21
ALKEM,EQ,18-Mar-2026,"5,333.50","5,335.00","5,423.00","5,315.00","5,360.50","5,351.50","5,366.36","65,448","35,12,17,645.00","18,597","35,775",54.66
ALKEM,EQ,17-Mar-2026,"5,323.00","5,317.00","5,350.00","5,285.00","5,350.00","5,333.50","5,324.24","1,27,237","67,74,40,520.50","15,674","77,584",60.98
ALKEM,EQ,16-Mar-2026,"5,355.50","5,393.00","5,407.00","5,233.00","5,290.00","5,323.00","5,307.37","2,04,293","1,08,42,58,559.50","21,767","1,31,678",64.46
ALKEM,EQ,13-Mar-2026,"5,444.00","5,422.00","5,471.50","5,335.50","5,384.00","5,355.50","5,388.74","1,03,318","55,67,53,807.00","16,686","56,498",54.68
ALKEM,EQ,12-Mar-2026,"5,544.50","5,515.50","5,528.00","5,400.00","5,451.00","5,444.00","5,456.29","1,21,868","66,49,47,280.00","17,850","67,357",55.27
ALKEM,EQ,11-Mar-2026,"5,616.50","5,662.00","5,665.00","5,514.50","5,530.00","5,544.50","5,578.06","1,47,779","82,43,19,503.50","19,474","85,408",57.79
ALKEM,EQ,10-Mar-2026,"5,460.00","5,509.50","5,664.50","5,500.00","5,601.00","5,616.50","5,608.03","1,27,594","71,55,51,111.50","20,289","59,014",46.25
ALKEM,EQ,09-Mar-2026,"5,530.00","5,500.00","5,518.50","5,421.00","5,471.00","5,460.00","5,462.08","41,694","22,77,35,918.00","8,302","14,843",35.6
ALKEM,EQ,06-Mar-2026,"5,550.00","5,580.00","5,583.00","5,497.00","5,525.00","5,530.00","5,534.84","41,269","22,84,17,248.50","7,433","21,934",53.15
ALKEM,EQ,05-Mar-2026,"5,466.50","5,476.50","5,573.50","5,454.00","5,541.50","5,550.00","5,508.39","96,348","53,07,22,313.00","19,677","58,216",60.42
ALKEM,EQ,04-Mar-2026,"5,566.00","5,489.50","5,536.00","5,432.00","5,460.00","5,466.50","5,475.52","87,647","47,99,12,496.50","17,876","56,532",64.5
ALKEM,EQ,02-Mar-2026,"5,639.50","5,415.00","5,619.50","5,415.00","5,582.50","5,566.00","5,531.57","54,260","30,01,43,006.00","12,170","23,981",44.2
ALKEM,EQ,27-Feb-2026,"5,752.00","5,752.00","5,781.50","5,614.00","5,614.00","5,639.50","5,658.38","1,31,566","74,44,49,948.50","21,098","94,409",71.76
ALKEM,EQ,26-Feb-2026,"5,625.00","5,635.00","5,764.50","5,622.50","5,760.00","5,752.00","5,711.05","84,228","48,10,30,555.50","15,769","25,055",29.75
ALKEM,EQ,25-Feb-2026,"5,495.50","5,508.50","5,655.00","5,468.00","5,646.00","5,625.00","5,545.95","2,31,439","1,28,35,49,761.50","22,777","1,40,076",60.52
ALKEM,EQ,24-Feb-2026,"5,490.50","5,500.00","5,508.50","5,448.00","5,482.00","5,495.50","5,481.72","1,19,453","65,48,07,506.50","17,779","83,503",69.9
ALKEM,EQ,23-Feb-2026,"5,392.00","5,415.00","5,504.00","5,395.50","5,487.00","5,490.50","5,468.23","1,39,365","76,20,80,159.00","20,587","80,607",57.84
ALKEM,EQ,20-Feb-2026,"5,377.00","5,330.00","5,401.50","5,328.50","5,395.00","5,392.00","5,374.71","66,662","35,82,88,594.50","10,020","39,468",59.21
ALKEM,EQ,19-Feb-2026,"5,464.00","5,517.00","5,517.00","5,350.50","5,385.00","5,377.00","5,440.88","1,90,955","1,03,89,63,923.50","14,308","1,44,729",75.79
ALKEM,EQ,18-Feb-2026,"5,456.50","5,460.00","5,483.50","5,401.50","5,460.50","5,464.00","5,447.79","83,592","45,53,91,580.00","13,232","39,299",47.01
ALKEM,EQ,17-Feb-2026,"5,480.50","5,500.00","5,510.00","5,415.50","5,460.00","5,456.50","5,443.90","74,670","40,64,96,207.50","12,052","33,887",45.38
ALKEM,EQ,16-Feb-2026,"5,402.50","5,431.00","5,537.00","5,364.00","5,475.00","5,480.50","5,485.78","1,32,794","72,84,79,228.50","24,490","26,421",19.9
ALKEM,EQ,13-Feb-2026,"5,870.50","5,850.00","5,850.00","5,331.50","5,400.00","5,402.50","5,477.46","6,05,115","3,31,44,92,221.50","64,198","1,90,715",31.52
ALKEM,EQ,12-Feb-2026,"5,890.00","5,894.00","5,906.00","5,810.00","5,857.00","5,870.50","5,861.11","70,024","41,04,18,180.50","12,477","27,026",38.6
ALKEM,EQ,11-Feb-2026,"5,811.50","5,840.00","5,915.00","5,745.00","5,888.00","5,890.00","5,856.84","78,718","46,10,38,401.50","14,660","26,488",33.65
ALKEM,EQ,10-Feb-2026,"5,750.50","5,750.00","5,833.00","5,733.00","5,781.00","5,811.50","5,794.27","84,505","48,96,44,870.00","20,415","49,877",59.02
ALKEM,EQ,09-Feb-2026,"5,684.00","5,699.50","5,800.00","5,670.00","5,736.00","5,750.50","5,748.90","2,27,955","1,31,04,91,308.50","20,707","1,63,112",71.55
ALKEM,EQ,06-Feb-2026,"5,662.50","5,683.00","5,706.00","5,569.00","5,587.50","5,684.00","5,646.23","52,719","29,76,63,629.00","13,054","25,532",48.43
ALKEM,EQ,05-Feb-2026,"5,653.50","5,650.50","5,699.00","5,584.50","5,665.00","5,662.50","5,658.38","1,08,123","61,18,00,682.00","14,654","64,389",59.55
ALKEM,EQ,04-Feb-2026,"5,702.50","5,678.00","5,728.00","5,635.00","5,660.00","5,653.50","5,666.86","78,850","44,68,31,949.00","13,199","48,740",61.81
ALKEM,EQ,03-Feb-2026,"5,521.50","5,714.00","5,747.00","5,628.00","5,695.00","5,702.50","5,698.13","1,75,751","1,00,14,52,781.00","31,735","1,06,039",60.33
ALKEM,EQ,02-Feb-2026,"5,565.00","5,616.00","5,616.00","5,406.00","5,515.00","5,521.50","5,476.53","1,29,255","70,78,69,246.50","16,853","78,828",60.99
ALKEM,EQ,01-Feb-2026,"5,677.50","5,690.00","5,707.50","5,506.00","5,590.00","5,565.00","5,596.52","23,989","13,42,54,861.50","4,238","7,672",31.98
ALKEM,EQ,30-Jan-2026,"5,713.00","5,690.00","5,750.00","5,640.00","5,689.00","5,677.50","5,681.90","1,60,841","91,38,83,097.00","20,501","97,244",60.46
ALKEM,EQ,29-Jan-2026,"5,722.50","5,750.00","5,750.00","5,613.50","5,713.00","5,713.00","5,687.50","64,418","36,63,77,062.00","12,161","32,724",50.8
ALKEM,EQ,28-Jan-2026,"5,754.00","5,748.50","5,789.50","5,650.50","5,720.00","5,722.50","5,750.93","1,68,889","97,12,69,298.50","13,482","1,29,633",76.76
ALKEM,EQ,27-Jan-2026,"5,750.50","5,812.50","5,812.50","5,707.00","5,755.00","5,754.00","5,757.93","99,479","57,27,92,860.50","20,366","52,356",52.63
ALKEM,EQ,23-Jan-2026,"5,758.50","5,785.00","5,811.50","5,724.00","5,749.00","5,750.50","5,777.13","77,302","44,65,83,486.00","15,532","32,715",42.32
ALKEM,EQ,22-Jan-2026,"5,656.50","5,680.50","5,784.50","5,655.00","5,744.50","5,758.50","5,737.33","2,46,944","1,41,67,99,054.00","20,763","1,89,699",76.82
ALKEM,EQ,21-Jan-2026,"5,720.50","5,680.50","5,769.00","5,586.50","5,630.00","5,656.50","5,673.05","76,707","43,51,62,452.50","14,261","28,764",37.5
ALKEM,EQ,20-Jan-2026,"5,748.00","5,745.00","5,785.00","5,670.50","5,672.00","5,720.50","5,726.70","1,60,200","91,74,17,071.50","17,468","1,16,301",72.6
ALKEM,EQ,19-Jan-2026,"5,836.50","5,835.00","5,844.50","5,699.00","5,725.00","5,748.00","5,743.13","1,28,572","73,84,05,382.50","22,793","72,760",56.59
ALKEM,EQ,16-Jan-2026,"5,830.50","5,836.00","5,879.50","5,796.50","5,840.00","5,836.50","5,839.74","1,20,335","70,27,24,758.00","20,651","88,835",73.82
ALKEM,EQ,14-Jan-2026,"5,863.50","5,888.00","5,888.50","5,778.50","5,822.50","5,830.50","5,823.82","89,063","51,86,86,751.50","18,540","52,539",58.99
ALKEM,EQ,13-Jan-2026,"5,867.00","5,907.00","5,933.50","5,813.50","5,865.00","5,863.50","5,856.87","1,83,102","1,07,24,04,845.00","31,322","97,723",53.37
ALKEM,EQ,12-Jan-2026,"5,799.00","5,799.00","5,886.00","5,713.50","5,886.00","5,867.00","5,808.92","1,18,161","68,63,87,235.50","20,236","69,956",59.2
ALKEM,EQ,09-Jan-2026,"5,793.00","5,775.50","5,825.00","5,707.00","5,785.50","5,799.00","5,784.25","1,34,371","77,72,35,541.50","19,091","78,771",58.62
ALKEM,EQ,08-Jan-2026,"5,806.50","5,805.50","5,847.50","5,763.50","5,790.00","5,793.00","5,805.08","1,33,290","77,37,59,557.00","18,024","90,229",67.69
ALKEM,EQ,07-Jan-2026,"5,655.50","5,675.00","5,833.00","5,634.50","5,792.00","5,806.50","5,786.51","1,88,593","1,09,12,96,208.00","31,029","96,316",51.07
ALKEM,EQ,06-Jan-2026,"5,552.50","5,554.50","5,679.50","5,554.50","5,654.50","5,655.50","5,619.28","86,105","48,38,48,272.50","16,042","48,484",56.31
ALKEM,EQ,05-Jan-2026,"5,592.50","5,599.00","5,616.50","5,531.50","5,569.50","5,552.50","5,567.78","42,046","23,41,02,859.50","13,517","25,954",61.73
ALKEM,EQ,02-Jan-2026,"5,463.50","5,498.00","5,600.00","5,448.50","5,585.00","5,592.50","5,552.30","37,645","20,90,16,313.00","8,886","20,448",54.32
ALKEM,EQ,01-Jan-2026,"5,506.50","5,477.00","5,519.50","5,384.00","5,465.00","5,463.50","5,438.72","44,385","24,13,97,416.00","8,166","12,575",28.33
ALKEM,EQ,31-Dec-2025,"5,469.00","5,450.00","5,528.50","5,426.50","5,470.00","5,506.50","5,496.41","37,479","20,60,00,038.50","9,278","21,750",58.03
ALKEM,EQ,30-Dec-2025,"5,505.00","5,485.00","5,496.50","5,405.00","5,432.00","5,469.00","5,453.09","1,45,561","79,37,57,573.50","36,225","84,062",57.75
ALKEM,EQ,29-Dec-2025,"5,535.00","5,573.00","5,573.00","5,481.00","5,481.00","5,505.00","5,520.43","39,102","21,58,59,782.50","8,499","20,114",51.44
ALKEM,EQ,26-Dec-2025,"5,566.00","5,539.00","5,581.00","5,508.00","5,537.00","5,535.00","5,529.38","40,414","22,34,64,347.50","6,813","20,774",51.4
ALKEM,EQ,24-Dec-2025,"5,597.00","5,570.00","5,593.00","5,534.00","5,552.00","5,566.00","5,559.68","41,257","22,93,75,604.50","6,613","20,989",50.87
ALKEM,EQ,23-Dec-2025,"5,624.00","5,611.00","5,660.00","5,560.50","5,584.00","5,597.00","5,607.48","28,301","15,86,97,384.50","9,859","13,547",47.87
ALKEM,EQ,22-Dec-2025,"5,555.50","5,555.50","5,654.50","5,555.50","5,619.50","5,624.00","5,628.34","82,271","46,30,48,893.50","12,862","52,440",63.74
ALKEM,EQ,19-Dec-2025,"5,521.00","5,506.00","5,593.00","5,499.00","5,582.50","5,555.50","5,552.02","51,668","28,68,61,838.00","7,867","31,717",61.39
ALKEM,EQ,18-Dec-2025,"5,628.50","5,628.50","5,629.50","5,504.00","5,506.00","5,521.00","5,557.82","34,737","19,30,62,077.50","8,150","13,551",39.01
ALKEM,EQ,17-Dec-2025,"5,663.50","5,660.00","5,697.50","5,577.50","5,627.50","5,628.50","5,634.57","36,002","20,28,55,667.50","10,044","18,946",52.62
ALKEM,EQ,16-Dec-2025,"5,624.50","5,601.00","5,678.50","5,584.00","5,675.00","5,663.50","5,643.65","93,566","52,80,53,360.00","13,347","59,474",63.56
ALKEM,EQ,15-Dec-2025,"5,631.00","5,611.00","5,632.50","5,579.50","5,611.00","5,624.50","5,611.02","21,765","12,21,23,803.00","6,538","11,588",53.24
ALKEM,EQ,12-Dec-2025,"5,626.00","5,666.00","5,676.00","5,587.50","5,614.50","5,631.00","5,618.89","35,892","20,16,73,379.00","8,832","19,637",54.71
ALKEM,EQ,11-Dec-2025,"5,598.50","5,584.00","5,670.50","5,577.00","5,618.50","5,626.00","5,614.86","63,919","35,88,96,136.50","9,387","40,266",63.0
ALKEM,EQ,10-Dec-2025,"5,667.50","5,672.00","5,727.50","5,577.00","5,582.00","5,598.50","5,649.96","79,123","44,70,41,724.50","13,101","51,038",64.5
ALKEM,EQ,09-Dec-2025,"5,599.00","5,570.00","5,678.50","5,550.00","5,672.00","5,667.50","5,649.25","78,016","44,07,32,109.50","15,851","48,957",62.75
ALKEM,EQ,08-Dec-2025,"5,675.50","5,653.50","5,710.00","5,592.50","5,595.00","5,599.00","5,641.28","1,49,501","84,33,76,462.00","22,206","97,943",65.51
ALKEM,EQ,05-Dec-2025,"5,659.00","5,638.00","5,736.00","5,631.00","5,685.00","5,675.50","5,681.90","1,17,812","66,93,95,773.50","16,231","77,998",66.21
ALKEM,EQ,04-Dec-2025,"5,647.50","5,669.00","5,692.50","5,638.00","5,638.50","5,659.00","5,670.01","87,945","49,86,48,660.00","9,676","62,551",71.13
ALKEM,EQ,03-Dec-2025,"5,638.50","5,640.00","5,687.00","5,603.00","5,648.00","5,647.50","5,639.35","41,633","23,47,83,181.00","7,835","23,509",56.47
ALKEM,EQ,02-Dec-2025,"5,609.50","5,624.00","5,654.00","5,586.00","5,625.00","5,638.50","5,622.74","54,507","30,64,78,472.00","10,169","32,096",58.88
ALKEM,EQ,01-Dec-2025,"5,685.00","5,712.00","5,712.00","5,581.00","5,590.00","5,609.50","5,631.94","78,861","44,41,40,542.00","12,435","43,899",55.67
ALKEM,EQ,28-Nov-2025,"5,686.50","5,703.00","5,748.50","5,677.00","5,677.50","5,685.00","5,699.93","57,067","32,52,77,727.00","11,156","36,404",63.79
ALKEM,EQ,27-Nov-2025,"5,773.00","5,785.50","5,794.50","5,671.00","5,680.00","5,686.50","5,706.16","1,63,929","93,54,04,719.50","21,541","1,03,122",62.91
ALKEM,EQ,26-Nov-2025,"5,701.00","5,645.50","5,782.50","5,645.50","5,777.00","5,773.00","5,741.98","85,479","49,08,19,117.00","16,359","56,803",66.45
ALKEM,EQ,25-Nov-2025,"5,625.00","5,615.00","5,708.00","5,590.00","5,699.00","5,701.00","5,661.10","90,149","51,03,42,173.00","14,061","50,456",55.97
ALKEM,EQ,24-Nov-2025,"5,700.00","5,739.50","5,739.50","5,604.00","5,606.00","5,625.00","5,633.02","6,22,381","3,50,58,87,543.50","31,125","4,63,868",74.53
ALKEM,EQ,21-Nov-2025,"5,700.00","5,704.50","5,732.00","5,637.50","5,709.00","5,700.00","5,685.28","1,10,129","62,61,14,031.50","13,257","71,599",65.01
ALKEM,EQ,20-Nov-2025,"5,724.00","5,750.00","5,750.00","5,673.00","5,686.00","5,700.00","5,710.28","80,099","45,73,87,733.50","15,380","52,283",65.27
ALKEM,EQ,19-Nov-2025,"5,713.00","5,730.00","5,747.50","5,659.50","5,743.00","5,724.00","5,710.93","1,04,658","59,76,94,843.00","17,267","69,888",66.78
ALKEM,EQ,18-Nov-2025,"5,723.00","5,734.00","5,739.50","5,649.00","5,713.00","5,713.00","5,708.87","2,43,124","1,38,79,63,012.50","33,099","1,67,423",68.86
ALKEM,EQ,17-Nov-2025,"5,722.50","5,750.00","5,750.00","5,631.50","5,725.00","5,723.00","5,701.00","1,76,721","1,00,74,85,595.00","23,517","1,24,478",70.44
ALKEM,EQ,14-Nov-2025,"5,725.50","5,800.50","5,808.50","5,607.50","5,720.00","5,722.50","5,696.62","3,83,633","2,18,54,09,713.00","40,611","2,34,030",61.0
ALKEM,EQ,13-Nov-2025,"5,767.50","5,794.00","5,868.00","5,679.00","5,703.00","5,725.50","5,797.95","4,77,859","2,77,06,03,101.50","61,366","1,80,912",37.86
ALKEM,EQ,12-Nov-2025,"5,696.50","5,724.00","5,825.00","5,694.00","5,770.00","5,767.50","5,764.77","1,73,486","1,00,01,07,106.50","19,891","94,199",54.3
ALKEM,EQ,11-Nov-2025,"5,679.50","5,690.00","5,725.00","5,619.00","5,700.00","5,696.50","5,678.04","1,24,473","70,67,62,256.00","13,367","74,777",60.07
