symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBER,EQ,25-Mar-2026,"6,452.00","6,551.00","6,805.00","6,498.50","6,770.00","6,746.50","6,729.78","4,00,447","2,69,49,19,878.00","40,038","1,09,758",27.41
AMBER,EQ,24-Mar-2026,"6,289.00","6,467.00","6,520.00","6,136.00","6,450.00","6,452.00","6,320.52","4,69,079","2,96,48,23,877.50","39,815","1,38,361",29.5
AMBER,EQ,23-Mar-2026,"6,654.50","6,574.00","6,580.00","6,206.00","6,233.00","6,289.00","6,315.93","3,14,526","1,98,65,25,377.50","44,402","1,12,139",35.65
AMBER,EQ,20-Mar-2026,"6,677.00","6,750.00","6,844.00","6,627.00","6,674.50","6,654.50","6,721.30","1,71,132","1,15,02,28,821.50","20,216","51,305",29.98
AMBER,EQ,19-Mar-2026,"6,850.00","6,719.50","6,742.00","6,622.50","6,710.00","6,677.00","6,680.06","2,41,373","1,61,23,84,929.00","26,456","65,742",27.24
AMBER,EQ,18-Mar-2026,"6,778.00","6,790.00","6,935.00","6,750.00","6,834.00","6,850.00","6,870.84","3,03,045","2,08,21,73,800.00","27,985","77,463",25.56
AMBER,EQ,17-Mar-2026,"6,528.50","6,701.00","6,810.00","6,589.00","6,790.00","6,778.00","6,691.88","5,72,762","3,83,28,53,931.50","62,725","76,751",13.4
AMBER,EQ,16-Mar-2026,"6,446.00","6,446.00","6,610.00","6,361.00","6,490.00","6,528.50","6,487.25","3,08,999","2,00,45,53,319.00","38,241","59,755",19.34
AMBER,EQ,13-Mar-2026,"6,929.50","6,860.00","6,950.00","6,426.00","6,430.00","6,446.00","6,606.77","5,78,599","3,82,26,71,778.50","69,028","1,55,975",26.96
AMBER,EQ,12-Mar-2026,"7,308.00","7,305.50","7,305.50","6,883.50","6,930.00","6,929.50","7,010.92","7,75,004","5,43,34,87,636.50","84,345","2,77,797",35.84
AMBER,EQ,11-Mar-2026,"7,507.50","7,510.00","7,544.50","7,275.00","7,290.00","7,308.00","7,391.15","2,45,346","1,81,33,87,917.50","30,120","64,389",26.24
AMBER,EQ,10-Mar-2026,"7,310.50","7,500.00","7,565.00","7,193.50","7,530.00","7,507.50","7,393.20","3,61,829","2,67,50,72,944.00","42,707","44,422",12.28
AMBER,EQ,09-Mar-2026,"7,872.50","7,700.00","7,769.50","7,199.50","7,375.00","7,310.50","7,417.86","6,61,377","4,90,60,02,703.50","89,466","2,21,254",33.45
AMBER,EQ,06-Mar-2026,"7,825.50","7,839.50","7,945.00","7,777.50","7,875.00","7,872.50","7,870.60","1,68,706","1,32,78,17,666.00","25,053","28,121",16.67
AMBER,EQ,05-Mar-2026,"7,657.00","7,745.00","7,877.50","7,525.50","7,855.00","7,825.50","7,683.41","2,58,190","1,98,37,79,620.00","38,173","1,07,422",41.61
AMBER,EQ,04-Mar-2026,"7,884.50","7,750.00","7,774.50","7,514.00","7,647.50","7,657.00","7,617.51","2,95,675","2,25,23,08,021.50","33,878","1,34,949",45.64
AMBER,EQ,02-Mar-2026,"7,974.00","7,614.00","7,964.00","7,603.00","7,915.00","7,884.50","7,848.36","1,83,333","1,43,88,63,884.50","23,367","61,945",33.79
AMBER,EQ,27-Feb-2026,"7,942.50","7,950.00","8,142.50","7,924.00","7,970.00","7,974.00","7,997.12","2,72,476","2,17,90,23,423.00","31,986","98,808",36.26
AMBER,EQ,26-Feb-2026,"8,044.50","8,044.50","8,044.50","7,919.00","7,927.00","7,942.50","7,971.86","2,04,008","1,62,63,23,999.00","37,786","89,155",43.7
