symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AMBUJACEM,EQ,25-Mar-2026,407.55,414.0,427.7,414.0,422.65,421.8,423.6,"48,40,404","2,05,03,88,344.80","73,712","17,87,976",36.94
AMBUJACEM,EQ,24-Mar-2026,395.35,407.9,413.5,395.1,410.4,407.55,405.54,"51,89,341","2,10,44,79,873.10","52,509","24,51,550",47.24
AMBUJACEM,EQ,23-Mar-2026,420.55,416.8,416.8,394.0,397.5,395.35,400.71,"43,33,904","1,73,66,56,539.50","59,025","23,87,960",55.1
AMBUJACEM,EQ,20-Mar-2026,419.95,425.0,427.6,419.0,421.3,420.55,423.5,"22,82,335","96,65,61,219.75","35,649","13,48,595",59.09
AMBUJACEM,EQ,19-Mar-2026,441.25,433.0,435.75,418.25,421.9,419.95,424.13,"26,79,767","1,13,65,70,311.65","51,635","13,18,232",49.19
AMBUJACEM,EQ,18-Mar-2026,434.2,438.0,444.3,433.45,441.0,441.25,441.03,"30,70,154","1,35,40,19,999.90","43,092","18,32,783",59.7
AMBUJACEM,EQ,17-Mar-2026,429.0,432.8,436.3,428.1,433.4,434.2,432.07,"21,54,056","93,07,10,994.15","36,348","11,81,547",54.85
AMBUJACEM,EQ,16-Mar-2026,425.35,425.55,434.95,424.75,428.0,429.0,429.68,"68,57,558","2,94,65,51,521.50","81,829","40,89,911",59.64
AMBUJACEM,EQ,13-Mar-2026,446.45,445.0,446.3,424.4,424.55,425.35,430.86,"48,56,344","2,09,24,16,507.80","64,363","29,25,636",60.24
AMBUJACEM,EQ,12-Mar-2026,457.8,455.0,455.55,445.0,446.05,446.45,450.8,"55,54,429","2,50,39,48,864.15","46,847","38,77,353",69.81
AMBUJACEM,EQ,11-Mar-2026,462.1,462.5,471.35,456.0,458.15,457.8,463.03,"18,79,908","87,04,61,304.65","36,931","7,87,376",41.88
AMBUJACEM,EQ,10-Mar-2026,451.95,459.1,465.7,454.1,462.25,462.1,460.86,"22,49,388","1,03,66,43,006.65","42,619","10,07,673",44.8
AMBUJACEM,EQ,09-Mar-2026,466.75,459.0,459.0,443.25,451.8,451.95,448.84,"42,22,293","1,89,51,32,998.40","63,657","23,20,057",54.95
AMBUJACEM,EQ,06-Mar-2026,480.0,475.7,480.75,463.35,466.1,466.75,472.03,"13,26,098","62,59,56,576.20","23,747","6,57,852",49.61
AMBUJACEM,EQ,05-Mar-2026,476.15,479.0,482.4,469.45,480.0,480.0,475.44,"17,44,314","82,93,20,003.90","31,911","8,16,992",46.84
AMBUJACEM,EQ,04-Mar-2026,490.75,482.0,482.2,471.55,476.65,476.15,475.12,"23,00,996","1,09,32,43,522.50","36,751","10,86,639",47.22
AMBUJACEM,EQ,02-Mar-2026,500.4,490.1,493.4,480.1,491.9,490.75,487.96,"28,20,015","1,37,60,50,427.95","51,994","14,42,860",51.16
AMBUJACEM,EQ,27-Feb-2026,512.15,512.0,512.05,499.0,499.95,500.4,502.12,"24,28,507","1,21,94,00,505.30","45,035","13,78,654",56.77
AMBUJACEM,EQ,26-Feb-2026,511.1,513.0,515.8,510.0,511.0,512.15,511.87,"10,99,252","56,26,76,526.05","23,956","6,94,630",63.19
AMBUJACEM,EQ,25-Feb-2026,514.5,514.75,518.5,507.4,511.45,511.1,513.2,"15,74,610","80,80,97,152.60","25,279","8,26,930",52.52
AMBUJACEM,EQ,24-Feb-2026,515.3,514.95,516.95,506.95,516.0,514.5,510.85,"15,86,025","81,02,26,371.15","23,920","8,76,637",55.27
AMBUJACEM,EQ,23-Feb-2026,512.0,512.0,518.65,510.75,515.8,515.3,514.25,"9,26,117","47,62,57,820.20","15,390","4,50,234",48.62
AMBUJACEM,EQ,20-Feb-2026,512.15,512.15,517.8,508.65,513.75,512.0,513.21,"23,76,908","1,21,98,45,367.80","29,679","15,41,647",64.86
AMBUJACEM,EQ,19-Feb-2026,523.0,522.0,526.35,510.8,515.3,512.15,517.28,"25,35,330","1,31,14,76,123.40","39,877","18,28,333",72.11
AMBUJACEM,EQ,18-Feb-2026,522.0,522.0,525.85,520.05,523.0,523.0,522.45,"17,73,473","92,65,51,197.25","21,561","11,93,494",67.3
AMBUJACEM,EQ,17-Feb-2026,524.7,523.7,528.5,520.85,522.0,522.0,523.4,"22,42,675","1,17,38,15,429.40","41,879","14,38,044",64.12
AMBUJACEM,EQ,16-Feb-2026,519.45,520.0,526.4,513.2,523.9,524.7,520.35,"7,05,071","36,68,85,585.10","17,702","2,55,533",36.24
AMBUJACEM,EQ,13-Feb-2026,532.85,526.85,530.5,517.25,518.75,519.45,521.37,"12,97,366","67,64,10,754.40","29,350","6,13,102",47.26
AMBUJACEM,EQ,12-Feb-2026,541.25,541.0,541.0,529.0,533.0,532.85,534.09,"9,53,137","50,90,62,941.30","18,677","5,01,094",52.57
AMBUJACEM,EQ,11-Feb-2026,538.5,540.8,542.25,535.0,538.6,541.25,539.15,"10,85,688","58,53,44,534.80","25,511","6,23,147",57.4
AMBUJACEM,EQ,10-Feb-2026,542.45,547.0,547.0,533.0,538.5,538.5,540.36,"15,75,847","85,15,20,549.15","32,562","6,48,269",41.14
AMBUJACEM,EQ,09-Feb-2026,529.45,533.85,544.85,530.35,542.7,542.45,539.45,"12,36,310","66,69,30,741.90","27,708","5,58,390",45.17
AMBUJACEM,EQ,06-Feb-2026,533.05,530.0,531.55,524.0,528.0,529.45,527.1,"5,54,714","29,23,88,519.30","15,994","2,45,485",44.25
AMBUJACEM,EQ,05-Feb-2026,536.95,536.0,536.95,528.2,532.45,533.05,532.03,"13,63,472","72,54,07,416.45","23,861","8,25,221",60.52
AMBUJACEM,EQ,04-Feb-2026,528.25,530.9,538.0,522.55,536.0,536.95,534.22,"9,77,308","52,20,96,485.85","35,896","5,06,679",51.84
AMBUJACEM,EQ,03-Feb-2026,510.5,533.0,540.5,519.5,528.0,528.25,528.27,"31,49,032","1,66,35,43,478.50","49,409","13,59,758",43.18
AMBUJACEM,EQ,02-Feb-2026,497.35,499.85,513.45,493.35,510.55,510.5,506.63,"29,67,802","1,50,35,85,278.95","67,350","11,38,195",38.35
AMBUJACEM,EQ,01-Feb-2026,510.15,511.0,521.55,495.45,497.1,497.35,510.39,"20,66,980","1,05,49,73,283.30","39,020","5,36,254",25.94
AMBUJACEM,EQ,30-Jan-2026,536.05,536.05,536.05,507.9,509.5,510.15,516.91,"61,30,082","3,16,86,91,845.45","1,03,831","24,32,526",39.68
AMBUJACEM,EQ,29-Jan-2026,533.95,535.0,538.35,528.8,536.0,536.05,534.45,"28,37,060","1,51,62,54,893.40","38,504","17,94,993",63.27
AMBUJACEM,EQ,28-Jan-2026,532.25,533.95,539.1,531.05,534.0,533.95,533.61,"17,38,702","92,77,82,717.80","40,338","10,39,285",59.77
AMBUJACEM,EQ,27-Jan-2026,518.6,526.65,535.9,524.05,532.25,532.25,531.03,"23,74,373","1,26,08,53,789.80","64,545","10,06,049",42.37
AMBUJACEM,EQ,23-Jan-2026,546.6,546.65,548.5,511.1,519.4,518.6,522.41,"64,89,381","3,39,01,32,551.85","85,196","36,65,122",56.48
AMBUJACEM,EQ,22-Jan-2026,538.65,543.8,548.5,541.15,547.0,546.6,544.89,"19,03,090","1,03,69,79,595.10","46,489","11,07,359",58.19
AMBUJACEM,EQ,21-Jan-2026,536.3,534.0,545.0,531.2,538.0,538.65,537.23,"17,35,277","93,22,40,106.05","25,453","7,56,401",43.59
AMBUJACEM,EQ,20-Jan-2026,552.15,552.15,554.35,534.9,536.5,536.3,545.42,"11,84,287","64,59,32,008.10","29,402","5,46,811",46.17
AMBUJACEM,EQ,19-Jan-2026,553.75,551.3,555.4,546.95,551.3,552.15,552.19,"15,23,060","84,10,15,162.60","20,940","8,67,753",56.97
AMBUJACEM,EQ,16-Jan-2026,549.55,551.5,558.45,545.7,553.0,553.75,553.98,"20,77,235","1,15,07,41,967.05","39,192","12,15,472",58.51
AMBUJACEM,EQ,14-Jan-2026,537.65,537.65,551.35,533.5,549.5,549.55,546.38,"17,36,723","94,89,14,617.55","31,409","8,90,777",51.29
AMBUJACEM,EQ,13-Jan-2026,538.7,540.0,545.2,533.55,537.0,537.65,540.16,"10,93,928","59,08,93,012.10","25,389","4,86,385",44.46
AMBUJACEM,EQ,12-Jan-2026,536.95,536.95,540.2,528.6,540.0,538.7,533.69,"24,84,225","1,32,58,02,583.50","33,810","14,03,744",56.51
AMBUJACEM,EQ,09-Jan-2026,546.7,546.7,548.5,535.65,536.6,536.95,540.37,"12,42,111","67,12,01,238.30","27,996","6,18,942",49.83
AMBUJACEM,EQ,08-Jan-2026,562.0,562.0,562.0,545.15,546.0,546.7,550.91,"13,30,617","73,30,51,096.75","34,818","6,74,564",50.7
