symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ANGELONE,EQ,22-Jan-2025,"2,525.30","2,515.00","2,522.75","2,390.00","2,443.05","2,442.35","2,435.68","13,10,829","3,19,27,66,078.05","87,067","2,51,850",19.21
ANGELONE,EQ,23-Jan-2025,"2,442.35","2,434.00","2,494.00","2,397.80","2,421.00","2,431.45","2,450.21","12,26,568","3,00,53,49,433.80","1,03,331","1,75,625",14.32
ANGELONE,EQ,24-Jan-2025,"2,431.45","2,414.10","2,439.70","2,320.00","2,336.80","2,334.35","2,365.48","13,48,312","3,18,94,02,410.95","1,17,920","2,61,601",19.4
ANGELONE,EQ,27-Jan-2025,"2,334.35","2,306.65","2,312.00","2,188.50","2,212.00","2,212.65","2,247.74","18,67,083","4,19,67,26,340.00","1,73,323","3,14,674",16.85
ANGELONE,EQ,28-Jan-2025,"2,212.65","2,215.80","2,249.10","2,150.30","2,189.95","2,185.80","2,195.36","16,04,031","3,52,14,21,025.25","1,27,160","2,29,100",14.28
ANGELONE,EQ,29-Jan-2025,"2,185.80","2,198.05","2,318.65","2,182.05","2,313.70","2,296.55","2,256.27","12,77,478","2,88,23,32,388.70","90,600","1,72,883",13.53
ANGELONE,EQ,30-Jan-2025,"2,296.55","2,310.00","2,328.95","2,255.00","2,273.80","2,277.80","2,289.71","13,05,817","2,98,99,39,439.25","95,962","3,40,560",26.08
ANGELONE,EQ,31-Jan-2025,"2,277.80","2,288.00","2,355.00","2,260.10","2,349.00","2,346.10","2,315.38","7,69,979","1,78,27,90,860.05","65,904","1,67,631",21.77
ANGELONE,EQ,01-Feb-2025,"2,346.10","2,344.80","2,520.00","2,296.50","2,483.95","2,478.90","2,395.42","14,21,743","3,40,56,77,279.05","83,052","3,10,226",21.82
ANGELONE,EQ,03-Feb-2025,"2,478.90","2,423.95","2,423.95","2,304.75","2,322.85","2,325.75","2,353.15","11,29,582","2,65,80,80,716.15","85,148","2,57,679",22.81
ANGELONE,EQ,04-Feb-2025,"2,325.75","2,336.05","2,388.25","2,307.10","2,352.05","2,350.35","2,344.13","8,38,489","1,96,55,30,117.60","76,381","1,44,858",17.28
ANGELONE,EQ,05-Feb-2025,"2,350.35","2,380.00","2,536.85","2,380.00","2,500.00","2,498.20","2,493.17","27,41,969","6,83,61,83,741.30","1,64,626","4,00,292",14.6
ANGELONE,EQ,06-Feb-2025,"2,498.20","2,498.50","2,504.00","2,431.45","2,440.00","2,438.50","2,459.28","6,58,313","1,61,89,74,633.20","65,185","1,29,806",19.72
ANGELONE,EQ,07-Feb-2025,"2,438.50","2,440.00","2,484.60","2,401.35","2,410.80","2,412.80","2,437.30","7,30,037","1,77,93,20,880.00","75,075","1,04,746",14.35
ANGELONE,EQ,10-Feb-2025,"2,412.80","2,412.80","2,426.95","2,330.00","2,349.00","2,342.80","2,362.14","6,17,701","1,45,90,94,293.65","67,276","1,43,641",23.25
ANGELONE,EQ,11-Feb-2025,"2,342.80","2,349.90","2,359.45","2,212.05","2,276.00","2,260.50","2,252.21","11,37,159","2,56,11,18,842.15","94,343","2,94,887",25.93
ANGELONE,EQ,12-Feb-2025,"2,260.50","2,278.75","2,380.00","2,195.00","2,355.00","2,348.60","2,317.16","21,77,325","5,04,52,15,481.15","1,73,416","4,29,532",19.73
ANGELONE,EQ,13-Feb-2025,"2,348.60","2,348.60","2,369.05","2,301.00","2,315.00","2,312.60","2,334.38","7,02,919","1,64,08,82,316.30","71,328","1,20,357",17.12
ANGELONE,EQ,14-Feb-2025,"2,312.60","2,326.95","2,341.25","2,195.00","2,212.00","2,209.35","2,248.86","9,06,535","2,03,86,73,747.10","94,184","1,87,503",20.68
ANGELONE,EQ,17-Feb-2025,"2,209.35","2,201.20","2,270.00","2,150.10","2,214.10","2,211.60","2,229.24","10,78,376","2,40,39,55,899.20","1,14,988","1,03,765",9.62
ANGELONE,EQ,18-Feb-2025,"2,211.60","2,220.00","2,230.50","2,166.75","2,200.00","2,213.40","2,196.37","6,90,499","1,51,65,93,154.65","75,993","1,08,330",15.69
ANGELONE,EQ,19-Feb-2025,"2,213.40","2,201.00","2,332.30","2,172.15","2,321.00","2,321.25","2,283.68","11,42,407","2,60,88,86,877.10","97,106","1,88,355",16.49
ANGELONE,EQ,20-Feb-2025,"2,321.25","2,295.00","2,403.00","2,279.05","2,389.15","2,392.80","2,364.54","9,86,218","2,33,19,49,557.45","67,473","2,47,913",25.14
ANGELONE,EQ,21-Feb-2025,"2,392.80","2,370.00","2,441.20","2,334.30","2,347.00","2,356.60","2,378.09","8,48,164","2,01,70,12,026.60","70,991","1,29,142",15.23
ANGELONE,EQ,24-Feb-2025,"2,356.60","2,329.35","2,343.95","2,252.00","2,279.00","2,273.05","2,286.49","9,76,008","2,23,16,33,900.45","89,990","1,95,292",20.01
ANGELONE,EQ,25-Feb-2025,"2,273.05","2,284.40","2,307.65","2,195.50","2,197.95","2,213.15","2,235.28","9,43,432","2,10,88,36,485.80","79,556","2,56,733",27.21
ANGELONE,EQ,27-Feb-2025,"2,213.15","2,213.15","2,234.00","2,140.00","2,216.65","2,195.80","2,176.66","11,39,119","2,47,94,77,017.20","97,944","1,58,282",13.9
ANGELONE,EQ,28-Feb-2025,"2,195.80","2,179.95","2,222.95","2,091.70","2,200.00","2,169.15","2,142.65","14,94,315","3,20,18,00,994.85","1,25,044","1,76,627",11.82
ANGELONE,EQ,03-Mar-2025,"2,169.15","2,169.00","2,199.45","1,952.25","1,979.00","1,978.05","2,012.12","39,93,269","8,03,49,54,987.15","2,79,551","6,07,105",15.2
ANGELONE,EQ,04-Mar-2025,"1,978.05","1,949.00","2,068.40","1,944.00","2,014.00","2,014.20","2,019.32","21,90,686","4,42,36,92,057.00","1,43,703","2,63,579",12.03
ANGELONE,EQ,05-Mar-2025,"2,014.20","2,014.00","2,128.20","1,995.50","2,111.00","2,104.10","2,072.92","16,64,624","3,45,06,26,079.05","1,12,391","1,89,894",11.41
