symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASHOKLEY,EQ,22-Jan-2025,204.76,206.0,208.98,204.5,206.0,206.81,206.86,"1,00,87,789","2,08,67,45,335.30","69,208","32,64,139",32.36
ASHOKLEY,EQ,23-Jan-2025,206.81,206.46,209.35,204.0,207.75,207.74,207.43,"45,93,922","95,29,30,611.80","33,770","19,99,989",43.54
ASHOKLEY,EQ,24-Jan-2025,207.74,207.0,208.68,203.65,204.0,204.3,205.52,"98,89,920","2,03,25,27,464.51","85,073","57,13,029",57.77
ASHOKLEY,EQ,27-Jan-2025,204.3,202.0,202.69,195.35,197.7,197.29,198.25,"67,28,757","1,33,39,52,932.80","52,199","30,53,466",45.38
ASHOKLEY,EQ,28-Jan-2025,197.29,198.75,207.71,197.02,204.3,204.73,203.17,"1,16,20,003","2,36,08,48,072.78","93,737","39,68,792",34.15
ASHOKLEY,EQ,29-Jan-2025,204.73,204.35,206.56,203.3,205.9,206.04,205.0,"64,61,243","1,32,45,71,014.29","45,134","31,62,784",48.95
ASHOKLEY,EQ,30-Jan-2025,206.04,206.04,211.45,205.38,210.0,210.33,209.59,"74,64,183","1,56,44,45,224.20","69,221","30,00,004",40.19
ASHOKLEY,EQ,31-Jan-2025,210.33,209.65,219.0,208.87,217.48,216.83,215.56,"65,58,057","1,41,36,84,780.45","58,626","29,95,557",45.68
ASHOKLEY,EQ,01-Feb-2025,216.83,217.9,221.07,204.01,206.59,206.35,209.72,"1,36,23,514","2,85,71,02,297.97","96,232","57,71,393",42.36
ASHOKLEY,EQ,03-Feb-2025,206.35,206.35,206.79,199.64,203.85,203.91,201.88,"1,06,45,813","2,14,92,10,076.67","85,186","56,35,375",52.94
ASHOKLEY,EQ,04-Feb-2025,203.91,208.0,211.99,206.98,211.06,211.67,210.28,"69,14,628","1,45,40,38,474.23","59,869","34,80,494",50.34
ASHOKLEY,EQ,05-Feb-2025,211.67,211.9,213.99,210.5,210.7,211.02,212.05,"24,91,345","52,82,98,851.70","28,534","10,96,093",44.00
ASHOKLEY,EQ,06-Feb-2025,211.02,211.02,212.47,208.34,209.5,209.79,210.05,"23,96,927","50,34,80,223.62","19,776","10,23,019",42.68
ASHOKLEY,EQ,07-Feb-2025,209.79,209.98,216.24,208.79,212.0,212.05,212.7,"39,38,948","83,78,01,887.40","38,744","11,27,347",28.62
ASHOKLEY,EQ,10-Feb-2025,212.05,211.0,212.0,208.56,209.2,209.1,209.84,"13,93,553","29,24,18,201.09","20,545","3,60,960",25.90
ASHOKLEY,EQ,11-Feb-2025,209.1,208.55,209.49,200.85,204.4,203.71,203.87,"35,44,351","72,26,02,647.56","31,069","11,60,058",32.73
ASHOKLEY,EQ,12-Feb-2025,203.71,204.0,220.9,199.65,219.64,219.35,214.64,"3,65,11,133","7,83,69,29,613.60","1,92,527","88,90,559",24.35
ASHOKLEY,EQ,13-Feb-2025,219.35,220.6,225.26,216.37,217.2,217.07,220.12,"2,37,71,143","5,23,24,62,810.63","1,55,276","43,31,246",18.22
