symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASIANPAINT,EQ,25-Mar-2026,"2,217.30","2,225.10","2,289.70","2,222.00","2,271.00","2,270.20","2,264.27","12,70,855","2,87,75,54,227.60","1,30,505","7,03,263",55.34
ASIANPAINT,EQ,24-Mar-2026,"2,121.30","2,184.00","2,224.50","2,153.30","2,220.50","2,217.30","2,196.94","15,61,016","3,42,94,55,492.80","1,20,036","6,98,956",44.78
ASIANPAINT,EQ,23-Mar-2026,"2,195.40","2,180.00","2,180.00","2,115.00","2,120.80","2,121.30","2,138.30","9,78,398","2,09,21,08,841.10","84,243","4,98,876",50.99
ASIANPAINT,EQ,20-Mar-2026,"2,186.00","2,210.90","2,224.50","2,185.00","2,204.80","2,195.40","2,201.87","8,75,920","1,92,86,64,416.50","63,193","5,49,243",62.70
ASIANPAINT,EQ,19-Mar-2026,"2,262.10","2,220.00","2,239.00","2,180.60","2,195.50","2,186.00","2,196.51","8,89,334","1,95,34,34,541.30","76,804","4,70,501",52.90
ASIANPAINT,EQ,18-Mar-2026,"2,238.20","2,235.10","2,270.40","2,228.60","2,260.00","2,262.10","2,250.29","8,44,912","1,90,12,98,329.50","71,339","4,61,000",54.56
ASIANPAINT,EQ,17-Mar-2026,"2,217.70","2,217.70","2,261.50","2,217.20","2,240.50","2,238.20","2,236.47","8,75,461","1,95,79,41,898.00","73,022","4,29,886",49.10
ASIANPAINT,EQ,16-Mar-2026,"2,196.80","2,185.40","2,227.80","2,175.10","2,215.00","2,217.70","2,206.49","11,11,587","2,45,27,02,443.00","97,423","6,61,656",59.52
ASIANPAINT,EQ,13-Mar-2026,"2,221.20","2,204.70","2,219.70","2,190.00","2,194.10","2,196.80","2,201.90","9,49,233","2,09,01,14,573.30","87,307","6,40,475",67.47
ASIANPAINT,EQ,12-Mar-2026,"2,232.00","2,208.00","2,249.90","2,201.00","2,221.40","2,221.20","2,225.28","13,84,055","3,07,99,04,845.50","96,995","6,33,683",45.78
ASIANPAINT,EQ,11-Mar-2026,"2,280.40","2,290.00","2,302.00","2,226.00","2,232.90","2,232.00","2,260.69","6,87,786","1,55,48,74,263.90","62,520","3,51,825",51.15
ASIANPAINT,EQ,10-Mar-2026,"2,220.80","2,251.60","2,305.10","2,251.60","2,295.00","2,280.40","2,270.06","11,92,174","2,70,63,06,584.20","66,092","5,40,968",45.38
ASIANPAINT,EQ,09-Mar-2026,"2,279.50","2,200.00","2,230.00","2,162.60","2,217.00","2,220.80","2,190.84","21,98,153","4,81,57,98,500.20","1,19,346","10,89,035",49.54
ASIANPAINT,EQ,06-Mar-2026,"2,287.80","2,261.70","2,307.90","2,253.70","2,282.00","2,279.50","2,286.88","9,79,742","2,24,05,50,607.80","66,828","5,14,905",52.56
ASIANPAINT,EQ,05-Mar-2026,"2,285.20","2,285.20","2,313.00","2,253.70","2,282.50","2,287.80","2,272.72","9,25,040","2,10,23,55,049.50","79,565","4,87,330",52.68
ASIANPAINT,EQ,04-Mar-2026,"2,307.10","2,260.70","2,290.90","2,216.30","2,290.00","2,285.20","2,263.98","16,10,358","3,64,58,17,586.40","1,25,784","8,72,231",54.16
ASIANPAINT,EQ,02-Mar-2026,"2,376.20","2,300.00","2,337.90","2,283.50","2,303.00","2,307.10","2,307.99","25,28,308","5,83,52,98,841.60","1,38,273","14,21,641",56.23
ASIANPAINT,EQ,27-Feb-2026,"2,394.90","2,385.00","2,397.60","2,359.00","2,375.20","2,376.20","2,376.39","25,31,619","6,01,61,02,713.00","74,115","19,08,320",75.38
ASIANPAINT,EQ,26-Feb-2026,"2,416.40","2,416.10","2,422.20","2,382.00","2,395.00","2,394.90","2,394.64","5,88,742","1,40,98,27,729.70","57,917","3,05,928",51.96
ASIANPAINT,EQ,25-Feb-2026,"2,413.10","2,416.00","2,427.90","2,400.00","2,412.50","2,416.40","2,414.51","5,26,764","1,27,18,77,118.00","45,274","3,23,917",61.49
ASIANPAINT,EQ,24-Feb-2026,"2,429.70","2,413.00","2,441.50","2,403.70","2,414.40","2,413.10","2,416.00","4,99,660","1,20,71,76,476.70","46,809","2,49,624",49.96
