symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ASTRAL,EQ,22-Jan-2025,"1,464.60","1,464.75","1,468.75","1,431.10","1,460.85","1,455.40","1,446.65","4,62,015","66,83,73,831.05","48,012","2,46,255",53.3
ASTRAL,EQ,23-Jan-2025,"1,455.40","1,460.05","1,499.85","1,447.10","1,498.00","1,495.50","1,478.55","6,86,991","1,01,57,52,457.05","83,597","4,14,024",60.27
ASTRAL,EQ,24-Jan-2025,"1,495.50","1,499.90","1,504.45","1,458.35","1,467.95","1,468.35","1,473.82","3,80,626","56,09,74,011.20","56,632","1,82,432",47.93
ASTRAL,EQ,27-Jan-2025,"1,468.35","1,465.00","1,466.45","1,426.35","1,464.40","1,462.10","1,450.33","5,92,839","85,98,11,480.15","35,057","3,98,232",67.17
ASTRAL,EQ,28-Jan-2025,"1,462.10","1,464.95","1,494.20","1,445.55","1,469.40","1,471.20","1,472.11","9,34,814","1,37,61,47,830.45","49,092","4,85,642",51.95
ASTRAL,EQ,29-Jan-2025,"1,471.20","1,471.00","1,493.80","1,462.65","1,475.85","1,474.85","1,478.34","1,60,914","23,78,86,316.30","13,569","60,564",37.64
ASTRAL,EQ,30-Jan-2025,"1,474.85","1,480.00","1,497.95","1,459.00","1,469.85","1,467.75","1,479.81","2,53,587","37,52,60,138.75","18,220","96,842",38.19
ASTRAL,EQ,31-Jan-2025,"1,467.75","1,479.90","1,531.00","1,478.05","1,506.15","1,507.30","1,516.94","10,85,898","1,64,72,41,067.30","67,179","3,03,344",27.93
ASTRAL,EQ,01-Feb-2025,"1,507.30","1,550.00","1,550.00","1,451.85","1,514.05","1,508.75","1,505.91","5,61,289","84,52,49,243.90","29,649","2,42,997",43.29
ASTRAL,EQ,03-Feb-2025,"1,508.75","1,508.70","1,519.45","1,473.55","1,495.00","1,494.90","1,497.74","3,35,501","50,24,93,853.55","23,701","1,64,038",48.89
ASTRAL,EQ,04-Feb-2025,"1,494.90","1,495.90","1,517.00","1,492.05","1,506.80","1,504.70","1,500.68","6,65,541","99,87,65,826.25","30,619","4,64,177",69.74
ASTRAL,EQ,05-Feb-2025,"1,504.70","1,516.20","1,532.95","1,496.40","1,520.35","1,519.80","1,511.54","14,12,685","2,13,53,28,239.60","34,066","10,93,760",77.42
ASTRAL,EQ,06-Feb-2025,"1,519.80","1,521.00","1,522.95","1,467.80","1,480.70","1,478.70","1,488.39","6,21,641","92,52,44,791.65","39,608","2,93,941",47.28
ASTRAL,EQ,07-Feb-2025,"1,478.70","1,482.15","1,488.70","1,460.30","1,471.30","1,472.15","1,473.34","1,82,807","26,93,37,553.90","17,117","69,758",38.16
ASTRAL,EQ,10-Feb-2025,"1,472.15","1,472.15","1,479.40","1,444.00","1,447.95","1,446.55","1,458.82","2,35,593","34,36,87,682.85","21,010","1,18,842",50.44
ASTRAL,EQ,11-Feb-2025,"1,446.55","1,442.00","1,449.90","1,405.05","1,416.95","1,415.15","1,422.43","2,60,603","37,06,88,380.55","27,808","1,04,028",39.92
ASTRAL,EQ,12-Feb-2025,"1,415.15","1,406.05","1,429.45","1,376.75","1,394.00","1,394.20","1,397.21","3,64,276","50,89,69,707.00","31,610","1,72,211",47.27
ASTRAL,EQ,13-Feb-2025,"1,394.20","1,383.00","1,398.20","1,367.00","1,372.00","1,370.70","1,381.06","2,74,368","37,89,19,815.40","31,294","1,22,622",44.69
ASTRAL,EQ,14-Feb-2025,"1,370.70","1,370.00","1,375.40","1,312.25","1,333.00","1,332.60","1,341.04","6,39,364","85,74,15,022.60","43,812","3,57,036",55.84
ASTRAL,EQ,17-Feb-2025,"1,332.60","1,321.25","1,395.00","1,305.55","1,392.00","1,384.50","1,344.20","12,79,401","1,71,97,67,129.25","46,387","8,61,778",67.36
ASTRAL,EQ,18-Feb-2025,"1,384.50","1,381.00","1,391.95","1,350.15","1,358.20","1,362.90","1,361.79","3,92,266","53,41,85,416.90","30,436","1,62,752",41.49
ASTRAL,EQ,19-Feb-2025,"1,362.90","1,350.00","1,377.25","1,345.40","1,371.00","1,371.70","1,366.35","2,89,289","39,52,70,927.35","24,584","1,45,487",50.29
ASTRAL,EQ,20-Feb-2025,"1,371.70","1,370.00","1,401.55","1,363.80","1,401.15","1,399.60","1,389.62","2,75,571","38,29,37,887.40","26,574","1,38,428",50.23
ASTRAL,EQ,21-Feb-2025,"1,399.60","1,399.60","1,416.00","1,372.15","1,386.00","1,387.20","1,389.18","4,73,757","65,81,32,476.15","32,853","2,71,292",57.26
ASTRAL,EQ,24-Feb-2025,"1,387.20","1,381.60","1,421.45","1,363.95","1,395.00","1,398.40","1,401.50","7,75,950","1,08,74,94,555.55","46,755","3,69,865",47.67
ASTRAL,EQ,25-Feb-2025,"1,398.40","1,403.15","1,407.95","1,378.10","1,389.90","1,389.45","1,394.65","2,79,242","38,94,44,042.85","24,615","1,69,223",60.6
ASTRAL,EQ,27-Feb-2025,"1,389.45","1,389.45","1,399.00","1,374.30","1,386.00","1,388.10","1,384.70","5,34,513","74,01,40,944.05","52,646","3,38,421",63.31
ASTRAL,EQ,28-Feb-2025,"1,388.10","1,385.00","1,386.95","1,323.65","1,344.00","1,337.25","1,342.89","7,20,390","96,74,06,197.85","54,287","4,30,269",59.73
ASTRAL,EQ,03-Mar-2025,"1,337.25","1,347.95","1,361.25","1,328.50","1,350.00","1,348.35","1,344.27","4,82,836","64,90,63,886.55","36,732","2,53,782",52.56
ASTRAL,EQ,04-Mar-2025,"1,348.35","1,338.00","1,346.00","1,282.20","1,307.60","1,306.85","1,305.38","8,76,471","1,14,41,26,999.85","72,293","3,05,025",34.8
ASTRAL,EQ,05-Mar-2025,"1,306.85","1,304.25","1,332.95","1,303.95","1,320.00","1,317.85","1,319.32","7,32,223","96,60,36,149.90","45,019","4,41,351",60.28
ASTRAL,EQ,06-Mar-2025,"1,317.85","1,322.35","1,337.55","1,316.15","1,332.00","1,330.70","1,326.61","4,35,999","57,84,02,069.25","28,984","1,99,900",45.85
ASTRAL,EQ,07-Mar-2025,"1,330.70","1,327.35","1,351.45","1,327.25","1,332.60","1,332.65","1,338.86","3,33,456","44,64,49,336.60","27,511","1,58,604",47.56
ASTRAL,EQ,10-Mar-2025,"1,332.65","1,323.00","1,337.80","1,280.10","1,283.00","1,289.15","1,307.27","4,09,891","53,58,40,062.75","36,334","2,08,597",50.89
ASTRAL,EQ,11-Mar-2025,"1,289.15","1,267.70","1,297.80","1,265.35","1,286.50","1,287.05","1,283.32","3,52,119","45,18,82,065.30","24,305","1,40,082",39.78
ASTRAL,EQ,12-Mar-2025,"1,287.05","1,289.00","1,296.90","1,245.05","1,265.05","1,265.10","1,261.15","4,12,080","51,96,93,939.50","31,379","1,63,251",39.62
ASTRAL,EQ,13-Mar-2025,"1,265.10","1,265.55","1,271.40","1,232.30","1,240.30","1,238.30","1,246.31","5,18,503","64,62,17,267.90","35,898","2,74,774",52.99
ASTRAL,EQ,17-Mar-2025,"1,238.30","1,234.10","1,256.60","1,234.10","1,239.65","1,238.05","1,243.19","3,45,802","42,98,98,931.40","23,980","1,62,601",47.02
ASTRAL,EQ,18-Mar-2025,"1,238.05","1,247.70","1,259.75","1,239.50","1,256.00","1,254.25","1,253.55","3,81,662","47,84,32,762.85","23,677","2,33,047",61.06
ASTRAL,EQ,19-Mar-2025,"1,254.25","1,260.00","1,278.20","1,258.30","1,262.00","1,261.00","1,264.66","5,48,789","69,40,30,021.80","40,056","3,18,315",58.0
ASTRAL,EQ,20-Mar-2025,"1,261.00","1,270.00","1,284.00","1,252.05","1,273.00","1,274.30","1,269.54","6,98,032","88,61,77,520.35","37,929","3,82,020",54.73
ASTRAL,EQ,21-Mar-2025,"1,274.30","1,275.00","1,300.00","1,267.35","1,299.85","1,291.55","1,291.21","8,56,583","1,10,60,29,483.15","46,199","4,83,645",56.46
ASTRAL,EQ,24-Mar-2025,"1,291.55","1,301.55","1,345.90","1,301.00","1,311.00","1,315.40","1,326.62","9,87,825","1,31,04,69,709.05","58,609","4,96,678",50.28
ASTRAL,EQ,25-Mar-2025,"1,315.40","1,325.00","1,325.50","1,282.00","1,291.00","1,288.85","1,295.25","7,36,220","95,35,92,329.30","52,376","4,20,897",57.17
ASTRAL,EQ,26-Mar-2025,"1,288.85","1,291.00","1,296.75","1,275.00","1,276.95","1,278.85","1,285.40","4,58,146","58,88,98,583.05","39,176","2,78,027",60.69
