symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
AUROPHARMA,EQ,25-Mar-2026,"1,281.60","1,290.40","1,330.00","1,282.10","1,310.00","1,307.80","1,313.47","18,91,714","2,48,47,18,511.90","57,783","9,95,312",52.61
AUROPHARMA,EQ,24-Mar-2026,"1,278.70","1,303.00","1,310.00","1,255.40","1,279.80","1,281.60","1,274.60","17,69,183","2,25,49,95,057.50","48,597","7,60,652",42.99
AUROPHARMA,EQ,23-Mar-2026,"1,291.40","1,291.60","1,299.00","1,268.30","1,284.00","1,278.70","1,278.20","17,58,274","2,24,74,30,255.50","60,711","8,44,912",48.05
AUROPHARMA,EQ,20-Mar-2026,"1,247.50","1,262.00","1,297.80","1,258.30","1,292.00","1,291.40","1,285.28","13,95,687","1,79,38,53,022.40","33,181","6,33,709",45.40
AUROPHARMA,EQ,19-Mar-2026,"1,269.00","1,255.00","1,269.00","1,240.00","1,253.00","1,247.50","1,251.77","8,16,613","1,02,22,10,564.10","24,795","2,98,422",36.54
AUROPHARMA,EQ,18-Mar-2026,"1,286.00","1,278.00","1,290.50","1,265.30","1,268.00","1,269.00","1,272.14","17,00,454","2,16,32,21,481.90","51,469","8,32,057",48.93
AUROPHARMA,EQ,17-Mar-2026,"1,279.60","1,284.90","1,295.00","1,275.10","1,289.80","1,286.00","1,286.53","6,35,152","81,71,40,341.40","26,215","2,35,812",37.13
AUROPHARMA,EQ,16-Mar-2026,"1,296.50","1,302.00","1,314.00","1,265.80","1,271.50","1,279.60","1,285.43","14,36,685","1,84,67,62,078.50","36,854","6,06,566",42.22
AUROPHARMA,EQ,13-Mar-2026,"1,311.90","1,304.30","1,317.80","1,288.10","1,299.30","1,296.50","1,301.70","16,34,716","2,12,79,08,148.50","65,390","6,89,657",42.19
AUROPHARMA,EQ,12-Mar-2026,"1,304.80","1,308.00","1,319.80","1,289.40","1,310.20","1,311.90","1,308.27","21,10,239","2,76,07,61,025.60","49,818","9,84,383",46.65
AUROPHARMA,EQ,11-Mar-2026,"1,285.90","1,291.00","1,318.50","1,290.00","1,302.90","1,304.80","1,309.05","25,41,782","3,32,73,11,841.70","1,29,608","12,63,221",49.70
AUROPHARMA,EQ,10-Mar-2026,"1,247.30","1,260.00","1,291.80","1,249.00","1,283.10","1,285.90","1,272.39","21,97,827","2,79,64,96,066.10","69,740","6,84,609",31.15
AUROPHARMA,EQ,09-Mar-2026,"1,231.90","1,202.30","1,251.80","1,182.10","1,248.00","1,247.30","1,233.51","21,80,013","2,68,90,67,952.10","51,403","12,14,700",55.72
AUROPHARMA,EQ,06-Mar-2026,"1,225.50","1,224.90","1,244.70","1,215.10","1,232.00","1,231.90","1,229.82","8,04,367","98,92,29,211.50","34,462","2,52,708",31.42
AUROPHARMA,EQ,05-Mar-2026,"1,195.40","1,198.00","1,230.70","1,198.00","1,224.00","1,225.50","1,217.85","9,00,601","1,09,67,97,083.60","33,218","3,26,047",36.20
AUROPHARMA,EQ,04-Mar-2026,"1,210.40","1,201.00","1,202.90","1,179.80","1,195.00","1,195.40","1,191.46","9,09,693","1,08,38,65,465.70","24,995","4,80,610",52.83
AUROPHARMA,EQ,02-Mar-2026,"1,220.40","1,186.20","1,223.90","1,186.20","1,212.00","1,210.40","1,209.05","8,88,443","1,07,41,74,737.00","33,850","3,41,670",38.46
AUROPHARMA,EQ,27-Feb-2026,"1,220.70","1,225.30","1,240.00","1,214.30","1,220.00","1,220.40","1,226.44","17,81,292","2,18,46,42,586.00","70,288","9,38,296",52.68
AUROPHARMA,EQ,26-Feb-2026,"1,211.50","1,217.10","1,250.90","1,213.50","1,221.70","1,220.70","1,228.96","23,72,711","2,91,59,77,347.50","61,106","9,74,690",41.08
AUROPHARMA,EQ,25-Feb-2026,"1,164.40","1,166.00","1,217.00","1,162.40","1,215.20","1,211.50","1,203.98","30,39,244","3,65,91,75,134.10","72,041","19,45,687",64.02
AUROPHARMA,EQ,24-Feb-2026,"1,150.60","1,156.30","1,167.20","1,144.00","1,163.00","1,164.40","1,160.71","9,88,014","1,14,67,93,707.20","32,878","4,52,309",45.78
AUROPHARMA,EQ,23-Feb-2026,"1,158.80","1,166.10","1,174.20","1,143.30","1,148.70","1,150.60","1,157.16","9,89,992","1,14,55,78,190.10","36,821","4,02,451",40.65
