symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAJ-AUTO,EQ,25-Mar-2026,"8,898.00","9,020.00","9,149.50","8,981.00","9,047.50","9,048.50","9,076.39","4,38,761","3,98,23,65,177.50","53,938","2,45,384",55.93
BAJAJ-AUTO,EQ,24-Mar-2026,"8,776.00","8,900.00","9,022.50","8,792.00","8,902.00","8,898.00","8,921.74","4,38,132","3,90,89,01,701.50","65,258","2,20,418",50.31
BAJAJ-AUTO,EQ,23-Mar-2026,"9,051.00","8,989.50","8,989.50","8,752.00","8,780.00","8,776.00","8,806.76","3,75,189","3,30,41,97,629.00","64,073","1,92,512",51.31
BAJAJ-AUTO,EQ,20-Mar-2026,"8,868.50","8,957.50","9,110.00","8,931.50","9,074.50","9,051.00","9,042.81","3,56,410","3,22,29,48,249.50","40,618","1,70,757",47.91
BAJAJ-AUTO,EQ,19-Mar-2026,"9,271.00","9,113.50","9,150.00","8,811.00","8,890.00","8,868.50","8,968.06","2,88,162","2,58,42,55,047.00","42,276","1,22,564",42.53
BAJAJ-AUTO,EQ,18-Mar-2026,"9,110.00","9,150.00","9,288.00","9,136.50","9,229.00","9,271.00","9,238.98","2,47,437","2,28,60,65,658.00","34,818","1,13,951",46.05
BAJAJ-AUTO,EQ,17-Mar-2026,"9,073.00","9,100.00","9,250.00","9,006.50","9,111.00","9,110.00","9,130.65","2,45,258","2,23,93,65,168.00","42,864","81,569",33.26
BAJAJ-AUTO,EQ,16-Mar-2026,"8,875.00","8,866.00","9,103.50","8,742.50","9,063.00","9,073.00","8,973.12","5,80,318","5,20,72,65,605.50","68,305","2,74,744",47.34
BAJAJ-AUTO,EQ,13-Mar-2026,"9,162.00","9,075.00","9,119.50","8,832.50","8,875.00","8,875.00","8,901.50","4,35,631","3,87,77,67,409.50","60,917","2,32,928",53.47
BAJAJ-AUTO,EQ,12-Mar-2026,"9,327.50","9,280.00","9,280.00","9,080.00","9,152.50","9,162.00","9,176.16","3,90,062","3,57,92,70,600.50","44,562","1,94,245",49.80
BAJAJ-AUTO,EQ,11-Mar-2026,"9,610.00","9,575.00","9,666.00","9,270.00","9,320.00","9,327.50","9,410.19","4,89,382","4,60,51,77,888.50","62,245","2,34,974",48.01
BAJAJ-AUTO,EQ,10-Mar-2026,"9,383.00","9,449.50","9,637.50","9,349.00","9,631.50","9,610.00","9,518.15","4,63,535","4,41,19,96,890.00","62,870","1,73,042",37.33
BAJAJ-AUTO,EQ,09-Mar-2026,"9,816.00","9,600.00","9,645.50","9,351.00","9,395.00","9,383.00","9,421.99","3,34,501","3,15,16,65,204.00","56,389","1,54,752",46.26
BAJAJ-AUTO,EQ,06-Mar-2026,"9,804.50","9,780.00","9,884.50","9,690.00","9,800.00","9,816.00","9,801.65","3,86,552","3,78,88,45,521.50","55,963","2,32,772",60.22
BAJAJ-AUTO,EQ,05-Mar-2026,"9,652.50","9,674.50","9,853.00","9,641.00","9,814.00","9,804.50","9,738.51","3,00,749","2,92,88,47,601.50","54,460","1,68,801",56.13
BAJAJ-AUTO,EQ,04-Mar-2026,"9,776.00","9,516.50","9,704.50","9,516.50","9,650.00","9,652.50","9,622.20","3,19,652","3,07,57,55,556.50","54,571","1,71,290",53.59
BAJAJ-AUTO,EQ,02-Mar-2026,"9,972.50","9,725.50","9,941.50","9,565.00","9,769.50","9,776.00","9,746.71","3,30,330","3,21,96,31,197.00","57,823","1,44,143",43.64
BAJAJ-AUTO,EQ,27-Feb-2026,"10,110.00","10,072.50","10,091.50","9,940.00","9,955.50","9,972.50","10,002.36","2,31,926","2,31,98,06,497.50","35,176","1,45,576",62.77
BAJAJ-AUTO,EQ,26-Feb-2026,"10,097.00","10,146.50","10,187.00","10,029.50","10,119.50","10,110.00","10,094.35","1,77,814","1,79,49,17,213.50","28,321","65,589",36.89
BAJAJ-AUTO,EQ,25-Feb-2026,"9,829.00","9,859.50","10,160.00","9,839.50","10,098.50","10,097.00","10,055.18","3,34,366","3,36,21,10,441.50","44,376","1,53,098",45.79
BAJAJ-AUTO,EQ,24-Feb-2026,"9,905.50","9,875.00","9,875.00","9,660.00","9,850.00","9,829.00","9,790.50","2,59,761","2,54,31,90,055.00","35,146","1,06,272",40.91
BAJAJ-AUTO,EQ,23-Feb-2026,"9,807.00","9,851.00","9,930.00","9,814.00","9,884.50","9,905.50","9,885.89","1,45,464","1,43,80,41,337.00","31,139","71,592",49.22
BAJAJ-AUTO,EQ,20-Feb-2026,"9,729.00","9,725.00","9,823.00","9,670.50","9,812.00","9,807.00","9,765.73","2,91,070","2,84,25,11,730.50","39,529","1,53,032",52.58
BAJAJ-AUTO,EQ,19-Feb-2026,"9,980.00","9,991.00","10,059.50","9,701.00","9,721.50","9,729.00","9,869.38","3,10,761","3,06,70,19,868.50","47,256","1,43,892",46.30
BAJAJ-AUTO,EQ,18-Feb-2026,"9,826.50","9,826.50","10,009.00","9,804.50","10,004.00","9,980.00","9,913.12","3,34,455","3,31,54,94,050.50","46,452","1,64,601",49.21
BAJAJ-AUTO,EQ,17-Feb-2026,"9,697.50","9,651.00","9,869.00","9,632.50","9,821.00","9,826.50","9,796.16","1,59,113","1,55,86,96,458.00","27,423","60,784",38.20
BAJAJ-AUTO,EQ,16-Feb-2026,"9,760.00","9,710.00","9,774.50","9,643.00","9,690.00","9,697.50","9,695.77","88,321","85,63,40,177.50","16,981","32,189",36.45
BAJAJ-AUTO,EQ,13-Feb-2026,"9,840.00","9,800.50","9,900.50","9,720.00","9,748.00","9,760.00","9,804.34","1,20,688","1,18,32,66,535.00","23,999","48,389",40.09
BAJAJ-AUTO,EQ,12-Feb-2026,"9,869.50","9,876.50","9,930.00","9,809.50","9,840.00","9,840.00","9,865.54","3,72,062","3,67,05,91,786.00","32,825","2,35,415",63.27
BAJAJ-AUTO,EQ,11-Feb-2026,"9,774.00","9,818.00","9,905.50","9,796.00","9,870.00","9,869.50","9,860.25","3,24,008","3,19,48,00,206.50","39,986","1,49,797",46.23
BAJAJ-AUTO,EQ,10-Feb-2026,"9,590.00","9,605.00","9,833.50","9,582.50","9,762.00","9,774.00","9,773.82","3,47,018","3,39,16,92,967.00","36,855","1,43,041",41.22
BAJAJ-AUTO,EQ,09-Feb-2026,"9,518.50","9,598.00","9,626.50","9,505.00","9,580.00","9,590.00","9,573.31","1,71,033","1,63,73,51,346.50","24,984","1,01,743",59.49
BAJAJ-AUTO,EQ,06-Feb-2026,"9,647.00","9,620.00","9,668.00","9,471.50","9,517.50","9,518.50","9,521.13","1,98,790","1,89,27,06,066.00","29,650","1,06,322",53.48
BAJAJ-AUTO,EQ,05-Feb-2026,"9,639.00","9,640.00","9,679.00","9,600.00","9,659.50","9,647.00","9,646.50","1,55,663","1,50,16,03,811.50","30,479","77,467",49.77
BAJAJ-AUTO,EQ,04-Feb-2026,"9,595.50","9,594.00","9,725.00","9,529.50","9,625.00","9,639.00","9,639.77","2,01,083","1,93,83,93,563.00","38,735","96,087",47.78
BAJAJ-AUTO,EQ,03-Feb-2026,"9,496.50","9,933.00","9,941.00","9,515.00","9,610.00","9,595.50","9,656.57","5,73,385","5,53,69,32,937.00","45,782","3,03,091",52.86
BAJAJ-AUTO,EQ,02-Feb-2026,"9,499.50","9,454.50","9,523.00","9,250.50","9,474.00","9,496.50","9,382.71","3,27,240","3,07,03,98,519.00","50,108","1,09,796",33.55
BAJAJ-AUTO,EQ,01-Feb-2026,"9,597.50","9,788.50","9,855.00","9,175.50","9,500.00","9,499.50","9,533.19","5,04,289","4,80,74,85,071.50","64,189","1,09,992",21.81
