symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJAJFINSV,EQ,25-Mar-2026,"1,704.40","1,720.80","1,765.00","1,717.60","1,749.50","1,746.20","1,747.01","18,65,278","3,25,86,60,137.50","1,16,157","11,35,300",60.86
BAJAJFINSV,EQ,24-Mar-2026,"1,675.50","1,710.00","1,714.00","1,671.40","1,711.00","1,704.40","1,697.86","17,75,627","3,01,47,57,788.30","92,917","10,00,443",56.34
BAJAJFINSV,EQ,23-Mar-2026,"1,710.30","1,699.80","1,700.00","1,662.70","1,664.00","1,675.50","1,676.84","22,07,925","3,70,23,39,923.30","1,12,974","14,21,898",64.40
BAJAJFINSV,EQ,20-Mar-2026,"1,714.90","1,724.00","1,734.00","1,702.80","1,718.00","1,710.30","1,717.65","26,26,283","4,51,10,35,430.50","1,14,276","16,80,393",63.98
BAJAJFINSV,EQ,19-Mar-2026,"1,791.80","1,776.00","1,778.00","1,702.10","1,724.00","1,714.90","1,727.85","13,54,973","2,34,11,90,268.60","86,279","6,69,474",49.41
BAJAJFINSV,EQ,18-Mar-2026,"1,774.70","1,773.80","1,803.00","1,770.00","1,790.00","1,791.80","1,787.74","14,67,841","2,62,41,21,359.90","83,331","8,95,219",60.99
BAJAJFINSV,EQ,17-Mar-2026,"1,773.90","1,775.60","1,782.60","1,757.00","1,772.90","1,774.70","1,771.82","12,59,526","2,23,16,53,464.40","72,849","7,30,249",57.98
BAJAJFINSV,EQ,16-Mar-2026,"1,738.00","1,738.00","1,784.00","1,729.00","1,762.20","1,773.90","1,755.12","20,85,547","3,66,03,75,236.70","83,053","12,13,116",58.17
BAJAJFINSV,EQ,13-Mar-2026,"1,770.80","1,760.10","1,779.20","1,726.10","1,750.80","1,738.00","1,750.97","13,90,698","2,43,50,68,696.10","83,661","8,79,721",63.26
BAJAJFINSV,EQ,12-Mar-2026,"1,795.30","1,786.90","1,794.40","1,763.10","1,774.50","1,770.80","1,775.46","10,95,963","1,94,58,41,337.40","72,185","5,44,108",49.65
BAJAJFINSV,EQ,11-Mar-2026,"1,867.80","1,861.00","1,874.80","1,791.00","1,796.60","1,795.30","1,814.24","12,98,364","2,35,55,44,880.60","1,02,089","7,51,787",57.90
BAJAJFINSV,EQ,10-Mar-2026,"1,841.50","1,845.10","1,873.80","1,840.40","1,871.40","1,867.80","1,862.76","8,85,047","1,64,86,30,063.70","48,291","4,17,323",47.15
BAJAJFINSV,EQ,09-Mar-2026,"1,868.90","1,839.10","1,844.60","1,802.00","1,840.90","1,841.50","1,826.20","10,09,617","1,84,37,63,607.30","61,248","5,30,286",52.52
BAJAJFINSV,EQ,06-Mar-2026,"1,911.80","1,908.90","1,908.90","1,865.00","1,870.40","1,868.90","1,875.43","22,67,317","4,25,21,84,990.60","87,906","14,68,231",64.76
