symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BAJFINANCE,EQ,25-Mar-2026,849.00,862.05,888.80,853.30,883.00,882.75,879.13,"1,59,95,501","14,06,21,82,961.25","3,62,598","1,06,78,107",66.76
BAJFINANCE,EQ,24-Mar-2026,812.60,830.00,854.00,817.60,853.00,849.00,834.49,"1,88,28,248","15,71,19,77,662.60","2,70,501","1,18,50,678",62.94
BAJFINANCE,EQ,23-Mar-2026,830.55,818.10,818.80,787.90,811.60,812.60,805.95,"1,58,35,828","12,76,29,45,968.20","3,85,591","95,50,098",60.31
BAJFINANCE,EQ,20-Mar-2026,832.20,836.70,841.95,819.25,830.30,830.55,828.25,"1,48,81,843","12,32,59,34,998.90","2,17,899","82,83,886",55.66
BAJFINANCE,EQ,19-Mar-2026,880.10,868.20,869.90,826.70,836.70,832.20,840.54,"1,15,85,591","9,73,81,15,551.25","3,33,569","64,58,617",55.75
BAJFINANCE,EQ,18-Mar-2026,868.60,876.10,893.95,858.20,882.95,880.10,872.84,"1,23,75,517","10,80,17,95,698.30","3,29,822","64,43,256",52.06
BAJFINANCE,EQ,17-Mar-2026,878.15,878.15,881.05,859.55,869.00,868.60,869.20,"79,41,385","6,90,26,61,614.35","1,58,686","42,37,189",53.36
BAJFINANCE,EQ,16-Mar-2026,855.05,850.10,881.90,850.10,873.80,878.15,870.58,"89,82,957","7,82,03,83,672.30","1,96,453","55,38,572",61.66
BAJFINANCE,EQ,13-Mar-2026,863.10,861.00,868.35,848.80,856.50,855.05,859.32,"66,68,639","5,73,04,77,876.05","1,79,052","37,39,474",56.08
BAJFINANCE,EQ,12-Mar-2026,893.65,880.10,888.20,858.35,862.95,863.10,871.61,"1,55,08,258","13,51,70,84,002.50","3,00,802","1,03,20,657",66.55
BAJFINANCE,EQ,11-Mar-2026,939.80,932.20,941.25,890.00,893.95,893.65,905.10,"1,11,72,537","10,11,22,42,988.20","2,68,835","65,30,678",58.45
BAJFINANCE,EQ,10-Mar-2026,938.05,950.00,952.15,931.85,941.95,939.80,941.74,"84,74,956","7,98,11,71,893.45","1,77,367","54,19,584",63.95
BAJFINANCE,EQ,09-Mar-2026,950.20,921.80,941.10,909.05,938.40,938.05,926.06,"91,82,152","8,50,31,91,071.15","2,91,747","57,59,406",62.72
