symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BANDHANBNK,EQ,25-Mar-2026,149.99,151.65,155.5,150.27,154.5,153.42,153.92,"1,03,13,783","1,58,75,19,650.16","45,454","47,37,996",45.94
BANDHANBNK,EQ,24-Mar-2026,148.34,151.65,151.89,145.91,149.64,149.99,149.21,"81,27,874","1,21,27,83,467.18","39,021","23,90,917",29.42
BANDHANBNK,EQ,23-Mar-2026,158.44,156.5,156.57,145.77,147.99,148.34,148.51,"1,60,48,372","2,38,33,17,925.64","63,344","61,97,069",38.61
BANDHANBNK,EQ,20-Mar-2026,158.06,159.31,161.58,156.53,158.5,158.44,159.31,"1,43,07,044","2,27,92,91,294.51","52,791","75,10,108",52.49
BANDHANBNK,EQ,19-Mar-2026,163.5,160.4,160.91,156.97,159.33,158.06,158.74,"97,61,408","1,54,95,62,623.22","39,545","43,82,299",44.89
BANDHANBNK,EQ,18-Mar-2026,159.58,160.39,164.71,159.8,163.28,163.5,162.77,"79,91,527","1,30,07,75,189.62","47,860","29,23,492",36.58
BANDHANBNK,EQ,17-Mar-2026,162.54,163.0,163.99,158.19,159.44,159.58,159.81,"1,05,02,382","1,67,84,26,984.29","69,576","31,51,324",30.01
BANDHANBNK,EQ,16-Mar-2026,175.5,175.0,176.38,153.94,162.17,162.54,161.98,"3,63,01,068","5,88,00,06,649.82","1,35,429","84,51,391",23.28
BANDHANBNK,EQ,13-Mar-2026,178.01,176.8,177.99,173.2,175.8,175.5,175.39,"94,24,744","1,65,30,09,842.05","41,497","29,06,500",30.84
BANDHANBNK,EQ,12-Mar-2026,182.47,180.0,181.47,177.2,177.75,178.01,178.89,"54,08,689","96,75,38,015.64","42,507","14,17,758",26.21
BANDHANBNK,EQ,11-Mar-2026,182.26,182.0,184.81,180.2,181.5,182.47,182.88,"81,87,636","1,49,73,67,674.08","88,349","35,29,178",43.1
BANDHANBNK,EQ,10-Mar-2026,174.12,176.0,183.19,174.75,182.79,182.26,179.79,"89,31,139","1,60,57,40,317.67","60,299","34,43,444",38.56
BANDHANBNK,EQ,09-Mar-2026,183.03,178.0,178.0,172.16,174.07,174.12,174.14,"1,02,95,012","1,79,27,61,126.33","55,240","29,68,071",28.83
