symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BANKBARODA,EQ,25-Mar-2026,270.5,273.9,277.45,270.9,273.1,272.7,273.8,"1,35,83,867","3,71,93,15,879.45","1,56,787","69,32,382",51.03
BANKBARODA,EQ,24-Mar-2026,265.9,270.4,273.75,266.0,270.6,270.5,270.05,"99,76,659","2,69,42,11,890.70","74,589","49,84,356",49.96
BANKBARODA,EQ,23-Mar-2026,279.95,275.2,275.45,265.0,265.4,265.9,267.9,"96,57,083","2,58,71,20,319.85","77,550","51,19,604",53.01
BANKBARODA,EQ,20-Mar-2026,272.6,275.85,283.8,275.25,279.95,279.95,280.34,"94,23,497","2,64,17,81,253.60","61,560","44,09,756",46.80
BANKBARODA,EQ,19-Mar-2026,283.15,280.0,280.7,271.15,274.0,272.6,275.05,"66,59,439","1,83,16,49,863.70","82,492","25,55,485",38.37
BANKBARODA,EQ,18-Mar-2026,283.25,283.3,286.9,282.55,283.5,283.15,284.23,"53,49,893","1,52,06,08,621.70","55,009","23,95,817",44.78
BANKBARODA,EQ,17-Mar-2026,279.95,280.55,283.95,277.3,283.3,283.25,280.38,"50,72,811","1,42,23,03,659.30","56,185","19,62,949",38.70
BANKBARODA,EQ,16-Mar-2026,281.05,280.0,282.5,272.5,279.05,279.95,278.09,"95,54,841","2,65,71,47,327.55","66,791","39,57,279",41.42
BANKBARODA,EQ,13-Mar-2026,289.2,286.15,287.5,280.0,281.3,281.05,282.63,"62,37,801","1,76,30,20,872.60","67,934","28,51,663",45.72
BANKBARODA,EQ,12-Mar-2026,289.3,287.0,293.35,282.95,289.0,289.2,288.78,"81,15,474","2,34,35,59,705.30","74,885","33,05,465",40.73
BANKBARODA,EQ,11-Mar-2026,294.4,295.0,297.2,288.5,290.0,289.3,291.68,"64,44,909","1,87,98,75,055.50","60,668","28,66,731",44.48
BANKBARODA,EQ,10-Mar-2026,288.05,291.0,296.15,290.5,294.55,294.4,293.01,"89,65,568","2,62,69,59,678.90","1,06,881","49,24,574",54.93
BANKBARODA,EQ,09-Mar-2026,295.35,285.15,288.85,277.05,288.6,288.05,284.31,"1,16,62,512","3,31,57,29,392.80","1,57,658","55,21,841",47.35
BANKBARODA,EQ,06-Mar-2026,301.85,299.0,299.6,293.95,295.0,295.35,296.89,"91,15,653","2,70,63,87,649.80","65,876","42,69,976",46.84
BANKBARODA,EQ,05-Mar-2026,299.3,301.05,303.6,298.45,301.6,301.85,301.54,"1,02,88,116","3,10,22,74,370.25","79,331","55,37,328",53.82
BANKBARODA,EQ,04-Mar-2026,315.2,310.15,310.4,296.7,299.5,299.3,300.74,"1,73,39,156","5,21,46,21,806.15","1,13,914","94,90,564",54.73
BANKBARODA,EQ,02-Mar-2026,321.95,312.0,320.2,311.2,315.85,315.2,315.76,"98,23,313","3,10,17,85,484.15","88,241","51,52,368",52.45
BANKBARODA,EQ,27-Feb-2026,324.45,325.0,325.0,319.5,320.8,321.95,322.23,"1,46,86,416","4,73,23,64,651.65","1,14,224","87,68,189",59.70
BANKBARODA,EQ,26-Feb-2026,315.85,316.0,325.5,316.0,324.25,324.45,321.67,"2,05,02,406","6,59,49,85,855.35","1,42,505","1,02,78,283",50.13
BANKBARODA,EQ,25-Feb-2026,313.1,313.0,316.45,311.55,316.25,315.85,314.16,"93,18,353","2,92,74,10,103.45","71,928","52,15,302",55.97
BANKBARODA,EQ,24-Feb-2026,313.35,312.95,314.2,307.0,312.9,313.1,311.38,"1,29,52,576","4,03,32,01,042.85","77,932","61,85,675",47.76
BANKBARODA,EQ,23-Feb-2026,309.05,310.95,315.25,309.7,313.0,313.35,312.99,"1,00,75,556","3,15,35,53,018.55","66,750","47,64,767",47.29
BANKBARODA,EQ,20-Feb-2026,304.45,303.5,310.65,302.55,309.0,309.05,308.08,"1,47,97,240","4,55,87,49,747.25","1,06,969","82,53,559",55.78
BANKBARODA,EQ,19-Feb-2026,305.15,303.6,305.95,303.0,303.4,304.45,304.38,"73,42,206","2,23,47,87,115.65","53,295","40,89,868",55.70
BANKBARODA,EQ,18-Feb-2026,303.25,303.25,307.0,303.25,304.6,305.15,305.31,"78,67,687","2,40,21,05,206.20","62,149","33,17,126",42.16
BANKBARODA,EQ,17-Feb-2026,292.55,292.55,305.0,291.2,303.5,303.25,300.33,"1,74,96,015","5,25,46,44,459.45","98,541","70,52,548",40.31
BANKBARODA,EQ,16-Feb-2026,287.45,285.9,293.4,284.2,293.3,292.55,290.34,"61,49,012","1,78,53,06,621.30","50,728","27,80,824",45.22
BANKBARODA,EQ,13-Feb-2026,289.85,287.3,288.0,284.6,287.1,287.45,286.49,"62,95,039","1,80,34,43,520.05","69,373","32,95,785",52.36
BANKBARODA,EQ,12-Feb-2026,291.2,291.2,292.0,287.8,289.25,289.85,289.84,"64,41,099","1,86,68,79,256.75","80,729","36,63,629",56.88
BANKBARODA,EQ,11-Feb-2026,290.35,290.0,292.7,285.8,291.1,291.2,289.87,"70,47,693","2,04,28,81,498.50","63,722","32,64,151",46.32
BANKBARODA,EQ,10-Feb-2026,290.6,290.6,292.5,288.15,289.65,290.35,290.66,"75,22,576","2,18,65,09,577.85","51,935","44,84,685",59.62
BANKBARODA,EQ,09-Feb-2026,289.2,292.0,295.0,289.9,290.85,290.6,292.15,"87,80,025","2,56,50,95,314.55","68,447","46,96,323",53.49
BANKBARODA,EQ,06-Feb-2026,290.45,290.05,291.3,284.7,288.15,289.2,287.7,"49,88,298","1,43,51,17,401.45","41,353","20,80,115",41.70
BANKBARODA,EQ,05-Feb-2026,290.85,291.4,293.1,289.05,290.7,290.45,290.67,"49,70,798","1,44,48,76,156.90","53,743","24,55,636",49.40
BANKBARODA,EQ,04-Feb-2026,285.4,286.0,292.6,282.25,289.5,290.85,288.23,"94,34,395","2,71,92,86,244.00","81,977","45,79,878",48.54
BANKBARODA,EQ,03-Feb-2026,277.6,290.0,295.0,281.9,286.0,285.4,285.03,"1,55,00,999","4,41,81,94,031.70","82,965","94,00,426",60.64
BANKBARODA,EQ,02-Feb-2026,279.7,279.0,279.25,270.5,278.35,277.6,275.13,"1,62,34,606","4,46,66,28,999.25","1,08,834","63,63,353",39.20
BANKBARODA,EQ,01-Feb-2026,299.4,295.0,296.55,276.3,278.75,279.7,286.66,"1,57,95,862","4,52,80,40,586.40","1,10,136","48,38,099",30.63
BANKBARODA,EQ,30-Jan-2026,302.45,302.4,304.0,297.5,300.0,299.4,299.95,"1,17,08,481","3,51,19,75,387.30","58,748","56,30,601",48.09
BANKBARODA,EQ,29-Jan-2026,306.2,307.0,309.25,301.1,301.95,302.45,304.05,"1,63,19,863","4,96,21,05,895.00","88,399","80,76,816",49.49
BANKBARODA,EQ,28-Jan-2026,302.0,303.5,306.55,300.45,306.0,306.2,304.07,"1,01,61,294","3,08,97,17,164.70","75,694","52,73,791",51.90
BANKBARODA,EQ,27-Jan-2026,296.15,297.0,303.6,296.0,302.95,302.0,299.06,"1,14,51,625","3,42,47,08,446.35","76,243","57,65,534",50.35
BANKBARODA,EQ,23-Jan-2026,305.3,306.45,306.45,294.6,296.1,296.15,299.72,"78,10,191","2,34,09,06,954.00","64,852","39,28,688",50.30
BANKBARODA,EQ,22-Jan-2026,299.05,301.95,308.0,301.15,305.0,305.3,305.25,"74,72,657","2,28,10,24,694.95","67,632","34,35,521",45.97
BANKBARODA,EQ,21-Jan-2026,302.05,301.4,305.55,297.35,298.95,299.05,301.19,"77,77,440","2,34,24,76,234.85","60,044","28,99,198",37.28
BANKBARODA,EQ,20-Jan-2026,307.15,306.95,310.15,300.2,301.4,302.05,303.72,"82,44,610","2,50,40,58,409.60","72,722","36,52,941",44.31
BANKBARODA,EQ,19-Jan-2026,308.25,307.75,309.2,304.1,307.55,307.15,306.44,"94,36,591","2,89,17,86,572.10","70,032","45,58,058",48.30
BANKBARODA,EQ,16-Jan-2026,307.7,307.7,313.35,306.1,307.75,308.25,310.12,"1,66,90,141","5,17,59,08,216.45","1,06,683","89,69,143",53.74
BANKBARODA,EQ,14-Jan-2026,301.85,302.55,308.4,299.35,307.9,307.7,304.86,"1,11,34,333","3,39,44,65,074.60","88,014","55,88,539",50.19
BANKBARODA,EQ,13-Jan-2026,302.2,303.1,303.7,298.65,302.15,301.85,301.07,"56,69,755","1,70,69,76,042.40","46,222","21,79,779",38.45
BANKBARODA,EQ,12-Jan-2026,300.65,301.05,304.0,295.7,302.95,302.2,299.64,"56,39,635","1,68,98,74,993.15","46,175","20,15,860",35.74
BANKBARODA,EQ,09-Jan-2026,299.55,299.55,305.5,297.3,300.5,300.65,302.06,"1,02,10,825","3,08,42,69,706.15","77,891","46,76,796",45.80
BANKBARODA,EQ,08-Jan-2026,308.25,307.0,309.3,298.7,299.5,299.55,303.65,"80,64,971","2,44,89,00,719.65","78,781","40,78,412",50.57
BANKBARODA,EQ,07-Jan-2026,305.05,304.5,309.5,304.25,308.35,308.25,307.64,"67,06,773","2,06,32,58,978.40","71,450","34,06,690",50.79
BANKBARODA,EQ,06-Jan-2026,306.85,307.5,308.4,302.4,305.1,305.05,305.64,"91,61,270","2,80,00,09,980.15","78,444","47,62,272",51.98
BANKBARODA,EQ,05-Jan-2026,305.05,308.8,311.8,304.65,307.0,306.85,308.08,"1,63,28,380","5,03,04,60,820.65","1,04,094","80,44,616",49.27
BANKBARODA,EQ,02-Jan-2026,300.75,301.0,305.95,301.0,305.8,305.05,303.58,"1,03,17,519","3,13,21,44,125.90","56,723","54,71,562",53.03
BANKBARODA,EQ,01-Jan-2026,295.9,296.5,302.9,295.65,301.4,300.75,300.26,"84,64,712","2,54,15,83,185.30","87,916","32,69,269",38.62
BANKBARODA,EQ,31-Dec-2025,293.0,292.7,298.7,292.1,295.9,295.9,296.38,"76,66,538","2,27,22,10,937.80","48,601","32,56,891",42.48
BANKBARODA,EQ,30-Dec-2025,287.6,286.25,293.8,285.5,292.9,293.0,290.79,"1,15,05,161","3,34,55,77,659.75","85,520","67,65,420",58.80
BANKBARODA,EQ,29-Dec-2025,288.2,288.0,290.15,287.15,287.5,287.6,287.99,"72,61,978","2,09,13,62,801.25","38,947","48,07,725",66.20
BANKBARODA,EQ,26-Dec-2025,290.55,289.2,291.75,287.5,287.55,288.2,288.93,"34,81,149","1,00,58,02,757.20","35,249","17,79,237",51.11
BANKBARODA,EQ,24-Dec-2025,292.5,293.6,293.8,289.9,290.55,290.55,291.33,"37,27,361","1,08,58,74,927.95","26,440","22,26,960",59.75
BANKBARODA,EQ,23-Dec-2025,294.0,295.0,295.0,291.05,292.9,292.5,293.02,"36,76,651","1,07,73,37,508.55","31,588","20,09,129",54.65
BANKBARODA,EQ,22-Dec-2025,292.05,292.5,295.75,292.25,293.5,294.0,293.91,"53,88,164","1,58,36,49,199.40","45,251","28,35,570",52.63
