symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BANKINDIA,EQ,22-Jan-2025,100.06,100.0,100.26,96.85,98.95,99.03,98.47,"48,09,029","47,35,57,694.10","27,525","11,24,499",23.38
BANKINDIA,EQ,23-Jan-2025,99.03,99.0,100.34,97.91,99.67,99.71,99.41,"33,93,691","33,73,75,019.91","19,724","8,76,817",25.84
BANKINDIA,EQ,24-Jan-2025,99.71,99.95,101.0,98.0,98.2,98.37,99.21,"41,11,994","40,79,40,956.88","24,070","10,96,081",26.66
BANKINDIA,EQ,27-Jan-2025,98.37,100.0,105.8,99.11,103.82,104.29,103.29,"6,27,64,655","6,48,29,38,092.18","2,23,778","1,52,35,548",24.27
BANKINDIA,EQ,28-Jan-2025,104.29,103.82,111.21,103.8,109.32,109.51,108.64,"5,24,05,075","5,69,33,79,598.04","2,08,976","1,34,30,692",25.63
BANKINDIA,EQ,29-Jan-2025,109.51,108.91,111.17,107.92,110.9,110.82,109.9,"1,35,68,733","1,49,11,86,668.26","58,547","38,99,192",28.74
BANKINDIA,EQ,30-Jan-2025,110.82,110.82,113.19,110.25,111.36,111.23,111.48,"1,13,44,654","1,26,46,84,081.62","53,449","41,90,926",36.94
BANKINDIA,EQ,31-Jan-2025,111.23,112.0,113.1,110.33,112.4,112.52,112.09,"94,17,605","1,05,55,81,856.54","46,424","41,42,640",43.99
BANKINDIA,EQ,01-Feb-2025,112.52,112.9,112.9,106.33,108.59,108.28,109.66,"1,04,76,590","1,14,88,19,936.61","48,736","39,34,457",37.55
BANKINDIA,EQ,03-Feb-2025,108.28,106.0,106.43,103.46,103.85,103.92,104.46,"1,34,85,224","1,40,87,03,133.64","52,908","54,21,252",40.2
BANKINDIA,EQ,04-Feb-2025,103.92,104.95,109.49,104.9,106.8,106.86,107.47,"1,29,15,454","1,38,79,91,804.15","69,352","42,99,511",33.29
BANKINDIA,EQ,05-Feb-2025,106.86,107.95,110.14,107.5,108.12,107.89,108.78,"1,05,74,281","1,15,02,33,380.01","74,300","44,42,584",42.01
BANKINDIA,EQ,06-Feb-2025,107.89,108.7,109.12,107.2,107.52,107.63,107.89,"93,97,668","1,01,39,15,697.87","52,343","45,78,639",48.72
BANKINDIA,EQ,07-Feb-2025,107.63,107.99,109.62,104.89,106.38,106.16,107.01,"1,34,15,003","1,43,55,43,392.40","73,868","51,52,383",38.41
BANKINDIA,EQ,10-Feb-2025,106.16,106.81,106.81,103.2,103.99,103.93,104.41,"53,84,683","56,22,15,204.89","25,005","19,11,688",35.5
BANKINDIA,EQ,11-Feb-2025,103.93,103.99,104.29,100.7,101.19,101.22,101.83,"53,08,829","54,05,90,127.79","25,497","17,91,806",33.75
BANKINDIA,EQ,12-Feb-2025,101.22,101.25,102.95,97.92,102.75,102.5,100.98,"86,92,391","87,77,64,379.54","38,572","24,84,913",28.59
BANKINDIA,EQ,13-Feb-2025,102.5,103.49,103.71,100.55,101.05,101.1,102.01,"60,63,347","61,85,26,678.52","23,534","24,96,374",41.17
BANKINDIA,EQ,14-Feb-2025,101.1,101.68,102.0,97.68,99.0,99.3,99.21,"60,99,055","60,50,67,585.57","30,283","22,05,411",36.16
BANKINDIA,EQ,17-Feb-2025,99.3,99.0,99.21,96.3,99.15,99.03,98.01,"54,21,187","53,13,10,426.92","28,523","15,84,614",29.23
BANKINDIA,EQ,18-Feb-2025,99.03,99.0,99.65,95.5,95.98,96.0,96.41,"88,72,125","85,53,39,897.94","38,850","36,55,205",41.2
BANKINDIA,EQ,19-Feb-2025,96.0,96.0,99.97,95.41,99.53,99.37,98.5,"83,83,145","82,57,80,467.84","43,106","33,55,138",40.02
BANKINDIA,EQ,20-Feb-2025,99.37,98.9,104.99,98.5,104.54,104.74,103.08,"1,26,57,368","1,30,47,20,982.79","55,152","39,34,931",31.09
BANKINDIA,EQ,21-Feb-2025,104.74,103.8,104.42,100.56,101.4,101.51,101.87,"1,04,01,247","1,05,96,25,705.23","52,845","43,92,171",42.23
BANKINDIA,EQ,24-Feb-2025,101.51,101.2,101.8,99.86,100.7,100.89,100.79,"60,07,057","60,54,39,087.88","31,465","19,14,947",31.88
BANKINDIA,EQ,25-Feb-2025,100.89,101.38,101.72,97.75,97.8,98.08,99.32,"46,98,591","46,66,40,860.65","29,340","17,46,260",37.17
BANKINDIA,EQ,27-Feb-2025,98.08,98.09,98.92,96.05,96.65,96.58,97.29,"83,92,622","81,65,55,694.60","48,357","39,43,368",46.99
BANKINDIA,EQ,28-Feb-2025,96.58,96.5,97.4,94.78,95.35,95.16,95.97,"96,48,668","92,59,57,198.45","40,657","35,01,441",36.29
BANKINDIA,EQ,03-Mar-2025,95.16,95.9,96.68,92.7,95.34,95.52,94.59,"84,00,268","79,46,06,144.71","43,904","28,34,677",33.75
BANKINDIA,EQ,04-Mar-2025,95.52,95.0,97.33,93.9,95.82,95.9,96.12,"90,10,467","86,60,96,424.32","50,665","31,67,506",35.15
BANKINDIA,EQ,05-Mar-2025,95.9,96.4,98.65,96.2,97.84,97.88,97.64,"95,15,677","92,91,27,075.20","60,391","46,11,121",48.46
BANKINDIA,EQ,06-Mar-2025,97.88,99.79,100.25,97.5,97.6,97.92,98.56,"1,04,01,338","1,02,51,72,398.17","53,093","40,80,105",39.23
BANKINDIA,EQ,07-Mar-2025,97.92,97.55,98.4,96.69,97.3,97.41,97.59,"75,61,031","73,78,75,791.42","51,472","32,06,749",42.41
BANKINDIA,EQ,10-Mar-2025,97.41,97.65,97.68,94.0,94.03,94.39,95.85,"69,98,486","67,07,81,284.61","40,371","31,11,696",44.46
BANKINDIA,EQ,11-Mar-2025,94.39,93.4,95.4,92.66,95.3,94.99,94.09,"69,09,115","65,00,93,574.61","36,256","28,69,289",41.53
BANKINDIA,EQ,12-Mar-2025,94.99,95.94,95.95,93.19,93.85,93.96,94.3,"65,78,981","62,04,24,185.13","33,472","29,82,599",45.34
BANKINDIA,EQ,13-Mar-2025,93.96,94.8,95.39,93.75,94.2,94.12,94.43,"55,22,916","52,15,34,160.55","24,663","24,64,176",44.62
BANKINDIA,EQ,17-Mar-2025,94.12,94.25,95.29,94.22,94.9,94.8,94.79,"44,95,889","42,61,79,015.81","19,147","21,17,606",47.1
BANKINDIA,EQ,18-Mar-2025,94.8,95.39,98.99,95.0,98.85,98.58,97.33,"99,44,352","96,78,67,396.84","36,179","56,34,268",56.66
BANKINDIA,EQ,19-Mar-2025,98.58,99.0,103.99,98.7,103.15,103.21,102.09,"1,47,30,072","1,50,37,91,471.22","48,049","62,04,817",42.12
BANKINDIA,EQ,20-Mar-2025,103.21,103.93,104.45,101.8,102.3,102.4,102.63,"67,30,020","69,07,08,318.67","43,422","32,82,493",48.77
BANKINDIA,EQ,21-Mar-2025,102.4,102.98,106.1,102.03,105.78,105.84,104.66,"98,71,684","1,03,31,95,858.20","59,253","53,65,376",54.35
BANKINDIA,EQ,24-Mar-2025,105.84,106.4,108.9,106.03,107.64,107.64,107.66,"99,80,825","1,07,45,21,900.17","37,143","46,61,597",46.71
BANKINDIA,EQ,25-Mar-2025,107.64,109.0,109.19,104.81,105.77,105.96,106.28,"81,93,377","87,08,12,995.10","35,227","40,43,895",49.36
BANKINDIA,EQ,26-Mar-2025,105.96,105.92,107.41,105.0,105.2,105.41,106.36,"79,81,147","84,88,89,286.13","34,132","34,90,065",43.73
BANKINDIA,EQ,27-Mar-2025,105.41,104.3,108.63,104.07,108.3,107.8,106.9,"1,37,35,931","1,46,83,25,693.37","55,497","62,92,113",45.81
BANKINDIA,EQ,28-Mar-2025,107.8,107.8,109.1,106.75,106.9,107.12,108.01,"99,18,716","1,07,13,51,832.64","41,059","53,83,230",54.27
BANKINDIA,EQ,01-Apr-2025,107.12,106.52,111.5,106.26,110.5,110.29,109.86,"1,20,89,356","1,32,80,85,060.55","67,112","46,81,499",38.72
BANKINDIA,EQ,02-Apr-2025,110.29,111.05,112.1,108.05,111.21,111.55,110.6,"79,07,441","87,45,68,168.19","41,271","29,74,076",37.61
BANKINDIA,EQ,03-Apr-2025,111.55,110.25,118.15,109.58,114.75,114.92,114.81,"2,76,06,403","3,16,96,04,119.07","92,021","99,03,041",35.87
BANKINDIA,EQ,04-Apr-2025,114.92,114.75,115.81,110.63,111.85,111.49,112.59,"1,51,00,808","1,70,01,96,151.02","56,484","60,21,842",39.88
