symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BEL,EQ,22-Jan-2025,279.0,279.0,279.3,266.3,270.6,270.35,269.93,"2,12,72,549","5,74,21,43,459.35","1,87,494","84,81,098",39.87
BEL,EQ,23-Jan-2025,270.35,268.8,276.95,267.1,274.6,273.95,273.94,"1,19,78,782","3,28,15,13,204.95","1,24,253","41,17,069",34.37
BEL,EQ,24-Jan-2025,273.95,273.95,276.7,268.8,270.3,270.15,272.52,"1,01,64,897","2,77,01,29,437.45","84,378","37,42,733",36.82
BEL,EQ,27-Jan-2025,270.15,267.0,267.0,261.8,262.85,262.95,263.9,"1,37,10,859","3,61,82,98,584.30","1,35,027","63,76,131",46.50
BEL,EQ,28-Jan-2025,262.95,263.5,265.7,252.7,258.5,258.25,257.89,"2,90,49,716","7,49,17,59,801.80","2,04,673","1,19,51,445",41.14
BEL,EQ,29-Jan-2025,258.25,259.0,268.0,259.0,267.85,267.2,265.7,"1,43,61,301","3,81,57,38,882.80","1,12,248","53,56,605",37.30
BEL,EQ,30-Jan-2025,267.2,268.85,280.5,267.9,280.2,278.75,274.52,"4,67,35,932","12,82,98,52,213.50","2,44,650","1,23,67,539",26.46
BEL,EQ,31-Jan-2025,278.75,283.9,294.2,281.6,294.0,292.65,289.17,"5,02,52,116","14,53,12,36,999.00","3,61,876","1,42,49,963",28.36
BEL,EQ,01-Feb-2025,292.65,295.95,299.6,269.3,280.65,281.8,286.38,"6,18,32,253","17,70,77,72,240.10","4,39,222","1,43,34,182",23.18
BEL,EQ,03-Feb-2025,281.8,277.85,277.85,263.3,273.8,274.15,269.28,"4,17,86,023","11,25,21,95,366.30","3,76,401","1,51,62,080",36.29
BEL,EQ,04-Feb-2025,274.15,276.0,286.0,275.9,284.25,284.5,282.46,"2,90,35,155","8,20,11,27,986.10","2,02,132","1,18,77,231",40.91
BEL,EQ,05-Feb-2025,284.5,285.65,291.8,285.0,288.75,288.95,289.71,"1,88,18,511","5,45,18,97,090.20","1,90,973","90,74,100",48.22
BEL,EQ,06-Feb-2025,288.95,288.95,289.95,279.0,280.05,279.75,283.64,"1,68,34,939","4,77,50,79,213.10","1,63,338","68,25,484",40.54
BEL,EQ,07-Feb-2025,279.75,280.75,282.3,273.1,277.3,277.05,276.79,"2,66,82,639","7,38,56,02,990.95","2,02,399","1,39,96,528",52.46
BEL,EQ,10-Feb-2025,277.05,278.9,282.2,272.0,273.9,273.45,276.54,"2,17,89,085","6,02,54,73,304.65","1,83,366","81,23,938",37.28
BEL,EQ,11-Feb-2025,273.45,273.8,274.0,262.75,264.45,265.05,266.65,"2,38,39,025","6,35,67,06,477.00","2,14,280","1,17,02,756",49.09
BEL,EQ,12-Feb-2025,265.05,264.95,265.75,254.0,259.4,259.15,258.88,"2,79,97,028","7,24,78,11,286.10","2,36,424","1,01,36,107",36.20
BEL,EQ,13-Feb-2025,259.15,259.15,265.5,258.6,261.15,261.55,262.87,"1,80,16,813","4,73,60,73,911.15","1,45,058","60,99,007",33.85
BEL,EQ,14-Feb-2025,261.55,262.2,264.5,248.2,250.0,250.35,253.18,"2,56,83,310","6,50,24,98,791.30","2,31,849","1,00,54,705",39.15
BEL,EQ,17-Feb-2025,250.35,248.95,250.0,242.6,249.65,248.5,246.74,"2,49,47,159","6,15,54,61,324.30","1,77,073","98,23,031",39.38
BEL,EQ,18-Feb-2025,248.5,249.0,249.75,240.55,243.8,244.6,243.67,"2,11,80,375","5,16,09,52,496.50","1,84,568","90,20,327",42.59
BEL,EQ,19-Feb-2025,244.6,240.7,254.0,240.25,253.25,253.4,250.98,"2,15,16,255","5,40,00,86,856.70","1,59,897","71,89,872",33.42
BEL,EQ,20-Feb-2025,253.4,252.0,260.95,250.25,260.15,260.25,257.74,"1,89,22,988","4,87,72,35,461.95","1,29,451","79,60,663",42.07
BEL,EQ,21-Feb-2025,260.25,259.5,262.5,254.4,255.0,256.1,257.51,"1,65,94,628","4,27,32,84,833.05","1,31,323","54,39,980",32.78
BEL,EQ,24-Feb-2025,256.1,251.0,258.45,250.5,256.6,256.35,255.23,"1,54,09,569","3,93,29,30,983.95","1,29,465","52,54,268",34.10
BEL,EQ,25-Feb-2025,256.35,256.35,258.55,255.35,256.1,256.65,257.35,"1,47,70,656","3,80,11,85,536.50","1,04,286","83,79,843",56.73
BEL,EQ,27-Feb-2025,256.65,257.1,258.4,251.9,252.0,252.45,254.13,"1,10,87,404","2,81,76,72,740.00","1,08,069","55,47,899",50.04
BEL,EQ,28-Feb-2025,252.45,250.0,250.95,243.5,247.25,246.25,246.6,"1,77,54,591","4,37,83,41,842.55","1,48,251","82,86,276",46.67
BEL,EQ,03-Mar-2025,246.25,247.5,258.9,244.36,257.5,257.39,252.68,"2,46,44,079","6,22,71,27,361.45","1,87,276","83,16,053",33.74
BEL,EQ,04-Mar-2025,257.39,253.89,266.5,252.5,264.6,264.71,263.31,"2,49,98,454","6,58,24,29,399.35","1,98,471","88,86,643",35.55
BEL,EQ,05-Mar-2025,264.71,265.0,275.8,263.33,274.35,274.92,271.04,"2,84,99,877","7,72,44,91,505.57","2,20,341","1,40,80,287",49.40
BEL,EQ,06-Mar-2025,274.92,276.21,281.0,271.83,272.5,272.95,274.51,"2,25,86,087","6,20,00,83,338.86","1,98,864","82,65,800",36.60
BEL,EQ,07-Mar-2025,272.95,275.8,279.73,274.0,276.2,276.99,277.54,"2,55,42,382","7,08,89,98,466.40","1,83,737","92,39,642",36.17
BEL,EQ,10-Mar-2025,276.99,278.6,283.47,271.55,272.29,272.33,278.05,"2,09,86,855","5,83,54,87,724.85","1,62,153","80,84,178",38.52
BEL,EQ,11-Mar-2025,272.33,271.95,278.5,269.05,277.58,277.18,274.9,"2,09,80,143","5,76,74,26,862.60","1,50,205","53,41,509",25.46
