symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,25-Mar-2026,"1,802.10","1,814.00","1,849.20","1,810.10","1,834.00","1,834.90","1,829.51","1,24,73,682","22,82,07,50,844.00","2,65,588","77,40,539",62.05
BHARTIARTL,EQ,24-Mar-2026,"1,795.90","1,816.30","1,826.80","1,781.00","1,812.50","1,802.10","1,801.04","75,35,860","13,57,24,01,488.50","1,78,329","43,15,558",57.27
BHARTIARTL,EQ,23-Mar-2026,"1,846.10","1,827.00","1,830.00","1,792.00","1,803.10","1,795.90","1,801.84","68,74,051","12,38,59,52,606.40","2,46,881","48,89,071",71.12
BHARTIARTL,EQ,20-Mar-2026,"1,827.00","1,834.00","1,860.90","1,834.00","1,844.80","1,846.10","1,848.15","76,91,633","14,21,53,20,146.30","1,39,053","53,68,949",69.80
BHARTIARTL,EQ,19-Mar-2026,"1,855.40","1,826.60","1,861.30","1,816.30","1,835.60","1,827.00","1,837.38","71,45,082","13,12,82,48,532.00","2,15,916","38,81,866",54.33
BHARTIARTL,EQ,18-Mar-2026,"1,827.00","1,826.80","1,869.00","1,826.80","1,855.00","1,855.40","1,856.46","64,28,092","11,93,35,00,968.20","1,76,964","47,94,871",74.59
BHARTIARTL,EQ,17-Mar-2026,"1,788.80","1,797.00","1,834.50","1,791.10","1,823.40","1,827.00","1,822.01","71,81,491","13,08,47,61,934.30","2,62,782","36,99,632",51.52
BHARTIARTL,EQ,16-Mar-2026,"1,803.40","1,798.00","1,804.90","1,770.90","1,790.00","1,788.80","1,787.39","1,42,61,268","25,49,04,20,100.70","3,45,086","87,13,155",61.10
BHARTIARTL,EQ,13-Mar-2026,"1,801.30","1,781.10","1,816.00","1,776.60","1,803.00","1,803.40","1,804.59","89,70,772","16,18,85,49,355.80","2,63,272","59,91,588",66.79
BHARTIARTL,EQ,12-Mar-2026,"1,807.00","1,797.90","1,817.80","1,791.00","1,798.30","1,801.30","1,801.93","1,29,22,735","23,28,59,24,604.30","2,13,083","87,09,692",67.40
BHARTIARTL,EQ,11-Mar-2026,"1,850.40","1,841.00","1,847.70","1,799.50","1,807.00","1,807.00","1,818.78","95,48,404","17,36,64,05,770.80","2,79,483","63,54,526",66.55
BHARTIARTL,EQ,10-Mar-2026,"1,866.70","1,880.80","1,881.00","1,846.50","1,855.70","1,850.40","1,853.07","1,17,41,600","21,75,80,05,040.00","3,37,083","75,30,904",64.14
BHARTIARTL,EQ,09-Mar-2026,"1,870.80","1,831.00","1,872.40","1,818.10","1,866.00","1,866.70","1,853.10","80,73,518","14,96,10,27,031.00","3,70,596","49,74,165",61.61
BHARTIARTL,EQ,06-Mar-2026,"1,907.00","1,900.00","1,902.10","1,867.10","1,873.00","1,870.80","1,882.33","1,08,96,859","20,51,15,35,465.70","2,22,475","82,27,338",75.50
BHARTIARTL,EQ,05-Mar-2026,"1,905.90","1,919.00","1,929.10","1,897.20","1,906.00","1,907.00","1,910.48","1,13,98,717","21,77,70,70,378.90","2,47,714","63,84,341",56.01
BHARTIARTL,EQ,04-Mar-2026,"1,873.20","1,861.10","1,920.00","1,815.30","1,908.50","1,905.90","1,878.13","2,05,65,585","38,62,48,52,239.00","4,25,053","1,39,63,593",67.90
BHARTIARTL,EQ,02-Mar-2026,"1,879.30","1,850.10","1,895.90","1,847.90","1,872.00","1,873.20","1,875.71","1,17,85,758","22,10,66,68,597.40","3,55,395","67,50,150",57.27
BHARTIARTL,EQ,27-Feb-2026,"1,929.60","1,910.00","1,915.00","1,870.10","1,882.00","1,879.30","1,882.95","1,37,54,648","25,89,93,62,760.70","2,41,307","1,05,14,471",76.44
BHARTIARTL,EQ,26-Feb-2026,"1,913.40","1,914.00","1,935.00","1,904.50","1,934.00","1,929.60","1,920.91","1,07,95,028","20,73,63,22,162.80","2,40,161","58,11,545",53.84
BHARTIARTL,EQ,25-Feb-2026,"1,941.00","1,955.00","1,961.80","1,904.00","1,916.80","1,913.40","1,925.26","82,85,195","15,95,11,64,616.70","2,04,352","56,76,474",68.51
BHARTIARTL,EQ,24-Feb-2026,"1,997.30","1,997.30","1,997.30","1,921.80","1,944.00","1,941.00","1,942.94","1,00,06,761","19,44,25,11,897.40","3,16,721","56,70,983",56.67
BHARTIARTL,EQ,23-Feb-2026,"1,977.40","1,994.00","2,000.50","1,983.90","1,997.00","1,997.30","1,994.13","37,28,878","7,43,58,58,950.00","1,08,472","22,84,956",61.28
BHARTIARTL,EQ,20-Feb-2026,"1,988.60","1,981.10","1,993.70","1,971.00","1,977.80","1,977.40","1,983.51","51,80,301","10,27,51,71,540.90","92,932","30,93,339",59.71
