symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHEL,EQ,22-Jan-2025,209.55,210.0,210.19,199.37,204.7,205.46,203.55,"1,15,50,327","2,35,10,60,663.73","98,618","37,11,489",32.13
BHEL,EQ,23-Jan-2025,205.46,204.3,208.1,203.2,206.25,206.49,206.19,"1,15,01,338","2,37,14,69,130.25","78,311","49,28,599",42.85
BHEL,EQ,24-Jan-2025,206.49,207.0,208.66,199.5,200.8,200.19,203.23,"93,44,993","1,89,91,43,962.36","76,225","28,19,186",30.17
BHEL,EQ,27-Jan-2025,200.19,199.0,199.0,193.1,194.7,194.54,195.33,"84,10,047","1,64,27,13,244.31","80,807","25,03,538",29.77
BHEL,EQ,28-Jan-2025,194.54,196.25,197.45,186.0,187.4,187.62,189.9,"1,78,26,505","3,38,52,32,760.68","1,51,582","56,07,215",31.45
BHEL,EQ,29-Jan-2025,187.62,184.14,200.52,184.14,199.92,199.86,195.48,"3,80,44,200","7,43,68,68,617.34","2,08,890","60,96,898",16.03
BHEL,EQ,30-Jan-2025,199.86,201.0,201.7,194.03,196.2,196.37,198.2,"1,29,11,947","2,55,91,66,027.87","97,277","30,05,117",23.27
BHEL,EQ,31-Jan-2025,196.37,198.5,208.68,195.79,208.4,208.09,204.95,"2,11,37,642","4,33,21,78,175.38","1,44,562","42,11,467",19.92
BHEL,EQ,01-Feb-2025,208.09,209.56,214.4,196.6,199.49,200.02,206.63,"2,48,72,103","5,13,92,12,886.11","1,58,000","40,44,871",16.26
BHEL,EQ,03-Feb-2025,200.02,197.82,197.9,189.63,195.53,196.24,193.26,"2,37,94,278","4,59,85,31,268.92","1,40,654","75,87,378",31.89
BHEL,EQ,04-Feb-2025,196.24,198.0,207.8,197.56,206.63,206.72,205.1,"2,23,18,249","4,57,73,79,758.23","1,36,582","64,43,485",28.87
BHEL,EQ,05-Feb-2025,206.72,207.06,212.57,206.48,208.75,209.01,209.45,"1,38,34,798","2,89,77,57,513.66","77,800","51,00,818",36.87
BHEL,EQ,06-Feb-2025,209.01,211.1,211.1,204.09,204.9,204.84,206.72,"63,29,168","1,30,83,48,720.66","49,834","15,00,899",23.71
BHEL,EQ,07-Feb-2025,204.84,205.0,206.4,201.3,202.41,202.84,204.02,"76,30,722","1,55,68,41,750.69","62,709","13,90,729",18.23
BHEL,EQ,10-Feb-2025,202.84,209.0,209.8,201.73,202.4,202.98,204.4,"1,93,09,166","3,94,68,18,553.39","1,07,666","32,38,965",16.77
BHEL,EQ,11-Feb-2025,202.98,203.59,203.9,193.5,198.5,199.71,197.74,"1,87,88,514","3,71,52,89,823.06","1,03,738","72,64,272",38.66
BHEL,EQ,12-Feb-2025,199.71,200.7,200.83,190.1,198.36,198.83,196.78,"1,84,58,569","3,63,22,45,523.46","1,28,493","32,82,085",17.78
BHEL,EQ,13-Feb-2025,198.83,199.0,205.4,199.0,201.49,201.82,203.14,"1,06,75,334","2,16,85,96,200.93","73,450","24,69,714",23.13
BHEL,EQ,14-Feb-2025,201.82,202.5,203.64,191.11,192.93,193.31,195.21,"1,23,60,217","2,41,28,98,640.23","93,556","33,39,016",27.01
BHEL,EQ,17-Feb-2025,193.31,193.31,195.81,188.5,193.55,193.47,192.91,"1,42,15,439","2,74,22,92,071.71","94,977","19,79,893",13.93
BHEL,EQ,18-Feb-2025,193.47,193.55,194.5,183.57,186.1,186.57,186.86,"1,97,65,470","3,69,33,64,951.17","1,36,982","48,63,590",24.61
BHEL,EQ,19-Feb-2025,186.57,184.43,195.49,183.19,195.0,195.09,191.65,"1,66,02,294","3,18,18,51,176.67","1,19,352","39,94,193",24.06
BHEL,EQ,20-Feb-2025,195.09,192.87,201.65,192.8,200.05,200.17,198.58,"1,40,19,550","2,78,40,24,335.32","78,255","49,30,268",35.17
BHEL,EQ,21-Feb-2025,200.17,199.84,202.15,195.5,195.8,196.41,198.27,"1,21,05,028","2,40,00,34,913.81","93,324","27,59,395",22.8
BHEL,EQ,24-Feb-2025,196.41,192.25,194.98,190.51,191.45,191.43,192.27,"1,08,30,137","2,08,23,00,206.38","61,866","38,69,424",35.73
BHEL,EQ,25-Feb-2025,191.43,191.7,196.41,187.65,194.2,194.61,193.06,"1,83,16,744","3,53,61,91,444.48","85,699","71,39,352",38.98
BHEL,EQ,27-Feb-2025,194.61,195.04,195.49,186.3,186.93,187.44,188.67,"1,15,45,214","2,17,82,41,638.41","73,775","30,99,756",26.85
