symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BPCL,EQ,25-Mar-2026,282.25,288.2,289.75,281.8,284.8,284.55,284.89,"1,84,51,485","5,25,66,23,366.80","1,42,574","1,04,61,070",56.70
BPCL,EQ,24-Mar-2026,271.3,280.0,283.0,270.7,282.35,282.25,276.99,"1,95,42,984","5,41,31,37,517.55","1,19,040","92,49,441",47.33
BPCL,EQ,23-Mar-2026,287.8,280.05,281.0,270.0,271.95,271.3,273.09,"1,43,57,554","3,92,09,35,467.65","1,33,171","73,50,601",51.20
BPCL,EQ,20-Mar-2026,286.0,288.5,295.85,286.95,288.5,287.8,290.11,"1,66,01,274","4,81,62,37,993.65","1,16,428","92,42,190",55.67
BPCL,EQ,19-Mar-2026,303.7,298.0,298.0,284.4,287.35,286.0,289.78,"1,54,94,502","4,48,99,24,935.95","1,74,409","74,04,620",47.79
BPCL,EQ,18-Mar-2026,300.05,300.8,307.45,299.6,304.0,303.7,303.38,"92,23,774","2,79,83,06,026.75","85,570","49,81,961",54.01
BPCL,EQ,17-Mar-2026,304.95,305.3,305.9,298.15,300.0,300.05,300.84,"1,64,67,622","4,95,40,83,516.75","1,40,503","96,00,427",58.30
BPCL,EQ,16-Mar-2026,319.3,314.9,318.45,301.1,305.35,304.95,306.81,"1,85,89,204","5,70,32,70,089.45","1,92,204","1,01,65,497",54.68
BPCL,EQ,13-Mar-2026,326.35,323.65,325.35,318.15,319.8,319.3,320.77,"75,56,076","2,42,37,45,763.35","85,268","35,54,404",47.04
BPCL,EQ,12-Mar-2026,325.05,318.7,330.35,314.0,327.0,326.35,324.74,"1,11,76,171","3,62,93,16,262.10","1,05,080","52,68,626",47.14
BPCL,EQ,11-Mar-2026,325.9,326.0,328.9,322.75,323.8,325.05,325.86,"1,39,09,498","4,53,25,91,261.40","1,78,039","77,60,141",55.79
