symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BRITANNIA,EQ,25-Mar-2026,"5,513.50","5,536.50","5,737.50","5,536.50","5,645.50","5,647.00","5,674.58","3,42,559","1,94,38,79,990.00","44,631","1,88,785",55.11
BRITANNIA,EQ,24-Mar-2026,"5,490.00","5,590.00","5,600.00","5,404.50","5,528.00","5,513.50","5,487.37","5,42,905","2,97,91,22,585.00","44,637","3,14,725",57.97
BRITANNIA,EQ,23-Mar-2026,"5,618.50","5,590.00","5,590.50","5,475.50","5,476.00","5,490.00","5,521.55","3,16,325","1,74,66,03,335.50","38,282","1,86,124",58.84
BRITANNIA,EQ,20-Mar-2026,"5,673.50","5,735.00","5,749.50","5,592.00","5,623.50","5,618.50","5,667.10","4,62,806","2,62,27,65,711.50","45,898","3,07,813",66.51
BRITANNIA,EQ,19-Mar-2026,"5,885.00","5,799.00","5,852.00","5,642.50","5,684.50","5,673.50","5,697.20","2,34,382","1,33,53,21,928.00","32,834","1,22,035",52.07
BRITANNIA,EQ,18-Mar-2026,"5,857.50","5,860.50","5,914.00","5,842.00","5,887.50","5,885.00","5,890.69","3,01,564","1,77,64,21,260.00","30,309","2,13,117",70.67
BRITANNIA,EQ,17-Mar-2026,"5,842.00","5,849.00","5,868.50","5,801.50","5,856.00","5,857.50","5,838.71","2,60,165","1,51,90,27,775.00","35,278","1,59,131",61.17
BRITANNIA,EQ,16-Mar-2026,"5,808.50","5,808.50","5,872.50","5,764.50","5,817.00","5,842.00","5,808.57","3,50,827","2,03,78,03,025.00","28,832","2,10,847",60.10
BRITANNIA,EQ,13-Mar-2026,"5,787.00","5,750.00","5,881.00","5,727.00","5,810.50","5,808.50","5,819.74","7,38,522","4,29,80,06,647.00","54,924","4,30,520",58.29
BRITANNIA,EQ,12-Mar-2026,"5,921.50","5,910.00","5,910.00","5,713.00","5,814.00","5,787.00","5,774.10","9,96,754","5,75,53,60,219.00","55,769","6,57,435",65.96
BRITANNIA,EQ,11-Mar-2026,"5,968.00","5,981.00","5,995.00","5,900.00","5,900.00","5,921.50","5,930.08","2,98,621","1,77,08,47,426.00","27,319","1,94,685",65.19
BRITANNIA,EQ,10-Mar-2026,"5,890.00","5,911.00","5,995.00","5,911.00","5,980.00","5,968.00","5,968.21","2,83,327","1,69,09,54,367.00","35,315","1,71,812",60.64
BRITANNIA,EQ,09-Mar-2026,"5,983.00","5,930.00","5,932.50","5,815.50","5,889.00","5,890.00","5,878.40","2,45,594","1,44,36,99,981.50","34,962","1,41,677",57.69
BRITANNIA,EQ,06-Mar-2026,"5,963.00","5,948.00","6,013.00","5,926.50","5,989.50","5,983.00","5,983.93","3,48,722","2,08,67,29,262.00","43,627","2,43,933",69.95
BRITANNIA,EQ,05-Mar-2026,"5,889.50","5,899.00","5,997.50","5,851.00","5,954.00","5,963.00","5,923.17","2,11,179","1,25,08,49,239.00","28,780","1,19,451",56.56
BRITANNIA,EQ,04-Mar-2026,"5,959.00","5,901.50","5,924.00","5,845.50","5,875.00","5,889.50","5,892.06","2,93,377","1,72,85,94,002.50","31,474","1,92,818",65.72
BRITANNIA,EQ,02-Mar-2026,"6,002.50","5,866.00","6,001.00","5,866.00","5,977.00","5,959.00","5,963.66","1,85,417","1,10,57,63,343.50","26,978","1,02,270",55.16
BRITANNIA,EQ,27-Feb-2026,"6,137.00","6,135.50","6,142.50","5,975.00","6,000.00","6,002.50","6,025.47","3,50,612","2,11,26,03,200.00","37,726","2,45,904",70.14
BRITANNIA,EQ,26-Feb-2026,"6,158.00","6,158.00","6,187.00","6,070.00","6,130.00","6,137.00","6,118.28","2,45,317","1,50,09,17,715.00","36,165","1,50,322",61.28
BRITANNIA,EQ,25-Feb-2026,"6,162.50","6,170.00","6,208.50","6,140.00","6,145.00","6,158.00","6,172.24","2,53,773","1,56,63,48,232.00","28,235","1,66,613",65.65
BRITANNIA,EQ,24-Feb-2026,"6,122.50","6,083.00","6,173.50","6,065.50","6,170.00","6,162.50","6,141.01","1,93,510","1,18,83,46,987.00","26,761","1,22,326",63.21
BRITANNIA,EQ,23-Feb-2026,"6,098.50","6,136.00","6,150.00","6,042.00","6,106.00","6,122.50","6,093.61","2,25,252","1,37,25,98,683.50","36,646","1,30,565",57.96
BRITANNIA,EQ,20-Feb-2026,"6,108.50","6,109.00","6,137.50","6,066.50","6,088.00","6,098.50","6,099.03","3,88,361","2,36,86,26,988.50","53,851","2,88,403",74.26
BRITANNIA,EQ,19-Feb-2026,"6,176.00","6,170.00","6,198.00","6,093.50","6,100.00","6,108.50","6,127.39","1,27,940","78,39,38,123.50","20,646","71,314",55.74
BRITANNIA,EQ,18-Feb-2026,"6,145.50","6,161.00","6,190.00","6,116.00","6,180.00","6,176.00","6,163.48","1,93,569","1,19,30,58,953.00","22,496","1,13,641",58.71
BRITANNIA,EQ,17-Feb-2026,"6,106.00","6,106.00","6,154.50","6,066.50","6,139.00","6,145.50","6,119.62","1,64,220","1,00,49,64,652.00","27,446","96,185",58.57
BRITANNIA,EQ,16-Feb-2026,"5,980.50","5,980.00","6,134.00","5,964.50","6,100.00","6,106.00","6,076.97","2,55,274","1,55,12,92,663.00","22,224","1,35,770",53.19
