symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BSE,EQ,25-Mar-2026,"2,805.90","2,840.00","2,899.40","2,814.40","2,889.00","2,890.20","2,860.81","47,42,623","13,56,77,25,097.80","1,68,588","18,15,606",38.28
BSE,EQ,24-Mar-2026,"2,714.40","2,800.00","2,812.90","2,728.20","2,812.00","2,805.90","2,783.32","40,92,016","11,38,93,75,580.50","1,83,443","11,05,467",27.02
BSE,EQ,23-Mar-2026,"2,806.10","2,770.00","2,776.80","2,688.00","2,717.00","2,714.40","2,719.32","46,16,085","12,55,26,15,098.20","1,59,663","17,81,837",38.6
BSE,EQ,20-Mar-2026,"2,895.00","2,920.00","2,939.00","2,783.10","2,801.70","2,806.10","2,831.71","57,95,250","16,41,04,75,169.70","2,37,990","17,20,143",29.68
BSE,EQ,19-Mar-2026,"2,995.60","2,950.00","2,995.00","2,876.00","2,899.80","2,895.00","2,932.91","38,71,447","11,35,46,23,382.40","1,57,145","11,90,432",30.75
BSE,EQ,18-Mar-2026,"2,973.60","2,982.30","3,009.00","2,958.10","2,997.90","2,995.60","2,988.80","43,44,998","12,98,63,25,903.20","1,49,099","11,16,610",25.7
BSE,EQ,17-Mar-2026,"2,862.60","2,890.00","2,980.00","2,867.90","2,974.00","2,973.60","2,940.95","57,72,951","16,97,79,79,951.70","2,23,897","16,98,716",29.43
BSE,EQ,16-Mar-2026,"2,797.00","2,797.00","2,888.00","2,777.00","2,860.00","2,862.60","2,838.57","43,33,977","12,30,22,99,308.80","1,56,673","10,95,475",25.28
BSE,EQ,13-Mar-2026,"2,850.60","2,852.00","2,878.50","2,787.50","2,805.00","2,797.00","2,829.24","33,13,604","9,37,49,92,125.00","1,26,727","7,41,468",22.38
BSE,EQ,12-Mar-2026,"2,837.40","2,800.00","2,877.90","2,781.20","2,847.00","2,850.60","2,831.34","29,88,021","8,46,01,04,103.60","1,11,168","6,14,906",20.58
BSE,EQ,11-Mar-2026,"2,860.60","2,871.40","2,897.30","2,825.00","2,834.90","2,837.40","2,857.49","28,02,847","8,00,91,02,644.80","1,04,780","9,71,143",34.65
BSE,EQ,10-Mar-2026,"2,768.90","2,820.00","2,883.40","2,805.30","2,861.60","2,860.60","2,850.60","52,40,537","14,93,86,59,472.30","1,89,273","17,57,234",33.53
