symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CAMS,EQ,22-Jan-2025,"4,248.05","4,250.00","4,257.05","3,976.00","4,098.05","4,075.25","4,059.01","6,02,893","2,44,71,47,934.20","74,032","2,51,686",41.75
CAMS,EQ,23-Jan-2025,"4,075.25","4,075.25","4,187.65","4,030.10","4,170.00","4,159.25","4,115.92","5,25,391","2,16,24,66,656.95","65,392","2,92,966",55.76
CAMS,EQ,24-Jan-2025,"4,159.25","4,150.00","4,284.60","4,078.65","4,091.00","4,101.10","4,165.73","3,32,673","1,38,58,26,720.00","50,004","1,11,475",33.51
CAMS,EQ,27-Jan-2025,"4,101.10","4,059.00","4,059.00","3,778.65","3,811.90","3,808.65","3,833.56","8,37,179","3,20,93,72,252.35","1,12,318","4,21,809",50.38
CAMS,EQ,28-Jan-2025,"3,808.65","3,840.00","3,863.95","3,647.95","3,720.45","3,720.40","3,722.07","6,49,752","2,41,84,21,179.85","80,151","2,71,934",41.85
CAMS,EQ,29-Jan-2025,"3,720.40","3,740.00","4,012.90","3,710.40","3,970.00","3,944.90","3,852.14","11,12,274","4,28,46,40,035.15","99,663","4,33,606",38.98
CAMS,EQ,30-Jan-2025,"3,944.90","3,984.00","3,989.80","3,590.50","3,637.00","3,637.20","3,693.32","17,05,426","6,29,86,85,987.60","1,62,868","6,86,000",40.22
CAMS,EQ,31-Jan-2025,"3,637.20","3,660.00","3,667.00","3,550.00","3,606.00","3,603.50","3,603.65","8,12,339","2,92,73,84,894.25","84,085","3,13,279",38.57
CAMS,EQ,01-Feb-2025,"3,603.50","3,619.95","3,707.85","3,471.35","3,549.00","3,537.30","3,584.45","6,60,530","2,36,76,38,846.30","74,986","2,13,813",32.37
CAMS,EQ,03-Feb-2025,"3,537.30","3,530.20","3,573.95","3,382.00","3,395.00","3,398.00","3,437.05","6,46,917","2,22,34,83,091.75","76,292","3,19,179",49.34
CAMS,EQ,04-Feb-2025,"3,398.00","3,429.00","3,528.20","3,411.10","3,520.00","3,513.85","3,470.66","6,83,646","2,37,27,01,501.30","56,547","3,35,717",49.11
CAMS,EQ,05-Feb-2025,"3,513.85","3,540.00","3,798.00","3,531.60","3,759.90","3,748.75","3,727.55","13,22,982","4,93,14,85,227.85","1,34,761","3,96,849",30.0
CAMS,EQ,06-Feb-2025,"3,748.75","3,770.05","3,774.00","3,643.45","3,673.90","3,662.50","3,690.12","7,36,179","2,71,65,87,857.70","89,549","3,92,750",53.35
CAMS,EQ,07-Feb-2025,"3,662.50","3,682.95","3,740.05","3,629.00","3,670.00","3,663.05","3,680.60","5,54,924","2,04,24,52,979.05","69,839","1,92,396",34.67
CAMS,EQ,10-Feb-2025,"3,663.05","3,663.00","3,669.90","3,500.00","3,530.00","3,526.75","3,548.80","3,71,179","1,31,72,40,466.15","63,046","1,68,489",45.39
CAMS,EQ,11-Feb-2025,"3,526.75","3,520.00","3,529.80","3,360.00","3,383.00","3,378.35","3,407.10","5,55,628","1,89,30,80,759.60","82,850","2,74,747",49.45
CAMS,EQ,12-Feb-2025,"3,378.35","3,378.35","3,552.95","3,301.05","3,518.85","3,528.00","3,451.49","8,59,238","2,96,56,47,274.65","1,00,768","2,66,574",31.02
CAMS,EQ,13-Feb-2025,"3,528.00","3,528.00","3,539.95","3,401.00","3,413.60","3,410.20","3,456.04","4,47,275","1,54,57,98,439.35","72,366","1,73,190",38.72
CAMS,EQ,14-Feb-2025,"3,410.20","3,438.80","3,456.20","3,312.00","3,392.05","3,375.35","3,368.74","3,45,250","1,16,30,58,596.90","51,735","1,02,320",29.64
CAMS,EQ,17-Feb-2025,"3,375.35","3,338.00","3,417.90","3,275.00","3,408.20","3,381.80","3,333.06","5,92,513","1,97,48,82,288.15","95,700","2,23,366",37.7
CAMS,EQ,18-Feb-2025,"3,381.80","3,381.80","3,391.45","3,252.25","3,264.85","3,278.00","3,295.45","4,39,551","1,44,85,19,992.60","64,029","1,78,256",40.55
CAMS,EQ,19-Feb-2025,"3,278.00","3,250.00","3,433.00","3,206.65","3,365.00","3,371.05","3,372.21","4,85,674","1,63,77,93,459.55","63,133","1,43,009",29.45
CAMS,EQ,20-Feb-2025,"3,371.05","3,350.00","3,485.75","3,316.55","3,440.40","3,439.15","3,441.53","5,11,643","1,76,08,35,225.75","68,080","1,76,250",34.45
CAMS,EQ,21-Feb-2025,"3,439.15","3,439.95","3,545.00","3,404.00","3,414.10","3,427.50","3,470.15","6,24,064","2,16,55,93,025.70","75,148","1,99,183",31.92
CAMS,EQ,24-Feb-2025,"3,427.50","3,378.70","3,447.70","3,344.75","3,408.00","3,417.75","3,401.71","3,64,315","1,23,92,95,702.40","56,342","1,37,411",37.72
CAMS,EQ,25-Feb-2025,"3,417.75","3,408.55","3,422.95","3,315.50","3,338.40","3,345.15","3,361.23","3,63,358","1,22,13,30,364.70","61,315","1,25,153",34.44
CAMS,EQ,27-Feb-2025,"3,345.15","3,358.00","3,379.00","3,246.50","3,254.00","3,257.75","3,293.18","3,52,465","1,16,07,31,046.10","54,994","1,52,782",43.35
CAMS,EQ,28-Feb-2025,"3,257.75","3,206.95","3,227.40","3,126.00","3,152.00","3,143.10","3,166.58","5,86,964","1,85,86,67,029.05","70,189","2,97,157",50.63
CAMS,EQ,03-Mar-2025,"3,143.10","3,162.05","3,198.00","3,031.05","3,147.10","3,134.00","3,114.67","5,27,204","1,64,20,64,961.70","77,950","2,25,714",42.81
CAMS,EQ,04-Mar-2025,"3,134.00","3,115.00","3,172.00","3,077.20","3,132.10","3,138.00","3,132.26","3,32,941","1,04,28,56,742.70","45,227","1,18,156",35.49
CAMS,EQ,05-Mar-2025,"3,138.00","3,130.00","3,203.60","3,107.20","3,197.00","3,195.30","3,165.18","4,29,235","1,35,86,05,933.20","54,009","1,98,995",46.36
CAMS,EQ,06-Mar-2025,"3,195.30","3,247.65","3,322.00","3,210.50","3,303.95","3,302.65","3,286.25","6,11,517","2,00,95,97,384.30","69,120","3,54,719",58.01
CAMS,EQ,07-Mar-2025,"3,302.65","3,311.00","3,383.00","3,287.45","3,371.00","3,365.70","3,358.18","6,39,238","2,14,66,75,318.80","70,258","3,38,171",52.9
CAMS,EQ,10-Mar-2025,"3,365.70","3,370.00","3,437.50","3,331.15","3,350.00","3,347.75","3,359.44","6,39,678","2,14,89,61,869.40","64,168","4,21,174",65.84
CAMS,EQ,11-Mar-2025,"3,347.75","3,300.00","3,388.50","3,263.35","3,375.00","3,364.55","3,343.00","4,01,303","1,34,15,54,067.45","60,066","1,98,891",49.56
CAMS,EQ,12-Mar-2025,"3,364.55","3,374.55","3,408.95","3,289.25","3,325.00","3,323.80","3,343.51","4,86,688","1,62,72,47,795.70","59,125","2,55,606",52.52
CAMS,EQ,13-Mar-2025,"3,323.80","3,344.00","3,452.75","3,288.05","3,413.00","3,410.10","3,392.72","7,15,052","2,42,59,73,700.95","82,526","2,75,028",38.46
