symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CDSL,EQ,25-Mar-2026,"1,185.50","1,202.00","1,229.90","1,200.60","1,210.00","1,212.80","1,219.99","24,59,343","3,00,03,74,353.70","63,846","8,96,882",36.47
CDSL,EQ,24-Mar-2026,"1,133.80","1,170.00","1,189.80","1,151.10","1,187.50","1,185.50","1,176.33","25,10,822","2,95,35,63,264.90","70,343","7,61,258",30.32
CDSL,EQ,23-Mar-2026,"1,190.80","1,175.60","1,176.90","1,130.00","1,131.00","1,133.80","1,146.21","26,61,615","3,05,07,58,199.10","1,07,781","11,42,238",42.92
CDSL,EQ,20-Mar-2026,"1,194.20","1,198.00","1,213.00","1,186.20","1,191.00","1,190.80","1,197.51","15,07,667","1,80,54,43,775.80","52,032","5,03,772",33.41
CDSL,EQ,19-Mar-2026,"1,233.60","1,205.00","1,213.90","1,187.30","1,196.00","1,194.20","1,199.32","19,09,124","2,28,96,45,231.20","63,971","7,21,930",37.81
CDSL,EQ,18-Mar-2026,"1,199.30","1,209.00","1,244.00","1,205.30","1,233.00","1,233.60","1,229.60","20,27,771","2,49,33,42,808.30","58,306","7,69,733",37.96
CDSL,EQ,17-Mar-2026,"1,184.50","1,190.00","1,206.00","1,181.60","1,203.50","1,199.30","1,192.77","18,58,349","2,21,65,87,445.80","49,501","6,11,856",32.92
CDSL,EQ,16-Mar-2026,"1,176.50","1,178.00","1,196.00","1,159.20","1,182.40","1,184.50","1,176.16","21,20,620","2,49,41,91,175.40","73,596","6,30,102",29.71
CDSL,EQ,13-Mar-2026,"1,210.80","1,205.00","1,208.00","1,172.20","1,178.00","1,176.50","1,185.60","21,95,060","2,60,24,68,864.00","86,610","8,88,762",40.49
CDSL,EQ,12-Mar-2026,"1,219.40","1,206.00","1,218.50","1,193.10","1,210.00","1,210.80","1,205.09","16,20,635","1,95,30,10,835.90","59,441","5,30,639",32.74
CDSL,EQ,11-Mar-2026,"1,249.30","1,249.00","1,261.70","1,215.20","1,220.00","1,219.40","1,236.58","15,31,624","1,89,39,81,666.30","48,352","5,72,391",37.37
CDSL,EQ,10-Mar-2026,"1,210.50","1,234.70","1,254.00","1,223.00","1,253.60","1,249.30","1,240.37","16,24,184","2,01,45,96,859.10","42,198","5,61,333",34.56
CDSL,EQ,09-Mar-2026,"1,224.10","1,199.00","1,214.40","1,175.00","1,212.80","1,210.50","1,195.53","20,81,372","2,48,83,43,317.00","72,343","6,05,781",29.1
CDSL,EQ,06-Mar-2026,"1,239.60","1,226.00","1,248.00","1,221.90","1,226.00","1,224.10","1,234.15","11,19,602","1,38,17,61,847.20","37,281","4,29,613",38.37
CDSL,EQ,05-Mar-2026,"1,209.40","1,226.00","1,244.00","1,213.00","1,241.60","1,239.60","1,226.56","15,33,461","1,88,08,79,283.70","53,301","4,49,252",29.3
CDSL,EQ,04-Mar-2026,"1,228.30","1,210.00","1,218.50","1,188.00","1,209.50","1,209.40","1,204.29","25,61,793","3,08,51,37,072.80","1,05,539","9,21,774",35.98
CDSL,EQ,02-Mar-2026,"1,272.20","1,205.20","1,253.00","1,205.20","1,231.00","1,228.30","1,231.65","31,50,540","3,88,03,65,474.60","1,19,933","12,86,025",40.82
CDSL,EQ,27-Feb-2026,"1,295.80","1,290.00","1,299.00","1,268.00","1,272.00","1,272.20","1,277.23","16,82,338","2,14,87,38,672.10","59,688","5,29,958",31.5
CDSL,EQ,26-Feb-2026,"1,326.80","1,324.00","1,324.00","1,284.00","1,292.00","1,295.80","1,297.65","33,19,781","4,30,79,17,114.00","89,920","10,13,943",30.54
CDSL,EQ,25-Feb-2026,"1,324.80","1,329.00","1,338.80","1,319.50","1,326.00","1,326.80","1,329.78","8,73,158","1,16,11,04,797.60","25,408","3,62,783",41.55
CDSL,EQ,24-Feb-2026,"1,334.30","1,325.90","1,342.00","1,318.40","1,328.20","1,324.80","1,327.98","13,12,682","1,74,32,19,224.30","34,196","4,83,939",36.87
CDSL,EQ,23-Feb-2026,"1,320.40","1,330.00","1,338.80","1,320.10","1,335.40","1,334.30","1,330.67","9,01,439","1,19,95,18,640.20","27,296","2,95,713",32.8
CDSL,EQ,20-Feb-2026,"1,320.30","1,320.50","1,331.50","1,317.00","1,320.50","1,320.40","1,324.03","10,72,874","1,42,05,21,623.10","32,956","4,47,497",41.71
CDSL,EQ,19-Feb-2026,"1,355.70","1,355.70","1,365.00","1,313.50","1,319.00","1,320.30","1,335.11","12,02,401","1,60,53,33,124.00","43,000","4,65,114",38.68
CDSL,EQ,18-Feb-2026,"1,339.40","1,340.10","1,358.40","1,334.00","1,356.00","1,355.70","1,346.66","13,66,930","1,84,07,95,384.10","37,714","5,30,243",38.79
CDSL,EQ,17-Feb-2026,"1,353.70","1,352.60","1,353.00","1,333.20","1,339.80","1,339.40","1,342.19","9,01,508","1,20,99,98,213.90","33,898","3,43,072",38.06
CDSL,EQ,16-Feb-2026,"1,335.30","1,300.00","1,362.60","1,282.80","1,353.80","1,353.70","1,339.23","17,09,640","2,28,96,04,713.60","47,531","3,15,808",18.47
CDSL,EQ,13-Feb-2026,"1,370.20","1,350.00","1,359.00","1,321.10","1,335.60","1,335.30","1,336.86","16,63,043","2,22,32,47,467.40","58,059","5,28,503",31.78
CDSL,EQ,12-Feb-2026,"1,397.20","1,395.00","1,395.10","1,367.00","1,369.40","1,370.20","1,375.71","11,33,736","1,55,96,96,587.20","37,948","4,59,692",40.55
CDSL,EQ,11-Feb-2026,"1,400.90","1,407.90","1,409.00","1,385.00","1,395.00","1,397.20","1,395.60","13,02,246","1,81,74,20,037.30","37,208","4,14,549",31.83
CDSL,EQ,10-Feb-2026,"1,374.30","1,386.50","1,412.00","1,381.20","1,400.00","1,400.90","1,400.75","25,40,851","3,55,90,97,648.10","71,989","6,86,111",27.0
CDSL,EQ,09-Feb-2026,"1,331.40","1,349.30","1,377.40","1,342.20","1,374.00","1,374.30","1,363.83","16,39,681","2,23,62,42,241.00","53,533","6,10,856",37.25
CDSL,EQ,06-Feb-2026,"1,363.30","1,362.00","1,362.00","1,315.10","1,328.90","1,331.40","1,326.34","18,01,895","2,38,99,19,012.30","54,744","5,23,906",29.08
CDSL,EQ,05-Feb-2026,"1,366.30","1,363.00","1,368.00","1,340.60","1,362.00","1,363.30","1,355.69","14,62,213","1,98,23,05,702.40","39,929","6,12,197",41.87
CDSL,EQ,04-Feb-2026,"1,343.00","1,344.80","1,372.00","1,329.60","1,366.50","1,366.30","1,352.04","27,83,558","3,76,34,69,366.00","66,308","10,79,342",38.78
CDSL,EQ,03-Feb-2026,"1,237.20","1,331.60","1,357.30","1,318.40","1,342.10","1,343.00","1,339.72","54,10,284","7,24,82,58,614.10","1,37,916","23,17,108",42.83
CDSL,EQ,02-Feb-2026,"1,230.30","1,229.00","1,244.60","1,195.00","1,240.10","1,237.20","1,218.77","33,07,440","4,03,10,01,428.10","1,11,460","11,10,528",33.58
CDSL,EQ,01-Feb-2026,"1,320.20","1,315.00","1,315.90","1,196.30","1,231.00","1,230.30","1,253.12","57,85,378","7,24,97,52,975.00","2,19,649","21,65,456",37.43
CDSL,EQ,30-Jan-2026,"1,323.00","1,317.30","1,339.80","1,302.10","1,319.60","1,320.20","1,324.25","18,30,315","2,42,37,87,377.60","52,151","7,13,660",38.99
CDSL,EQ,29-Jan-2026,"1,356.90","1,357.90","1,359.60","1,313.30","1,324.00","1,323.00","1,326.02","25,30,693","3,35,57,49,276.60","78,040","12,22,670",48.31
CDSL,EQ,28-Jan-2026,"1,322.10","1,327.00","1,359.40","1,326.00","1,357.80","1,356.90","1,343.50","16,96,080","2,27,86,91,409.30","44,518","6,82,677",40.25
CDSL,EQ,27-Jan-2026,"1,326.30","1,326.60","1,344.80","1,297.00","1,332.00","1,322.10","1,319.88","19,76,187","2,60,83,35,467.80","67,871","5,49,671",27.81
CDSL,EQ,23-Jan-2026,"1,356.60","1,356.60","1,374.00","1,322.50","1,326.60","1,326.30","1,350.61","12,04,091","1,62,62,58,593.90","44,537","3,90,187",32.41
CDSL,EQ,22-Jan-2026,"1,333.80","1,345.00","1,382.00","1,345.00","1,358.70","1,356.60","1,366.04","14,54,883","1,98,74,26,174.70","42,827","3,74,825",25.76
CDSL,EQ,21-Jan-2026,"1,341.00","1,337.60","1,352.80","1,310.90","1,336.90","1,333.80","1,333.33","21,64,548","2,88,60,58,528.00","71,436","5,55,011",25.64
CDSL,EQ,20-Jan-2026,"1,414.90","1,415.00","1,415.20","1,334.40","1,342.60","1,341.00","1,367.40","36,60,268","5,00,50,51,003.60","1,30,556","14,21,273",38.83
CDSL,EQ,19-Jan-2026,"1,434.30","1,430.00","1,437.50","1,410.10","1,415.00","1,414.90","1,422.06","9,51,384","1,35,29,27,185.50","33,584","2,50,365",26.32
CDSL,EQ,16-Jan-2026,"1,415.60","1,417.00","1,451.70","1,417.00","1,435.00","1,434.30","1,437.22","18,32,515","2,63,37,28,043.20","49,813","5,21,366",28.45
CDSL,EQ,14-Jan-2026,"1,419.90","1,419.00","1,432.30","1,410.00","1,415.00","1,415.60","1,420.24","12,53,505","1,78,02,81,019.80","33,510","5,08,577",40.57
CDSL,EQ,13-Jan-2026,"1,417.50","1,420.00","1,437.40","1,402.10","1,419.00","1,419.90","1,417.96","12,88,820","1,82,75,00,754.50","42,210","3,50,211",27.17
CDSL,EQ,12-Jan-2026,"1,409.70","1,408.00","1,429.60","1,395.10","1,419.40","1,417.50","1,413.70","17,64,414","2,49,43,47,522.60","56,192","4,48,909",25.44
CDSL,EQ,09-Jan-2026,"1,438.20","1,432.70","1,450.90","1,403.10","1,411.00","1,409.70","1,425.87","20,28,398","2,89,22,29,329.90","70,516","7,50,843",37.02
CDSL,EQ,08-Jan-2026,"1,475.60","1,473.90","1,480.30","1,433.50","1,436.00","1,438.20","1,447.76","18,08,746","2,61,86,34,173.80","55,918","8,53,791",47.2
CDSL,EQ,07-Jan-2026,"1,457.00","1,452.10","1,479.90","1,446.30","1,474.00","1,475.60","1,470.84","8,54,521","1,25,68,63,438.60","28,491","3,38,876",39.66
CDSL,EQ,06-Jan-2026,"1,468.60","1,469.00","1,477.40","1,448.30","1,456.10","1,457.00","1,462.05","9,17,193","1,34,09,77,609.40","32,514","2,98,137",32.51
CDSL,EQ,05-Jan-2026,"1,466.60","1,465.00","1,479.00","1,452.10","1,467.80","1,468.60","1,464.43","15,34,959","2,24,78,34,434.00","57,235","6,54,406",42.63
CDSL,EQ,02-Jan-2026,"1,446.20","1,446.20","1,467.80","1,440.90","1,466.60","1,466.60","1,461.28","10,61,313","1,55,08,73,032.30","41,333","4,97,243",46.85
CDSL,EQ,01-Jan-2026,"1,443.60","1,443.70","1,452.00","1,436.00","1,446.50","1,446.20","1,444.57","6,81,478","98,44,45,142.70","31,203","2,49,176",36.56
