symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CGPOWER,EQ,22-Jan-2025,658.05,663.6,666.3,614.95,637.4,637.25,630.12,"91,76,460","5,78,22,92,648.55","1,64,440","60,49,770",65.93
CGPOWER,EQ,23-Jan-2025,637.25,635.0,647.35,623.7,627.0,627.9,631.56,"27,23,623","1,72,01,17,856.15","83,875","14,28,211",52.44
CGPOWER,EQ,24-Jan-2025,627.9,632.95,640.8,617.1,620.5,620.55,625.61,"30,27,288","1,89,39,11,312.10","71,148","14,65,125",48.40
CGPOWER,EQ,27-Jan-2025,620.55,617.95,617.95,587.95,596.65,595.45,595.34,"45,11,585","2,68,59,45,991.15","1,08,316","25,44,211",56.39
CGPOWER,EQ,28-Jan-2025,595.45,599.0,602.7,517.75,573.9,574.95,556.25,"2,29,29,049","12,75,43,06,431.30","3,64,855","82,58,398",36.02
CGPOWER,EQ,29-Jan-2025,574.95,574.95,630.0,574.95,618.0,625.75,614.29,"1,13,94,085","6,99,92,66,455.35","2,43,896","23,88,311",20.96
CGPOWER,EQ,30-Jan-2025,625.75,626.05,632.8,613.85,619.5,620.6,621.45,"34,81,632","2,16,36,65,523.85","1,05,869","13,31,962",38.26
CGPOWER,EQ,31-Jan-2025,620.6,623.7,645.0,619.0,638.55,634.85,634.73,"25,50,206","1,61,87,03,540.95","88,762","11,37,161",44.59
CGPOWER,EQ,01-Feb-2025,634.85,639.0,647.0,597.35,610.0,612.0,619.76,"27,01,115","1,67,40,41,196.80","84,650","8,28,355",30.67
CGPOWER,EQ,03-Feb-2025,612.0,609.95,609.95,575.5,585.8,585.5,587.51,"46,95,680","2,75,87,46,474.50","1,24,999","23,26,378",49.54
CGPOWER,EQ,04-Feb-2025,585.5,591.8,608.8,591.8,604.2,603.85,601.87,"38,24,032","2,30,15,59,136.00","99,080","21,70,989",56.77
CGPOWER,EQ,05-Feb-2025,603.85,607.2,630.9,603.0,625.8,629.6,623.56,"33,10,308","2,06,41,90,614.65","84,191","15,83,790",47.84
CGPOWER,EQ,06-Feb-2025,629.6,632.0,632.8,608.85,615.0,614.65,618.15,"15,63,407","96,64,16,103.70","61,084","5,49,512",35.15
CGPOWER,EQ,07-Feb-2025,614.65,617.0,624.95,610.45,615.1,617.45,617.37,"13,84,156","85,45,43,131.85","60,447","5,50,711",39.79
CGPOWER,EQ,10-Feb-2025,617.45,616.5,616.5,583.75,591.0,592.0,592.05,"40,93,785","2,42,37,16,047.90","88,660","24,21,907",59.16
CGPOWER,EQ,11-Feb-2025,592.0,592.0,592.3,573.5,583.45,588.0,582.74,"29,02,387","1,69,13,51,138.60","70,388","9,26,273",31.91
CGPOWER,EQ,12-Feb-2025,588.0,584.0,585.95,561.0,578.25,576.75,573.73,"28,21,502","1,61,87,92,127.25","79,912","11,82,626",41.91
CGPOWER,EQ,13-Feb-2025,576.75,583.0,594.6,575.35,577.85,579.5,585.41,"16,32,132","95,54,68,810.15","51,440","5,47,265",33.53
CGPOWER,EQ,14-Feb-2025,579.5,581.9,583.95,548.65,554.75,552.35,558.07,"33,52,198","1,87,07,73,783.65","78,678","14,71,195",43.89
CGPOWER,EQ,17-Feb-2025,552.35,545.05,587.0,537.1,585.7,583.0,569.62,"47,14,045","2,68,52,29,608.55","1,18,933","18,93,213",40.16
CGPOWER,EQ,18-Feb-2025,583.0,586.0,589.15,569.05,576.0,578.75,576.81,"22,17,415","1,27,90,17,051.60","61,127","8,54,495",38.54
CGPOWER,EQ,19-Feb-2025,578.75,571.0,595.3,564.55,586.9,584.2,586.03,"19,64,251","1,15,11,02,748.90","60,947","7,34,244",37.38
CGPOWER,EQ,20-Feb-2025,584.2,584.2,598.8,572.55,594.45,595.8,589.31,"20,44,206","1,20,46,80,943.00","80,795","8,78,772",42.99
CGPOWER,EQ,21-Feb-2025,595.8,594.0,600.1,581.5,587.0,589.95,589.63,"17,20,514","1,01,44,60,153.00","74,523","5,88,385",34.20
CGPOWER,EQ,24-Feb-2025,589.95,577.0,605.8,570.25,600.7,602.5,589.29,"31,26,346","1,84,23,17,141.15","84,515","9,84,089",31.48
CGPOWER,EQ,25-Feb-2025,602.5,600.7,611.65,595.65,598.0,598.5,602.05,"36,37,028","2,18,96,62,064.35","71,578","17,13,494",47.11
CGPOWER,EQ,27-Feb-2025,598.5,598.0,598.15,575.0,580.3,580.35,580.93,"1,00,87,384","5,86,00,35,567.80","1,23,847","78,08,983",77.41
CGPOWER,EQ,28-Feb-2025,580.35,576.0,591.95,563.25,571.3,572.6,574.95,"85,38,196","4,90,89,94,417.80","1,18,098","41,11,558",48.15
CGPOWER,EQ,03-Mar-2025,572.6,570.1,589.75,548.15,585.0,586.7,570.48,"80,35,267","4,58,39,51,779.85","1,78,926","41,72,781",51.93
CGPOWER,EQ,04-Mar-2025,586.7,578.0,607.3,569.1,603.85,603.3,594.7,"31,40,173","1,86,74,74,941.15","72,259","16,35,306",52.08
CGPOWER,EQ,05-Mar-2025,603.3,598.3,615.85,598.3,612.15,612.9,610.82,"28,01,610","1,71,12,85,774.45","70,829","11,99,612",42.82
CGPOWER,EQ,06-Mar-2025,612.9,617.65,631.5,615.95,627.0,628.1,624.56,"29,70,429","1,85,52,20,435.15","52,659","13,93,950",46.93
CGPOWER,EQ,07-Mar-2025,628.1,628.2,632.75,620.1,630.95,630.05,627.49,"23,50,526","1,47,49,30,696.40","53,054","11,58,584",49.29
CGPOWER,EQ,10-Mar-2025,630.05,635.0,645.0,590.0,593.0,596.8,612.65,"38,89,248","2,38,27,55,433.25","1,15,046","17,88,352",45.98
