symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CHOLAFIN,EQ,25-Mar-2026,"1,418.90","1,442.00","1,483.30","1,428.70","1,474.00","1,473.80","1,469.34","25,69,710","3,77,57,66,736.90","91,567","16,96,711",66.03
CHOLAFIN,EQ,24-Mar-2026,"1,380.90","1,400.00","1,428.00","1,375.20","1,427.90","1,418.90","1,405.22","24,57,386","3,45,31,60,091.80","1,13,229","13,61,622",55.41
CHOLAFIN,EQ,23-Mar-2026,"1,440.50","1,429.70","1,429.70","1,375.60","1,381.60","1,380.90","1,389.77","25,69,553","3,57,10,90,882.90","86,676","14,80,327",57.61
CHOLAFIN,EQ,20-Mar-2026,"1,455.10","1,460.00","1,468.00","1,436.30","1,440.00","1,440.50","1,450.47","24,52,413","3,55,71,42,941.10","92,478","16,02,505",65.34
CHOLAFIN,EQ,19-Mar-2026,"1,524.20","1,500.00","1,504.70","1,445.10","1,465.00","1,455.10","1,471.16","18,22,028","2,68,04,99,933.70","60,020","10,61,076",58.24
CHOLAFIN,EQ,18-Mar-2026,"1,529.00","1,530.50","1,547.30","1,510.40","1,523.00","1,524.20","1,523.52","20,77,220","3,16,46,86,285.10","62,010","14,01,018",67.45
CHOLAFIN,EQ,17-Mar-2026,"1,527.10","1,530.10","1,557.40","1,511.00","1,529.00","1,529.00","1,529.55","9,72,406","1,48,73,44,151.90","55,067","4,49,435",46.22
CHOLAFIN,EQ,16-Mar-2026,"1,514.00","1,514.00","1,542.30","1,485.00","1,522.30","1,527.10","1,527.00","29,59,644","4,51,93,75,674.30","93,751","19,41,978",65.62
CHOLAFIN,EQ,13-Mar-2026,"1,526.10","1,515.90","1,531.80","1,500.00","1,515.00","1,514.00","1,514.38","14,52,053","2,19,89,57,107.00","81,875","8,64,153",59.51
CHOLAFIN,EQ,12-Mar-2026,"1,557.40","1,548.00","1,552.30","1,510.00","1,522.00","1,526.10","1,530.57","23,52,076","3,60,00,20,247.30","74,095","15,15,901",64.45
CHOLAFIN,EQ,11-Mar-2026,"1,621.90","1,620.10","1,622.30","1,553.10","1,556.00","1,557.40","1,583.53","14,99,792","2,37,49,66,482.50","66,233","7,28,261",48.56
CHOLAFIN,EQ,10-Mar-2026,"1,583.00","1,606.00","1,632.90","1,593.00","1,631.00","1,621.90","1,619.52","10,62,910","1,72,14,05,477.50","57,660","5,84,249",54.97
CHOLAFIN,EQ,09-Mar-2026,"1,626.30","1,575.00","1,589.40","1,465.00","1,587.60","1,583.00","1,551.39","17,56,873","2,72,55,88,660.60","67,594","8,30,058",47.25
CHOLAFIN,EQ,06-Mar-2026,"1,669.00","1,664.00","1,674.60","1,620.00","1,621.50","1,626.30","1,639.66","10,22,219","1,67,60,92,214.50","52,577","5,52,314",54.03
CHOLAFIN,EQ,05-Mar-2026,"1,653.60","1,655.00","1,690.40","1,639.60","1,668.00","1,669.00","1,661.88","20,76,383","3,45,06,90,922.90","72,508","12,13,912",58.46
CHOLAFIN,EQ,04-Mar-2026,"1,703.70","1,695.90","1,695.90","1,628.10","1,652.30","1,653.60","1,645.33","15,09,341","2,48,33,58,089.00","71,626","8,84,647",58.61
CHOLAFIN,EQ,02-Mar-2026,"1,730.80","1,661.00","1,722.10","1,661.00","1,695.80","1,703.70","1,701.53","9,85,503","1,67,68,67,726.20","62,912","5,90,915",59.96
CHOLAFIN,EQ,27-Feb-2026,"1,748.10","1,740.00","1,752.50","1,722.40","1,730.50","1,730.80","1,737.14","18,44,360","3,20,39,12,793.30","71,308","11,46,857",62.18
CHOLAFIN,EQ,26-Feb-2026,"1,754.50","1,754.90","1,774.60","1,628.00","1,745.90","1,748.10","1,704.48","93,82,761","15,99,27,60,028.00","2,98,652","37,81,252",40.30
CHOLAFIN,EQ,25-Feb-2026,"1,735.10","1,746.00","1,757.00","1,727.60","1,757.00","1,754.50","1,746.19","7,79,164","1,36,05,66,421.60","43,324","4,20,500",53.97
CHOLAFIN,EQ,24-Feb-2026,"1,689.80","1,686.30","1,740.00","1,663.40","1,738.00","1,735.10","1,694.20","20,32,442","3,44,33,71,378.50","1,04,614","10,96,432",53.95
CHOLAFIN,EQ,23-Feb-2026,"1,669.60","1,677.50","1,706.80","1,672.70","1,693.90","1,689.80","1,692.22","7,31,931","1,23,85,85,937.00","65,581","4,10,224",56.05
CHOLAFIN,EQ,20-Feb-2026,"1,676.60","1,670.60","1,686.00","1,662.00","1,671.50","1,669.60","1,674.58","6,43,936","1,07,83,23,471.90","36,924","3,49,235",54.23
CHOLAFIN,EQ,19-Feb-2026,"1,717.00","1,725.20","1,728.90","1,671.70","1,679.50","1,676.60","1,698.84","9,47,586","1,60,98,01,274.40","36,837","5,77,874",60.98
CHOLAFIN,EQ,18-Feb-2026,"1,732.10","1,730.00","1,732.10","1,709.60","1,714.00","1,717.00","1,717.13","12,54,525","2,15,41,81,333.50","40,450","8,95,350",71.37
CHOLAFIN,EQ,17-Feb-2026,"1,714.80","1,713.00","1,737.60","1,695.00","1,730.50","1,732.10","1,719.85","3,24,355","55,78,42,198.90","25,129","1,26,007",38.85
CHOLAFIN,EQ,16-Feb-2026,"1,709.40","1,692.00","1,721.40","1,683.80","1,709.00","1,714.80","1,699.74","9,00,028","1,52,98,09,456.10","38,929","5,74,244",63.80
CHOLAFIN,EQ,13-Feb-2026,"1,731.80","1,727.30","1,731.00","1,703.00","1,706.70","1,709.40","1,709.64","15,44,271","2,64,01,51,547.90","44,437","11,49,371",74.43
CHOLAFIN,EQ,12-Feb-2026,"1,723.00","1,718.00","1,741.00","1,699.00","1,738.00","1,731.80","1,726.10","13,16,309","2,27,20,79,148.00","38,011","8,30,190",63.07
CHOLAFIN,EQ,11-Feb-2026,"1,726.20","1,732.00","1,736.20","1,714.60","1,718.20","1,723.00","1,725.43","3,21,552","55,48,15,617.80","17,975","1,64,143",51.05
CHOLAFIN,EQ,10-Feb-2026,"1,770.20","1,775.00","1,776.70","1,721.60","1,724.40","1,726.20","1,734.60","11,61,279","2,01,43,51,003.60","29,585","7,89,219",67.96
CHOLAFIN,EQ,09-Feb-2026,"1,742.20","1,760.00","1,776.70","1,750.30","1,770.20","1,770.20","1,768.15","16,02,785","2,83,39,61,167.60","50,161","9,94,257",62.03
CHOLAFIN,EQ,06-Feb-2026,"1,722.30","1,711.20","1,748.00","1,701.80","1,741.10","1,742.20","1,723.32","11,97,294","2,06,33,21,981.30","40,999","7,16,520",59.84
CHOLAFIN,EQ,05-Feb-2026,"1,739.50","1,740.00","1,745.00","1,717.10","1,721.60","1,722.30","1,725.25","3,91,219","67,49,52,317.20","28,155","2,01,189",51.43
CHOLAFIN,EQ,04-Feb-2026,"1,694.40","1,694.40","1,742.90","1,666.70","1,730.00","1,739.50","1,729.09","23,66,864","4,09,25,09,247.20","63,016","16,42,173",69.38
CHOLAFIN,EQ,03-Feb-2026,"1,594.30","1,689.80","1,740.00","1,674.40","1,696.40","1,694.40","1,701.27","29,72,692","5,05,73,53,959.20","95,202","15,32,967",51.57
CHOLAFIN,EQ,02-Feb-2026,"1,579.50","1,570.90","1,598.20","1,527.00","1,594.00","1,594.30","1,570.05","27,89,681","4,37,99,41,149.10","1,07,333","15,56,978",55.81
CHOLAFIN,EQ,01-Feb-2026,"1,631.60","1,618.00","1,649.00","1,565.60","1,587.00","1,579.50","1,612.74","6,74,879","1,08,84,02,317.60","36,446","2,06,720",30.63
CHOLAFIN,EQ,30-Jan-2026,"1,648.90","1,650.00","1,669.50","1,617.90","1,628.80","1,631.60","1,637.42","17,16,319","2,81,03,28,105.90","65,211","10,14,782",59.13
CHOLAFIN,EQ,29-Jan-2026,"1,636.80","1,629.00","1,658.80","1,607.40","1,651.60","1,648.90","1,627.37","22,89,696","3,72,61,85,578.00","70,688","16,04,762",70.09
CHOLAFIN,EQ,28-Jan-2026,"1,639.70","1,650.90","1,653.00","1,630.10","1,637.00","1,636.80","1,639.39","10,66,301","1,74,80,87,126.60","46,457","6,79,196",63.70
CHOLAFIN,EQ,27-Jan-2026,"1,643.20","1,648.70","1,666.40","1,623.80","1,642.50","1,639.70","1,641.62","16,73,143","2,74,66,61,533.00","57,349","11,34,182",67.79
CHOLAFIN,EQ,23-Jan-2026,"1,664.00","1,664.00","1,667.00","1,638.30","1,648.70","1,643.20","1,654.49","10,68,908","1,76,85,00,865.00","47,662","6,56,148",61.38
CHOLAFIN,EQ,22-Jan-2026,"1,627.80","1,631.10","1,669.60","1,628.90","1,664.00","1,664.00","1,652.85","12,41,584","2,05,21,50,151.70","54,274","7,94,742",64.01
CHOLAFIN,EQ,21-Jan-2026,"1,649.90","1,640.00","1,660.50","1,617.70","1,628.00","1,627.80","1,632.17","10,24,168","1,67,16,20,410.50","47,414","5,62,774",54.95
CHOLAFIN,EQ,20-Jan-2026,"1,700.40","1,700.20","1,702.30","1,644.20","1,647.20","1,649.90","1,666.90","19,74,356","3,29,10,46,474.40","98,399","13,05,453",66.12
CHOLAFIN,EQ,19-Jan-2026,"1,699.20","1,698.00","1,726.20","1,691.00","1,704.20","1,700.40","1,707.67","12,33,939","2,10,71,55,933.30","42,586","7,62,785",61.82
CHOLAFIN,EQ,16-Jan-2026,"1,689.50","1,689.50","1,707.90","1,676.90","1,698.40","1,699.20","1,688.66","27,96,464","4,72,22,68,041.00","1,11,890","19,32,586",69.11
CHOLAFIN,EQ,14-Jan-2026,"1,701.10","1,690.10","1,714.70","1,681.00","1,692.60","1,689.50","1,695.31","21,11,292","3,57,93,00,610.50","61,393","14,25,036",67.50
CHOLAFIN,EQ,13-Jan-2026,"1,710.80","1,716.00","1,726.70","1,691.00","1,700.10","1,701.10","1,702.93","19,14,112","3,25,96,08,081.40","56,148","12,92,337",67.52
CHOLAFIN,EQ,12-Jan-2026,"1,717.10","1,715.00","1,730.90","1,693.30","1,707.90","1,710.80","1,706.96","24,24,388","4,13,83,26,007.20","56,355","16,11,675",66.48
CHOLAFIN,EQ,09-Jan-2026,"1,754.00","1,754.00","1,763.30","1,709.90","1,722.00","1,717.10","1,727.05","14,93,038","2,57,85,45,111.30","36,302","9,79,989",65.64
CHOLAFIN,EQ,08-Jan-2026,"1,786.50","1,790.00","1,790.00","1,735.50","1,755.00","1,754.00","1,752.82","14,08,255","2,46,84,13,467.60","49,431","8,95,661",63.60
