symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COALINDIA,EQ,25-Mar-2026,442.1,443.55,446.4,438.8,443.95,443.7,443.46,"86,30,612","3,82,73,01,246.30","1,22,698","41,79,865",48.43
COALINDIA,EQ,24-Mar-2026,455.25,463.0,463.0,439.0,441.6,442.1,443.63,"2,03,20,746","9,01,48,94,025.60","1,77,980","95,43,633",46.96
COALINDIA,EQ,23-Mar-2026,468.15,466.0,466.0,450.65,456.25,455.25,456.07,"1,01,63,783","4,63,53,88,169.95","1,39,845","49,28,957",48.50
COALINDIA,EQ,20-Mar-2026,454.2,456.7,472.4,456.2,467.8,468.15,468.01,"2,38,78,653","11,17,55,32,570.65","1,75,526","1,40,59,686",58.88
COALINDIA,EQ,19-Mar-2026,455.2,450.9,460.0,450.65,454.4,454.2,455.84,"1,01,92,726","4,64,62,66,435.15","1,56,741","32,16,004",31.55
COALINDIA,EQ,18-Mar-2026,462.25,462.25,462.85,449.2,457.2,455.2,453.93,"95,39,041","4,33,00,90,791.40","1,21,207","38,46,675",40.33
COALINDIA,EQ,17-Mar-2026,460.3,460.3,465.5,458.0,460.6,462.25,462.31,"91,93,238","4,25,01,40,693.45","1,38,821","40,34,630",43.89
COALINDIA,EQ,16-Mar-2026,467.0,467.0,470.8,456.0,459.0,460.3,461.15,"1,23,12,203","5,67,78,03,857.10","1,49,415","55,01,836",44.69
COALINDIA,EQ,13-Mar-2026,470.1,473.0,476.0,462.3,466.5,467.0,467.88,"2,02,16,953","9,45,91,00,493.35","2,02,970","75,96,409",37.57
COALINDIA,EQ,12-Mar-2026,446.75,446.75,474.0,445.0,470.0,470.1,464.88,"2,73,28,045","12,70,43,11,424.80","3,06,822","1,00,44,801",36.76
COALINDIA,EQ,11-Mar-2026,443.55,447.0,453.9,445.15,446.9,446.75,448.85,"99,75,869","4,47,76,90,838.80","1,33,368","38,78,412",38.88
COALINDIA,EQ,10-Mar-2026,437.65,444.8,444.9,433.75,443.45,443.55,440.58,"1,08,60,312","4,78,47,92,809.90","1,37,654","49,44,803",45.53
COALINDIA,EQ,09-Mar-2026,440.45,439.0,447.2,434.8,438.5,437.65,440.89,"1,58,24,576","6,97,68,40,782.80","2,16,806","56,08,643",35.44
COALINDIA,EQ,06-Mar-2026,449.4,451.15,451.6,438.6,441.5,440.45,443.12,"1,05,53,695","4,67,65,59,317.25","1,09,915","52,76,151",49.99
COALINDIA,EQ,05-Mar-2026,435.15,440.15,458.5,440.0,448.0,449.4,452.33,"3,01,06,255","13,61,78,20,467.20","3,19,958","1,20,73,134",40.10
COALINDIA,EQ,04-Mar-2026,426.25,426.0,437.9,426.0,434.15,435.15,434.7,"1,89,21,256","8,22,49,95,948.40","2,95,289","77,28,254",40.84
COALINDIA,EQ,02-Mar-2026,430.65,417.9,429.6,416.0,425.45,426.25,424.15,"74,98,197","3,18,03,78,808.40","1,22,596","31,92,591",42.58
COALINDIA,EQ,27-Feb-2026,433.5,432.8,434.4,425.45,430.5,430.65,430.01,"81,47,373","3,50,34,33,698.10","90,958","46,02,703",56.49
COALINDIA,EQ,26-Feb-2026,438.6,438.75,439.55,429.5,432.0,433.5,434.26,"86,50,353","3,75,64,96,194.15","1,38,812","51,15,513",59.14
COALINDIA,EQ,25-Feb-2026,430.95,430.95,439.65,428.55,437.5,438.6,436.16,"89,35,314","3,89,72,12,708.70","1,08,052","51,76,789",57.94
COALINDIA,EQ,24-Feb-2026,426.0,424.0,432.0,422.1,431.45,430.95,427.73,"89,50,772","3,82,84,76,960.65","95,225","49,73,867",55.57
COALINDIA,EQ,23-Feb-2026,423.55,426.0,427.5,418.95,426.0,426.0,422.64,"65,15,765","2,75,38,12,457.80","70,589","35,60,862",54.65
COALINDIA,EQ,20-Feb-2026,416.15,416.0,425.5,415.05,423.0,423.55,422.78,"88,43,227","3,73,87,17,043.95","79,659","42,32,850",47.87
COALINDIA,EQ,19-Feb-2026,418.0,418.0,419.85,414.6,415.6,416.15,416.81,"38,24,366","1,59,40,40,593.65","61,662","19,64,980",51.38
COALINDIA,EQ,18-Feb-2026,421.55,418.45,418.8,413.1,418.2,418.0,415.89,"48,72,345","2,02,63,64,427.70","80,350","26,27,368",53.92
COALINDIA,EQ,17-Feb-2026,422.5,422.25,424.6,418.5,422.0,421.55,421.36,"45,64,907","1,92,34,76,571.55","65,330","19,26,666",42.21
COALINDIA,EQ,16-Feb-2026,408.95,408.0,423.85,406.6,422.3,422.5,420.44,"97,19,418","4,08,64,71,454.25","1,11,707","39,13,220",40.26
COALINDIA,EQ,13-Feb-2026,419.15,412.3,417.6,408.1,409.3,408.95,410.83,"81,90,851","3,36,50,84,546.60","1,06,453","36,77,393",44.90
COALINDIA,EQ,12-Feb-2026,423.25,423.75,425.95,416.15,419.2,419.15,419.93,"59,87,886","2,51,44,64,088.45","84,962","28,00,848",46.78
COALINDIA,EQ,11-Feb-2026,430.95,426.2,427.95,420.3,423.75,423.25,422.65,"57,15,603","2,41,56,88,132.20","79,825","25,34,978",44.35
COALINDIA,EQ,10-Feb-2026,431.7,432.0,433.75,428.7,430.2,430.95,430.58,"51,03,221","2,19,73,29,606.05","77,908","25,87,054",50.69
COALINDIA,EQ,09-Feb-2026,432.8,434.0,434.8,429.8,431.45,431.7,431.63,"45,12,635","1,94,77,86,149.40","79,215","25,57,694",56.68
COALINDIA,EQ,06-Feb-2026,431.85,430.55,434.2,427.05,432.0,432.8,430.26,"47,38,027","2,03,86,00,300.00","79,193","23,13,910",48.84
COALINDIA,EQ,05-Feb-2026,434.9,437.0,437.8,427.7,432.6,431.85,431.24,"52,52,658","2,26,51,30,502.05","77,626","23,75,979",45.23
COALINDIA,EQ,04-Feb-2026,429.4,431.5,441.4,428.45,434.0,434.9,435.94,"1,14,76,290","5,00,29,48,690.00","1,14,901","63,55,017",55.38
COALINDIA,EQ,03-Feb-2026,423.5,437.0,437.0,419.95,430.5,429.4,425.47,"1,39,55,805","5,93,78,10,475.55","1,20,215","72,55,312",51.99
COALINDIA,EQ,02-Feb-2026,419.55,419.0,425.5,413.0,421.35,423.5,418.29,"96,18,062","4,02,31,51,708.05","1,03,498","50,00,048",51.99
COALINDIA,EQ,01-Feb-2026,440.75,440.0,440.6,417.5,419.3,419.55,427.81,"61,97,770","2,65,14,60,897.55","89,554","21,54,710",34.77
COALINDIA,EQ,30-Jan-2026,455.75,453.95,453.95,437.0,440.0,440.75,441.61,"1,01,91,610","4,50,06,83,823.50","1,17,202","50,55,748",49.61
COALINDIA,EQ,29-Jan-2026,444.05,446.0,461.55,442.55,455.0,455.75,452.52,"1,69,15,601","7,65,47,11,384.25","1,87,915","83,39,637",49.30
COALINDIA,EQ,28-Jan-2026,422.9,423.5,445.95,421.6,445.2,444.05,438.68,"1,74,96,873","7,67,56,02,623.40","1,67,859","92,74,603",53.01
COALINDIA,EQ,27-Jan-2026,418.4,421.0,426.95,418.9,421.9,422.9,423.03,"87,49,844","3,70,14,85,796.80","1,00,755","41,83,856",47.82
