symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COFORGE,EQ,25-Mar-2026,"1,110.10","1,130.00","1,165.70","1,110.20","1,162.00","1,163.10","1,148.33","44,60,380","5,12,19,94,976.50","1,19,206","23,49,597",52.68
COFORGE,EQ,24-Mar-2026,"1,100.40","1,127.00","1,127.90","1,083.00","1,111.90","1,110.10","1,111.47","30,20,611","3,35,73,03,631.30","80,890","12,92,181",42.78
COFORGE,EQ,23-Mar-2026,"1,089.30","1,077.00","1,107.50","1,064.90","1,098.00","1,100.40","1,092.98","36,39,224","3,97,75,91,951.70","86,787","14,98,035",41.16
COFORGE,EQ,20-Mar-2026,"1,092.30","1,110.00","1,131.00","1,077.30","1,098.00","1,089.30","1,098.48","27,21,237","2,98,92,26,673.90","60,369","8,65,135",31.79
COFORGE,EQ,19-Mar-2026,"1,132.00","1,110.00","1,120.90","1,087.50","1,096.90","1,092.30","1,101.34","26,11,603","2,87,62,72,035.00","69,664","11,47,059",43.92
COFORGE,EQ,18-Mar-2026,"1,073.90","1,084.30","1,148.20","1,081.40","1,129.00","1,132.00","1,130.26","67,62,954","7,64,38,73,959.70","1,44,052","26,30,855",38.90
COFORGE,EQ,17-Mar-2026,"1,080.60","1,087.90","1,087.90","1,008.10","1,080.00","1,073.90","1,046.88","63,18,399","6,61,45,78,362.10","1,50,763","15,28,787",24.20
COFORGE,EQ,16-Mar-2026,"1,089.70","1,076.00","1,101.10","1,070.50","1,077.20","1,080.60","1,083.27","35,04,696","3,79,65,23,468.40","70,782","19,12,579",54.57
COFORGE,EQ,13-Mar-2026,"1,107.90","1,100.00","1,100.00","1,073.00","1,092.00","1,089.70","1,084.49","27,04,974","2,93,35,28,971.80","71,995","12,69,299",46.92
COFORGE,EQ,12-Mar-2026,"1,108.80","1,107.00","1,128.10","1,078.50","1,109.00","1,107.90","1,104.77","41,81,637","4,61,97,36,481.70","98,885","19,51,415",46.67
COFORGE,EQ,11-Mar-2026,"1,139.20","1,145.90","1,159.40","1,105.00","1,111.00","1,108.80","1,125.11","30,30,604","3,40,97,56,457.30","75,896","12,84,427",42.38
COFORGE,EQ,10-Mar-2026,"1,168.50","1,180.10","1,182.00","1,136.00","1,141.40","1,139.20","1,147.40","24,43,222","2,80,33,56,223.40","59,883","9,03,874",37.00
COFORGE,EQ,09-Mar-2026,"1,162.90","1,137.00","1,174.40","1,117.50","1,167.90","1,168.50","1,154.60","22,07,760","2,54,90,80,729.60","59,665","7,55,830",34.24
COFORGE,EQ,06-Mar-2026,"1,152.70","1,152.70","1,181.80","1,148.10","1,165.00","1,162.90","1,162.94","17,41,522","2,02,52,88,169.60","50,517","6,63,416",38.09
COFORGE,EQ,05-Mar-2026,"1,170.00","1,186.00","1,191.00","1,137.10","1,153.00","1,152.70","1,153.68","30,99,614","3,57,59,57,598.80","81,300","13,22,394",42.66
COFORGE,EQ,04-Mar-2026,"1,162.70","1,140.00","1,175.90","1,136.00","1,169.10","1,170.00","1,164.61","30,36,423","3,53,62,37,795.50","96,071","14,42,810",47.52
