symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COLPAL,EQ,25-Mar-2026,"1,877.30","1,894.00","1,927.70","1,877.00","1,919.00","1,920.40","1,912.41","6,93,562","1,32,63,71,666.60","34,368","4,20,392",60.61
COLPAL,EQ,24-Mar-2026,"1,849.20","1,872.00","1,890.00","1,840.00","1,876.70","1,877.30","1,869.71","2,94,115","54,99,10,913.50","26,434","1,54,637",52.58
COLPAL,EQ,23-Mar-2026,"1,896.10","1,894.00","1,894.00","1,838.10","1,850.90","1,849.20","1,853.70","3,36,417","62,36,16,067.80","25,173","1,50,014",44.59
COLPAL,EQ,20-Mar-2026,"1,889.70","1,899.70","1,921.80","1,890.00","1,904.00","1,896.10","1,904.67","3,17,292","60,43,35,959.70","19,578","1,66,911",52.6
COLPAL,EQ,19-Mar-2026,"1,941.60","1,930.10","1,935.20","1,882.60","1,892.00","1,889.70","1,904.08","3,40,333","64,80,19,767.90","23,484","1,38,493",40.69
COLPAL,EQ,18-Mar-2026,"1,932.90","1,933.00","1,956.00","1,928.60","1,942.00","1,941.60","1,944.33","2,14,981","41,79,93,261.20","18,950","99,812",46.43
COLPAL,EQ,17-Mar-2026,"1,941.10","1,949.90","1,958.30","1,930.50","1,933.00","1,932.90","1,941.49","2,89,862","56,27,62,767.80","24,084","1,36,428",47.07
COLPAL,EQ,16-Mar-2026,"1,957.20","1,960.00","1,970.70","1,919.00","1,938.70","1,941.10","1,943.39","3,58,075","69,58,79,576.50","27,038","1,35,434",37.82
COLPAL,EQ,13-Mar-2026,"1,975.80","1,969.70","1,995.00","1,951.00","1,964.00","1,957.20","1,969.45","6,60,968","1,30,17,44,028.60","35,163","2,82,588",42.75
COLPAL,EQ,12-Mar-2026,"2,055.60","2,040.00","2,040.00","1,962.20","1,971.00","1,975.80","1,990.95","8,36,489","1,66,54,06,549.20","57,610","3,20,975",38.37
COLPAL,EQ,11-Mar-2026,"2,198.30","2,198.30","2,198.30","2,046.00","2,051.00","2,055.60","2,091.62","16,59,346","3,47,07,29,110.30","90,186","4,33,623",26.13
COLPAL,EQ,10-Mar-2026,"2,156.30","2,160.00","2,210.70","2,159.20","2,209.00","2,198.30","2,192.94","3,68,736","80,86,16,270.20","24,363","1,87,380",50.82
COLPAL,EQ,09-Mar-2026,"2,204.60","2,193.00","2,193.00","2,140.70","2,160.00","2,156.30","2,156.21","3,09,055","66,63,88,146.10","31,642","1,56,781",50.73
COLPAL,EQ,06-Mar-2026,"2,200.60","2,200.10","2,220.00","2,196.40","2,205.00","2,204.60","2,205.94","2,33,352","51,47,60,005.00","19,198","1,18,727",50.88
COLPAL,EQ,05-Mar-2026,"2,183.70","2,191.00","2,212.20","2,167.00","2,199.00","2,200.60","2,189.35","2,58,081","56,50,29,336.00","22,899","1,17,309",45.45
COLPAL,EQ,04-Mar-2026,"2,214.90","2,198.50","2,204.40","2,178.10","2,186.00","2,183.70","2,192.68","2,72,457","59,74,10,810.20","29,060","1,48,774",54.6
