symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CONCOR,EQ,25-Mar-2026,433.1,443.0,450.55,435.7,445.0,445.15,445.22,"14,69,610","65,43,05,002.80","28,207","7,31,836",49.8
CONCOR,EQ,24-Mar-2026,423.75,435.0,439.0,423.4,439.0,433.1,431.04,"24,23,789","1,04,47,60,698.10","37,482","11,73,568",48.42
CONCOR,EQ,23-Mar-2026,447.3,442.95,442.95,421.45,425.1,423.75,425.91,"25,38,797","1,08,12,95,920.15","53,473","12,98,235",51.14
CONCOR,EQ,20-Mar-2026,440.65,443.9,453.95,443.55,446.85,447.3,449.14,"16,89,715","75,89,21,619.35","27,727","9,03,576",53.48
CONCOR,EQ,19-Mar-2026,458.85,454.0,454.95,438.4,442.5,440.65,444.64,"15,17,788","67,48,72,638.90","32,524","7,66,077",50.47
CONCOR,EQ,18-Mar-2026,452.4,455.0,463.9,452.55,458.55,458.85,460.08,"33,62,845","1,54,71,77,678.10","35,825","12,21,875",36.33
CONCOR,EQ,17-Mar-2026,454.3,458.0,458.0,450.1,452.0,452.4,452.21,"11,78,095","53,27,45,668.00","28,813","6,56,749",55.75
CONCOR,EQ,16-Mar-2026,453.4,453.6,457.5,443.5,452.9,454.3,451.83,"22,68,253","1,02,48,72,348.90","38,222","11,46,360",50.54
CONCOR,EQ,13-Mar-2026,467.15,465.0,466.1,452.0,452.05,453.4,456.62,"15,90,961","72,64,68,359.50","26,448","8,57,821",53.92
CONCOR,EQ,12-Mar-2026,470.45,468.5,471.2,458.45,468.0,467.15,466.36,"39,82,340","1,85,71,89,426.45","48,297","24,06,485",60.43
CONCOR,EQ,11-Mar-2026,472.8,476.0,482.75,468.0,468.5,470.45,477.95,"16,98,903","81,19,88,824.75","34,917","8,69,331",51.17
CONCOR,EQ,10-Mar-2026,473.75,479.0,479.75,468.45,474.2,472.8,473.1,"12,98,211","61,41,79,120.95","30,218","6,86,489",52.88
CONCOR,EQ,09-Mar-2026,479.75,470.0,475.7,461.0,475.35,473.75,470.13,"14,90,001","70,04,88,797.30","40,608","8,38,286",56.26
CONCOR,EQ,06-Mar-2026,479.95,479.0,489.0,476.2,481.2,479.75,485.14,"9,72,797","47,19,40,232.30","21,655","4,80,173",49.36
CONCOR,EQ,05-Mar-2026,462.2,463.45,482.0,459.2,481.05,479.95,471.99,"16,31,195","76,99,12,232.85","29,567","7,93,304",48.63
CONCOR,EQ,04-Mar-2026,479.0,472.0,473.95,460.45,462.0,462.2,464.58,"24,52,543","1,13,94,07,094.25","43,032","13,59,065",55.41
CONCOR,EQ,02-Mar-2026,495.65,488.95,489.1,474.75,480.25,479.0,479.56,"16,56,198","79,42,46,094.65","31,274","8,58,656",51.85
CONCOR,EQ,27-Feb-2026,499.85,499.0,501.3,490.5,495.0,495.65,495.99,"17,65,303","87,55,73,699.45","22,586","10,97,682",62.18
CONCOR,EQ,26-Feb-2026,500.7,501.05,502.6,496.0,500.0,499.85,499.48,"4,55,187","22,73,54,727.50","16,401","2,13,065",46.81
CONCOR,EQ,25-Feb-2026,505.5,506.0,507.6,498.7,500.6,500.7,502.74,"8,37,478","42,10,31,891.15","21,228","4,08,873",48.82
CONCOR,EQ,24-Feb-2026,507.05,507.05,507.2,498.8,506.0,505.5,502.86,"9,07,856","45,65,28,761.15","20,702","3,80,206",41.88
CONCOR,EQ,23-Feb-2026,503.0,505.0,512.45,504.0,507.2,507.05,507.23,"6,76,014","34,28,91,547.90","23,794","3,07,301",45.46
CONCOR,EQ,20-Feb-2026,505.75,503.5,506.65,501.4,503.8,503.0,503.82,"5,00,149","25,19,86,109.50","13,220","2,38,742",47.73
CONCOR,EQ,19-Feb-2026,506.55,507.5,509.55,501.1,502.0,505.75,505.48,"13,96,400","70,58,45,305.70","20,483","9,27,589",66.43
CONCOR,EQ,18-Feb-2026,505.5,505.55,508.45,501.5,506.0,506.55,505.82,"8,62,450","43,62,44,237.65","22,337","4,88,659",56.66
CONCOR,EQ,17-Feb-2026,503.75,501.8,511.9,501.6,503.75,505.5,507.21,"8,49,521","43,08,81,721.55","18,697","3,78,617",44.57
CONCOR,EQ,16-Feb-2026,498.3,497.0,504.65,494.0,503.2,503.75,501.12,"3,21,857","16,12,90,271.70","9,767","1,27,641",39.66
CONCOR,EQ,13-Feb-2026,506.85,503.0,503.9,497.0,497.5,498.3,500.15,"5,88,653","29,44,14,904.50","15,018","2,67,445",45.43
CONCOR,EQ,12-Feb-2026,515.15,513.45,514.5,504.3,504.3,506.85,508.44,"6,56,800","33,39,41,861.25","15,778","3,13,263",47.7
CONCOR,EQ,11-Feb-2026,513.6,515.1,516.85,510.15,515.0,515.15,513.67,"6,78,384","34,84,64,834.10","16,522","3,13,517",46.22
CONCOR,EQ,10-Feb-2026,513.6,512.1,522.3,512.1,513.85,513.6,516.8,"17,21,935","88,99,01,152.55","24,838","9,47,110",55.0
CONCOR,EQ,09-Feb-2026,509.5,515.0,516.15,508.25,513.5,513.6,513.07,"7,88,634","40,46,22,608.50","30,833","3,34,990",42.48
CONCOR,EQ,06-Feb-2026,522.05,519.65,519.65,506.05,510.75,509.5,510.29,"20,87,933","1,06,54,59,660.40","27,873","13,54,137",64.86
CONCOR,EQ,05-Feb-2026,527.15,528.4,528.4,517.2,519.0,522.05,522.57,"17,89,564","93,51,68,040.45","23,451","11,44,060",63.93
CONCOR,EQ,04-Feb-2026,527.9,529.95,529.95,521.4,527.0,527.15,525.54,"9,38,863","49,34,13,813.95","25,393","3,71,602",39.58
CONCOR,EQ,03-Feb-2026,507.85,530.0,538.95,519.15,528.0,527.9,526.71,"23,17,632","1,22,07,18,674.60","52,768","12,16,111",52.47
CONCOR,EQ,02-Feb-2026,505.35,505.0,513.05,496.5,508.0,507.85,506.35,"13,56,715","68,69,72,147.75","29,280","5,12,130",37.75
CONCOR,EQ,01-Feb-2026,502.25,505.0,524.6,485.85,503.55,505.35,510.21,"38,19,145","1,94,85,61,927.25","63,159","6,48,883",16.99
CONCOR,EQ,30-Jan-2026,500.6,490.6,506.95,486.4,502.85,502.25,500.08,"27,21,298","1,36,08,75,792.35","55,320","11,45,445",42.09
CONCOR,EQ,29-Jan-2026,496.35,499.5,503.5,492.95,500.0,500.6,498.33,"8,29,501","41,33,61,551.45","18,665","2,76,349",33.32
CONCOR,EQ,28-Jan-2026,485.35,484.9,497.75,484.0,497.0,496.35,491.58,"20,45,216","1,00,53,89,306.05","31,453","13,13,986",64.25
CONCOR,EQ,27-Jan-2026,479.75,481.0,487.95,472.75,484.85,485.35,479.37,"16,25,304","77,91,28,433.40","38,878","7,56,976",46.57
CONCOR,EQ,23-Jan-2026,494.35,495.95,497.85,478.0,479.0,479.75,488.25,"20,67,105","1,00,92,59,278.75","42,013","11,64,779",56.35
CONCOR,EQ,22-Jan-2026,496.15,498.05,506.45,493.35,497.0,494.35,498.18,"21,30,796","1,06,15,17,519.25","20,207","16,90,622",79.34
CONCOR,EQ,21-Jan-2026,497.85,498.0,500.3,485.65,496.0,496.15,495.28,"15,51,150","76,82,53,066.80","29,759","6,99,206",45.08
CONCOR,EQ,20-Jan-2026,514.9,514.9,515.35,495.05,497.0,497.85,505.0,"15,09,115","76,21,07,307.65","40,816","6,90,700",45.77
CONCOR,EQ,19-Jan-2026,519.7,518.0,521.05,512.8,512.8,514.9,516.49,"3,41,171","17,62,12,357.35","12,195","1,23,292",36.14
