symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CROMPTON,EQ,25-Mar-2026,237.55,238.0,245.8,238.0,243.25,242.55,242.83,"19,68,484","47,80,10,817.15","24,506","8,21,947",41.76
CROMPTON,EQ,24-Mar-2026,233.2,236.0,239.7,231.8,237.0,237.55,236.81,"24,17,807","57,25,72,037.50","40,105","10,95,889",45.33
CROMPTON,EQ,23-Mar-2026,243.15,241.8,241.8,230.35,232.5,233.2,233.95,"22,43,916","52,49,74,733.00","46,674","9,98,542",44.5
CROMPTON,EQ,20-Mar-2026,242.45,244.05,247.75,242.45,243.1,243.15,244.64,"11,74,291","28,72,78,889.80","17,386","4,81,443",41.0
CROMPTON,EQ,19-Mar-2026,250.15,248.95,248.95,241.1,243.0,242.45,243.61,"16,85,619","41,06,27,033.70","28,677","7,95,285",47.18
CROMPTON,EQ,18-Mar-2026,248.65,249.5,254.0,248.65,250.65,250.15,250.83,"15,99,160","40,11,22,564.10","22,489","7,36,922",46.08
CROMPTON,EQ,17-Mar-2026,247.15,248.45,252.0,245.5,248.75,248.65,248.55,"15,47,555","38,46,40,020.10","22,221","4,68,212",30.25
CROMPTON,EQ,16-Mar-2026,246.25,246.0,248.8,240.15,245.35,247.15,243.84,"16,30,711","39,76,38,854.35","20,157","4,99,758",30.65
CROMPTON,EQ,13-Mar-2026,247.2,246.6,247.85,239.0,245.1,246.25,244.62,"30,34,305","74,22,38,182.85","47,551","14,90,753",49.13
CROMPTON,EQ,12-Mar-2026,247.5,248.0,254.5,243.0,246.15,247.2,248.58,"24,40,630","60,66,93,168.70","34,279","9,20,355",37.71
CROMPTON,EQ,11-Mar-2026,245.25,245.8,249.5,245.25,247.85,247.5,247.69,"13,48,965","33,41,24,905.85","20,586","5,07,366",37.61
CROMPTON,EQ,10-Mar-2026,241.3,243.05,247.1,242.1,245.6,245.25,244.92,"11,69,549","28,64,51,782.35","18,471","5,10,854",43.68
CROMPTON,EQ,09-Mar-2026,248.0,239.15,244.35,238.75,241.8,241.3,240.93,"15,59,512","37,57,39,823.35","22,427","5,84,559",37.48
CROMPTON,EQ,06-Mar-2026,250.1,249.9,251.65,247.05,248.25,248.0,249.17,"9,61,019","23,94,56,736.85","21,649","4,15,205",43.2
CROMPTON,EQ,05-Mar-2026,245.35,247.2,251.1,241.55,250.0,250.1,246.31,"13,76,955","33,91,56,781.80","23,984","5,04,382",36.63
CROMPTON,EQ,04-Mar-2026,253.45,248.0,248.25,243.15,244.35,245.35,245.24,"26,58,747","65,20,41,164.50","33,257","12,42,609",46.74
CROMPTON,EQ,02-Mar-2026,257.85,247.0,256.4,246.6,256.4,253.45,251.62,"39,67,184","99,82,29,498.55","58,136","22,26,795",56.13
CROMPTON,EQ,27-Feb-2026,262.5,262.8,263.73,255.8,256.12,257.85,258.33,"20,45,333","52,83,71,699.48","37,243","10,13,160",49.54
CROMPTON,EQ,26-Feb-2026,263.3,263.3,265.41,260.2,261.75,262.5,261.98,"16,43,704","43,06,24,999.69","19,354","9,44,701",57.47
CROMPTON,EQ,25-Feb-2026,262.43,264.0,267.6,260.56,262.15,263.3,263.99,"16,30,052","43,03,20,528.12","19,856","5,26,254",32.28
CROMPTON,EQ,24-Feb-2026,265.46,263.6,264.91,259.11,262.0,262.43,261.88,"13,81,957","36,19,06,400.62","27,469","6,20,725",44.92
CROMPTON,EQ,23-Feb-2026,265.43,269.5,269.5,263.35,264.83,265.46,266.01,"16,85,792","44,84,42,553.84","33,726","6,48,192",38.45
CROMPTON,EQ,20-Feb-2026,265.9,265.0,271.57,264.2,266.0,265.43,268.36,"19,24,449","51,64,40,930.05","23,670","7,32,012",38.04
CROMPTON,EQ,19-Feb-2026,272.52,273.0,273.0,265.0,265.0,265.9,268.72,"19,43,913","52,23,70,146.79","19,840","8,71,773",44.85
CROMPTON,EQ,18-Feb-2026,270.55,271.0,273.07,267.5,271.0,272.52,270.9,"19,42,687","52,62,78,091.68","22,727","10,38,386",53.45
CROMPTON,EQ,17-Feb-2026,272.66,273.0,274.77,268.0,271.0,270.55,271.35,"40,61,488","1,10,20,67,067.94","40,282","21,12,294",52.01
CROMPTON,EQ,16-Feb-2026,267.52,268.0,274.25,265.1,274.25,272.66,270.47,"59,83,086","1,61,82,59,090.33","38,696","36,59,077",61.16
CROMPTON,EQ,13-Feb-2026,264.4,264.0,269.85,255.9,266.8,267.52,265.61,"45,04,154","1,19,63,33,846.30","47,681","20,95,531",46.52
CROMPTON,EQ,12-Feb-2026,266.04,265.0,267.69,261.19,264.32,264.4,263.58,"30,35,533","80,01,11,793.94","31,102","15,02,776",49.51
CROMPTON,EQ,11-Feb-2026,261.66,261.99,267.25,261.07,265.68,266.04,265.42,"27,79,422","73,77,09,643.27","40,106","12,01,518",43.23
CROMPTON,EQ,10-Feb-2026,262.92,264.0,269.2,260.6,261.8,261.66,264.62,"59,38,522","1,57,14,70,681.61","43,829","26,13,826",44.01
CROMPTON,EQ,09-Feb-2026,245.03,245.06,263.8,243.05,261.1,262.92,256.73,"89,83,263","2,30,62,38,878.00","74,678","26,98,352",30.04
CROMPTON,EQ,06-Feb-2026,246.63,246.95,247.55,241.99,243.9,245.03,244.76,"20,74,085","50,76,53,756.30","23,933","8,08,362",38.97
CROMPTON,EQ,05-Feb-2026,244.06,245.74,247.84,241.71,247.0,246.63,245.24,"35,65,459","87,43,97,980.95","26,115","13,42,743",37.66
CROMPTON,EQ,04-Feb-2026,232.69,232.81,246.7,232.1,245.0,244.06,242.47,"96,31,168","2,33,52,37,758.89","72,368","40,06,128",41.6
CROMPTON,EQ,03-Feb-2026,225.41,234.97,239.49,229.48,232.5,232.69,234.5,"45,11,140","1,05,78,67,843.43","38,831","17,60,987",39.04
CROMPTON,EQ,02-Feb-2026,225.9,226.47,227.0,219.15,226.53,225.41,221.99,"37,43,357","83,10,06,141.17","34,204","16,76,201",44.78
CROMPTON,EQ,01-Feb-2026,221.45,222.95,231.86,221.2,225.2,225.9,227.37,"30,34,657","68,99,86,735.70","30,634","8,54,910",28.17
CROMPTON,EQ,30-Jan-2026,221.7,219.6,222.75,217.4,221.75,221.45,220.82,"42,31,737","93,44,61,859.70","57,137","26,25,813",62.05
CROMPTON,EQ,29-Jan-2026,225.4,226.9,226.9,218.7,221.4,221.7,221.87,"39,14,866","86,85,92,916.55","54,714","19,12,236",48.85
CROMPTON,EQ,28-Jan-2026,222.15,222.7,227.15,222.15,225.35,225.4,225.13,"41,43,799","93,29,06,503.45","43,828","21,97,664",53.04
CROMPTON,EQ,27-Jan-2026,225.3,226.0,226.0,219.5,223.4,222.15,222.38,"43,14,040","95,93,54,686.65","46,570","18,80,349",43.59
CROMPTON,EQ,23-Jan-2026,229.65,232.8,232.8,223.75,226.1,225.3,227.34,"38,59,058","87,73,32,614.40","36,134","16,34,558",42.36
CROMPTON,EQ,22-Jan-2026,232.25,235.95,236.4,229.0,230.0,229.65,231.2,"30,48,234","70,47,38,005.45","34,696","13,08,890",42.94
CROMPTON,EQ,21-Jan-2026,233.6,232.9,235.55,228.85,233.0,232.25,232.06,"42,80,088","99,32,55,837.75","44,148","16,86,053",39.39
CROMPTON,EQ,20-Jan-2026,243.2,243.35,244.75,232.05,235.0,233.6,238.53,"52,02,703","1,24,09,76,455.60","49,503","22,40,996",43.07
CROMPTON,EQ,19-Jan-2026,251.2,251.2,251.35,242.7,243.0,243.2,245.58,"24,00,212","58,94,47,163.35","54,579","11,30,827",47.11
CROMPTON,EQ,16-Jan-2026,254.7,255.0,256.9,250.0,251.4,251.2,253.64,"18,99,361","48,17,57,885.60","25,257","10,00,769",52.69
CROMPTON,EQ,14-Jan-2026,252.8,252.6,256.0,251.65,254.3,254.7,254.19,"13,88,641","35,29,80,200.40","24,673","5,14,408",37.04
CROMPTON,EQ,13-Jan-2026,251.15,251.9,253.9,248.15,252.45,252.8,251.23,"22,58,568","56,74,28,353.05","28,831","6,98,060",30.91
CROMPTON,EQ,12-Jan-2026,252.35,251.5,252.85,247.0,250.75,251.15,250.02,"28,34,350","70,86,33,308.80","42,041","12,29,337",43.37
CROMPTON,EQ,09-Jan-2026,257.65,257.75,259.05,250.0,251.75,252.35,253.87,"39,12,266","99,32,04,294.05","33,117","19,74,994",50.48
CROMPTON,EQ,08-Jan-2026,263.45,264.0,266.0,256.75,257.45,257.65,259.9,"26,77,012","69,57,43,110.95","23,787","12,93,937",48.34
CROMPTON,EQ,07-Jan-2026,259.9,261.0,265.9,259.3,263.95,263.45,262.82,"37,37,947","98,23,91,495.65","40,506","12,06,638",32.28
CROMPTON,EQ,06-Jan-2026,259.75,260.5,262.85,257.3,260.0,259.9,259.49,"33,72,581","87,51,37,060.95","28,831","13,75,130",40.77
