symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CUMMINSIND,EQ,25-Mar-2026,"4,619.60","4,635.00","4,775.00","4,635.00","4,752.00","4,738.60","4,731.67","6,64,695","3,14,51,20,007.80","61,437","3,47,703",52.31
CUMMINSIND,EQ,24-Mar-2026,"4,518.00","4,525.00","4,670.80","4,525.00","4,625.00","4,619.60","4,614.07","9,11,230","4,20,44,82,931.40","80,223","5,24,277",57.54
CUMMINSIND,EQ,23-Mar-2026,"4,615.30","4,581.00","4,583.90","4,394.00","4,492.30","4,518.00","4,491.88","9,72,428","4,36,80,28,738.40","1,00,504","5,31,711",54.68
CUMMINSIND,EQ,20-Mar-2026,"4,505.70","4,526.00","4,654.90","4,525.00","4,629.40","4,615.30","4,613.55","8,78,443","4,05,27,41,521.30","80,415","5,63,000",64.09
CUMMINSIND,EQ,19-Mar-2026,"4,717.60","4,660.00","4,669.90","4,486.70","4,510.00","4,505.70","4,552.23","5,80,101","2,64,07,55,538.10","60,264","3,10,397",53.51
CUMMINSIND,EQ,18-Mar-2026,"4,596.40","4,599.90","4,764.00","4,597.10","4,710.60","4,717.60","4,701.43","7,96,065","3,74,26,42,887.50","95,522","4,74,339",59.59
CUMMINSIND,EQ,17-Mar-2026,"4,589.70","4,633.00","4,656.00","4,565.00","4,605.00","4,596.40","4,603.72","6,10,452","2,81,03,52,303.20","68,855","3,40,511",55.78
CUMMINSIND,EQ,16-Mar-2026,"4,649.70","4,631.00","4,691.50","4,478.10","4,570.00","4,589.70","4,569.69","10,03,879","4,58,74,12,882.90","95,235","5,35,962",53.39
CUMMINSIND,EQ,13-Mar-2026,"4,753.60","4,710.00","4,732.80","4,621.50","4,683.90","4,649.70","4,667.13","13,24,555","6,18,18,68,275.60","1,39,946","8,46,315",63.89
CUMMINSIND,EQ,12-Mar-2026,"4,630.70","4,626.00","4,781.30","4,518.00","4,760.00","4,753.60","4,688.74","9,62,205","4,51,15,27,858.20","1,10,506","5,15,335",53.56
