symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DABUR,EQ,25-Mar-2026,421.4,425.0,439.15,421.1,432.2,431.0,431.76,"23,29,148","1,00,56,35,763.55","39,983","13,03,497",55.96
DABUR,EQ,24-Mar-2026,417.35,422.1,426.2,417.0,422.8,421.4,421.6,"24,73,037","1,04,26,22,858.05","39,911","14,38,451",58.17
DABUR,EQ,23-Mar-2026,430.7,428.95,428.95,416.05,416.85,417.35,420.48,"33,82,496","1,42,22,73,659.00","42,285","22,06,937",65.25
DABUR,EQ,20-Mar-2026,430.2,433.7,434.8,429.0,431.0,430.7,431.77,"19,33,160","83,46,85,709.30","41,861","10,91,678",56.47
DABUR,EQ,19-Mar-2026,451.85,448.7,448.7,428.8,431.75,430.2,434.14,"32,48,941","1,41,05,01,923.65","52,055","21,07,950",64.88
DABUR,EQ,18-Mar-2026,452.6,452.2,455.8,450.0,451.4,451.85,452.94,"26,02,680","1,17,88,51,976.65","46,975","18,25,335",70.13
DABUR,EQ,17-Mar-2026,458.85,460.3,460.7,451.9,452.45,452.6,454.12,"13,15,801","59,75,35,456.40","29,996","7,30,553",55.52
DABUR,EQ,16-Mar-2026,453.5,455.0,461.45,449.2,457.0,458.85,455.04,"25,34,686","1,15,33,76,218.15","42,827","15,18,893",59.92
DABUR,EQ,13-Mar-2026,459.35,454.8,462.45,452.05,454.9,453.5,456.61,"17,11,951","78,16,97,436.65","26,798","8,14,902",47.60
DABUR,EQ,12-Mar-2026,471.85,471.3,471.3,456.5,459.9,459.35,459.86,"17,56,738","80,78,50,868.45","36,078","10,77,973",61.36
DABUR,EQ,11-Mar-2026,480.9,485.0,485.0,470.0,471.0,471.85,475.88,"8,61,166","40,98,13,367.35","38,416","4,45,827",51.77
DABUR,EQ,10-Mar-2026,466.7,472.55,483.45,471.2,480.65,480.9,478.27,"10,29,742","49,24,91,615.65","23,723","5,38,445",52.29
DABUR,EQ,09-Mar-2026,478.6,472.55,473.05,464.2,467.0,466.7,466.88,"8,58,312","40,07,30,993.05","36,809","4,43,530",51.67
DABUR,EQ,06-Mar-2026,487.9,486.0,486.15,477.5,478.1,478.6,480.97,"11,90,560","57,26,28,901.30","65,786","6,73,061",56.53
DABUR,EQ,05-Mar-2026,487.4,494.0,494.0,482.0,488.15,487.9,486.55,"9,72,511","47,31,79,366.40","28,701","4,72,108",48.55
DABUR,EQ,04-Mar-2026,507.6,499.0,504.95,486.0,488.0,487.4,491.14,"17,32,747","85,10,17,128.75","29,351","10,28,770",59.37
