symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DALBHARAT,EQ,25-Mar-2026,"1,792.90","1,820.00","1,894.90","1,801.10","1,890.00","1,884.00","1,867.39","2,34,444","43,77,98,601.60","20,788","1,01,003",43.08
DALBHARAT,EQ,24-Mar-2026,"1,746.10","1,771.00","1,811.90","1,735.90","1,790.00","1,792.90","1,777.63","2,87,065","51,02,95,477.10","23,811","99,738",34.74
DALBHARAT,EQ,23-Mar-2026,"1,841.00","1,821.30","1,831.00","1,717.30","1,723.50","1,746.10","1,754.47","4,34,989","76,31,76,947.60","19,017","3,22,603",74.16
DALBHARAT,EQ,20-Mar-2026,"1,831.90","1,850.00","1,895.00","1,825.30","1,830.00","1,841.00","1,847.11","1,24,129","22,92,79,767.90","16,509","56,622",45.62
DALBHARAT,EQ,19-Mar-2026,"1,916.00","1,910.40","1,910.50","1,821.00","1,839.50","1,831.90","1,851.33","2,74,365","50,79,41,156.10","18,384","1,41,900",51.72
DALBHARAT,EQ,18-Mar-2026,"1,854.90","1,864.90","1,940.00","1,853.50","1,940.00","1,916.00","1,900.65","1,66,496","31,64,50,765.20","13,541","89,767",53.92
DALBHARAT,EQ,17-Mar-2026,"1,853.00","1,871.30","1,871.30","1,844.50","1,870.00","1,854.90","1,854.71","99,261","18,41,00,733.50","13,047","48,884",49.25
DALBHARAT,EQ,16-Mar-2026,"1,839.90","1,856.00","1,868.00","1,803.60","1,850.70","1,853.00","1,840.04","2,37,882","43,77,12,173.80","24,195","1,00,140",42.1
DALBHARAT,EQ,13-Mar-2026,"1,894.50","1,895.00","1,908.80","1,829.80","1,890.00","1,839.90","1,847.85","1,59,482","29,46,98,562.50","9,612","81,801",51.29
DALBHARAT,EQ,12-Mar-2026,"1,855.90","1,850.00","1,909.10","1,825.10","1,909.10","1,894.50","1,881.75","3,58,226","67,40,93,102.10","19,883","2,09,539",58.49
DALBHARAT,EQ,11-Mar-2026,"1,849.00","1,840.00","1,883.90","1,832.40","1,848.50","1,855.90","1,861.48","3,93,809","73,30,65,688.90","18,249","1,70,966",43.41
DALBHARAT,EQ,10-Mar-2026,"1,840.20","1,873.50","1,886.30","1,833.80","1,861.10","1,849.00","1,846.84","4,26,509","78,76,91,957.30","14,535","2,51,339",58.93
DALBHARAT,EQ,09-Mar-2026,"1,899.80","1,884.30","1,884.30","1,822.00","1,843.20","1,840.20","1,836.68","86,055","15,80,55,738.10","9,485","29,738",34.56
DALBHARAT,EQ,06-Mar-2026,"1,928.70","1,929.00","1,930.50","1,890.70","1,900.00","1,899.80","1,907.94","1,83,615","35,03,26,778.20","12,196","1,09,740",59.77
DALBHARAT,EQ,05-Mar-2026,"1,895.70","1,905.50","1,936.30","1,867.00","1,933.00","1,928.70","1,899.74","1,03,976","19,75,27,666.80","9,628","43,970",42.29
