symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DIXON,EQ,25-Mar-2026,"10,174.00","10,250.00","10,570.00","10,222.00","10,391.00","10,415.00","10,444.90","5,76,794","6,02,45,53,134.00","70,862","1,70,369",29.54
DIXON,EQ,24-Mar-2026,"9,894.00","10,200.00","10,260.00","9,950.00","10,163.00","10,174.00","10,109.26","6,32,179","6,39,08,60,190.00","75,775","1,13,660",17.98
DIXON,EQ,23-Mar-2026,"10,342.00","10,200.00","10,200.00","9,800.00","9,869.00","9,894.00","9,930.14","6,85,766","6,80,97,51,603.00","1,08,041","2,23,554",32.60
DIXON,EQ,20-Mar-2026,"10,194.00","10,342.00","10,495.00","10,265.00","10,343.00","10,342.00","10,382.51","5,20,115","5,40,00,97,810.00","57,479","1,21,315",23.32
DIXON,EQ,19-Mar-2026,"10,709.00","10,464.00","10,585.00","10,160.00","10,190.00","10,194.00","10,300.12","6,16,614","6,35,11,98,527.00","76,720","1,73,844",28.19
DIXON,EQ,18-Mar-2026,"10,289.00","10,339.00","10,762.00","10,305.00","10,674.00","10,709.00","10,628.88","7,18,288","7,63,45,94,489.00","87,529","1,59,157",22.16
DIXON,EQ,17-Mar-2026,"10,263.00","10,379.00","10,459.00","10,211.00","10,290.00","10,289.00","10,309.14","5,18,006","5,34,01,98,265.00","65,716","82,452",15.92
DIXON,EQ,16-Mar-2026,"10,338.00","10,202.00","10,380.00","10,059.00","10,232.00","10,263.00","10,207.15","6,06,465","6,19,02,77,944.00","81,440","84,062",13.86
DIXON,EQ,13-Mar-2026,"10,803.00","10,699.00","10,833.00","10,300.00","10,329.00","10,338.00","10,484.62","8,48,321","8,89,43,23,259.00","1,10,528","2,47,527",29.18
DIXON,EQ,12-Mar-2026,"10,618.00","10,475.00","10,849.00","10,254.00","10,803.00","10,803.00","10,602.74","9,68,428","10,26,79,85,685.00","1,21,773","2,02,977",20.96
DIXON,EQ,11-Mar-2026,"10,908.00","10,962.00","11,050.00","10,533.00","10,580.00","10,618.00","10,746.04","12,90,092","13,86,33,79,680.00","1,48,426","3,29,512",25.54
DIXON,EQ,10-Mar-2026,"9,804.00","10,399.00","11,078.00","10,171.00","11,035.00","10,908.00","10,539.13","20,31,360","21,40,87,62,320.00","2,02,318","3,91,799",19.29
DIXON,EQ,09-Mar-2026,"10,029.00","9,945.00","9,945.00","9,630.00","9,810.00","9,804.00","9,793.80","4,87,935","4,77,87,39,316.00","65,761","1,36,105",27.89
DIXON,EQ,06-Mar-2026,"10,224.00","10,199.00","10,290.00","9,990.00","10,035.00","10,029.00","10,143.70","4,62,851","4,69,50,20,472.00","50,548","2,10,523",45.48
DIXON,EQ,05-Mar-2026,"10,136.00","10,249.00","10,294.00","9,993.00","10,192.00","10,224.00","10,129.91","5,87,096","5,94,72,27,673.00","87,670","1,61,806",27.56
DIXON,EQ,04-Mar-2026,"10,151.00","9,850.00","10,181.00","9,770.00","10,151.00","10,136.00","9,943.96","9,57,824","9,52,45,61,939.00","1,37,309","3,24,228",33.85
DIXON,EQ,02-Mar-2026,"10,528.00","10,110.00","10,478.00","10,050.00","10,160.00","10,151.00","10,257.90","4,99,942","5,12,83,53,769.00","65,306","1,41,947",28.39
DIXON,EQ,27-Feb-2026,"10,116.00","10,106.00","10,620.00","10,085.00","10,520.00","10,528.00","10,435.60","13,59,438","14,18,65,56,756.00","1,51,132","3,52,892",25.96
DIXON,EQ,26-Feb-2026,"10,388.00","10,361.00","10,462.00","10,081.00","10,120.00","10,116.00","10,228.01","5,62,899","5,75,73,34,509.00","81,084","1,71,953",30.55
DIXON,EQ,25-Feb-2026,"10,525.00","10,550.00","10,688.00","10,320.00","10,360.00","10,388.00","10,458.17","3,84,975","4,02,61,33,702.00","52,561","85,815",22.29
DIXON,EQ,24-Feb-2026,"10,599.00","10,560.00","10,614.00","10,371.00","10,579.00","10,525.00","10,484.34","5,12,955","5,37,79,94,107.00","66,817","1,53,600",29.94
DIXON,EQ,23-Feb-2026,"11,072.00","11,100.00","11,130.00","10,567.00","10,610.00","10,599.00","10,745.04","6,44,642","6,92,67,05,067.00","99,017","1,94,836",30.22
DIXON,EQ,20-Feb-2026,"11,237.00","11,150.00","11,286.00","11,007.00","11,020.00","11,072.00","11,141.83","4,85,095","5,40,48,45,137.00","54,622","1,60,263",33.04
