symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DLF,EQ,25-Mar-2026,521.0,526.9,541.85,525.75,534.95,534.35,535.84,"59,93,288","3,21,14,64,083.60","89,655","33,06,552",55.17
DLF,EQ,24-Mar-2026,514.75,524.0,531.25,516.0,521.95,521.0,522.04,"53,34,313","2,78,47,28,742.95","89,027","23,69,078",44.41
DLF,EQ,23-Mar-2026,540.75,534.0,534.0,512.05,514.6,514.75,518.52,"42,77,345","2,21,78,69,492.05","64,406","19,33,983",45.21
DLF,EQ,20-Mar-2026,542.25,549.0,558.0,538.85,540.0,540.75,548.19,"42,66,475","2,33,88,23,931.85","63,418","18,38,445",43.09
DLF,EQ,19-Mar-2026,563.1,552.0,552.0,539.05,544.9,542.25,543.66,"35,98,745","1,95,64,88,294.90","64,646","16,30,317",45.30
DLF,EQ,18-Mar-2026,547.8,549.0,570.75,546.0,560.1,563.1,559.92,"48,32,205","2,70,56,52,087.75","81,166","21,20,509",43.88
DLF,EQ,17-Mar-2026,530.35,531.25,550.55,529.7,547.65,547.8,540.6,"54,42,204","2,94,20,68,054.45","77,413","28,35,834",52.11
DLF,EQ,16-Mar-2026,542.75,543.0,545.7,524.6,530.2,530.35,533.02,"69,21,559","3,68,93,44,778.95","70,767","34,28,124",49.53
DLF,EQ,13-Mar-2026,558.1,557.25,558.9,540.45,541.75,542.75,547.08,"50,07,908","2,73,97,28,863.40","63,229","26,93,270",53.78
DLF,EQ,12-Mar-2026,573.2,568.4,571.75,555.55,557.6,558.1,562.13,"31,76,429","1,78,55,78,539.15","44,597","11,42,321",35.96
DLF,EQ,11-Mar-2026,584.55,585.3,595.0,571.65,573.7,573.2,585.03,"37,17,062","2,17,45,76,250.05","58,005","17,94,594",48.28
DLF,EQ,10-Mar-2026,574.95,580.2,587.0,575.25,585.3,584.55,581.75,"47,01,725","2,73,52,14,013.85","87,706","25,44,391",54.12
DLF,EQ,09-Mar-2026,577.55,566.0,577.4,553.55,574.3,574.95,566.31,"44,42,106","2,51,56,13,546.15","82,587","21,42,418",48.23
DLF,EQ,06-Mar-2026,585.15,584.6,584.85,574.85,578.4,577.55,578.97,"54,24,431","3,14,05,69,127.60","1,07,440","33,58,828",61.92
DLF,EQ,05-Mar-2026,569.05,571.45,589.35,571.45,586.0,585.15,581.48,"78,27,655","4,55,16,19,875.30","76,944","49,80,820",63.63
DLF,EQ,04-Mar-2026,590.2,578.25,578.75,562.75,566.2,569.05,568.81,"1,49,02,221","8,47,65,72,366.15","1,53,282","1,04,58,673",70.18
DLF,EQ,02-Mar-2026,603.85,580.0,594.15,577.25,588.0,590.2,587.4,"42,42,819","2,49,22,35,150.30","67,561","19,74,510",46.54
DLF,EQ,27-Feb-2026,610.8,610.0,613.05,600.9,602.05,603.85,605.23,"40,23,729","2,43,52,74,080.30","48,227","23,63,718",58.74
DLF,EQ,26-Feb-2026,611.2,614.0,616.45,605.1,611.9,610.8,609.73,"26,71,861","1,62,91,08,187.95","30,991","13,20,665",49.43
DLF,EQ,25-Feb-2026,611.65,617.0,623.85,607.45,611.0,611.2,615.44,"35,22,834","2,16,81,00,229.15","42,506","17,96,438",50.99
DLF,EQ,24-Feb-2026,626.3,623.15,624.3,608.25,613.55,611.65,614.21,"28,35,264","1,74,14,54,232.30","36,499","15,10,208",53.27
DLF,EQ,23-Feb-2026,629.3,632.5,634.0,622.85,625.1,626.3,626.52,"19,32,609","1,21,08,21,137.45","27,957","8,65,725",44.80
DLF,EQ,20-Feb-2026,620.5,620.0,630.6,616.0,629.0,629.3,624.66,"34,22,127","2,13,76,73,541.00","42,086","17,37,137",50.76
DLF,EQ,19-Feb-2026,642.45,642.45,644.45,617.4,620.3,620.5,628.6,"21,31,815","1,34,00,62,321.95","35,292","8,54,697",40.09
DLF,EQ,18-Feb-2026,639.05,639.05,645.35,632.35,642.5,642.45,638.85,"9,08,272","58,02,47,486.00","18,489","2,66,880",29.38
DLF,EQ,17-Feb-2026,643.8,643.0,643.3,635.7,638.8,639.05,639.45,"11,36,224","72,65,62,148.40","22,824","4,36,449",38.41
DLF,EQ,16-Feb-2026,626.4,625.35,645.3,622.0,643.5,643.8,638.11,"22,31,253","1,42,37,94,582.25","33,123","7,49,995",33.61
DLF,EQ,13-Feb-2026,651.8,641.6,641.6,623.55,626.95,626.4,629.15,"48,38,136","3,04,38,96,016.50","63,061","21,58,396",44.61
DLF,EQ,12-Feb-2026,672.05,670.1,670.25,650.1,650.55,651.8,658.5,"31,09,096","2,04,73,26,803.55","43,221","15,02,347",48.32
DLF,EQ,11-Feb-2026,671.8,674.4,674.4,662.05,670.5,672.05,668.25,"20,11,690","1,34,43,16,102.95","27,561","8,06,558",40.09
DLF,EQ,10-Feb-2026,671.15,673.0,676.6,667.0,672.0,671.8,671.6,"29,32,204","1,96,92,67,708.95","33,321","12,55,574",42.82
DLF,EQ,09-Feb-2026,663.75,668.1,673.8,666.45,670.9,671.15,670.76,"17,27,533","1,15,87,62,019.45","44,265","5,28,418",30.59
DLF,EQ,06-Feb-2026,661.3,660.85,665.65,649.3,661.5,663.75,659.3,"26,87,146","1,77,16,27,541.95","43,599","12,52,781",46.62
DLF,EQ,05-Feb-2026,659.85,660.0,663.25,647.65,661.5,661.3,655.86,"21,84,966","1,43,30,35,675.50","31,859","9,37,904",42.93
