symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DMART,EQ,25-Mar-2026,"3,756.50","3,780.00","3,939.00","3,761.00","3,920.10","3,910.80","3,904.52","13,35,663","5,21,51,17,042.00","59,368","8,25,900",61.83
DMART,EQ,24-Mar-2026,"3,655.60","3,730.00","3,820.50","3,685.10","3,759.80","3,756.50","3,752.98","4,16,887","1,56,45,66,837.00","34,827","1,71,479",41.13
DMART,EQ,23-Mar-2026,"3,770.80","3,750.00","3,752.00","3,630.00","3,643.00","3,655.60","3,676.49","2,96,381","1,08,96,41,799.20","33,353","1,23,565",41.69
DMART,EQ,20-Mar-2026,"3,808.20","3,822.10","3,848.00","3,748.70","3,769.00","3,770.80","3,792.07","3,86,084","1,46,40,58,900.00","27,986","2,04,162",52.88
DMART,EQ,19-Mar-2026,"3,844.00","3,801.00","3,872.60","3,771.00","3,829.90","3,808.20","3,825.77","4,26,306","1,63,09,47,797.60","50,598","1,63,083",38.25
DMART,EQ,18-Mar-2026,"3,781.40","3,800.00","3,905.30","3,790.30","3,849.00","3,844.00","3,862.03","3,40,765","1,31,60,44,095.20","33,228","1,34,723",39.54
DMART,EQ,17-Mar-2026,"3,817.90","3,827.80","3,853.00","3,775.00","3,787.00","3,781.40","3,801.94","2,29,556","87,27,58,120.30","23,269","93,194",40.6
DMART,EQ,16-Mar-2026,"3,834.30","3,824.30","3,834.80","3,736.10","3,815.00","3,817.90","3,783.06","4,01,345","1,51,83,11,683.70","30,400","1,46,600",36.53
DMART,EQ,13-Mar-2026,"3,953.60","3,945.00","4,056.00","3,825.00","3,829.80","3,834.30","3,949.30","9,13,594","3,60,80,58,439.70","72,423","3,06,895",33.59
DMART,EQ,12-Mar-2026,"3,944.80","3,928.20","3,975.00","3,856.20","3,945.00","3,953.60","3,933.66","3,52,801","1,38,77,99,789.10","29,741","2,01,472",57.11
DMART,EQ,11-Mar-2026,"3,946.80","3,946.80","3,992.00","3,908.10","3,935.00","3,944.80","3,952.88","3,80,922","1,50,57,37,756.60","24,978","2,33,537",61.31
DMART,EQ,10-Mar-2026,"3,966.20","3,993.00","4,000.00","3,916.90","3,960.00","3,946.80","3,953.09","3,20,407","1,26,65,96,909.30","27,059","1,02,814",32.09
DMART,EQ,09-Mar-2026,"3,875.80","3,866.90","3,982.00","3,814.50","3,967.10","3,966.20","3,906.93","9,33,615","3,64,75,68,555.50","85,883","4,00,696",42.92
DMART,EQ,06-Mar-2026,"3,835.40","3,825.00","3,903.90","3,825.00","3,881.50","3,875.80","3,867.50","2,24,906","86,98,24,580.20","23,461","1,03,203",45.89
DMART,EQ,05-Mar-2026,"3,760.90","3,763.00","3,853.00","3,726.60","3,850.00","3,835.40","3,802.46","5,16,200","1,96,28,28,870.50","41,929","2,84,123",55.04
DMART,EQ,04-Mar-2026,"3,802.50","3,772.20","3,795.00","3,736.00","3,754.60","3,760.90","3,764.42","6,03,969","2,27,35,94,797.20","63,618","3,93,845",65.21
DMART,EQ,02-Mar-2026,"3,847.60","3,700.00","3,833.10","3,700.00","3,800.00","3,802.50","3,788.61","3,78,340","1,43,33,83,527.70","49,062","2,00,114",52.89
DMART,EQ,27-Feb-2026,"3,865.60","3,880.20","3,883.00","3,804.00","3,855.00","3,847.60","3,848.34","4,78,983","1,84,32,89,417.90","38,257","2,94,047",61.39
DMART,EQ,26-Feb-2026,"3,888.20","3,900.00","3,900.60","3,820.00","3,865.00","3,865.60","3,858.71","4,15,196","1,60,21,19,462.00","34,754","2,56,995",61.9
DMART,EQ,25-Feb-2026,"3,849.30","3,880.00","3,945.80","3,857.80","3,871.60","3,888.20","3,900.81","3,25,095","1,26,81,32,677.70","30,260","1,26,191",38.82
DMART,EQ,24-Feb-2026,"3,845.30","3,840.00","3,862.30","3,798.60","3,840.00","3,849.30","3,832.35","3,95,317","1,51,49,91,619.70","28,051","2,00,094",50.62
DMART,EQ,23-Feb-2026,"3,866.40","3,889.00","3,900.00","3,810.30","3,838.00","3,845.30","3,847.05","4,38,695","1,68,76,81,855.00","33,031","2,55,938",58.34
DMART,EQ,20-Feb-2026,"3,834.10","3,848.40","3,889.30","3,825.00","3,850.00","3,866.40","3,863.45","1,94,556","75,16,58,110.40","16,657","83,978",43.16
DMART,EQ,19-Feb-2026,"3,915.20","3,915.00","3,944.00","3,821.20","3,839.00","3,834.10","3,857.04","2,86,762","1,10,60,53,515.60","25,097","1,49,373",52.09
DMART,EQ,18-Feb-2026,"3,902.90","3,903.00","3,924.70","3,883.50","3,910.00","3,915.20","3,908.07","1,70,546","66,65,04,919.50","14,756","85,761",50.29
DMART,EQ,17-Feb-2026,"3,880.70","3,869.90","3,940.00","3,869.90","3,899.00","3,902.90","3,904.71","1,76,705","68,99,82,397.60","18,113","68,970",39.03
DMART,EQ,16-Feb-2026,"3,909.20","3,850.00","3,900.80","3,842.30","3,878.00","3,880.70","3,878.13","2,39,724","92,96,81,635.50","16,459","1,46,221",61.0
DMART,EQ,13-Feb-2026,"3,963.00","3,944.30","3,949.50","3,887.00","3,890.00","3,909.20","3,911.73","2,19,061","85,69,07,560.50","24,539","1,15,090",52.54
DMART,EQ,12-Feb-2026,"4,003.70","4,000.00","4,000.00","3,947.60","3,957.60","3,963.00","3,963.99","1,97,205","78,17,18,598.40","18,625","1,05,631",53.56
DMART,EQ,11-Feb-2026,"4,002.20","4,014.00","4,032.20","3,970.10","4,000.00","4,003.70","3,998.67","3,24,857","1,29,89,95,552.30","24,714","1,74,091",53.59
DMART,EQ,10-Feb-2026,"3,922.40","3,940.00","4,019.00","3,920.00","4,005.40","4,002.20","3,982.43","3,88,861","1,54,86,10,414.20","37,891","1,69,323",43.54
DMART,EQ,09-Feb-2026,"3,889.90","3,893.10","3,939.60","3,890.20","3,924.80","3,922.40","3,919.37","2,24,953","88,16,74,861.00","25,148","1,30,783",58.14
DMART,EQ,06-Feb-2026,"3,934.90","3,934.80","3,949.00","3,850.00","3,893.00","3,889.90","3,880.49","2,76,165","1,07,16,55,388.30","23,192","1,26,130",45.67
DMART,EQ,05-Feb-2026,"3,824.30","3,849.00","3,949.50","3,825.10","3,930.00","3,934.90","3,901.46","8,67,140","3,38,31,09,305.80","57,032","4,11,122",47.41
DMART,EQ,04-Feb-2026,"3,776.60","3,794.00","3,849.00","3,749.00","3,824.00","3,824.30","3,824.27","2,69,849","1,03,19,76,693.80","23,396","1,17,557",43.56
DMART,EQ,03-Feb-2026,"3,674.20","3,750.00","3,802.40","3,709.00","3,778.80","3,776.60","3,764.01","4,12,498","1,55,26,47,055.80","45,146","2,08,497",50.54
DMART,EQ,02-Feb-2026,"3,613.70","3,639.00","3,683.30","3,600.00","3,665.50","3,674.20","3,644.74","2,12,416","77,42,01,787.80","21,211","1,11,741",52.6
DMART,EQ,01-Feb-2026,"3,689.50","3,690.00","3,710.00","3,529.00","3,602.50","3,613.70","3,658.56","2,89,099","1,05,76,86,155.70","26,556","1,34,545",46.54
DMART,EQ,30-Jan-2026,"3,667.20","3,645.00","3,740.00","3,638.00","3,697.40","3,689.50","3,681.75","6,19,205","2,27,97,59,701.40","42,848","3,83,617",61.95
DMART,EQ,29-Jan-2026,"3,735.70","3,710.40","3,727.20","3,641.00","3,668.90","3,667.20","3,671.47","4,48,584","1,64,69,64,813.20","39,884","2,74,703",61.24
DMART,EQ,28-Jan-2026,"3,670.60","3,663.00","3,744.30","3,663.00","3,735.00","3,735.70","3,713.75","2,42,635","90,10,84,740.20","22,082","1,37,978",56.87
DMART,EQ,27-Jan-2026,"3,665.60","3,651.00","3,686.10","3,633.80","3,685.00","3,670.60","3,663.84","3,74,815","1,37,32,62,456.70","38,289","2,09,109",55.79
DMART,EQ,23-Jan-2026,"3,724.10","3,724.10","3,738.90","3,646.80","3,665.60","3,665.60","3,699.55","1,85,668","68,68,88,003.40","18,617","82,369",44.36
DMART,EQ,22-Jan-2026,"3,656.70","3,690.00","3,735.00","3,658.00","3,730.00","3,724.10","3,688.51","4,09,471","1,51,03,38,155.80","32,839","2,63,325",64.31
DMART,EQ,21-Jan-2026,"3,661.60","3,661.60","3,694.60","3,617.60","3,651.90","3,656.70","3,654.77","4,73,540","1,73,06,77,802.30","29,943","2,48,062",52.38
DMART,EQ,20-Jan-2026,"3,766.70","3,768.00","3,786.50","3,645.50","3,665.40","3,661.60","3,694.22","5,21,411","1,92,62,07,814.80","35,068","2,82,168",54.12
DMART,EQ,19-Jan-2026,"3,775.70","3,775.70","3,846.00","3,733.30","3,760.00","3,766.70","3,770.93","4,04,691","1,52,60,60,143.80","24,951","2,20,757",54.55
DMART,EQ,16-Jan-2026,"3,830.30","3,820.00","3,832.00","3,741.00","3,775.30","3,775.70","3,775.13","8,17,036","3,08,44,20,718.30","54,755","4,18,477",51.22
DMART,EQ,14-Jan-2026,"3,826.90","3,822.00","3,889.80","3,811.80","3,831.40","3,830.30","3,856.96","4,95,104","1,90,95,95,885.60","29,681","2,31,645",46.79
DMART,EQ,13-Jan-2026,"3,832.50","3,851.50","3,889.00","3,782.70","3,832.20","3,826.90","3,817.78","6,93,948","2,64,93,41,227.10","55,108","3,29,147",47.43
DMART,EQ,12-Jan-2026,"3,801.30","3,852.00","3,918.60","3,760.50","3,830.00","3,832.50","3,851.41","20,52,645","7,90,55,81,160.00","1,26,490","5,06,852",24.69
DMART,EQ,09-Jan-2026,"3,789.80","3,794.00","3,833.20","3,745.10","3,807.00","3,801.30","3,792.25","6,00,885","2,27,87,04,881.10","34,190","3,02,723",50.38
DMART,EQ,08-Jan-2026,"3,841.60","3,843.00","3,872.40","3,781.00","3,792.00","3,789.80","3,815.30","4,00,228","1,52,69,88,729.40","28,633","1,46,999",36.73
DMART,EQ,07-Jan-2026,"3,663.70","3,665.00","3,849.90","3,662.00","3,842.60","3,841.60","3,800.80","13,17,962","5,00,93,05,888.70","76,830","3,81,982",28.98
DMART,EQ,06-Jan-2026,"3,646.30","3,641.00","3,680.00","3,605.10","3,669.90","3,663.70","3,647.58","5,85,617","2,13,60,83,856.10","53,945","3,26,045",55.68
DMART,EQ,05-Jan-2026,"3,719.80","3,719.10","3,719.10","3,635.30","3,641.00","3,646.30","3,658.51","5,67,365","2,07,57,11,723.90","51,632","2,47,495",43.62
DMART,EQ,02-Jan-2026,"3,716.10","3,735.00","3,753.50","3,700.00","3,721.00","3,719.80","3,724.29","2,95,500","1,10,05,26,259.60","25,458","1,65,138",55.88
DMART,EQ,01-Jan-2026,"3,782.20","3,794.80","3,808.00","3,703.00","3,714.20","3,716.10","3,723.73","5,17,006","1,92,51,90,460.80","27,818","3,33,365",64.48
DMART,EQ,31-Dec-2025,"3,753.50","3,753.50","3,800.00","3,742.20","3,776.00","3,782.20","3,780.12","6,38,024","2,41,18,04,494.40","38,836","4,08,247",63.99
DMART,EQ,30-Dec-2025,"3,788.00","3,792.00","3,805.30","3,748.20","3,750.00","3,753.50","3,776.47","4,89,287","1,84,77,76,417.60","45,267","3,65,048",74.61
DMART,EQ,29-Dec-2025,"3,787.40","3,778.00","3,828.00","3,768.40","3,789.90","3,788.00","3,781.66","2,39,535","90,58,40,973.60","48,935","1,58,060",65.99
DMART,EQ,26-Dec-2025,"3,800.20","3,805.00","3,824.00","3,781.20","3,790.00","3,787.40","3,794.73","2,45,539","93,17,53,629.90","19,376","1,47,040",59.88
DMART,EQ,24-Dec-2025,"3,828.20","3,843.00","3,843.00","3,771.30","3,805.00","3,800.20","3,795.60","3,63,697","1,38,04,50,069.20","24,880","2,38,222",65.5
DMART,EQ,23-Dec-2025,"3,818.60","3,835.00","3,844.40","3,802.50","3,832.90","3,828.20","3,826.44","2,40,671","92,09,12,239.00","33,030","1,30,152",54.08
DMART,EQ,22-Dec-2025,"3,819.50","3,826.90","3,868.00","3,815.70","3,824.60","3,818.60","3,837.11","2,07,963","79,79,77,780.00","32,570","1,28,257",61.67
DMART,EQ,19-Dec-2025,"3,757.20","3,796.10","3,830.00","3,756.40","3,826.70","3,819.50","3,795.03","2,65,092","1,00,60,31,419.40","36,182","1,39,306",52.55
DMART,EQ,18-Dec-2025,"3,826.20","3,814.80","3,822.30","3,742.40","3,763.00","3,757.20","3,771.40","3,27,081","1,23,35,54,375.70","36,572","1,88,111",57.51
DMART,EQ,17-Dec-2025,"3,856.80","3,857.50","3,869.80","3,808.70","3,820.10","3,826.20","3,828.49","4,01,218","1,53,60,60,515.60","38,475","2,69,903",67.27
DMART,EQ,16-Dec-2025,"3,825.60","3,878.90","3,914.80","3,825.90","3,861.00","3,856.80","3,880.57","6,67,837","2,59,15,85,236.30","51,488","1,80,153",26.98
DMART,EQ,15-Dec-2025,"3,843.00","3,859.90","3,859.90","3,812.00","3,832.90","3,825.60","3,827.65","2,41,968","92,61,69,488.50","23,042","1,55,989",64.47
DMART,EQ,12-Dec-2025,"3,830.80","3,830.80","3,868.60","3,810.00","3,845.00","3,843.00","3,834.27","2,48,192","95,16,35,802.90","24,970","1,58,505",63.86
DMART,EQ,11-Dec-2025,"3,816.30","3,820.00","3,848.80","3,770.00","3,808.00","3,830.80","3,816.67","3,96,885","1,51,47,78,650.30","34,331","1,99,461",50.26
DMART,EQ,10-Dec-2025,"3,910.00","3,891.00","3,923.70","3,805.00","3,817.00","3,816.30","3,827.85","5,76,341","2,20,61,48,020.50","60,542","3,89,722",67.62
DMART,EQ,09-Dec-2025,"3,867.60","3,867.60","3,920.00","3,841.70","3,912.00","3,910.00","3,887.20","2,55,693","99,39,30,340.10","36,802","1,38,655",54.23
DMART,EQ,08-Dec-2025,"3,952.10","3,950.00","3,955.20","3,826.60","3,866.90","3,867.60","3,871.00","2,68,207","1,03,82,28,330.30","32,360","1,49,842",55.87
DMART,EQ,05-Dec-2025,"3,913.30","3,913.30","3,956.40","3,904.30","3,955.20","3,952.10","3,939.90","1,84,255","72,59,45,653.10","27,821","1,16,208",63.07
DMART,EQ,04-Dec-2025,"3,909.70","3,910.30","3,935.00","3,897.30","3,915.70","3,913.30","3,916.14","2,00,117","78,36,85,871.90","30,582","1,22,063",61.0
DMART,EQ,03-Dec-2025,"3,961.80","3,961.80","3,969.20","3,883.00","3,905.50","3,909.70","3,905.76","3,59,508","1,40,41,50,719.60","47,808","2,27,870",63.38
DMART,EQ,02-Dec-2025,"3,963.30","3,968.00","3,975.20","3,935.00","3,963.80","3,961.80","3,952.34","2,92,968","1,15,79,10,554.60","43,464","1,98,313",67.69
DMART,EQ,01-Dec-2025,"3,996.50","3,997.00","4,009.50","3,946.00","3,960.50","3,963.30","3,968.89","2,56,602","1,01,84,25,372.30","34,105","1,53,363",59.77
DMART,EQ,28-Nov-2025,"4,007.10","4,005.00","4,044.80","3,992.20","3,995.90","3,996.50","4,011.98","2,11,068","84,67,99,879.50","20,570","1,33,570",63.28
DMART,EQ,27-Nov-2025,"4,019.10","4,029.00","4,038.00","3,986.00","4,014.90","4,007.10","4,008.83","2,37,041","95,02,56,502.30","40,312","1,48,821",62.78
DMART,EQ,26-Nov-2025,"3,988.60","3,999.90","4,029.90","3,980.00","4,015.00","4,019.10","4,015.50","3,60,542","1,44,77,55,071.40","40,002","2,70,982",75.16
DMART,EQ,25-Nov-2025,"3,987.50","3,997.90","4,015.40","3,960.00","3,989.50","3,988.60","3,989.06","4,46,861","1,78,25,53,419.30","50,367","3,04,481",68.14
DMART,EQ,24-Nov-2025,"4,038.00","4,046.90","4,048.50","3,975.20","3,985.00","3,987.50","3,991.99","7,24,604","2,89,26,13,915.70","47,327","4,85,791",67.04
DMART,EQ,21-Nov-2025,"4,085.00","4,085.00","4,098.90","4,030.50","4,040.30","4,038.00","4,056.95","3,30,945","1,34,26,26,389.60","37,700","1,79,935",54.37
DMART,EQ,20-Nov-2025,"4,026.50","4,045.00","4,099.70","4,037.10","4,085.00","4,085.00","4,078.07","3,87,479","1,58,01,66,580.00","35,220","1,82,169",47.01
DMART,EQ,19-Nov-2025,"3,997.20","4,010.00","4,039.00","3,997.10","4,035.00","4,026.50","4,021.35","3,78,207","1,52,09,02,536.70","29,847","2,65,485",70.2
DMART,EQ,18-Nov-2025,"4,036.20","4,036.20","4,042.20","3,991.60","3,995.00","3,997.20","4,005.04","3,11,407","1,24,71,96,667.00","32,195","1,95,349",62.73
DMART,EQ,17-Nov-2025,"4,053.70","4,059.90","4,086.00","4,032.00","4,039.00","4,036.20","4,044.69","1,86,267","75,33,91,541.50","19,082","1,10,104",59.11
DMART,EQ,14-Nov-2025,"4,062.50","4,060.00","4,069.20","4,020.00","4,053.00","4,053.70","4,043.68","3,05,911","1,23,70,05,668.30","27,992","1,98,445",64.87
DMART,EQ,13-Nov-2025,"4,058.00","4,058.00","4,090.00","4,040.40","4,060.00","4,062.50","4,071.03","2,52,053","1,02,61,15,356.60","35,009","1,60,142",63.54
DMART,EQ,12-Nov-2025,"4,072.20","4,112.60","4,112.60","4,047.30","4,054.00","4,058.00","4,063.89","3,81,769","1,55,14,66,363.90","33,814","2,59,353",67.93
DMART,EQ,11-Nov-2025,"4,019.00","4,025.00","4,077.40","4,020.00","4,075.00","4,072.20","4,053.36","2,72,277","1,10,36,37,150.70","26,158","1,59,379",58.54
DMART,EQ,10-Nov-2025,"4,011.00","4,011.00","4,067.00","4,011.00","4,035.00","4,019.00","4,037.16","2,90,454","1,17,26,09,242.20","28,641","1,58,087",54.43
DMART,EQ,07-Nov-2025,"4,082.20","4,082.20","4,082.20","3,984.60","4,015.90","4,011.00","4,011.43","11,95,522","4,79,57,51,439.10","63,430","8,18,380",68.45
DMART,EQ,06-Nov-2025,"4,182.40","4,182.40","4,191.40","4,071.90","4,089.00","4,082.20","4,109.04","4,87,314","2,00,23,92,604.30","51,155","3,17,824",65.22
