symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
DRREDDY,EQ,25-Mar-2026,"1,259.60","1,268.90","1,309.00","1,260.10","1,307.90","1,300.70","1,295.34","15,77,150","2,04,29,48,119.90","74,468","9,44,409",59.88
DRREDDY,EQ,24-Mar-2026,"1,253.30","1,267.20","1,279.80","1,248.40","1,256.60","1,259.60","1,258.46","31,66,135","3,98,44,54,665.00","85,477","20,56,688",64.96
DRREDDY,EQ,23-Mar-2026,"1,298.90","1,293.00","1,293.00","1,244.20","1,248.80","1,253.30","1,270.07","21,12,613","2,68,31,65,089.10","70,019","14,25,508",67.48
DRREDDY,EQ,20-Mar-2026,"1,274.50","1,289.00","1,307.50","1,288.20","1,296.00","1,298.90","1,298.90","33,59,706","4,36,39,27,735.00","71,697","24,04,233",71.56
DRREDDY,EQ,19-Mar-2026,"1,294.80","1,278.70","1,286.40","1,266.70","1,280.00","1,274.50","1,274.43","10,35,491","1,31,96,65,231.70","54,902","6,22,792",60.14
DRREDDY,EQ,18-Mar-2026,"1,283.80","1,283.80","1,299.30","1,280.10","1,286.90","1,294.80","1,294.95","8,49,938","1,10,06,24,599.70","60,525","5,23,132",61.55
DRREDDY,EQ,17-Mar-2026,"1,276.90","1,279.90","1,291.40","1,265.00","1,281.90","1,283.80","1,280.17","10,03,677","1,28,48,80,324.20","57,531","5,36,962",53.50
DRREDDY,EQ,16-Mar-2026,"1,292.30","1,292.10","1,297.00","1,264.00","1,273.00","1,276.90","1,277.74","12,94,975","1,65,46,38,787.00","60,368","7,73,985",59.77
DRREDDY,EQ,13-Mar-2026,"1,319.00","1,310.00","1,319.90","1,280.90","1,290.00","1,292.30","1,296.66","15,74,522","2,04,16,12,097.40","86,166","9,06,727",57.59
DRREDDY,EQ,12-Mar-2026,"1,325.50","1,321.00","1,337.30","1,303.60","1,319.00","1,319.00","1,321.40","19,69,692","2,60,27,43,481.20","94,198","10,65,395",54.09
DRREDDY,EQ,11-Mar-2026,"1,314.60","1,311.10","1,336.00","1,311.10","1,322.40","1,325.50","1,326.58","24,54,389","3,25,59,47,181.60","64,963","15,07,476",61.42
DRREDDY,EQ,10-Mar-2026,"1,287.00","1,288.00","1,329.60","1,288.00","1,311.10","1,314.60","1,316.16","23,29,349","3,06,57,89,666.60","77,888","12,57,830",54.00
DRREDDY,EQ,09-Mar-2026,"1,303.80","1,285.50","1,294.90","1,273.60","1,284.10","1,287.00","1,285.67","15,97,730","2,05,41,49,874.70","80,365","8,19,293",51.28
DRREDDY,EQ,06-Mar-2026,"1,313.50","1,313.50","1,316.40","1,290.80","1,309.00","1,303.80","1,305.95","9,63,701","1,25,85,47,201.10","57,720","4,53,187",47.03
DRREDDY,EQ,05-Mar-2026,"1,291.20","1,292.50","1,322.10","1,292.50","1,309.00","1,313.50","1,311.05","10,60,509","1,39,03,75,314.90","71,525","5,09,648",48.06
DRREDDY,EQ,04-Mar-2026,"1,294.40","1,274.40","1,299.20","1,272.10","1,291.30","1,291.20","1,286.56","18,90,939","2,43,27,99,009.80","78,401","12,20,486",64.54
DRREDDY,EQ,02-Mar-2026,"1,286.30","1,252.60","1,300.00","1,221.20","1,288.10","1,294.40","1,282.12","10,52,234","1,34,90,89,234.10","63,759","3,60,978",34.31
DRREDDY,EQ,27-Feb-2026,"1,319.30","1,313.80","1,317.20","1,278.20","1,290.00","1,286.30","1,288.07","35,10,396","4,52,16,42,364.30","68,073","23,78,916",67.77
DRREDDY,EQ,26-Feb-2026,"1,306.50","1,311.20","1,327.00","1,305.00","1,316.00","1,319.30","1,316.69","15,11,598","1,99,03,11,482.10","60,588","7,98,237",52.81
DRREDDY,EQ,25-Feb-2026,"1,300.20","1,281.00","1,324.00","1,266.90","1,305.00","1,306.50","1,300.21","22,96,240","2,98,56,03,626.70","82,106","9,92,018",43.20
DRREDDY,EQ,24-Feb-2026,"1,307.40","1,307.50","1,315.00","1,297.10","1,300.00","1,300.20","1,304.40","18,03,242","2,35,21,42,698.30","65,945","9,62,127",53.36
DRREDDY,EQ,23-Feb-2026,"1,280.40","1,290.00","1,313.50","1,282.10","1,305.10","1,307.40","1,300.90","18,49,756","2,40,63,53,328.80","69,316","9,79,696",52.96
DRREDDY,EQ,20-Feb-2026,"1,282.30","1,281.90","1,292.40","1,275.00","1,277.80","1,280.40","1,282.83","17,53,200","2,24,90,53,135.30","32,495","12,85,344",73.31
DRREDDY,EQ,19-Feb-2026,"1,280.30","1,290.00","1,295.70","1,276.50","1,277.60","1,282.30","1,287.00","13,33,838","1,71,66,48,381.90","47,653","5,99,048",44.91
DRREDDY,EQ,18-Feb-2026,"1,284.80","1,289.00","1,291.50","1,276.60","1,282.90","1,280.30","1,282.53","6,89,997","88,49,42,113.90","43,087","3,32,407",48.18
DRREDDY,EQ,17-Feb-2026,"1,269.40","1,266.00","1,286.80","1,258.20","1,281.30","1,284.80","1,276.53","6,87,326","87,73,89,514.40","39,557","3,67,055",53.40
DRREDDY,EQ,16-Feb-2026,"1,268.10","1,257.10","1,275.20","1,257.10","1,268.00","1,269.40","1,267.95","4,69,592","59,54,20,112.20","29,597","2,27,206",48.38
DRREDDY,EQ,13-Feb-2026,"1,274.90","1,274.00","1,279.30","1,263.60","1,269.70","1,268.10","1,270.55","8,38,946","1,06,59,19,362.00","39,616","5,11,983",61.03
DRREDDY,EQ,12-Feb-2026,"1,270.30","1,268.90","1,277.60","1,261.50","1,272.00","1,274.90","1,271.91","9,81,247","1,24,80,61,689.20","57,021","6,09,772",62.14
DRREDDY,EQ,11-Feb-2026,"1,256.00","1,263.90","1,273.50","1,253.20","1,267.10","1,270.30","1,267.37","8,55,888","1,08,47,23,429.20","44,366","4,86,058",56.79
DRREDDY,EQ,10-Feb-2026,"1,275.50","1,279.00","1,283.50","1,253.00","1,255.70","1,256.00","1,265.45","14,12,804","1,78,78,31,996.00","46,039","8,04,294",56.93
DRREDDY,EQ,09-Feb-2026,"1,241.20","1,260.00","1,278.80","1,243.50","1,276.00","1,275.50","1,266.73","21,11,316","2,67,44,67,694.60","60,588","13,29,956",62.99
DRREDDY,EQ,06-Feb-2026,"1,244.90","1,244.90","1,248.90","1,225.00","1,237.60","1,241.20","1,234.03","13,24,651","1,63,46,56,278.00","43,673","8,14,156",61.46
DRREDDY,EQ,05-Feb-2026,"1,240.20","1,242.00","1,253.60","1,237.00","1,245.00","1,244.90","1,246.66","9,53,241","1,18,83,67,065.90","34,697","4,70,013",49.31
DRREDDY,EQ,04-Feb-2026,"1,235.40","1,235.50","1,248.30","1,230.10","1,239.80","1,240.20","1,242.45","9,47,684","1,17,74,47,810.30","37,948","6,22,324",65.67
DRREDDY,EQ,03-Feb-2026,"1,182.50","1,265.00","1,265.90","1,218.10","1,228.90","1,235.40","1,233.61","15,21,425","1,87,68,50,348.60","63,063","7,80,530",51.30
DRREDDY,EQ,02-Feb-2026,"1,178.70","1,189.50","1,195.00","1,167.10","1,182.80","1,182.50","1,181.68","12,07,638","1,42,70,44,656.50","47,986","6,57,401",54.44
DRREDDY,EQ,01-Feb-2026,"1,218.10","1,220.20","1,235.60","1,169.00","1,191.80","1,178.70","1,210.57","5,55,385","67,23,31,483.10","27,260","1,41,371",25.45
DRREDDY,EQ,30-Jan-2026,"1,208.90","1,200.00","1,224.80","1,200.00","1,213.20","1,218.10","1,217.82","16,72,460","2,03,67,47,839.20","47,875","11,59,149",69.31
DRREDDY,EQ,29-Jan-2026,"1,222.50","1,215.30","1,218.00","1,191.20","1,209.00","1,208.90","1,203.39","16,26,394","1,95,71,91,716.40","68,737","9,54,707",58.70
DRREDDY,EQ,28-Jan-2026,"1,239.80","1,241.90","1,243.20","1,219.00","1,221.00","1,222.50","1,225.50","17,40,662","2,13,31,74,542.40","53,141","11,27,680",64.78
DRREDDY,EQ,27-Jan-2026,"1,235.60","1,251.00","1,252.30","1,233.50","1,238.00","1,239.80","1,240.50","21,59,137","2,67,84,14,573.60","80,944","11,86,072",54.93
DRREDDY,EQ,23-Jan-2026,"1,217.50","1,230.00","1,250.80","1,225.00","1,238.40","1,235.60","1,239.88","38,88,860","4,82,17,25,992.40","87,168","14,98,608",38.54
DRREDDY,EQ,22-Jan-2026,"1,157.20","1,195.00","1,225.00","1,187.70","1,218.60","1,217.50","1,214.95","64,64,461","7,85,39,91,043.00","1,53,062","28,33,777",43.84
DRREDDY,EQ,21-Jan-2026,"1,166.70","1,170.00","1,193.80","1,148.40","1,156.00","1,157.20","1,167.42","23,22,066","2,71,08,22,147.60","88,195","8,59,267",37.00
DRREDDY,EQ,20-Jan-2026,"1,167.20","1,168.40","1,192.80","1,161.40","1,172.60","1,166.70","1,174.51","27,90,934","3,27,79,83,081.80","76,135","13,02,658",46.67
DRREDDY,EQ,19-Jan-2026,"1,175.50","1,170.00","1,177.50","1,164.70","1,169.90","1,167.20","1,170.67","12,53,443","1,46,73,70,909.80","45,326","7,30,648",58.29
DRREDDY,EQ,16-Jan-2026,"1,186.50","1,184.00","1,197.00","1,171.50","1,177.70","1,175.50","1,182.65","22,14,792","2,61,93,19,444.60","77,994","14,02,936",63.34
