symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ZOMATO,EQ,22-Jan-2025,214.55,207.15,218.2,203.85,218.1,216.45,210.75,"17,82,56,196","37,56,80,07,232.30","6,54,957","6,73,62,908",37.79
ZOMATO,EQ,23-Jan-2025,216.45,219.65,223.45,216.45,220.95,221.95,220.69,"7,56,49,874","16,69,50,11,170.10","3,76,145","3,19,31,251",42.21
ZOMATO,BL,23-Jan-2025,259.5,221.15,221.15,221.15,221.15,221.15,221.15,"1,20,37,353","2,66,20,60,615.95",1,-,-
ZOMATO,EQ,24-Jan-2025,221.95,221.0,221.0,214.6,215.45,215.6,217.78,"4,39,01,547","9,56,10,28,972.80","2,65,340","1,69,61,893",38.64
ZOMATO,EQ,27-Jan-2025,215.6,213.0,213.0,205.5,206.1,206.2,208.97,"5,52,03,993","11,53,60,63,861.85","3,09,246","2,61,84,679",47.43
ZOMATO,EQ,28-Jan-2025,206.2,206.25,211.75,205.6,209.3,208.2,208.97,"5,44,26,157","11,37,32,84,084.60","2,79,495","2,08,16,854",38.25
ZOMATO,EQ,29-Jan-2025,208.2,211.0,223.75,210.2,222.15,222.5,217.83,"5,36,38,588","11,68,40,36,862.00","2,62,293","2,10,60,564",39.26
ZOMATO,EQ,30-Jan-2025,222.5,223.0,224.8,217.0,218.75,218.8,220.31,"4,47,30,687","9,85,45,17,236.55","1,99,242","1,35,46,633",30.28
ZOMATO,EQ,31-Jan-2025,218.8,219.0,223.0,217.0,222.1,220.35,220.69,"3,32,00,044","7,32,69,97,416.85","1,54,834","1,60,29,897",48.28
ZOMATO,EQ,01-Feb-2025,220.35,220.35,240.4,215.6,235.02,236.32,230.85,"8,52,97,849","19,69,12,07,396.49","4,98,770","2,27,32,076",26.65
ZOMATO,EQ,03-Feb-2025,236.32,233.99,240.19,230.0,238.65,238.2,236.67,"7,02,49,177","16,62,59,51,852.34","3,85,974","2,53,78,189",36.13
ZOMATO,EQ,04-Feb-2025,238.2,242.0,242.0,229.34,233.29,234.54,234.3,"6,43,41,167","15,07,52,47,431.20","3,41,415","2,30,30,622",35.79
ZOMATO,EQ,05-Feb-2025,234.54,234.0,239.39,230.5,231.49,231.12,234.35,"3,64,37,504","8,53,92,63,124.37","3,51,041","1,46,23,089",40.13
ZOMATO,EQ,06-Feb-2025,231.12,233.47,234.65,226.66,229.9,229.05,231.66,"4,16,06,913","9,63,87,30,890.67","2,89,404","1,46,87,696",35.30
ZOMATO,EQ,07-Feb-2025,229.05,230.7,234.7,229.4,233.37,233.9,232.17,"3,92,71,458","9,11,76,09,782.42","2,34,305","1,79,69,445",45.76
ZOMATO,EQ,10-Feb-2025,233.9,233.35,234.89,224.75,227.0,227.25,227.85,"3,86,06,975","8,79,66,20,685.75","2,08,383","2,12,51,995",55.05
ZOMATO,EQ,11-Feb-2025,227.25,227.0,227.24,213.37,216.0,215.45,217.2,"7,12,58,339","15,47,73,40,198.51","4,06,441","3,79,86,370",53.31
ZOMATO,EQ,12-Feb-2025,215.45,213.01,219.35,206.75,217.0,214.7,212.91,"8,67,78,158","18,47,58,69,012.40","4,68,042","3,92,65,653",45.25
ZOMATO,EQ,13-Feb-2025,214.7,218.01,220.44,216.47,217.49,217.87,218.58,"2,56,33,804","5,60,30,10,522.89","1,73,231","96,09,440",37.49
ZOMATO,EQ,14-Feb-2025,217.87,218.54,219.72,213.44,216.44,215.99,216.25,"3,27,38,152","7,07,96,78,971.18","1,88,566","1,31,18,246",40.07
ZOMATO,EQ,17-Feb-2025,215.99,213.19,219.13,210.51,218.83,218.53,216.81,"2,35,60,419","5,10,82,19,452.16","2,60,613","79,36,192",33.68
ZOMATO,EQ,18-Feb-2025,218.53,220.0,224.6,216.52,222.5,223.31,220.92,"3,55,19,896","7,84,70,78,156.71","2,20,740","1,41,64,597",39.88
ZOMATO,EQ,19-Feb-2025,223.31,220.6,234.6,220.0,234.0,234.1,231.09,"4,78,96,911","11,06,84,36,661.34","2,94,295","2,28,81,017",47.77
ZOMATO,EQ,20-Feb-2025,234.1,231.5,236.65,230.11,232.95,233.93,233.95,"2,71,19,319","6,34,44,59,408.22","1,87,397","1,09,17,793",40.26
ZOMATO,EQ,21-Feb-2025,233.93,233.0,238.73,228.87,229.81,230.36,232.42,"3,67,68,250","8,54,56,89,653.90","2,49,247","1,81,86,625",49.46
ZOMATO,EQ,24-Feb-2025,230.36,219.98,227.8,219.98,222.57,222.69,224.48,"4,33,35,473","9,72,79,01,617.03","2,39,930","1,95,52,123",45.12
ZOMATO,EQ,25-Feb-2025,222.69,224.2,230.18,223.05,225.8,225.63,227.37,"4,84,78,366","11,02,24,88,332.55","2,73,484","2,04,81,236",42.25
ZOMATO,EQ,27-Feb-2025,225.63,226.0,229.74,225.05,228.91,229.04,227.43,"3,38,45,022","7,69,73,04,414.55","1,66,607","1,81,83,301",53.73
ZOMATO,EQ,28-Feb-2025,229.04,226.0,228.46,217.82,221.5,222.1,222.58,"11,54,67,128","25,70,06,17,574.24","2,99,830","6,76,21,431",58.56
ZOMATO,EQ,03-Mar-2025,222.1,222.05,225.58,215.25,222.47,222.14,220.58,"3,32,62,928","7,33,71,06,835.31","2,37,045","1,30,45,742",39.22
ZOMATO,EQ,04-Mar-2025,222.14,220.6,229.66,218.7,226.9,227.61,226.69,"4,07,94,122","9,24,75,07,891.87","2,30,022","1,94,00,917",47.56
ZOMATO,EQ,05-Mar-2025,227.61,229.0,231.75,225.36,227.07,227.02,228.13,"3,30,95,222","7,54,99,85,171.54","1,96,956","1,66,79,202",50.40
ZOMATO,EQ,06-Mar-2025,227.02,231.44,231.44,224.5,225.02,225.43,227.37,"3,18,64,115","7,24,50,36,037.57","1,93,971","1,78,05,137",55.88
ZOMATO,EQ,07-Mar-2025,225.43,223.89,224.65,216.0,217.1,216.83,219.76,"4,38,64,788","9,63,96,73,208.20","2,24,254","2,15,69,926",49.17
ZOMATO,EQ,10-Mar-2025,216.83,217.41,219.09,210.55,211.51,211.28,213.37,"6,27,86,821","13,39,67,32,461.19","2,93,972","3,92,11,457",62.45
ZOMATO,EQ,11-Mar-2025,211.28,205.01,210.42,199.8,208.5,208.07,204.61,"12,23,91,053","25,04,20,91,435.90","6,55,855","6,63,71,341",54.23
ZOMATO,EQ,12-Mar-2025,208.07,209.09,212.5,201.2,205.8,205.46,205.12,"8,00,10,768","16,41,16,13,880.98","3,20,372","4,41,81,450",55.22
ZOMATO,EQ,13-Mar-2025,205.46,208.2,208.6,200.2,202.5,201.43,203.98,"6,07,80,855","12,39,83,80,094.37","2,78,069","3,63,00,210",59.72
ZOMATO,EQ,17-Mar-2025,201.43,200.0,207.2,199.17,204.28,203.69,203.89,"4,87,29,405","9,93,53,25,477.68","3,12,138","2,04,90,884",42.05
ZOMATO,EQ,18-Mar-2025,203.69,204.28,219.1,204.28,218.91,218.19,213.74,"7,92,01,906","16,92,85,73,546.83","3,67,430","3,40,96,080",43.05
ZOMATO,EQ,19-Mar-2025,218.19,218.5,227.5,218.5,223.8,223.53,224.39,"6,55,19,150","14,70,16,55,217.63","3,81,459","2,60,85,129",39.81
ZOMATO,EQ,20-Mar-2025,223.53,226.0,228.0,221.87,224.0,224.47,224.74,"6,13,76,776","13,79,38,10,551.36","1,88,392","3,83,24,426",62.44
ZOMATO,EQ,21-Mar-2025,224.47,220.0,228.85,220.0,227.5,227.52,225.92,"11,33,28,549","25,60,27,36,121.47","2,57,104","7,24,04,969",63.89
ZOMATO,EQ,24-Mar-2025,227.52,228.8,230.2,222.2,222.84,222.8,225.05,"4,19,20,679","9,43,43,93,719.25","2,46,715","2,16,08,461",51.55
ZOMATO,EQ,25-Mar-2025,222.8,223.8,225.1,209.0,210.2,209.81,213.41,"8,41,84,995","17,96,62,20,990.50","4,22,009","3,92,83,322",46.66
ZOMATO,EQ,26-Mar-2025,209.81,202.35,206.9,199.92,204.47,203.29,203.89,"11,43,42,130","23,31,28,57,118.08","4,78,755","5,19,65,097",45.45
ZOMATO,EQ,27-Mar-2025,203.29,204.47,208.75,200.37,203.0,206.28,205.79,"40,04,14,753","82,40,01,47,801.58","5,39,248","30,28,31,227",75.63
ZOMATO,EQ,28-Mar-2025,206.28,204.24,209.9,200.5,201.2,201.7,204.43,"7,48,42,762","15,29,97,65,438.29","3,34,406","3,08,73,273",41.25
ZOMATO,EQ,01-Apr-2025,201.7,201.7,205.0,198.85,203.35,202.01,201.89,"6,33,69,467","12,79,35,74,019.85","3,61,222","2,39,99,881",37.87
ZOMATO,EQ,02-Apr-2025,202.01,203.5,212.6,202.0,211.7,212.03,207.87,"5,94,41,448","12,35,59,07,874.91","2,77,483","2,38,87,878",40.19
ZOMATO,EQ,03-Apr-2025,212.03,208.15,214.0,208.0,211.0,210.9,211.51,"4,44,47,473","9,40,11,28,837.48","2,98,707","1,81,68,031",40.88
ZOMATO,EQ,04-Apr-2025,210.9,211.84,212.58,205.67,210.46,210.53,209.49,"4,82,96,676","10,11,74,71,819.20","2,48,714","2,05,37,066",42.52
ZOMATO,EQ,07-Apr-2025,210.53,196.0,211.0,194.8,211.0,209.63,205.47,"6,49,32,923","13,34,18,95,638.20","3,34,420","2,79,14,525",42.99
