symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
EXIDEIND,EQ,22-Jan-2025,377.15,379.0,379.7,367.6,375.7,375.7,372.23,"22,26,469","82,87,64,054.50","38,157","9,09,534",40.85
EXIDEIND,EQ,23-Jan-2025,375.7,374.95,385.9,373.2,383.9,383.5,382.18,"11,94,583","45,65,43,858.90","24,674","3,88,061",32.49
EXIDEIND,EQ,24-Jan-2025,383.5,383.7,385.4,366.95,367.95,369.05,373.56,"19,91,642","74,40,05,529.45","51,905","6,99,395",35.12
EXIDEIND,EQ,27-Jan-2025,369.05,366.1,366.45,346.05,347.65,347.75,353.23,"39,93,789","1,41,07,21,999.90","1,15,249","15,12,182",37.86
EXIDEIND,EQ,28-Jan-2025,347.75,351.95,352.2,336.65,342.75,343.35,343.99,"41,79,119","1,43,75,78,689.40","66,793","13,76,061",32.93
EXIDEIND,EQ,29-Jan-2025,343.35,346.0,361.5,338.65,353.5,353.1,354.3,"76,67,714","2,71,67,00,177.35","1,08,446","9,77,242",12.74
EXIDEIND,EQ,30-Jan-2025,353.1,360.05,365.0,356.3,361.4,360.0,360.57,"32,93,486","1,18,75,41,476.65","55,724","8,46,999",25.72
EXIDEIND,EQ,31-Jan-2025,360.0,362.0,375.9,362.0,375.7,374.5,370.13,"29,73,549","1,10,06,14,386.55","53,584","10,10,597",33.99
EXIDEIND,EQ,01-Feb-2025,374.5,378.7,390.95,372.0,383.7,382.3,382.17,"85,12,713","3,25,33,01,532.10","1,22,173","14,90,983",17.51
EXIDEIND,EQ,03-Feb-2025,382.3,382.75,382.75,370.05,373.45,373.65,375.31,"45,84,030","1,72,04,52,048.55","70,103","17,04,471",37.18
EXIDEIND,EQ,04-Feb-2025,373.65,376.0,383.8,375.45,379.5,380.25,380.26,"31,27,226","1,18,91,52,163.50","46,033","11,25,979",36.01
EXIDEIND,EQ,05-Feb-2025,380.25,381.85,387.5,379.3,384.5,384.85,384.54,"24,68,075","94,90,75,890.25","44,336","8,33,482",33.77
EXIDEIND,EQ,06-Feb-2025,384.85,386.0,386.85,376.2,378.95,378.2,379.8,"24,09,037","91,49,57,921.40","40,578","10,35,276",42.97
EXIDEIND,EQ,07-Feb-2025,378.2,378.9,380.8,372.05,376.0,377.1,376.76,"18,14,706","68,37,16,046.90","36,494","6,57,168",36.21
EXIDEIND,EQ,10-Feb-2025,377.1,377.1,379.2,369.1,371.35,371.7,373.73,"22,65,984","84,68,55,537.80","36,279","7,32,295",32.32
EXIDEIND,EQ,11-Feb-2025,371.7,371.7,371.7,360.45,362.05,362.9,364.2,"21,38,518","77,88,41,267.45","38,862","7,98,036",37.32
EXIDEIND,EQ,12-Feb-2025,362.9,360.0,367.0,350.65,366.0,365.7,359.98,"21,33,936","76,81,81,702.80","33,814","6,05,339",28.37
EXIDEIND,EQ,13-Feb-2025,365.7,367.0,370.0,363.2,367.0,366.95,367.25,"15,86,939","58,28,04,338.80","25,625","6,85,165",43.18
EXIDEIND,EQ,14-Feb-2025,366.95,368.0,370.5,355.1,359.75,358.55,360.37,"20,25,569","72,99,59,315.70","29,940","8,46,065",41.77
EXIDEIND,EQ,17-Feb-2025,358.55,355.05,363.0,346.95,362.0,361.8,356.57,"21,81,305","77,77,80,610.55","41,758","7,91,974",36.31
EXIDEIND,EQ,18-Feb-2025,361.8,362.0,363.2,353.3,358.4,360.55,357.01,"15,50,583","55,35,74,122.35","30,602","6,49,080",41.86
EXIDEIND,EQ,19-Feb-2025,360.55,359.0,367.7,356.15,364.0,364.05,364.35,"11,35,144","41,35,91,206.60","21,786","2,94,065",25.91
EXIDEIND,EQ,20-Feb-2025,364.05,363.85,376.0,360.55,374.5,374.95,370.49,"18,80,912","69,68,67,672.10","31,561","5,18,302",27.56
EXIDEIND,EQ,21-Feb-2025,374.95,373.5,381.0,363.5,363.95,365.3,372.29,"23,39,246","87,08,73,627.30","37,233","6,48,266",27.71
EXIDEIND,EQ,24-Feb-2025,365.3,360.05,366.15,358.2,364.5,364.5,362.45,"16,31,111","59,11,94,301.10","30,789","5,99,279",36.74
EXIDEIND,EQ,25-Feb-2025,364.5,365.0,367.75,360.4,362.45,363.85,364.46,"16,86,214","61,45,62,326.75","25,967","5,21,535",30.93
EXIDEIND,EQ,27-Feb-2025,363.85,363.8,364.45,352.55,354.0,354.5,355.98,"19,37,346","68,96,52,202.55","34,633","6,39,697",33.02
EXIDEIND,EQ,28-Feb-2025,354.5,350.3,354.4,345.35,347.95,347.8,349.34,"25,13,342","87,80,07,996.40","49,238","9,58,829",38.15
EXIDEIND,EQ,03-Mar-2025,347.8,347.8,351.45,338.0,346.85,346.3,343.71,"18,39,905","63,23,89,627.60","41,817","6,66,626",36.23
EXIDEIND,EQ,04-Mar-2025,346.3,341.05,350.75,340.0,345.0,345.7,346.58,"10,22,216","35,42,77,545.25","25,511","2,92,314",28.6
EXIDEIND,EQ,05-Mar-2025,345.7,345.05,359.4,345.05,356.95,356.4,354.83,"22,67,930","80,47,35,605.10","34,265","10,69,945",47.18
EXIDEIND,EQ,06-Mar-2025,356.4,364.0,364.45,354.15,354.8,355.5,357.01,"17,18,140","61,33,99,127.00","28,349","6,56,517",38.21
EXIDEIND,EQ,07-Mar-2025,355.5,355.0,359.9,352.1,355.0,355.85,355.69,"22,54,086","80,17,47,511.00","37,907","5,18,601",23.01
EXIDEIND,EQ,10-Mar-2025,355.85,355.85,358.4,345.0,345.75,346.9,351.76,"17,32,629","60,94,74,166.65","31,289","6,63,705",38.31
EXIDEIND,EQ,11-Mar-2025,346.9,342.3,347.95,340.0,345.85,344.6,344.07,"16,93,648","58,27,30,423.85","34,214","7,45,662",44.03
EXIDEIND,EQ,12-Mar-2025,344.6,344.65,347.65,338.2,340.7,340.65,341.44,"16,47,398","56,24,94,906.30","24,945","8,00,730",48.61
EXIDEIND,EQ,13-Mar-2025,340.65,342.5,342.5,332.25,332.95,333.0,336.77,"16,54,562","55,72,13,117.35","33,027","6,09,564",36.84
EXIDEIND,EQ,17-Mar-2025,333.0,333.5,340.8,330.85,335.65,334.15,335.13,"18,20,103","60,99,74,918.60","28,765","7,48,129",41.1
EXIDEIND,EQ,18-Mar-2025,334.15,337.4,345.0,336.2,342.9,342.75,342.41,"27,33,699","93,60,45,877.05","35,640","14,58,501",53.35
