symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
FORTIS,EQ,25-Mar-2026,811.40,815.00,833.00,813.05,832.00,830.10,828.07,"17,58,122","1,45,58,52,847.45","55,665","11,51,812",65.51
FORTIS,EQ,24-Mar-2026,799.20,818.00,819.50,795.70,808.70,811.40,809.60,"25,03,169","2,02,65,72,335.10","78,211","15,46,228",61.77
FORTIS,EQ,23-Mar-2026,822.05,812.75,814.30,779.55,799.65,799.20,793.09,"20,80,433","1,64,99,79,372.65","79,849","12,03,839",57.86
FORTIS,EQ,20-Mar-2026,818.35,821.15,834.55,814.35,819.00,822.05,825.68,"15,80,046","1,30,46,16,428.35","47,166","9,53,075",60.32
FORTIS,EQ,19-Mar-2026,846.00,832.10,836.00,811.75,822.50,818.35,819.05,"21,69,139","1,77,66,22,568.65","66,032","13,19,606",60.84
FORTIS,EQ,18-Mar-2026,820.20,824.45,850.90,823.35,846.50,846.00,843.55,"21,84,958","1,84,31,10,718.25","68,429","12,87,335",58.92
FORTIS,EQ,17-Mar-2026,807.90,811.95,825.60,795.00,820.05,820.20,816.66,"23,55,341","1,92,35,04,555.50","58,342","13,91,631",59.08
FORTIS,EQ,16-Mar-2026,839.75,838.30,848.90,802.70,806.00,807.90,816.56,"21,63,738","1,76,68,15,450.85","76,778","12,68,345",58.62
FORTIS,EQ,13-Mar-2026,859.50,859.00,863.60,837.95,840.00,839.75,846.35,"10,02,669","84,86,04,140.60","33,790","5,20,645",51.93
FORTIS,EQ,12-Mar-2026,881.20,874.00,875.05,852.00,864.00,859.50,860.08,"23,66,155","2,03,50,75,998.00","59,160","15,72,149",66.44
FORTIS,EQ,11-Mar-2026,881.80,884.00,887.75,873.60,880.00,881.20,880.60,"13,46,013","1,18,53,02,870.65","73,257","8,41,185",62.49
FORTIS,EQ,10-Mar-2026,878.45,885.00,890.00,878.20,885.00,881.80,882.90,"8,67,711","76,61,01,784.00","34,750","4,87,388",56.17
FORTIS,EQ,09-Mar-2026,892.55,869.50,899.80,856.20,879.75,878.45,871.72,"14,16,619","1,23,48,95,386.70","42,031","7,52,893",53.15
FORTIS,EQ,06-Mar-2026,920.95,920.95,927.85,890.15,894.90,892.55,906.81,"13,09,652","1,18,76,08,895.20","29,440","8,00,482",61.12
FORTIS,EQ,05-Mar-2026,910.90,916.80,923.65,905.60,920.50,920.95,915.93,"9,64,390","88,33,18,027.65","36,354","5,32,591",55.23
FORTIS,EQ,04-Mar-2026,932.50,920.00,925.00,901.60,909.00,910.90,909.59,"20,75,902","1,88,82,28,714.60","72,700","12,78,462",61.59
FORTIS,EQ,02-Mar-2026,942.65,903.75,939.25,903.75,928.70,932.50,930.41,"11,77,977","1,09,60,00,511.40","42,582","5,64,382",47.91
FORTIS,EQ,27-Feb-2026,963.65,968.80,977.40,938.35,939.80,942.65,950.61,"32,08,469","3,05,00,13,815.45","63,951","18,68,913",58.25
FORTIS,EQ,26-Feb-2026,930.75,935.15,965.50,935.15,965.00,963.65,955.63,"28,99,022","2,77,03,81,548.95","62,578","10,89,230",37.57
FORTIS,EQ,25-Feb-2026,919.55,924.30,935.00,917.60,933.00,930.75,929.40,"16,78,874","1,56,03,44,310.75","46,255","10,77,143",64.16
FORTIS,EQ,24-Feb-2026,919.70,916.00,923.50,910.05,923.00,919.55,917.16,"6,09,597","55,90,99,687.50","23,518","3,61,840",59.36
FORTIS,EQ,23-Feb-2026,921.00,921.00,932.15,914.90,917.05,919.70,923.33,"15,80,750","1,45,95,58,333.00","49,554","9,72,760",61.54
FORTIS,EQ,20-Feb-2026,906.60,906.60,926.90,906.55,916.25,921.00,919.90,"13,06,102","1,20,14,87,801.50","39,084","5,64,115",43.19
FORTIS,EQ,19-Feb-2026,914.95,917.00,922.75,904.60,907.00,906.60,915.18,"6,60,537","60,45,10,402.95","19,895","2,85,687",43.25
FORTIS,EQ,18-Feb-2026,907.15,909.50,918.15,902.65,914.10,914.95,910.81,"5,57,147","50,74,57,788.90","27,731","2,57,512",46.22
FORTIS,EQ,17-Feb-2026,915.75,921.90,930.00,902.65,904.00,907.15,913.34,"9,12,616","83,35,24,748.80","27,008","3,42,395",37.52
FORTIS,EQ,16-Feb-2026,916.75,916.70,923.80,896.80,917.00,915.75,910.83,"20,94,816","1,90,80,14,232.65","40,923","10,16,580",48.53
FORTIS,EQ,13-Feb-2026,928.55,928.15,930.90,914.30,919.00,916.75,920.06,"12,21,319","1,12,36,91,259.35","34,091","6,06,047",49.62
FORTIS,EQ,12-Feb-2026,918.85,924.70,943.00,921.05,929.80,928.55,933.30,"24,57,834","2,29,38,94,084.15","50,664","9,07,956",36.94
FORTIS,EQ,11-Feb-2026,891.85,891.85,930.90,890.20,920.00,918.85,918.83,"38,65,582","3,55,18,08,818.70","86,303","16,29,791",42.16
FORTIS,EQ,10-Feb-2026,891.30,892.00,897.85,885.40,891.40,891.85,891.16,"10,62,353","94,67,22,420.00","36,037","5,55,606",52.30
FORTIS,EQ,09-Feb-2026,855.70,859.00,895.05,853.20,892.40,891.30,880.22,"12,97,869","1,14,24,12,581.05","33,128","5,39,710",41.58
FORTIS,EQ,06-Feb-2026,857.20,854.10,857.60,844.05,853.90,855.70,851.48,"9,08,963","77,39,62,160.30","44,290","5,21,031",57.32
FORTIS,EQ,05-Feb-2026,859.85,858.00,872.45,850.40,857.10,857.20,857.65,"7,49,831","64,30,89,639.30","25,412","3,89,599",51.96
FORTIS,EQ,04-Feb-2026,863.10,859.50,869.65,855.10,857.50,859.85,862.52,"13,71,869","1,18,32,70,491.85","45,048","8,57,250",62.49
FORTIS,EQ,03-Feb-2026,837.95,855.00,870.95,852.15,864.90,863.10,862.38,"19,95,886","1,72,12,10,878.50","42,594","11,64,526",58.35
FORTIS,EQ,02-Feb-2026,832.80,828.00,842.90,812.60,840.00,837.95,828.91,"12,05,946","99,96,15,768.15","38,754","6,28,499",52.12
FORTIS,EQ,01-Feb-2026,851.50,857.00,868.30,827.80,833.75,832.80,849.09,"3,64,148","30,91,95,422.90","13,220","77,469",21.27
FORTIS,EQ,30-Jan-2026,842.25,838.00,858.15,838.00,851.05,851.50,851.60,"20,77,023","1,76,87,97,235.30","60,259","15,01,165",72.27
FORTIS,EQ,29-Jan-2026,849.05,845.50,849.55,837.55,843.00,842.25,842.72,"18,13,385","1,52,81,67,244.45","40,549","13,25,739",73.11
FORTIS,EQ,28-Jan-2026,838.45,843.85,853.20,839.45,850.00,849.05,847.22,"10,89,769","92,32,79,098.20","40,031","6,96,645",63.93
