symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,25-Mar-2026,137.67,139.8,140.85,138.3,139.0,139.2,139.68,"1,70,31,700","2,37,89,35,685.85","72,879","98,54,181",57.86
GAIL,EQ,24-Mar-2026,135.4,139.0,139.88,134.6,138.09,137.67,136.89,"2,28,24,139","3,12,43,55,650.13","1,02,698","1,26,18,924",55.29
GAIL,EQ,23-Mar-2026,142.87,141.23,142.1,134.36,135.22,135.4,136.56,"1,65,52,069","2,26,03,18,566.37","1,11,483","85,62,432",51.73
GAIL,EQ,20-Mar-2026,144.27,146.02,147.35,142.44,143.25,142.87,144.12,"2,17,38,634","3,13,30,53,881.18","90,377","1,48,58,738",68.35
GAIL,EQ,19-Mar-2026,150.95,148.97,148.97,143.8,144.75,144.27,145.97,"1,05,09,747","1,53,41,26,482.33","78,069","48,14,791",45.81
GAIL,EQ,18-Mar-2026,147.71,148.49,151.63,147.56,151.13,150.95,149.6,"1,02,19,424","1,52,88,11,223.71","60,120","55,04,991",53.87
GAIL,EQ,17-Mar-2026,146.06,147.0,148.38,145.55,147.2,147.71,147.02,"1,31,54,638","1,93,40,57,051.50","58,338","71,02,908",54.0
GAIL,EQ,16-Mar-2026,147.78,149.0,150.29,144.5,145.7,146.06,146.38,"1,03,25,467","1,51,14,79,300.49","73,435","42,45,101",41.11
GAIL,EQ,13-Mar-2026,152.35,152.5,153.29,147.45,148.0,147.78,149.26,"1,13,88,686","1,69,98,85,880.90","72,000","50,11,041",44.0
GAIL,EQ,12-Mar-2026,147.97,147.0,153.93,144.67,152.5,152.35,151.24,"1,60,72,499","2,43,08,10,138.38","99,627","50,26,828",31.28
GAIL,EQ,11-Mar-2026,150.29,151.39,154.9,147.32,147.7,147.97,150.47,"2,35,26,066","3,53,98,64,942.54","1,36,005","1,36,90,089",58.19
GAIL,EQ,10-Mar-2026,148.98,151.0,152.5,149.25,150.49,150.29,150.53,"2,08,23,909","3,13,47,19,297.33","1,31,646","1,36,78,096",65.68
GAIL,EQ,09-Mar-2026,155.71,152.0,152.0,146.41,149.18,148.98,148.33,"2,07,04,576","3,07,11,79,530.07","1,48,392","1,12,85,190",54.51
GAIL,EQ,06-Mar-2026,156.73,155.9,157.8,153.65,155.6,155.71,156.04,"1,46,33,439","2,28,33,89,247.97","1,09,474","82,97,741",56.7
GAIL,EQ,05-Mar-2026,154.61,155.49,157.86,154.41,155.8,156.73,156.21,"1,84,00,202","2,87,42,56,213.49","75,791","92,73,388",50.4
GAIL,EQ,04-Mar-2026,165.07,160.0,160.53,154.0,154.62,154.61,155.84,"3,00,80,625","4,68,77,35,783.60","1,99,757","1,58,55,258",52.71
GAIL,EQ,02-Mar-2026,169.53,165.5,167.96,163.5,165.45,165.07,165.32,"1,72,68,287","2,85,48,75,668.55","1,88,741","97,45,031",56.43
GAIL,EQ,27-Feb-2026,169.96,169.45,171.46,167.67,168.85,169.53,169.66,"1,71,64,115","2,91,20,29,726.55","1,10,306","1,07,08,787",62.39
GAIL,EQ,26-Feb-2026,170.0,170.5,171.2,168.41,170.02,169.96,169.29,"1,30,26,917","2,20,53,24,551.21","74,005","97,68,690",74.99
GAIL,EQ,25-Feb-2026,167.86,168.0,170.31,167.75,169.89,170.0,169.24,"1,00,27,465","1,69,69,98,933.05","99,093","67,24,740",67.06
GAIL,EQ,24-Feb-2026,167.13,165.6,168.59,165.6,168.55,167.86,167.43,"88,09,408","1,47,50,03,220.05","58,932","57,37,670",65.13
GAIL,EQ,23-Feb-2026,168.47,168.8,169.3,166.47,167.13,167.13,167.27,"74,94,561","1,25,36,31,880.78","93,783","50,25,958",67.06
GAIL,EQ,20-Feb-2026,166.88,166.01,170.0,165.8,168.11,168.47,168.48,"1,46,68,133","2,47,12,45,227.05","87,137","88,82,649",60.56
GAIL,EQ,19-Feb-2026,167.31,167.31,169.36,165.85,166.8,166.88,167.66,"1,70,67,659","2,86,16,37,611.91","83,174","1,04,73,516",61.36
GAIL,EQ,18-Feb-2026,165.75,166.5,169.29,165.59,167.02,167.31,167.16,"1,17,90,520","1,97,09,10,818.72","1,36,995","66,73,956",56.6
GAIL,EQ,17-Feb-2026,164.82,164.2,165.9,163.86,165.88,165.75,165.07,"87,56,094","1,44,53,64,642.98","1,95,532","57,72,212",65.92
GAIL,EQ,16-Feb-2026,161.69,161.68,165.1,161.3,164.5,164.82,164.02,"1,02,23,455","1,67,68,59,755.50","2,33,031","56,44,271",55.21
GAIL,EQ,13-Feb-2026,163.72,162.4,163.33,161.12,161.99,161.69,161.75,"85,23,271","1,37,86,34,337.58","1,83,208","51,02,349",59.86
GAIL,EQ,12-Feb-2026,163.47,163.0,164.5,162.04,163.6,163.72,163.47,"1,31,90,080","2,15,61,89,305.05","1,12,299","81,59,511",61.86
GAIL,EQ,11-Feb-2026,164.55,164.64,164.64,161.8,163.25,163.47,163.11,"88,59,790","1,44,51,12,361.90","87,777","55,36,300",62.49
GAIL,EQ,10-Feb-2026,163.64,163.79,167.12,163.7,164.36,164.55,165.22,"1,46,29,394","2,41,70,92,115.20","66,408","86,68,028",59.25
GAIL,EQ,09-Feb-2026,162.99,163.2,164.24,162.5,164.02,163.64,163.32,"1,45,53,493","2,37,69,02,780.71","1,11,447","1,04,99,300",72.14
GAIL,EQ,06-Feb-2026,160.18,160.0,163.62,159.03,163.2,162.99,161.42,"1,50,57,595","2,43,06,04,880.45","66,004","1,01,65,958",67.51
GAIL,EQ,05-Feb-2026,165.41,161.52,161.6,159.41,160.1,160.18,160.25,"1,33,23,350","2,13,50,06,034.85","82,475","79,36,112",59.57
GAIL,EQ,04-Feb-2026,162.8,163.69,165.8,162.8,165.71,165.41,164.77,"1,56,26,744","2,57,47,64,491.12","76,467","99,48,166",63.66
GAIL,EQ,03-Feb-2026,160.39,165.4,166.49,161.4,163.07,162.8,163.02,"3,26,79,436","5,32,73,90,673.18","1,15,105","2,21,45,019",67.76
GAIL,EQ,02-Feb-2026,162.42,162.69,162.69,157.8,160.55,160.39,159.83,"1,73,76,481","2,77,73,03,952.83","1,13,198","1,01,21,212",58.25
GAIL,EQ,01-Feb-2026,167.29,165.0,166.69,158.86,162.49,162.42,163.45,"1,17,83,930","1,92,60,88,335.79","78,450","42,44,568",36.02
GAIL,EQ,30-Jan-2026,167.38,167.35,168.1,165.21,167.05,167.29,166.56,"1,58,45,745","2,63,91,94,601.95","64,833","1,03,42,612",65.27
GAIL,EQ,29-Jan-2026,168.14,168.15,171.95,165.75,167.01,167.38,168.48,"1,52,16,722","2,56,36,38,729.92","76,952","77,08,799",50.66
GAIL,EQ,28-Jan-2026,159.98,161.1,168.67,161.1,168.12,168.14,165.83,"1,11,94,053","1,85,63,51,453.59","67,525","50,85,542",45.43
GAIL,EQ,27-Jan-2026,160.81,160.81,161.4,158.36,161.1,159.98,159.28,"2,08,08,770","3,31,44,04,912.43","1,01,977","1,38,75,588",66.68
GAIL,EQ,23-Jan-2026,163.57,165.0,165.04,160.0,160.85,160.81,161.61,"81,78,368","1,32,16,77,887.12","50,727","43,93,831",53.73
GAIL,EQ,22-Jan-2026,162.68,163.69,164.62,162.41,163.83,163.57,163.4,"1,21,11,105","1,97,90,01,140.85","57,154","76,59,566",63.24
GAIL,EQ,21-Jan-2026,161.21,161.21,165.26,159.79,162.35,162.68,162.56,"1,60,82,935","2,61,44,35,584.49","69,966","65,70,954",40.86
GAIL,EQ,20-Jan-2026,164.72,164.0,164.61,160.63,161.0,161.21,162.33,"68,41,149","1,11,05,28,710.05","59,900","39,40,103",57.59
GAIL,EQ,19-Jan-2026,164.24,164.24,165.66,163.59,164.1,164.72,164.45,"45,66,527","75,09,46,441.50","53,360","27,95,793",61.22
GAIL,EQ,16-Jan-2026,165.17,164.4,166.25,163.48,164.4,164.24,164.69,"2,05,49,276","3,38,43,40,175.66","85,759","1,58,84,138",77.3
GAIL,EQ,14-Jan-2026,165.26,164.99,166.55,164.25,165.1,165.17,165.68,"1,27,30,825","2,10,92,61,653.08","52,676","79,29,353",62.28
GAIL,EQ,13-Jan-2026,166.55,167.38,168.2,164.09,165.3,165.26,165.61,"78,64,353","1,30,24,11,023.35","52,400","43,51,929",55.34
GAIL,EQ,12-Jan-2026,164.36,163.99,167.1,161.9,167.06,166.55,164.5,"85,11,255","1,40,01,26,860.73","49,246","50,13,200",58.9
GAIL,EQ,09-Jan-2026,163.53,163.49,165.41,163.1,164.3,164.36,164.18,"75,40,855","1,23,80,64,786.77","64,906","42,22,057",55.99
GAIL,EQ,08-Jan-2026,168.48,168.03,168.42,163.05,163.3,163.53,164.73,"96,89,093","1,59,60,43,786.92","82,571","56,65,542",58.47
GAIL,EQ,07-Jan-2026,169.39,169.4,170.14,167.6,168.5,168.48,168.53,"78,90,426","1,32,97,58,408.69","50,847","44,49,172",56.39
GAIL,EQ,06-Jan-2026,173.05,173.0,173.0,168.85,168.99,169.39,170.45,"87,71,407","1,49,50,93,149.90","68,834","49,13,405",56.02
GAIL,EQ,05-Jan-2026,175.38,175.4,175.9,172.35,173.0,173.05,173.97,"74,05,173","1,28,83,10,226.22","56,663","47,30,825",63.89
GAIL,EQ,02-Jan-2026,171.77,171.55,176.07,171.55,175.47,175.38,174.58,"1,36,98,712","2,39,14,85,684.25","56,336","85,26,652",62.24
GAIL,EQ,01-Jan-2026,172.16,172.0,172.5,171.04,171.68,171.77,171.69,"28,97,460","49,74,61,844.87","17,951","19,12,725",66.01
GAIL,EQ,31-Dec-2025,170.63,170.7,172.7,170.7,172.0,172.16,172.0,"61,39,095","1,05,59,38,337.41","39,783","35,59,249",57.98
GAIL,EQ,30-Dec-2025,170.42,170.35,171.0,169.76,170.9,170.63,170.35,"45,26,325","77,10,73,814.58","45,384","26,26,996",58.04
GAIL,EQ,29-Dec-2025,171.02,171.0,171.5,169.92,170.34,170.42,170.49,"28,57,519","48,71,70,545.83","29,176","14,97,604",52.41
GAIL,EQ,26-Dec-2025,171.0,170.99,171.98,170.38,171.16,171.02,171.16,"19,42,413","33,24,56,288.79","19,887","7,97,409",41.05
GAIL,EQ,24-Dec-2025,172.04,173.0,173.81,170.74,171.1,171.0,172.06,"44,67,016","76,85,87,263.83","53,273","20,03,315",44.85
GAIL,EQ,23-Dec-2025,171.72,171.51,172.7,171.13,171.92,172.04,172.11,"35,48,499","61,07,40,627.74","43,608","21,47,213",60.51
GAIL,EQ,22-Dec-2025,169.76,170.01,172.23,169.3,171.68,171.72,171.35,"41,18,436","70,57,12,421.66","30,894","22,17,877",53.85
GAIL,EQ,19-Dec-2025,167.55,167.61,170.24,167.61,169.8,169.76,169.07,"87,66,941","1,48,22,32,744.60","48,842","58,63,785",66.89
GAIL,EQ,18-Dec-2025,169.07,168.6,169.49,166.9,167.5,167.55,167.71,"37,43,055","62,77,61,599.87","26,331","20,93,993",55.94
GAIL,EQ,17-Dec-2025,168.32,169.1,170.5,168.0,168.88,169.07,169.12,"33,69,805","56,99,07,569.51","31,984","16,72,998",49.65
GAIL,EQ,16-Dec-2025,169.86,169.78,169.78,167.43,168.1,168.32,168.26,"75,81,502","1,27,56,31,096.15","45,680","52,35,970",69.06
GAIL,EQ,15-Dec-2025,170.71,170.65,170.65,168.76,169.55,169.86,169.81,"66,75,122","1,13,35,26,380.95","41,207","42,22,654",63.26
GAIL,EQ,12-Dec-2025,168.95,170.0,174.29,169.3,170.65,170.71,171.0,"1,84,97,271","3,16,30,10,223.09","1,02,725","96,41,378",52.12
GAIL,EQ,11-Dec-2025,168.02,168.02,170.44,167.73,168.66,168.95,169.22,"49,76,531","84,21,28,260.94","35,850","30,24,550",60.78
