symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GMRAIRPORT,EQ,25-Mar-2026,89.02,89.5,91.53,89.31,90.4,90.06,90.55,"2,08,43,793","1,88,74,94,071.31","35,869","1,30,98,866",62.84
GMRAIRPORT,EQ,24-Mar-2026,84.77,88.0,90.34,86.95,89.0,89.02,88.65,"1,50,94,837","1,33,81,46,870.33","63,731","41,82,771",27.71
GMRAIRPORT,EQ,23-Mar-2026,90.56,90.15,90.15,84.49,84.6,84.77,86.02,"1,06,47,285","91,58,58,150.60","45,825","46,95,719",44.10
GMRAIRPORT,EQ,20-Mar-2026,88.45,89.0,92.95,89.0,90.97,90.56,91.37,"2,41,47,369","2,20,62,76,572.93","38,752","1,22,89,884",50.90
GMRAIRPORT,EQ,19-Mar-2026,92.02,90.75,91.1,87.33,89.15,88.45,88.94,"1,25,68,247","1,11,78,58,904.87","67,065","54,85,229",43.64
GMRAIRPORT,EQ,18-Mar-2026,90.3,90.5,92.63,89.77,92.37,92.02,91.54,"93,15,459","85,27,05,983.55","46,610","46,63,714",50.06
GMRAIRPORT,EQ,17-Mar-2026,90.5,90.9,91.1,89.66,90.29,90.3,90.29,"69,31,780","62,58,72,214.76","44,067","30,60,081",44.15
GMRAIRPORT,EQ,16-Mar-2026,89.26,90.0,92.05,88.77,90.18,90.5,90.46,"1,54,05,960","1,39,35,87,543.86","58,701","51,58,270",33.48
GMRAIRPORT,EQ,13-Mar-2026,93.29,93.0,93.01,88.85,89.6,89.26,90.23,"1,07,07,023","96,61,14,711.26","58,000","50,71,608",47.37
GMRAIRPORT,EQ,12-Mar-2026,93.79,93.01,95.08,92.08,93.3,93.29,93.54,"1,74,90,118","1,63,60,27,989.06","67,103","88,46,739",50.58
GMRAIRPORT,EQ,11-Mar-2026,95.53,95.53,97.15,93.56,93.83,93.79,95.11,"43,62,786","41,49,31,447.30","22,978","15,01,044",34.41
GMRAIRPORT,EQ,10-Mar-2026,92.07,94.0,97.0,93.2,96.35,95.53,94.78,"1,40,65,830","1,33,31,63,403.60","63,527","88,02,175",62.58
GMRAIRPORT,EQ,09-Mar-2026,95.06,93.19,93.31,90.64,91.8,92.07,91.62,"1,31,64,377","1,20,61,66,622.09","60,008","67,49,305",51.27
GMRAIRPORT,EQ,06-Mar-2026,97.98,97.41,99.5,94.84,95.0,95.06,96.42,"1,83,35,854","1,76,80,16,603.47","44,390","1,08,01,564",58.91
GMRAIRPORT,EQ,05-Mar-2026,95.2,95.5,98.79,95.5,98.0,97.98,96.84,"2,27,36,777","2,20,17,22,439.61","55,297","1,40,78,084",61.92
GMRAIRPORT,EQ,04-Mar-2026,96.49,93.97,96.1,92.5,94.88,95.2,94.6,"1,39,37,168","1,31,84,16,674.43","55,932","74,98,173",53.80
GMRAIRPORT,EQ,02-Mar-2026,100.63,96.1,99.08,95.05,96.7,96.49,96.81,"1,19,96,476","1,16,13,53,599.48","72,279","52,09,512",43.43
GMRAIRPORT,EQ,27-Feb-2026,102.26,101.76,102.29,99.57,99.7,100.63,100.95,"1,92,13,349","1,93,95,81,569.87","45,467","1,32,76,588",69.10
GMRAIRPORT,EQ,26-Feb-2026,102.27,101.81,103.0,101.51,102.35,102.26,102.21,"47,03,063","48,07,02,855.68","29,653","22,15,170",47.10
GMRAIRPORT,EQ,25-Feb-2026,101.7,102.78,103.03,101.5,102.15,102.27,102.16,"1,09,16,245","1,11,51,92,897.10","46,151","67,95,807",62.25
GMRAIRPORT,EQ,24-Feb-2026,100.84,100.5,102.5,99.65,102.1,101.7,100.85,"70,47,232","71,06,80,045.60","28,527","37,10,641",52.65
GMRAIRPORT,EQ,23-Feb-2026,99.75,100.89,101.5,99.93,100.89,100.84,100.73,"72,31,415","72,84,02,652.61","50,631","40,59,327",56.13
GMRAIRPORT,EQ,20-Feb-2026,99.06,99.01,100.39,98.68,99.57,99.75,99.71,"69,98,470","69,78,11,701.10","33,538","29,61,551",42.32
GMRAIRPORT,EQ,19-Feb-2026,100.36,100.7,100.99,98.8,98.9,99.06,99.7,"1,00,00,773","99,70,34,383.34","30,974","43,44,056",43.44
GMRAIRPORT,EQ,18-Feb-2026,99.8,99.8,101.64,99.12,100.4,100.36,100.6,"1,28,11,121","1,28,87,71,843.61","44,425","59,51,216",46.45
GMRAIRPORT,EQ,17-Feb-2026,100.52,99.87,102.55,99.12,99.8,99.8,100.95,"2,55,14,687","2,57,57,49,620.33","70,656","99,46,111",38.98
GMRAIRPORT,EQ,16-Feb-2026,94.03,95.15,101.4,95.15,100.6,100.52,99.63,"5,09,76,360","5,07,86,28,075.34","1,58,020","1,05,18,067",20.63
GMRAIRPORT,EQ,13-Feb-2026,96.33,95.6,96.0,93.53,94.08,94.03,94.25,"78,36,032","73,85,70,938.13","28,935","39,43,650",50.33
GMRAIRPORT,EQ,12-Feb-2026,96.81,96.81,97.33,95.8,96.28,96.33,96.34,"57,46,310","55,35,94,370.01","30,567","28,83,229",50.18
GMRAIRPORT,EQ,11-Feb-2026,97.81,97.94,97.96,96.15,96.85,96.81,96.79,"48,81,186","47,24,71,289.36","40,384","23,76,664",48.69
GMRAIRPORT,EQ,10-Feb-2026,97.98,98.15,98.57,96.92,97.7,97.81,97.58,"72,99,407","71,22,87,468.93","39,090","35,46,691",48.59
GMRAIRPORT,EQ,09-Feb-2026,97.51,98.26,98.62,97.49,98.2,97.98,98.0,"2,12,09,846","2,07,86,31,038.92","41,147","1,46,59,610",69.12
GMRAIRPORT,EQ,06-Feb-2026,97.43,97.0,97.72,95.91,97.4,97.51,96.78,"1,09,11,384","1,05,60,54,735.39","37,627","63,32,096",58.03
GMRAIRPORT,EQ,05-Feb-2026,98.08,98.57,98.57,96.81,97.28,97.43,97.52,"80,04,097","78,05,52,320.92","47,123","40,76,209",50.93
GMRAIRPORT,EQ,04-Feb-2026,95.22,95.2,98.83,94.71,98.15,98.08,97.27,"2,08,22,852","2,02,54,22,524.43","77,873","95,07,596",45.66
GMRAIRPORT,EQ,03-Feb-2026,94.01,96.01,97.58,94.34,95.25,95.22,95.48,"1,52,38,593","1,45,49,98,413.69","88,241","85,84,717",56.34
GMRAIRPORT,EQ,02-Feb-2026,89.8,89.87,94.31,89.12,94.28,94.01,93.17,"2,64,94,437","2,46,85,71,001.54","94,121","88,61,100",33.45
