symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GODREJCP,EQ,22-Jan-2025,"1,158.95","1,163.05","1,168.50","1,137.55","1,153.00","1,153.00","1,148.59","19,02,732","2,18,54,56,268.00","86,856","13,36,916",70.26
GODREJCP,EQ,23-Jan-2025,"1,153.00","1,141.25","1,166.05","1,120.85","1,143.35","1,145.20","1,147.64","8,93,059","1,02,49,08,480.10","40,515","4,64,418",52.0
GODREJCP,EQ,24-Jan-2025,"1,145.20","1,145.95","1,147.95","1,125.40","1,130.00","1,130.35","1,132.93","3,77,449","42,76,24,218.05","33,546","1,91,597",50.76
GODREJCP,EQ,27-Jan-2025,"1,130.35","1,117.05","1,132.40","1,097.50","1,128.35","1,126.65","1,120.25","14,77,851","1,65,55,60,190.25","76,787","8,22,228",55.64
GODREJCP,EQ,28-Jan-2025,"1,126.65","1,126.65","1,137.65","1,111.05","1,123.30","1,125.85","1,124.67","15,78,549","1,77,53,52,093.05","67,120","10,32,878",65.43
GODREJCP,EQ,29-Jan-2025,"1,125.85","1,117.55","1,122.85","1,108.40","1,118.60","1,118.15","1,114.91","7,58,944","84,61,55,967.60","55,213","4,49,430",59.22
GODREJCP,EQ,30-Jan-2025,"1,118.15","1,118.15","1,126.00","1,111.45","1,114.10","1,118.50","1,117.94","21,06,354","2,35,47,70,914.95","48,555","15,31,586",72.71
GODREJCP,EQ,31-Jan-2025,"1,118.50","1,112.00","1,136.30","1,112.00","1,118.10","1,121.25","1,124.77","23,49,882","2,64,30,83,291.35","47,837","15,86,012",67.49
GODREJCP,EQ,01-Feb-2025,"1,121.25","1,126.80","1,214.50","1,118.55","1,185.00","1,191.70","1,188.59","27,96,848","3,32,43,09,873.90","92,098","11,08,321",39.63
GODREJCP,EQ,03-Feb-2025,"1,191.70","1,175.05","1,187.90","1,139.55","1,153.00","1,155.55","1,157.97","13,00,237","1,50,56,31,100.40","54,587","6,44,895",49.6
GODREJCP,EQ,04-Feb-2025,"1,155.55","1,161.20","1,161.20","1,127.00","1,135.10","1,135.25","1,136.67","13,37,886","1,52,07,38,055.05","42,960","9,11,548",68.13
GODREJCP,EQ,05-Feb-2025,"1,135.25","1,141.20","1,141.20","1,116.00","1,117.00","1,118.75","1,127.06","14,49,207","1,63,33,42,429.70","78,522","9,97,912",68.86
GODREJCP,EQ,06-Feb-2025,"1,118.75","1,118.75","1,132.30","1,115.75","1,120.00","1,119.60","1,123.60","4,28,067","48,09,74,576.80","38,079","2,11,792",49.48
GODREJCP,EQ,07-Feb-2025,"1,119.60","1,120.00","1,122.05","1,094.55","1,107.85","1,106.75","1,105.39","4,78,210","52,86,06,916.15","44,195","2,34,733",49.09
GODREJCP,EQ,10-Feb-2025,"1,106.75","1,112.25","1,170.00","1,080.00","1,092.00","1,091.25","1,095.91","6,90,083","75,62,71,701.55","53,422","4,14,959",60.13
GODREJCP,EQ,11-Feb-2025,"1,091.25","1,095.05","1,106.95","1,064.25","1,070.55","1,071.25","1,078.33","5,99,851","64,68,37,268.50","51,631","3,59,068",59.86
GODREJCP,EQ,12-Feb-2025,"1,071.25","1,071.25","1,081.60","1,053.60","1,069.05","1,072.75","1,070.35","7,09,401","75,93,06,512.50","42,177","4,57,012",64.42
GODREJCP,EQ,13-Feb-2025,"1,072.75","1,072.75","1,077.55","1,049.00","1,050.50","1,052.80","1,061.88","8,98,637","95,42,48,124.75","57,110","5,43,825",60.52
GODREJCP,EQ,14-Feb-2025,"1,052.80","1,058.05","1,074.00","1,047.50","1,049.00","1,058.90","1,062.50","6,90,182","73,33,19,055.60","45,322","2,79,274",40.46
GODREJCP,EQ,17-Feb-2025,"1,058.90","1,058.80","1,058.80","1,033.60","1,037.95","1,039.25","1,039.21","4,77,531","49,62,55,639.50","29,133","2,14,638",44.95
GODREJCP,EQ,18-Feb-2025,"1,039.25","1,039.90","1,044.45","1,006.00","1,016.90","1,015.55","1,016.47","9,59,493","97,53,00,200.25","43,698","6,55,563",68.32
GODREJCP,EQ,19-Feb-2025,"1,015.55","1,015.55","1,026.90",997.20,"1,025.00","1,024.50","1,012.12","27,57,447","2,79,08,75,778.25","97,627","21,41,318",77.66
GODREJCP,EQ,20-Feb-2025,"1,024.50","1,020.00","1,080.85","1,019.05","1,075.00","1,074.60","1,063.76","25,78,907","2,74,33,37,434.60","88,583","15,03,138",58.29
GODREJCP,EQ,21-Feb-2025,"1,074.60","1,075.00","1,079.90","1,047.35","1,050.15","1,052.20","1,063.72","16,56,549","1,76,20,98,499.95","44,408","12,62,498",76.21
GODREJCP,EQ,24-Feb-2025,"1,052.20","1,048.15","1,051.80","1,035.25","1,047.75","1,044.60","1,046.17","14,64,427","1,53,20,36,424.15","47,003","11,51,732",78.65
GODREJCP,EQ,25-Feb-2025,"1,044.60","1,047.75","1,064.40","1,041.35","1,056.45","1,057.10","1,055.40","17,46,207","1,84,29,49,240.30","46,572","12,94,532",74.13
GODREJCP,EQ,27-Feb-2025,"1,057.10","1,057.10","1,067.70","1,040.50","1,051.05","1,051.40","1,050.30","13,48,747","1,41,65,84,707.80","67,230","10,65,142",78.97
GODREJCP,EQ,28-Feb-2025,"1,051.40","1,040.05","1,055.00",999.35,"1,009.00","1,005.15","1,019.58","23,16,444","2,36,17,96,496.35","69,088","17,36,154",74.95
GODREJCP,EQ,03-Mar-2025,"1,005.15","1,006.00","1,014.75",990.00,"1,000.00",998.35,"1,000.39","6,93,968","69,42,41,799.10","57,452","3,69,403",53.23
GODREJCP,EQ,04-Mar-2025,998.35,990.00,997.10,979.50,988.00,990.25,990.68,"9,35,737","92,70,12,177.50","51,247","6,01,784",64.31
GODREJCP,EQ,05-Mar-2025,990.25,990.25,"1,005.90",986.65,992.15,991.35,994.06,"16,21,637","1,61,19,99,290.95","45,010","11,92,654",73.55
GODREJCP,EQ,06-Mar-2025,991.35,998.00,"1,037.75",998.00,"1,028.40","1,030.30","1,022.68","18,63,854","1,90,61,34,187.65","79,704","8,94,874",48.01
GODREJCP,EQ,07-Mar-2025,"1,030.30","1,020.10","1,053.40","1,017.20","1,043.40","1,045.30","1,041.03","6,07,186","63,21,00,498.45","33,778","2,95,589",48.68
GODREJCP,EQ,10-Mar-2025,"1,045.30","1,042.00","1,063.20","1,036.90","1,044.95","1,044.00","1,050.83","7,93,821","83,41,72,359.10","44,651","4,62,863",58.31
GODREJCP,EQ,11-Mar-2025,"1,044.00","1,025.00","1,050.00","1,025.00","1,039.35","1,039.15","1,043.46","7,21,342","75,26,93,447.15","56,996","4,14,586",57.47
GODREJCP,EQ,12-Mar-2025,"1,039.15","1,039.25","1,046.90","1,028.85","1,044.00","1,043.40","1,039.47","4,36,216","45,34,32,961.65","30,299","2,46,952",56.61
GODREJCP,EQ,13-Mar-2025,"1,043.40","1,045.00","1,045.00","1,020.35","1,030.55","1,025.80","1,028.08","6,31,099","64,88,20,822.05","33,973","4,00,806",63.51
GODREJCP,EQ,17-Mar-2025,"1,025.80","1,025.10","1,061.40","1,024.65","1,056.00","1,052.30","1,049.42","12,66,047","1,32,86,17,408.40","54,351","7,25,534",57.31
GODREJCP,EQ,18-Mar-2025,"1,052.30","1,064.55","1,090.75","1,064.55","1,084.00","1,083.65","1,082.53","25,84,183","2,79,74,68,059.35","65,740","16,42,675",63.57
GODREJCP,EQ,19-Mar-2025,"1,083.65","1,085.10","1,087.00","1,064.35","1,074.90","1,074.30","1,073.99","12,74,199","1,36,84,75,556.70","64,332","8,70,969",68.35
GODREJCP,EQ,20-Mar-2025,"1,074.30","1,074.95","1,104.70","1,074.95","1,099.25","1,101.50","1,095.04","14,22,712","1,55,79,29,723.50","81,274","9,56,114",67.2
GODREJCP,EQ,21-Mar-2025,"1,101.50","1,105.50","1,120.55","1,094.00","1,110.00","1,111.95","1,111.33","17,75,108","1,97,27,26,900.00","72,346","12,85,444",72.41
GODREJCP,EQ,24-Mar-2025,"1,111.95","1,116.00","1,120.10","1,098.50","1,111.00","1,106.30","1,107.40","8,80,326","97,48,75,862.40","69,664","5,59,926",63.6
GODREJCP,EQ,25-Mar-2025,"1,106.30","1,111.85","1,134.90","1,097.60","1,128.45","1,129.85","1,127.15","23,39,818","2,63,73,14,414.35","80,809","16,01,511",68.45
GODREJCP,EQ,26-Mar-2025,"1,129.85","1,129.95","1,138.85","1,103.25","1,127.60","1,130.30","1,124.64","20,80,701","2,34,00,33,450.10","1,01,599","14,76,794",70.98
GODREJCP,EQ,27-Mar-2025,"1,130.30","1,133.95","1,150.00","1,115.55","1,142.00","1,144.55","1,142.66","35,71,049","4,08,04,95,461.20","61,299","27,51,069",77.04
GODREJCP,EQ,28-Mar-2025,"1,144.55","1,054.05","1,169.65","1,054.05","1,160.00","1,159.25","1,156.87","14,94,348","1,72,87,63,404.45","54,943","9,19,575",61.54
GODREJCP,EQ,01-Apr-2025,"1,159.25","1,150.70","1,163.60","1,141.50","1,146.80","1,143.60","1,149.51","6,37,877","73,32,43,334.25","36,144","3,62,308",56.8
GODREJCP,EQ,02-Apr-2025,"1,143.60","1,149.35","1,164.20","1,136.00","1,163.95","1,162.65","1,150.82","7,28,473","83,83,41,344.50","33,653","4,44,347",61.0
GODREJCP,EQ,03-Apr-2025,"1,162.65","1,148.95","1,176.70","1,138.95","1,165.00","1,162.05","1,163.52","9,27,323","1,07,89,58,098.35","56,307","5,38,966",58.12
