symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GRASIM,EQ,25-Mar-2026,"2,549.40","2,561.80","2,668.40","2,561.80","2,655.10","2,647.80","2,642.71","16,56,810","4,37,84,75,774.80","79,535","9,66,655",58.34
GRASIM,EQ,24-Mar-2026,"2,531.10","2,565.50","2,600.70","2,523.00","2,565.00","2,549.40","2,558.03","23,03,237","5,89,17,39,289.60","94,463","13,31,942",57.83
GRASIM,EQ,23-Mar-2026,"2,616.30","2,591.00","2,598.00","2,502.50","2,550.00","2,531.10","2,538.98","19,36,926","4,91,78,09,634.60","1,19,360","11,21,521",57.9
GRASIM,EQ,20-Mar-2026,"2,607.90","2,622.10","2,662.70","2,608.30","2,626.20","2,616.30","2,633.34","15,10,096","3,97,66,03,621.30","55,344","9,78,208",64.78
GRASIM,EQ,19-Mar-2026,"2,723.10","2,700.00","2,700.00","2,600.10","2,609.00","2,607.90","2,638.66","12,70,396","3,35,21,43,601.30","47,893","6,11,948",48.17
GRASIM,EQ,18-Mar-2026,"2,683.30","2,699.00","2,732.90","2,686.70","2,716.00","2,723.10","2,717.69","9,33,801","2,53,77,77,399.00","43,798","6,17,306",66.11
GRASIM,EQ,17-Mar-2026,"2,654.40","2,655.10","2,699.00","2,650.00","2,677.00","2,683.30","2,681.59","6,03,520","1,61,83,93,420.90","58,865","3,15,366",52.25
GRASIM,EQ,16-Mar-2026,"2,568.60","2,570.00","2,661.40","2,565.00","2,656.90","2,654.40","2,637.45","15,31,881","4,04,02,60,949.10","85,108","6,79,397",44.35
GRASIM,EQ,13-Mar-2026,"2,673.10","2,655.00","2,664.00","2,563.10","2,570.00","2,568.60","2,612.29","13,09,585","3,42,10,16,591.10","85,859","7,46,517",57.0
GRASIM,EQ,12-Mar-2026,"2,735.60","2,711.20","2,727.40","2,660.60","2,675.00","2,673.10","2,688.19","9,52,036","2,55,92,52,637.00","57,049","5,06,932",53.25
GRASIM,EQ,11-Mar-2026,"2,743.90","2,726.60","2,762.80","2,714.80","2,725.30","2,735.60","2,748.01","14,92,588","4,10,16,52,743.50","58,779","10,99,899",73.69
GRASIM,EQ,10-Mar-2026,"2,681.20","2,701.00","2,753.00","2,694.20","2,750.00","2,743.90","2,729.77","10,35,360","2,82,62,99,344.50","65,751","6,16,634",59.56
GRASIM,EQ,09-Mar-2026,"2,718.40","2,659.00","2,692.80","2,631.00","2,668.10","2,681.20","2,665.86","10,19,315","2,71,73,46,999.20","43,271","5,91,251",58.0
GRASIM,EQ,06-Mar-2026,"2,724.10","2,701.50","2,759.40","2,687.20","2,718.00","2,718.40","2,735.55","14,57,401","3,98,67,94,701.10","53,131","10,49,690",72.02
GRASIM,EQ,05-Mar-2026,"2,683.20","2,685.00","2,731.90","2,656.80","2,717.00","2,724.10","2,695.88","11,01,224","2,96,87,67,117.60","46,702","6,86,474",62.34
GRASIM,EQ,04-Mar-2026,"2,777.30","2,727.00","2,742.20","2,645.00","2,674.00","2,683.20","2,679.97","9,28,520","2,48,84,01,376.80","58,489","5,31,485",57.24
GRASIM,EQ,02-Mar-2026,"2,799.80","2,729.80","2,786.30","2,696.40","2,770.00","2,777.30","2,763.44","9,00,872","2,48,95,09,575.00","70,371","4,64,250",51.53
GRASIM,EQ,27-Feb-2026,"2,863.50","2,845.00","2,864.60","2,784.00","2,794.00","2,799.80","2,803.27","11,53,378","3,23,32,30,354.60","50,336","7,56,843",65.62
GRASIM,EQ,26-Feb-2026,"2,878.40","2,881.50","2,889.90","2,846.60","2,870.20","2,863.50","2,864.93","6,62,746","1,89,87,21,045.50","39,290","3,92,900",59.28
GRASIM,EQ,25-Feb-2026,"2,879.30","2,892.00","2,910.70","2,867.10","2,878.00","2,878.40","2,884.92","5,95,400","1,71,76,80,648.40","26,871","3,88,638",65.27
GRASIM,EQ,24-Feb-2026,"2,873.40","2,850.20","2,886.70","2,847.40","2,879.30","2,879.30","2,862.91","5,93,814","1,70,00,38,826.90","30,415","3,51,443",59.18
GRASIM,EQ,23-Feb-2026,"2,832.80","2,844.00","2,883.70","2,839.70","2,873.40","2,873.40","2,865.83","5,93,878","1,70,19,52,497.90","30,089","3,66,916",61.78
GRASIM,EQ,20-Feb-2026,"2,864.30","2,864.90","2,890.00","2,822.70","2,835.00","2,832.80","2,849.24","5,97,887","1,70,35,23,689.60","28,761","3,93,540",65.82
GRASIM,EQ,19-Feb-2026,"2,933.80","2,928.10","2,960.00","2,846.90","2,861.40","2,864.30","2,891.76","3,88,104","1,12,23,05,518.60","22,812","1,86,596",48.08
GRASIM,EQ,18-Feb-2026,"2,900.40","2,900.00","2,938.90","2,900.00","2,936.00","2,933.80","2,926.96","3,50,421","1,02,56,68,013.70","32,194","1,92,139",54.83
GRASIM,EQ,17-Feb-2026,"2,912.70","2,902.10","2,917.00","2,880.20","2,891.00","2,900.40","2,902.77","4,58,126","1,32,98,33,531.50","33,616","2,68,335",58.57
GRASIM,EQ,16-Feb-2026,"2,888.00","2,870.00","2,918.00","2,861.30","2,896.20","2,912.70","2,900.42","2,85,131","82,69,98,405.40","24,702","1,64,005",57.52
GRASIM,EQ,13-Feb-2026,"2,925.50","2,929.30","2,934.00","2,877.40","2,877.40","2,888.00","2,909.07","4,19,620","1,22,07,03,759.60","63,724","2,42,881",57.88
GRASIM,EQ,12-Feb-2026,"2,932.60","2,940.40","2,940.50","2,907.60","2,932.00","2,925.50","2,923.50","4,20,088","1,22,81,25,383.00","40,811","2,45,536",58.45
GRASIM,EQ,11-Feb-2026,"2,953.90","2,979.00","2,979.00","2,894.90","2,929.00","2,932.60","2,931.17","10,15,218","2,97,57,80,917.90","59,379","5,13,883",50.62
GRASIM,EQ,10-Feb-2026,"2,926.30","2,943.00","2,962.00","2,919.20","2,960.00","2,953.90","2,942.54","6,24,992","1,83,90,63,998.20","46,856","3,05,998",48.96
GRASIM,EQ,09-Feb-2026,"2,836.90","2,859.90","2,939.80","2,846.50","2,925.00","2,926.30","2,903.52","6,81,768","1,97,95,27,658.40","46,314","3,45,846",50.73
GRASIM,EQ,06-Feb-2026,"2,863.90","2,864.00","2,879.00","2,820.70","2,844.60","2,836.90","2,844.45","3,61,882","1,02,93,54,817.30","29,120","2,14,612",59.3
GRASIM,EQ,05-Feb-2026,"2,844.90","2,830.10","2,877.30","2,825.00","2,871.10","2,863.90","2,845.87","7,62,775","2,17,07,61,613.20","34,622","4,70,762",61.72
GRASIM,EQ,04-Feb-2026,"2,808.90","2,808.90","2,863.80","2,808.90","2,835.00","2,844.90","2,848.69","5,66,105","1,61,26,55,504.20","40,059","3,41,367",60.3
GRASIM,EQ,03-Feb-2026,"2,774.60","2,869.00","2,869.00","2,801.10","2,808.10","2,808.90","2,824.02","12,32,908","3,48,17,51,781.40","46,442","7,42,866",60.25
GRASIM,EQ,02-Feb-2026,"2,737.60","2,740.00","2,781.90","2,713.00","2,773.60","2,774.60","2,749.27","9,29,579","2,55,56,66,653.40","68,259","5,46,188",58.76
GRASIM,EQ,01-Feb-2026,"2,819.00","2,820.00","2,821.00","2,716.20","2,747.50","2,737.60","2,773.53","1,90,200","52,75,25,313.50","16,763","86,039",45.24
GRASIM,EQ,30-Jan-2026,"2,831.70","2,837.50","2,839.60","2,807.90","2,816.10","2,819.00","2,823.42","10,83,570","3,05,93,73,761.10","43,398","6,87,073",63.41
GRASIM,EQ,29-Jan-2026,"2,839.10","2,826.60","2,852.90","2,808.70","2,841.80","2,831.70","2,831.96","6,80,590","1,92,74,05,911.90","44,660","3,98,818",58.6
GRASIM,EQ,28-Jan-2026,"2,856.20","2,870.10","2,891.20","2,831.10","2,840.00","2,839.10","2,854.75","5,08,906","1,45,28,00,913.40","27,387","2,66,614",52.39
GRASIM,EQ,27-Jan-2026,"2,759.00","2,798.00","2,866.90","2,773.00","2,860.00","2,856.20","2,830.10","15,21,231","4,30,52,43,327.80","87,180","7,83,635",51.51
GRASIM,EQ,23-Jan-2026,"2,787.60","2,789.90","2,805.00","2,752.50","2,766.00","2,759.00","2,771.89","6,06,097","1,68,00,36,911.40","27,969","3,85,234",63.56
GRASIM,EQ,22-Jan-2026,"2,735.60","2,742.50","2,799.00","2,742.50","2,787.60","2,787.60","2,778.84","8,70,158","2,41,80,28,135.20","40,375","5,00,984",57.57
GRASIM,EQ,21-Jan-2026,"2,713.60","2,718.90","2,752.00","2,708.30","2,741.00","2,735.60","2,734.43","9,39,481","2,56,89,43,421.90","48,966","4,73,285",50.38
GRASIM,EQ,20-Jan-2026,"2,780.00","2,783.00","2,790.80","2,706.00","2,711.40","2,713.60","2,748.55","4,11,054","1,12,98,03,936.30","41,263","2,39,520",58.27
GRASIM,EQ,19-Jan-2026,"2,809.60","2,796.00","2,821.60","2,768.80","2,780.00","2,780.00","2,795.69","5,86,951","1,64,09,33,932.60","25,126","3,60,277",61.38
GRASIM,EQ,16-Jan-2026,"2,795.80","2,810.80","2,827.30","2,791.00","2,810.90","2,809.60","2,808.35","6,78,922","1,90,66,49,154.10","27,693","4,08,752",60.21
GRASIM,EQ,14-Jan-2026,"2,774.20","2,774.00","2,821.10","2,755.10","2,796.00","2,795.80","2,796.79","4,52,326","1,26,50,58,866.40","27,568","2,17,569",48.1
GRASIM,EQ,13-Jan-2026,"2,806.70","2,799.00","2,814.80","2,759.10","2,771.70","2,774.20","2,781.42","8,75,758","2,43,58,53,672.50","43,875","5,34,529",61.04
GRASIM,EQ,12-Jan-2026,"2,776.90","2,763.00","2,821.60","2,738.30","2,804.80","2,806.70","2,776.87","4,76,367","1,32,28,11,572.40","32,975","2,83,437",59.5
GRASIM,EQ,09-Jan-2026,"2,792.00","2,799.80","2,807.90","2,766.70","2,773.00","2,776.90","2,782.30","5,56,140","1,54,73,47,804.30","49,270","3,50,898",63.1
GRASIM,EQ,08-Jan-2026,"2,837.10","2,821.00","2,831.90","2,787.10","2,787.10","2,792.00","2,800.96","4,37,229","1,22,46,59,854.20","33,742","2,56,988",58.78
GRASIM,EQ,07-Jan-2026,"2,865.30","2,880.00","2,880.00","2,829.10","2,830.00","2,837.10","2,843.65","2,87,536","81,76,51,164.20","17,040","1,73,586",60.37
GRASIM,EQ,06-Jan-2026,"2,848.90","2,860.00","2,880.00","2,845.50","2,869.80","2,865.30","2,862.13","7,20,656","2,06,26,07,728.30","38,925","4,86,986",67.58
GRASIM,EQ,05-Jan-2026,"2,856.40","2,871.00","2,893.00","2,842.50","2,844.40","2,848.90","2,868.04","8,61,522","2,47,08,80,227.10","34,508","5,90,713",68.57
GRASIM,EQ,02-Jan-2026,"2,851.70","2,856.90","2,882.00","2,845.10","2,865.00","2,856.40","2,860.18","6,98,682","1,99,83,58,210.30","27,466","4,27,557",61.19
GRASIM,EQ,01-Jan-2026,"2,829.00","2,833.00","2,854.90","2,822.30","2,851.70","2,851.70","2,838.14","4,49,775","1,27,65,23,724.30","20,750","2,84,533",63.26
GRASIM,EQ,31-Dec-2025,"2,841.70","2,844.50","2,864.00","2,803.50","2,833.00","2,829.00","2,838.79","3,27,956","93,09,99,211.90","22,601","1,70,401",51.96
GRASIM,EQ,30-Dec-2025,"2,842.40","2,847.00","2,857.10","2,827.20","2,840.30","2,841.70","2,843.53","7,29,640","2,07,47,50,656.20","44,942","4,58,832",62.88
GRASIM,EQ,29-Dec-2025,"2,817.70","2,821.00","2,850.00","2,812.50","2,846.00","2,842.40","2,837.61","6,07,462","1,72,37,41,013.90","32,698","3,21,674",52.95
GRASIM,EQ,26-Dec-2025,"2,826.90","2,828.00","2,840.40","2,809.30","2,821.00","2,817.70","2,825.98","5,06,240","1,43,06,21,627.70","19,028","3,09,499",61.14
GRASIM,EQ,24-Dec-2025,"2,829.80","2,830.80","2,862.90","2,820.00","2,830.60","2,826.90","2,837.58","4,44,617","1,26,16,37,913.10","30,480","2,73,265",61.46
GRASIM,EQ,23-Dec-2025,"2,809.70","2,811.00","2,842.70","2,811.00","2,823.10","2,829.80","2,831.20","3,99,009","1,12,96,72,348.80","21,285","2,26,536",56.77
GRASIM,EQ,22-Dec-2025,"2,812.50","2,812.70","2,858.00","2,798.10","2,802.10","2,809.70","2,818.43","7,96,031","2,24,35,57,401.10","42,954","5,58,328",70.14
GRASIM,EQ,19-Dec-2025,"2,807.60","2,800.00","2,831.10","2,790.10","2,815.50","2,812.50","2,815.73","5,46,550","1,53,89,35,549.30","32,948","3,51,939",64.39
GRASIM,EQ,18-Dec-2025,"2,806.60","2,810.00","2,820.00","2,786.90","2,805.00","2,807.60","2,805.50","2,52,763","70,91,27,707.70","22,175","1,42,509",56.38
GRASIM,EQ,17-Dec-2025,"2,799.10","2,785.20","2,814.90","2,780.00","2,805.80","2,806.60","2,792.04","4,20,053","1,17,28,04,804.00","21,173","3,09,231",73.62
GRASIM,EQ,16-Dec-2025,"2,821.00","2,822.00","2,832.70","2,786.20","2,786.20","2,799.10","2,810.17","5,45,921","1,53,41,30,770.90","35,173","3,77,618",69.17
GRASIM,EQ,15-Dec-2025,"2,836.70","2,836.70","2,849.90","2,817.00","2,834.10","2,821.00","2,825.76","7,36,238","2,08,04,30,377.10","27,163","5,74,611",78.05
GRASIM,EQ,12-Dec-2025,"2,797.80","2,814.00","2,845.20","2,796.60","2,830.00","2,836.70","2,827.52","9,27,504","2,62,25,39,622.90","41,389","5,60,597",60.44
GRASIM,EQ,11-Dec-2025,"2,746.80","2,757.00","2,802.70","2,742.70","2,796.20","2,797.80","2,785.16","4,53,706","1,26,36,45,721.60","33,572","2,34,240",51.63
GRASIM,EQ,10-Dec-2025,"2,746.00","2,770.90","2,779.80","2,740.90","2,748.00","2,746.80","2,757.53","3,44,470","94,98,86,447.10","29,959","1,62,934",47.3
GRASIM,EQ,09-Dec-2025,"2,744.20","2,740.00","2,779.60","2,726.50","2,750.00","2,746.00","2,753.70","4,19,760","1,15,58,91,962.90","28,441","1,92,405",45.84
GRASIM,EQ,08-Dec-2025,"2,747.00","2,747.00","2,769.90","2,730.00","2,735.00","2,744.20","2,748.96","7,15,725","1,96,75,01,562.30","59,546","4,04,511",56.52
GRASIM,EQ,05-Dec-2025,"2,730.40","2,730.50","2,750.40","2,716.90","2,747.00","2,747.00","2,741.50","1,73,909","47,67,70,861.40","18,211","1,01,399",58.31
GRASIM,EQ,04-Dec-2025,"2,720.30","2,720.30","2,742.50","2,710.00","2,725.70","2,730.40","2,728.23","2,76,879","75,53,89,288.30","27,899","1,69,033",61.05
GRASIM,EQ,03-Dec-2025,"2,735.00","2,744.00","2,744.00","2,707.20","2,717.60","2,720.30","2,725.21","4,35,124","1,18,58,04,047.20","32,902","2,31,809",53.27
GRASIM,EQ,02-Dec-2025,"2,731.50","2,717.10","2,741.10","2,717.10","2,734.50","2,735.00","2,731.82","3,88,195","1,06,04,80,327.10","51,349","2,27,390",58.58
GRASIM,EQ,01-Dec-2025,"2,739.40","2,750.00","2,753.10","2,700.00","2,727.00","2,731.50","2,731.30","2,88,096","78,68,77,541.90","29,223","1,60,945",55.87
GRASIM,EQ,28-Nov-2025,"2,740.00","2,747.20","2,748.00","2,727.50","2,739.00","2,739.40","2,738.00","2,97,155","81,36,11,117.20","27,178","1,92,924",64.92
GRASIM,EQ,27-Nov-2025,"2,744.00","2,748.00","2,748.50","2,712.00","2,737.20","2,740.00","2,730.58","3,99,328","1,09,03,97,986.30","35,198","2,32,268",58.16
GRASIM,EQ,26-Nov-2025,"2,686.80","2,686.80","2,746.60","2,686.80","2,739.00","2,744.00","2,730.11","4,44,974","1,21,48,29,063.40","42,362","2,67,283",60.07
GRASIM,EQ,25-Nov-2025,"2,688.70","2,688.10","2,712.00","2,680.00","2,683.10","2,686.80","2,691.39","5,58,631","1,50,34,92,460.30","38,370","3,74,365",67.01
GRASIM,EQ,24-Nov-2025,"2,734.80","2,734.90","2,740.30","2,679.40","2,680.00","2,688.70","2,698.09","9,17,195","2,47,46,73,773.20","53,452","6,23,821",68.01
GRASIM,EQ,21-Nov-2025,"2,748.60","2,750.00","2,756.90","2,723.00","2,723.00","2,734.80","2,738.81","4,71,626","1,29,16,93,316.50","30,734","3,01,096",63.84
GRASIM,EQ,20-Nov-2025,"2,744.70","2,760.00","2,764.30","2,745.00","2,750.00","2,748.60","2,755.35","5,19,341","1,43,09,68,108.00","37,712","3,31,350",63.8
GRASIM,EQ,19-Nov-2025,"2,762.00","2,770.00","2,774.00","2,739.10","2,743.00","2,744.70","2,752.55","4,68,941","1,29,07,85,796.80","36,742","2,60,392",55.53
GRASIM,EQ,18-Nov-2025,"2,790.30","2,788.00","2,790.30","2,750.00","2,755.00","2,762.00","2,769.98","4,37,943","1,21,30,91,971.10","23,885","2,79,611",63.85
GRASIM,EQ,17-Nov-2025,"2,783.40","2,790.00","2,799.00","2,771.10","2,798.90","2,790.30","2,788.74","4,59,047","1,28,01,64,282.20","22,856","3,18,644",69.41
GRASIM,EQ,14-Nov-2025,"2,777.80","2,777.20","2,790.00","2,761.00","2,778.60","2,783.40","2,780.16","5,10,972","1,42,05,86,017.20","41,627","3,47,606",68.03
GRASIM,EQ,13-Nov-2025,"2,767.40","2,766.60","2,785.00","2,746.20","2,782.00","2,777.80","2,777.32","6,87,031","1,90,81,02,577.10","26,511","4,55,289",66.27
GRASIM,EQ,12-Nov-2025,"2,775.80","2,788.40","2,793.70","2,755.00","2,758.30","2,767.40","2,778.91","5,31,304","1,47,64,43,774.50","27,673","2,80,954",52.88
GRASIM,EQ,11-Nov-2025,"2,762.90","2,775.00","2,780.10","2,737.50","2,771.20","2,775.80","2,762.69","3,99,693","1,10,42,27,443.60","26,596","2,15,819",54.0
