symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAL,EQ,25-Mar-2026,"3,654.00","3,693.00","3,729.90","3,661.00","3,669.00","3,669.40","3,694.61","10,52,741","3,88,94,72,365.00","87,957","5,15,081",48.93
HAL,EQ,24-Mar-2026,"3,634.60","3,700.00","3,723.30","3,620.70","3,656.30","3,654.00","3,665.52","13,09,461","4,79,98,53,418.60","79,605","5,96,424",45.55
HAL,EQ,23-Mar-2026,"3,782.40","3,760.60","3,762.80","3,610.00","3,622.00","3,634.60","3,648.55","17,97,092","6,55,67,74,637.70","1,08,300","9,02,350",50.21
HAL,EQ,20-Mar-2026,"3,802.50","3,826.00","3,882.00","3,776.60","3,785.00","3,782.40","3,819.32","10,47,650","4,00,13,07,832.90","71,939","4,87,853",46.57
HAL,EQ,19-Mar-2026,"3,961.60","3,930.00","3,930.00","3,786.00","3,812.90","3,802.50","3,854.20","10,14,937","3,91,17,73,478.30","81,627","4,21,344",41.51
HAL,EQ,18-Mar-2026,"3,963.10","3,973.00","3,991.60","3,945.00","3,955.90","3,961.60","3,961.04","8,28,634","3,28,22,50,609.60","54,406","3,51,644",42.44
HAL,EQ,17-Mar-2026,"3,913.10","3,919.70","3,971.90","3,892.50","3,950.00","3,963.10","3,941.70","9,92,982","3,91,40,39,429.90","58,361","4,63,397",46.67
HAL,EQ,16-Mar-2026,"3,914.40","3,914.40","3,938.80","3,843.00","3,907.00","3,913.10","3,896.99","13,79,003","5,37,39,59,882.60","82,496","6,86,407",49.78
HAL,EQ,13-Mar-2026,"4,013.50","4,000.00","4,004.10","3,892.40","3,912.00","3,914.40","3,926.20","21,13,945","8,29,97,70,362.00","81,615","12,79,285",60.52
HAL,EQ,12-Mar-2026,"4,005.10","3,955.00","4,033.20","3,940.80","4,008.60","4,013.50","3,994.05","9,61,224","3,83,91,77,324.30","72,833","3,86,507",40.21
HAL,EQ,11-Mar-2026,"4,040.10","4,040.00","4,103.80","3,976.20","3,995.00","4,005.10","4,022.51","16,68,004","6,70,95,62,528.70","82,466","9,00,493",53.99
HAL,EQ,10-Mar-2026,"3,989.90","4,025.00","4,063.00","3,918.00","4,050.10","4,040.10","3,992.68","16,09,432","6,42,59,41,012.80","96,569","6,29,481",39.11
HAL,EQ,09-Mar-2026,"4,023.70","4,023.70","4,023.70","3,925.00","3,987.00","3,989.90","3,978.79","15,40,560","6,12,95,58,266.80","90,960","6,27,407",40.73
HAL,EQ,06-Mar-2026,"3,891.80","3,880.00","4,039.70","3,855.00","4,030.00","4,023.70","3,969.71","29,74,581","11,80,82,14,585.20","1,34,091","13,31,260",44.75
HAL,EQ,05-Mar-2026,"3,876.80","3,870.00","3,949.00","3,840.90","3,894.90","3,891.80","3,891.63","24,69,764","9,61,14,04,765.10","1,15,025","11,44,373",46.34
HAL,EQ,04-Mar-2026,"3,951.60","3,971.30","3,974.00","3,858.70","3,865.80","3,876.80","3,894.19","25,21,796","9,82,03,51,717.00","1,14,930","12,74,269",50.53
HAL,EQ,02-Mar-2026,"3,913.20","3,837.00","3,983.00","3,825.50","3,956.90","3,951.60","3,943.97","32,63,290","12,87,03,03,470.00","1,10,771","20,80,259",63.75
HAL,EQ,27-Feb-2026,"4,008.90","4,001.00","4,001.00","3,900.00","3,910.80","3,913.20","3,942.61","21,91,138","8,63,88,11,121.60","93,387","14,42,946",65.85
HAL,EQ,26-Feb-2026,"3,985.00","4,000.00","4,018.00","3,985.00","4,005.00","4,008.90","4,003.87","14,23,043","5,69,76,72,383.90","64,010","8,91,169",62.62
HAL,EQ,25-Feb-2026,"3,952.60","3,970.00","4,004.00","3,957.60","3,985.00","3,985.00","3,983.85","12,39,941","4,93,97,42,375.60","62,041","5,76,865",46.52
HAL,EQ,24-Feb-2026,"4,025.40","4,005.00","4,032.40","3,937.10","3,953.00","3,952.60","3,972.39","16,05,651","6,37,82,66,130.40","1,00,642","7,64,811",47.63
HAL,EQ,23-Feb-2026,"4,170.00","4,150.00","4,150.00","3,976.00","4,025.00","4,025.40","4,039.46","37,50,121","15,14,84,71,331.30","2,20,332","13,63,711",36.36
HAL,EQ,20-Feb-2026,"4,132.60","4,129.80","4,213.50","4,121.20","4,166.00","4,170.00","4,183.76","9,60,630","4,01,90,47,579.30","49,865","3,33,675",34.74
HAL,EQ,19-Feb-2026,"4,251.10","4,244.10","4,271.00","4,101.60","4,120.00","4,132.60","4,177.72","10,20,581","4,26,36,97,066.50","54,416","4,40,320",43.14
