symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HAVELLS,EQ,25-Mar-2026,"1,234.20","1,251.20","1,300.00","1,240.60","1,290.00","1,268.40","1,272.63","12,56,831","1,59,94,78,941.90","41,364","7,55,786",60.13
HAVELLS,EQ,24-Mar-2026,"1,231.00","1,249.40","1,261.00","1,221.00","1,234.00","1,234.20","1,239.27","5,61,103","69,53,56,463.70","29,014","2,51,651",44.85
HAVELLS,EQ,23-Mar-2026,"1,281.20","1,270.00","1,271.90","1,217.20","1,230.00","1,231.00","1,232.83","8,35,568","1,03,01,17,291.70","43,148","4,33,027",51.82
HAVELLS,EQ,20-Mar-2026,"1,294.30","1,301.10","1,314.60","1,278.00","1,282.90","1,281.20","1,293.70","8,11,006","1,04,92,01,853.60","39,942","4,46,103",55.01
HAVELLS,EQ,19-Mar-2026,"1,343.90","1,323.80","1,335.80","1,290.00","1,300.90","1,294.30","1,300.79","5,06,987","65,94,82,696.30","25,418","2,96,712",58.52
HAVELLS,EQ,18-Mar-2026,"1,317.10","1,317.80","1,349.20","1,311.30","1,338.00","1,343.90","1,334.58","10,48,399","1,39,91,72,037.90","43,621","6,79,886",64.85
HAVELLS,EQ,17-Mar-2026,"1,297.30","1,300.00","1,321.80","1,291.50","1,308.00","1,317.10","1,308.34","8,49,515","1,11,14,56,033.40","37,667","5,34,100",62.87
HAVELLS,EQ,16-Mar-2026,"1,310.20","1,310.00","1,316.90","1,273.00","1,294.10","1,297.30","1,292.79","9,63,287","1,24,53,29,812.80","38,567","4,86,465",50.5
HAVELLS,EQ,13-Mar-2026,"1,354.00","1,340.90","1,353.20","1,303.50","1,319.30","1,310.20","1,314.64","15,99,343","2,10,25,64,810.40","74,563","9,72,691",60.82
HAVELLS,EQ,12-Mar-2026,"1,365.50","1,355.20","1,364.60","1,334.50","1,354.70","1,354.00","1,354.27","8,53,612","1,15,60,20,462.40","38,014","5,07,315",59.43
HAVELLS,EQ,11-Mar-2026,"1,358.00","1,363.00","1,404.60","1,359.80","1,361.10","1,365.50","1,381.94","7,55,141","1,04,35,59,542.20","31,664","2,50,459",33.17
HAVELLS,EQ,10-Mar-2026,"1,331.40","1,348.00","1,382.40","1,338.40","1,354.70","1,358.00","1,364.77","15,30,785","2,08,91,76,715.20","50,103","7,69,457",50.27
HAVELLS,EQ,09-Mar-2026,"1,349.20","1,336.90","1,336.90","1,301.40","1,332.40","1,331.40","1,323.87","8,72,333","1,15,48,59,196.90","35,641","4,67,062",53.54
HAVELLS,EQ,06-Mar-2026,"1,352.50","1,352.50","1,365.00","1,340.30","1,351.00","1,349.20","1,356.10","4,89,820","66,42,45,777.60","31,546","2,60,724",53.23
HAVELLS,EQ,05-Mar-2026,"1,318.70","1,334.00","1,359.30","1,327.20","1,349.70","1,352.50","1,343.33","3,20,753","43,08,78,390.40","18,021","1,78,607",55.68
HAVELLS,EQ,04-Mar-2026,"1,354.00","1,332.00","1,340.00","1,314.10","1,322.60","1,318.70","1,323.23","9,32,884","1,23,44,23,815.10","43,547","5,10,549",54.73
HAVELLS,EQ,02-Mar-2026,"1,397.10","1,360.00","1,383.60","1,333.70","1,358.00","1,354.00","1,353.73","8,61,596","1,16,63,69,048.50","41,599","4,25,223",49.35
HAVELLS,EQ,27-Feb-2026,"1,413.70","1,414.90","1,417.00","1,390.10","1,392.70","1,397.10","1,399.83","14,98,208","2,09,72,31,572.10","41,562","11,36,697",75.87
HAVELLS,EQ,26-Feb-2026,"1,417.60","1,417.60","1,426.00","1,403.10","1,410.00","1,413.70","1,415.71","3,12,149","44,19,13,273.40","23,583","1,39,172",44.59
HAVELLS,EQ,25-Feb-2026,"1,403.80","1,411.20","1,420.60","1,395.50","1,416.00","1,417.60","1,409.66","10,08,679","1,42,18,95,752.40","27,714","6,10,835",60.56
HAVELLS,EQ,24-Feb-2026,"1,412.80","1,410.00","1,417.80","1,392.60","1,400.10","1,403.80","1,403.64","2,73,019","38,32,19,034.10","20,522","1,26,852",46.46
HAVELLS,EQ,23-Feb-2026,"1,412.90","1,420.00","1,423.90","1,402.00","1,406.20","1,412.80","1,412.23","2,21,863","31,33,22,027.00","18,929","1,16,365",52.45
HAVELLS,EQ,20-Feb-2026,"1,396.10","1,399.00","1,416.40","1,396.30","1,413.50","1,412.90","1,408.85","5,43,595","76,58,41,804.90","25,846","3,26,216",60.01
HAVELLS,EQ,19-Feb-2026,"1,434.80","1,434.00","1,438.90","1,392.30","1,400.00","1,396.10","1,408.82","2,70,597","38,12,21,149.90","27,783","1,31,879",48.74
HAVELLS,EQ,18-Feb-2026,"1,434.40","1,437.50","1,442.30","1,425.00","1,433.10","1,434.80","1,434.39","3,88,023","55,65,75,595.20","30,144","2,43,443",62.74
HAVELLS,EQ,17-Feb-2026,"1,420.70","1,417.10","1,438.70","1,413.90","1,434.00","1,434.40","1,431.34","3,05,464","43,72,24,126.90","18,409","1,41,864",46.44
HAVELLS,EQ,16-Feb-2026,"1,404.00","1,404.00","1,428.50","1,396.20","1,417.30","1,420.70","1,417.96","3,69,629","52,41,18,097.70","22,855","1,63,562",44.25
HAVELLS,EQ,13-Feb-2026,"1,400.50","1,391.10","1,419.00","1,378.40","1,402.30","1,404.00","1,400.24","7,74,193","1,08,40,56,787.40","27,373","3,43,324",44.35
HAVELLS,EQ,12-Feb-2026,"1,383.80","1,379.00","1,405.00","1,371.80","1,397.00","1,400.50","1,390.70","5,68,421","79,05,00,694.20","24,526","3,56,308",62.68
HAVELLS,EQ,11-Feb-2026,"1,373.10","1,374.10","1,388.80","1,365.00","1,377.20","1,383.80","1,381.59","4,72,510","65,28,13,385.30","25,546","2,56,675",54.32
HAVELLS,EQ,10-Feb-2026,"1,371.90","1,379.10","1,390.60","1,367.20","1,371.00","1,373.10","1,375.87","4,18,360","57,56,09,916.30","22,159","2,02,634",48.44
HAVELLS,EQ,09-Feb-2026,"1,355.00","1,358.00","1,380.80","1,346.00","1,369.50","1,371.90","1,368.52","4,82,069","65,97,20,504.50","26,020","2,10,508",43.67
HAVELLS,EQ,06-Feb-2026,"1,350.20","1,350.90","1,357.50","1,326.10","1,349.60","1,355.00","1,345.95","4,17,229","56,15,67,783.80","20,360","2,42,790",58.19
HAVELLS,EQ,05-Feb-2026,"1,344.20","1,349.80","1,352.90","1,332.00","1,351.10","1,350.20","1,346.16","3,92,787","52,87,54,583.20","21,664","2,43,594",62.02
HAVELLS,EQ,04-Feb-2026,"1,318.00","1,324.00","1,358.90","1,307.00","1,344.00","1,344.20","1,342.29","4,10,223","55,06,36,974.20","20,842","1,54,361",37.63
HAVELLS,EQ,03-Feb-2026,"1,278.50","1,309.00","1,335.10","1,305.40","1,316.00","1,318.00","1,320.94","10,80,071","1,42,67,04,264.70","37,564","5,50,071",50.93
