symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCLTECH,EQ,25-Mar-2026,"1,373.30","1,348.00","1,411.40","1,348.00","1,385.60","1,381.30","1,383.83","41,67,275","5,76,68,02,478.80","2,15,488","22,52,380",54.05
HCLTECH,EQ,24-Mar-2026,"1,358.60","1,380.00","1,394.00","1,360.00","1,375.00","1,373.30","1,378.06","35,55,664","4,89,99,27,997.30","1,17,264","17,51,248",49.25
HCLTECH,EQ,23-Mar-2026,"1,333.70","1,314.80","1,365.00","1,310.00","1,357.10","1,358.60","1,352.36","51,66,409","6,98,68,33,334.70","1,73,461","23,84,879",46.16
HCLTECH,EQ,20-Mar-2026,"1,311.80","1,334.90","1,352.50","1,328.90","1,339.90","1,333.70","1,337.81","50,50,431","6,75,65,39,286.10","1,44,232","32,15,584",63.67
HCLTECH,EQ,19-Mar-2026,"1,357.20","1,341.40","1,354.20","1,309.20","1,318.00","1,311.80","1,325.85","16,63,249","2,20,52,17,342.80","98,485","9,46,909",56.93
HCLTECH,EQ,18-Mar-2026,"1,321.10","1,326.50","1,378.40","1,326.50","1,358.00","1,357.20","1,362.83","25,64,106","3,49,44,41,703.80","1,42,744","13,92,122",54.29
HCLTECH,EQ,17-Mar-2026,"1,328.60","1,328.60","1,328.60","1,297.70","1,320.80","1,321.10","1,318.68","22,85,672","3,01,40,68,844.40","1,09,302","13,07,984",57.23
HCLTECH,EQ,16-Mar-2026,"1,325.40","1,312.80","1,337.70","1,302.40","1,328.30","1,328.60","1,322.95","36,18,375","4,78,69,35,170.60","1,25,684","22,63,105",62.54
HCLTECH,EQ,13-Mar-2026,"1,358.10","1,350.00","1,356.70","1,321.00","1,329.10","1,325.40","1,336.25","21,90,786","2,92,74,29,024.80","97,539","14,07,589",64.25
HCLTECH,EQ,12-Mar-2026,"1,350.30","1,350.00","1,363.40","1,341.00","1,357.00","1,358.10","1,355.47","26,16,965","3,54,72,25,863.10","1,25,512","16,16,687",61.78
HCLTECH,EQ,11-Mar-2026,"1,361.50","1,367.20","1,376.00","1,346.90","1,350.60","1,350.30","1,355.40","18,37,000","2,48,98,70,483.00","92,591","11,85,972",64.56
HCLTECH,EQ,10-Mar-2026,"1,358.60","1,361.00","1,364.40","1,345.00","1,362.50","1,361.50","1,356.02","16,71,877","2,26,71,03,442.20","88,793","9,24,421",55.29
HCLTECH,EQ,09-Mar-2026,"1,356.70","1,330.00","1,372.70","1,328.00","1,362.40","1,358.60","1,355.54","22,56,550","3,05,88,42,317.90","1,10,627","10,80,613",47.89
HCLTECH,EQ,06-Mar-2026,"1,354.10","1,356.00","1,380.80","1,354.20","1,358.00","1,356.70","1,364.05","18,71,596","2,55,29,57,099.20","74,907","10,53,576",56.29
HCLTECH,EQ,05-Mar-2026,"1,364.00","1,378.20","1,378.20","1,332.50","1,355.70","1,354.10","1,346.61","22,17,963","2,98,67,38,309.20","1,31,063","10,78,525",48.63
HCLTECH,EQ,04-Mar-2026,"1,371.00","1,356.00","1,382.00","1,356.00","1,364.00","1,364.00","1,367.86","31,61,598","4,32,46,10,721.30","1,51,012","18,80,428",59.48
HCLTECH,EQ,02-Mar-2026,"1,389.10","1,351.00","1,386.00","1,350.00","1,370.80","1,371.00","1,369.50","20,88,938","2,86,08,02,041.60","1,08,564","8,89,845",42.60
HCLTECH,EQ,27-Feb-2026,"1,373.50","1,398.00","1,404.80","1,382.00","1,382.00","1,389.10","1,390.09","86,51,443","12,02,63,16,595.10","1,62,388","64,47,547",74.53
HCLTECH,EQ,26-Feb-2026,"1,378.20","1,391.00","1,405.00","1,368.00","1,373.00","1,373.50","1,383.22","23,29,520","3,22,22,34,403.10","1,25,163","10,15,695",43.60
HCLTECH,EQ,25-Feb-2026,"1,339.20","1,355.00","1,391.40","1,354.00","1,375.90","1,378.20","1,379.33","57,03,505","7,86,69,89,822.40","1,19,569","34,11,861",59.82
HCLTECH,EQ,24-Feb-2026,"1,426.20","1,402.30","1,406.70","1,322.50","1,343.00","1,339.20","1,346.66","1,00,04,684","13,47,29,34,540.50","2,62,757","55,83,981",55.81
HCLTECH,EQ,23-Feb-2026,"1,436.50","1,438.20","1,441.60","1,415.50","1,425.00","1,426.20","1,427.48","26,29,763","3,75,39,43,985.10","75,977","15,79,000",60.04
HCLTECH,EQ,20-Feb-2026,"1,450.40","1,443.00","1,455.00","1,431.00","1,438.80","1,436.50","1,441.10","23,92,491","3,44,78,29,192.30","66,868","14,26,951",59.64
HCLTECH,EQ,19-Feb-2026,"1,467.20","1,470.00","1,501.80","1,443.00","1,452.30","1,450.40","1,473.32","23,97,127","3,53,17,42,519.90","85,422","10,64,022",44.39
HCLTECH,EQ,18-Feb-2026,"1,482.60","1,483.20","1,483.20","1,443.40","1,464.90","1,467.20","1,462.49","20,36,245","2,97,79,89,599.60","68,672","11,01,059",54.07
HCLTECH,EQ,17-Feb-2026,"1,461.80","1,464.00","1,510.70","1,458.00","1,483.70","1,482.60","1,490.04","28,40,341","4,23,22,26,281.30","87,279","12,81,453",45.12
HCLTECH,EQ,16-Feb-2026,"1,455.20","1,451.10","1,467.00","1,446.80","1,465.60","1,461.80","1,456.22","23,88,700","3,47,84,78,232.40","1,00,918","13,84,394",57.96
HCLTECH,EQ,13-Feb-2026,"1,476.10","1,423.00","1,476.80","1,396.00","1,458.00","1,455.20","1,439.36","72,14,938","10,38,48,73,283.30","2,58,495","36,34,405",50.37
HCLTECH,EQ,12-Feb-2026,"1,551.60","1,529.00","1,535.00","1,469.50","1,470.90","1,476.10","1,492.68","53,97,659","8,05,70,03,574.60","2,82,325","30,98,753",57.41
HCLTECH,EQ,11-Feb-2026,"1,573.10","1,574.00","1,578.10","1,546.10","1,549.00","1,551.60","1,556.12","29,44,646","4,58,22,31,790.70","1,46,047","18,85,739",64.04
HCLTECH,EQ,10-Feb-2026,"1,602.00","1,595.00","1,602.40","1,567.80","1,569.50","1,573.10","1,586.43","32,34,785","5,13,17,70,634.10","1,01,563","21,05,729",65.10
HCLTECH,EQ,09-Feb-2026,"1,593.70","1,600.40","1,619.90","1,594.40","1,595.10","1,602.00","1,601.57","18,63,558","2,98,46,21,931.30","63,524","13,05,446",70.05
HCLTECH,EQ,06-Feb-2026,"1,610.00","1,612.00","1,612.00","1,574.10","1,592.60","1,593.70","1,592.41","33,42,992","5,32,34,08,036.60","1,45,738","21,25,052",63.57
HCLTECH,EQ,05-Feb-2026,"1,621.80","1,613.70","1,631.80","1,600.20","1,607.40","1,610.00","1,612.10","31,84,531","5,13,37,97,457.80","1,52,717","18,90,115",59.35
HCLTECH,EQ,04-Feb-2026,"1,695.30","1,642.00","1,645.00","1,586.00","1,617.60","1,621.80","1,609.09","58,34,470","9,38,81,78,234.00","2,27,405","34,67,098",59.42
HCLTECH,EQ,03-Feb-2026,"1,676.80","1,780.00","1,780.10","1,689.10","1,692.20","1,695.30","1,712.72","32,00,948","5,48,23,20,734.50","1,10,557","18,95,809",59.23
HCLTECH,EQ,02-Feb-2026,"1,666.20","1,670.00","1,688.50","1,653.60","1,675.00","1,676.80","1,674.91","19,16,380","3,20,97,55,549.50","85,140","11,23,190",58.61
HCLTECH,EQ,01-Feb-2026,"1,695.60","1,692.40","1,710.10","1,613.10","1,674.30","1,666.20","1,673.91","18,46,014","3,09,00,66,323.00","88,087","6,03,182",32.67
HCLTECH,EQ,30-Jan-2026,"1,721.60","1,713.20","1,713.20","1,683.00","1,691.40","1,695.60","1,696.74","44,48,681","7,54,82,72,966.60","1,29,782","31,19,486",70.12
HCLTECH,EQ,29-Jan-2026,"1,729.60","1,722.80","1,725.00","1,696.10","1,719.90","1,721.60","1,712.49","22,35,602","3,82,84,46,965.80","78,660","13,73,855",61.45
HCLTECH,EQ,28-Jan-2026,"1,720.20","1,705.10","1,734.40","1,691.00","1,722.80","1,729.60","1,719.01","27,13,867","4,66,51,55,949.30","79,816","17,64,996",65.04
HCLTECH,EQ,27-Jan-2026,"1,707.00","1,720.00","1,725.50","1,700.50","1,720.20","1,720.20","1,714.93","26,71,530","4,58,14,97,733.60","1,03,569","15,34,352",57.43
HCLTECH,EQ,23-Jan-2026,"1,703.10","1,712.70","1,721.00","1,698.80","1,706.60","1,707.00","1,710.03","18,74,357","3,20,51,98,154.20","54,617","11,93,066",63.65
HCLTECH,EQ,22-Jan-2026,"1,682.50","1,690.60","1,709.00","1,681.50","1,700.00","1,703.10","1,696.66","18,53,439","3,14,46,47,811.40","85,689","10,89,098",58.76
