symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCBANK,EQ,22-Jan-2025,"1,642.40","1,642.40","1,671.90","1,625.45","1,671.90","1,666.05","1,653.85","1,53,09,653","25,31,98,45,164.80","3,67,130","76,97,124",50.28
HDFCBANK,EQ,23-Jan-2025,"1,666.05","1,687.00","1,687.00","1,651.25","1,665.00","1,664.90","1,665.84","1,74,54,579","29,07,65,66,202.70","4,45,411","1,18,72,698",68.02
HDFCBANK,EQ,24-Jan-2025,"1,664.90","1,660.00","1,670.30","1,644.50","1,645.00","1,649.80","1,658.68","1,21,18,100","20,10,00,37,678.05","2,71,994","90,52,586",74.70
HDFCBANK,EQ,27-Jan-2025,"1,649.80","1,641.10","1,643.60","1,626.00","1,629.50","1,629.80","1,632.37","1,14,02,083","18,61,24,39,467.95","2,77,125","85,46,424",74.95
HDFCBANK,EQ,28-Jan-2025,"1,629.80","1,647.00","1,684.30","1,647.00","1,673.30","1,670.40","1,670.57","1,50,89,656","25,20,82,71,808.85","3,50,835","85,76,705",56.84
HDFCBANK,EQ,29-Jan-2025,"1,670.40","1,675.00","1,681.15","1,668.85","1,676.00","1,677.30","1,675.45","63,09,945","10,57,19,94,646.45","1,96,187","43,46,810",68.89
HDFCBANK,EQ,30-Jan-2025,"1,677.30","1,681.00","1,697.90","1,672.55","1,693.10","1,691.50","1,685.73","1,28,72,423","21,69,94,04,205.05","2,63,161","72,27,795",56.15
HDFCBANK,EQ,31-Jan-2025,"1,691.50","1,687.25","1,704.70","1,683.95","1,699.50","1,698.75","1,696.52","79,10,843","13,42,08,73,179.40","2,15,938","55,43,535",70.08
HDFCBANK,EQ,01-Feb-2025,"1,698.75","1,697.50","1,713.00","1,676.05","1,692.00","1,690.95","1,694.22","27,93,764","4,73,32,38,897.95","88,839","10,39,250",37.20
HDFCBANK,EQ,03-Feb-2025,"1,690.95","1,670.00","1,686.80","1,663.45","1,679.60","1,678.00","1,679.49","1,01,38,270","17,02,70,93,333.70","2,30,780","78,93,988",77.86
HDFCBANK,EQ,04-Feb-2025,"1,678.00","1,688.70","1,725.80","1,680.05","1,716.30","1,720.90","1,710.93","1,43,08,251","24,48,03,95,914.25","3,42,091","1,03,00,349",71.99
HDFCBANK,EQ,05-Feb-2025,"1,720.90","1,733.00","1,744.20","1,718.90","1,734.80","1,737.80","1,733.84","1,18,37,753","20,52,47,85,237.35","2,75,185","94,25,082",79.62
HDFCBANK,EQ,06-Feb-2025,"1,737.80","1,735.50","1,749.00","1,724.00","1,746.50","1,743.85","1,735.75","1,33,80,358","23,22,50,08,521.55","2,25,108","86,94,892",64.98
HDFCBANK,EQ,07-Feb-2025,"1,743.85","1,750.00","1,767.00","1,725.00","1,732.00","1,732.75","1,744.99","1,17,54,800","20,51,20,07,682.55","3,26,327","79,64,834",67.76
HDFCBANK,EQ,10-Feb-2025,"1,732.75","1,717.30","1,723.45","1,708.50","1,716.60","1,715.75","1,715.57","85,97,975","14,75,03,90,095.15","1,75,150","63,64,813",74.03
HDFCBANK,EQ,11-Feb-2025,"1,715.75","1,703.00","1,711.00","1,688.70","1,700.95","1,701.40","1,700.06","1,13,62,352","19,31,66,30,388.15","1,82,730","78,06,510",68.71
HDFCBANK,EQ,12-Feb-2025,"1,701.40","1,693.00","1,712.00","1,681.20","1,710.65","1,706.80","1,696.59","1,14,04,785","19,34,92,71,431.55","2,86,053","81,33,575",71.32
HDFCBANK,EQ,13-Feb-2025,"1,706.80","1,699.00","1,714.25","1,693.55","1,698.95","1,697.70","1,702.88","63,01,217","10,73,02,16,799.15","2,00,278","35,80,241",56.82
HDFCBANK,EQ,14-Feb-2025,"1,697.70","1,701.90","1,701.90","1,680.00","1,694.40","1,694.85","1,690.46","99,79,946","16,87,06,60,139.45","3,09,031","78,05,589",78.21
HDFCBANK,EQ,17-Feb-2025,"1,694.85","1,685.20","1,720.00","1,681.25","1,719.00","1,717.35","1,702.14","64,69,473","11,01,19,75,039.00","2,62,946","42,02,038",64.95
HDFCBANK,EQ,18-Feb-2025,"1,717.35","1,713.05","1,731.55","1,706.15","1,723.00","1,723.05","1,721.09","81,75,455","14,07,06,71,116.40","3,22,226","58,95,356",72.11
HDFCBANK,EQ,19-Feb-2025,"1,723.05","1,717.00","1,737.90","1,712.45","1,725.05","1,727.20","1,727.42","59,42,056","10,26,44,54,339.75","3,00,603","40,27,432",67.78
HDFCBANK,EQ,20-Feb-2025,"1,727.20","1,711.00","1,714.70","1,685.30","1,685.95","1,687.10","1,695.04","1,31,95,255","22,36,64,35,828.30","2,46,655","93,94,627",71.20
HDFCBANK,EQ,21-Feb-2025,"1,687.10","1,680.90","1,694.95","1,677.25","1,690.00","1,692.50","1,686.23","78,40,470","13,22,08,29,593.15","2,92,907","52,81,578",67.36
HDFCBANK,EQ,24-Feb-2025,"1,692.50","1,681.10","1,684.20","1,661.10","1,677.00","1,677.10","1,672.34","1,03,46,823","17,30,34,02,535.10","2,45,559","77,39,708",74.80
HDFCBANK,EQ,25-Feb-2025,"1,677.10","1,671.10","1,688.00","1,671.10","1,680.85","1,682.35","1,681.80","1,20,69,354","20,29,82,55,600.95","2,22,521","71,40,142",59.16
HDFCBANK,EQ,27-Feb-2025,"1,682.35","1,682.55","1,710.75","1,682.55","1,698.25","1,700.70","1,701.04","1,78,93,400","30,43,73,23,745.00","3,33,728","1,32,47,979",74.04
HDFCBANK,EQ,28-Feb-2025,"1,700.70","1,685.00","1,737.25","1,685.00","1,730.15","1,732.40","1,721.14","2,72,58,364","46,91,55,54,649.05","4,39,035","1,95,48,687",71.72
HDFCBANK,EQ,03-Mar-2025,"1,732.40","1,739.80","1,743.05","1,694.10","1,703.55","1,701.55","1,709.27","1,06,02,682","18,12,28,15,702.35","2,98,350","71,74,359",67.67
HDFCBANK,EQ,04-Mar-2025,"1,701.55","1,698.00","1,714.30","1,693.25","1,711.30","1,710.00","1,706.30","99,60,479","16,99,55,92,810.65","3,23,741","72,76,857",73.06
