symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HDFCLIFE,EQ,25-Mar-2026,603.0,603.95,617.2,603.95,613.0,612.9,612.92,"29,15,736","1,78,71,05,433.75","64,807","18,04,493",61.89
HDFCLIFE,EQ,24-Mar-2026,592.1,597.0,607.65,590.05,603.5,603.0,601.27,"36,44,510","2,19,13,16,645.35","94,330","22,93,378",62.93
HDFCLIFE,EQ,23-Mar-2026,623.65,615.1,617.0,590.1,590.1,592.1,597.7,"42,23,148","2,52,41,90,404.90","1,14,800","27,30,740",64.66
HDFCLIFE,EQ,20-Mar-2026,633.5,635.0,635.5,622.05,624.6,623.65,626.14,"30,12,022","1,88,59,51,528.80","1,04,614","20,08,165",66.67
HDFCLIFE,EQ,19-Mar-2026,643.35,630.0,638.55,624.0,633.45,633.5,632.92,"19,42,109","1,22,91,94,706.50","57,295","9,91,776",51.07
HDFCLIFE,EQ,18-Mar-2026,642.3,642.45,646.6,639.6,642.35,643.35,644.0,"24,24,345","1,56,12,75,176.75","88,237","16,58,323",68.40
HDFCLIFE,EQ,17-Mar-2026,626.0,625.0,645.35,623.3,642.9,642.3,637.68,"34,65,318","2,20,97,77,059.10","84,913","18,89,816",54.54
HDFCLIFE,EQ,16-Mar-2026,625.75,625.0,630.55,617.2,624.0,626.0,625.12,"27,50,363","1,71,93,05,032.15","1,11,595","16,10,646",58.56
HDFCLIFE,EQ,13-Mar-2026,645.7,638.25,640.6,624.0,624.6,625.75,631.11,"31,67,065","1,99,87,67,504.60","83,994","22,75,397",71.85
HDFCLIFE,EQ,12-Mar-2026,647.9,644.6,649.35,636.1,645.0,645.7,643.75,"33,39,906","2,15,00,63,037.85","1,13,519","20,63,760",61.79
HDFCLIFE,EQ,11-Mar-2026,656.1,654.0,657.5,645.9,647.0,647.9,650.83,"13,36,810","87,00,35,329.20","65,226","8,12,187",60.76
HDFCLIFE,EQ,10-Mar-2026,653.75,653.95,661.6,653.4,658.1,656.1,657.36,"35,47,812","2,33,21,97,437.95","97,824","22,33,300",62.95
