symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HEROMOTOCO,EQ,25-Mar-2026,"5,253.00","5,305.00","5,364.00","5,278.00","5,278.00","5,289.50","5,319.15","5,31,702","2,82,82,02,056.50","63,566","2,59,873",48.88
HEROMOTOCO,EQ,24-Mar-2026,"5,065.00","5,185.00","5,317.00","5,124.50","5,258.00","5,253.00","5,219.07","4,35,050","2,27,05,55,457.00","50,719","1,79,223",41.20
HEROMOTOCO,EQ,23-Mar-2026,"5,275.50","5,191.00","5,200.00","5,051.00","5,062.00","5,065.00","5,098.67","3,40,775","1,73,74,99,679.50","41,370","1,38,483",40.64
HEROMOTOCO,EQ,20-Mar-2026,"5,172.50","5,218.00","5,367.50","5,216.00","5,263.50","5,275.50","5,279.33","10,43,098","5,50,68,62,828.00","54,773","6,51,290",62.44
HEROMOTOCO,EQ,19-Mar-2026,"5,426.00","5,349.00","5,366.50","5,151.00","5,205.00","5,172.50","5,240.29","3,97,483","2,08,29,26,252.00","44,855","1,60,979",40.50
HEROMOTOCO,EQ,18-Mar-2026,"5,355.00","5,370.00","5,488.00","5,365.00","5,416.00","5,426.00","5,443.65","3,90,261","2,12,44,45,038.00","34,842","1,58,849",40.70
HEROMOTOCO,EQ,17-Mar-2026,"5,278.50","5,276.50","5,384.00","5,232.00","5,353.00","5,355.00","5,336.12","4,03,766","2,15,45,43,458.50","50,086","1,88,952",46.80
HEROMOTOCO,EQ,16-Mar-2026,"5,206.00","5,198.50","5,329.00","5,124.50","5,255.50","5,278.50","5,239.27","4,66,610","2,44,46,96,404.00","53,459","1,78,837",38.33
HEROMOTOCO,EQ,13-Mar-2026,"5,394.50","5,338.00","5,377.50","5,168.00","5,193.00","5,206.00","5,224.26","4,96,250","2,59,25,38,597.00","60,539","2,02,945",40.90
HEROMOTOCO,EQ,12-Mar-2026,"5,575.00","5,589.00","5,589.00","5,376.00","5,390.50","5,394.50","5,440.72","4,76,478","2,59,23,83,201.00","52,363","2,27,226",47.69
HEROMOTOCO,EQ,11-Mar-2026,"5,711.50","5,729.50","5,766.00","5,554.00","5,569.50","5,575.00","5,628.47","5,11,965","2,88,15,78,085.00","49,540","2,22,757",43.51
HEROMOTOCO,EQ,10-Mar-2026,"5,480.00","5,546.50","5,733.50","5,527.50","5,715.50","5,711.50","5,653.43","4,93,375","2,78,92,62,925.00","45,836","2,16,028",43.79
HEROMOTOCO,EQ,09-Mar-2026,"5,512.50","5,447.00","5,510.00","5,337.50","5,476.50","5,480.00","5,427.87","3,06,358","1,66,28,72,291.00","37,434","1,04,322",34.05
HEROMOTOCO,EQ,06-Mar-2026,"5,588.50","5,571.00","5,571.50","5,490.00","5,520.00","5,512.50","5,523.41","4,31,008","2,38,06,32,219.50","52,316","2,32,431",53.93
HEROMOTOCO,EQ,05-Mar-2026,"5,500.00","5,513.50","5,622.50","5,480.00","5,568.50","5,588.50","5,548.04","5,45,405","3,02,59,26,335.00","54,079","2,64,087",48.42
HEROMOTOCO,EQ,04-Mar-2026,"5,591.50","5,520.00","5,529.00","5,427.50","5,490.00","5,500.00","5,480.33","4,55,955","2,49,87,82,115.50","45,954","2,42,562",53.20
HEROMOTOCO,EQ,02-Mar-2026,"5,710.00","5,565.00","5,725.00","5,503.00","5,584.00","5,591.50","5,610.45","4,32,301","2,42,54,03,900.00","60,317","1,89,720",43.89
HEROMOTOCO,EQ,27-Feb-2026,"5,787.00","5,775.00","5,800.00","5,689.00","5,715.00","5,710.00","5,730.41","5,84,546","3,34,96,90,117.50","44,509","3,62,996",62.10
HEROMOTOCO,EQ,26-Feb-2026,"5,737.50","5,760.00","5,829.00","5,718.50","5,781.00","5,787.00","5,771.76","4,89,797","2,82,69,91,095.50","60,062","2,17,120",44.33
HEROMOTOCO,EQ,25-Feb-2026,"5,511.00","5,511.00","5,840.00","5,500.50","5,740.00","5,737.50","5,729.51","8,98,486","5,14,78,81,746.50","84,005","3,40,100",37.85
HEROMOTOCO,EQ,24-Feb-2026,"5,488.50","5,480.00","5,523.00","5,436.50","5,520.00","5,511.00","5,499.36","3,96,015","2,17,78,29,812.50","50,287","2,31,754",58.52
HEROMOTOCO,EQ,23-Feb-2026,"5,465.00","5,504.50","5,549.00","5,437.00","5,498.00","5,488.50","5,485.18","3,10,190","1,70,14,48,713.50","41,597","1,59,732",51.49
HEROMOTOCO,EQ,20-Feb-2026,"5,414.50","5,400.00","5,472.00","5,375.00","5,458.00","5,465.00","5,430.98","5,60,735","3,04,53,41,017.50","50,846","3,07,725",54.88
HEROMOTOCO,EQ,19-Feb-2026,"5,592.00","5,600.00","5,644.50","5,387.50","5,405.00","5,414.50","5,497.21","3,07,768","1,69,18,64,322.00","36,597","1,28,775",41.84
HEROMOTOCO,EQ,18-Feb-2026,"5,577.00","5,595.00","5,628.00","5,546.50","5,594.50","5,592.00","5,587.08","1,97,770","1,10,49,57,449.00","28,782","80,216",40.56
HEROMOTOCO,EQ,17-Feb-2026,"5,492.00","5,490.00","5,588.00","5,446.50","5,565.00","5,577.00","5,534.17","2,88,723","1,59,78,41,133.50","28,803","1,36,254",47.19
HEROMOTOCO,EQ,16-Feb-2026,"5,584.00","5,578.00","5,623.50","5,459.00","5,482.50","5,492.00","5,511.09","2,85,719","1,57,46,22,796.50","31,289","1,17,412",41.09
HEROMOTOCO,EQ,13-Feb-2026,"5,733.00","5,702.00","5,724.50","5,560.00","5,562.00","5,584.00","5,627.89","3,94,003","2,21,74,06,957.00","36,902","1,98,792",50.45
HEROMOTOCO,EQ,12-Feb-2026,"5,682.50","5,704.00","5,805.00","5,683.50","5,725.50","5,733.00","5,747.17","5,60,676","3,22,23,00,184.00","41,969","2,17,114",38.72
HEROMOTOCO,EQ,11-Feb-2026,"5,753.50","5,695.00","5,750.00","5,546.00","5,682.00","5,682.50","5,672.13","6,84,908","3,88,48,89,875.00","67,502","2,37,966",34.74
HEROMOTOCO,EQ,10-Feb-2026,"5,756.50","5,785.00","5,845.00","5,718.00","5,754.50","5,753.50","5,779.96","8,16,528","4,71,95,01,136.00","64,915","5,04,409",61.77
HEROMOTOCO,EQ,09-Feb-2026,"5,753.50","5,800.00","5,816.00","5,667.00","5,748.50","5,756.50","5,738.81","5,43,956","3,12,16,61,364.50","50,905","2,92,479",53.77
HEROMOTOCO,EQ,06-Feb-2026,"5,766.00","5,772.00","5,841.00","5,715.50","5,746.00","5,753.50","5,777.95","7,70,475","4,45,17,67,807.00","75,535","3,31,734",43.06
HEROMOTOCO,EQ,05-Feb-2026,"5,851.50","5,880.50","5,890.00","5,745.00","5,780.50","5,766.00","5,795.65","3,31,312","1,92,01,68,709.50","40,454","1,49,101",45.00
HEROMOTOCO,EQ,04-Feb-2026,"5,763.00","5,747.00","5,878.00","5,716.50","5,856.00","5,851.50","5,833.51","4,90,202","2,85,95,97,723.00","58,752","2,32,440",47.42
HEROMOTOCO,EQ,03-Feb-2026,"5,623.00","5,734.00","5,791.00","5,676.50","5,765.00","5,763.00","5,735.88","5,92,655","3,39,93,96,375.00","56,533","3,41,125",57.56
HEROMOTOCO,EQ,02-Feb-2026,"5,502.50","5,550.00","5,650.50","5,418.00","5,636.00","5,623.00","5,530.40","4,49,861","2,48,79,13,511.50","54,045","1,65,091",36.70
HEROMOTOCO,EQ,01-Feb-2026,"5,534.00","5,568.00","5,694.50","5,404.50","5,532.00","5,502.50","5,587.99","4,30,982","2,40,83,22,513.50","36,537","1,97,873",45.91
HEROMOTOCO,EQ,30-Jan-2026,"5,580.00","5,540.50","5,595.00","5,465.00","5,530.00","5,534.00","5,533.20","4,66,102","2,57,90,36,272.00","43,905","2,70,419",58.02
HEROMOTOCO,EQ,29-Jan-2026,"5,512.50","5,522.00","5,595.00","5,472.00","5,577.00","5,580.00","5,549.13","3,37,842","1,87,47,29,779.50","44,999","1,50,471",44.54
HEROMOTOCO,EQ,28-Jan-2026,"5,380.00","5,407.00","5,524.00","5,328.50","5,510.00","5,512.50","5,412.76","5,47,414","2,96,30,18,678.50","57,654","2,77,791",50.75
HEROMOTOCO,EQ,27-Jan-2026,"5,384.00","5,418.00","5,424.50","5,298.50","5,390.50","5,380.00","5,354.37","4,00,942","2,14,67,90,944.00","47,292","1,90,391",47.49
HEROMOTOCO,EQ,23-Jan-2026,"5,488.50","5,514.00","5,524.50","5,368.00","5,388.00","5,384.00","5,435.61","4,60,330","2,50,21,76,650.00","44,648","2,52,748",54.91
