symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HFCL,EQ,22-Jan-2025,101.58,102.19,102.49,96.44,99.43,99.17,98.52,"1,35,39,512","1,33,39,48,435.79","64,460","31,56,995",23.32
HFCL,EQ,23-Jan-2025,99.17,99.0,102.76,98.36,100.75,101.03,101.05,"1,02,08,892","1,03,16,07,053.81","43,651","19,18,757",18.79
HFCL,EQ,24-Jan-2025,101.03,102.59,103.33,98.5,98.66,99.15,100.66,"1,29,92,414","1,30,77,52,077.28","62,019","25,08,166",19.3
HFCL,EQ,27-Jan-2025,99.15,98.0,98.0,93.5,94.44,94.25,94.91,"1,23,80,396","1,17,50,54,024.19","59,104","29,83,107",24.1
HFCL,EQ,28-Jan-2025,94.25,95.0,96.17,91.26,93.79,93.87,93.81,"1,33,04,998","1,24,81,37,473.48","57,982","26,02,522",19.56
HFCL,EQ,29-Jan-2025,93.87,94.5,97.22,93.87,96.14,96.14,95.91,"86,94,770","83,39,55,685.60","42,243","21,90,025",25.19
HFCL,EQ,30-Jan-2025,96.14,96.14,97.38,94.57,95.22,95.16,95.91,"86,52,119","82,98,62,052.43","37,541","21,24,607",24.56
HFCL,EQ,31-Jan-2025,95.16,95.39,98.36,94.56,98.1,98.03,96.97,"97,69,666","94,74,12,255.34","41,547","23,54,614",24.1
HFCL,EQ,01-Feb-2025,98.03,98.03,106.95,97.57,106.0,106.12,103.67,"4,43,91,010","4,60,21,61,009.57","1,60,188","73,35,550",16.52
HFCL,EQ,03-Feb-2025,106.12,104.0,105.0,101.01,101.2,101.72,102.38,"1,50,59,349","1,54,17,55,014.61","73,333","29,64,528",19.69
HFCL,EQ,04-Feb-2025,101.72,99.9,102.75,98.36,100.6,100.74,100.69,"2,02,09,031","2,03,48,20,947.55","86,454","40,41,646",20.0
HFCL,EQ,05-Feb-2025,100.74,101.05,105.11,101.05,101.75,101.84,103.38,"1,43,26,537","1,48,10,62,293.52","60,740","29,70,758",20.74
HFCL,EQ,06-Feb-2025,101.84,102.45,102.84,99.45,100.37,99.98,101.06,"87,98,724","88,92,01,162.89","35,776","23,76,087",27.0
HFCL,EQ,07-Feb-2025,99.98,100.35,102.49,98.5,100.75,100.54,100.58,"1,04,56,363","1,05,16,87,219.65","40,255","17,51,903",16.75
HFCL,EQ,10-Feb-2025,100.54,100.55,101.05,97.52,97.8,97.98,98.67,"60,25,226","59,44,85,044.62","28,015","11,80,142",19.59
HFCL,EQ,11-Feb-2025,97.98,97.95,97.95,91.66,92.67,92.5,93.86,"96,78,134","90,84,07,961.98","47,831","25,50,321",26.35
HFCL,EQ,12-Feb-2025,92.5,93.25,93.25,88.05,92.4,92.04,91.26,"1,15,37,975","1,05,29,49,930.31","49,820","22,37,878",19.4
HFCL,EQ,13-Feb-2025,92.04,92.74,94.1,90.7,90.9,91.24,92.5,"94,61,732","87,51,78,530.50","35,372","24,59,025",25.99
HFCL,EQ,14-Feb-2025,91.24,91.96,92.4,84.5,85.5,85.7,86.96,"1,72,16,703","1,49,72,11,663.55","66,748","46,51,395",27.02
HFCL,EQ,17-Feb-2025,85.7,85.47,87.8,83.81,87.12,87.03,86.45,"1,37,36,747","1,18,75,61,746.57","51,918","32,15,184",23.41
HFCL,EQ,18-Feb-2025,87.03,87.24,87.46,81.82,83.48,83.58,83.77,"1,23,26,587","1,03,26,00,560.50","50,518","31,30,143",25.39
HFCL,EQ,19-Feb-2025,83.58,83.5,89.37,82.06,88.25,88.8,87.36,"1,76,97,580","1,54,59,81,943.21","56,689","41,07,546",23.21
HFCL,EQ,20-Feb-2025,88.8,88.53,91.71,87.42,90.81,91.15,89.98,"1,86,31,853","1,67,65,84,981.66","69,360","49,80,701",26.73
HFCL,EQ,21-Feb-2025,91.15,91.0,93.14,88.67,89.0,89.41,90.59,"1,25,60,035","1,13,77,68,321.88","50,516","30,83,831",24.55
HFCL,EQ,24-Feb-2025,89.41,88.1,88.7,86.42,87.43,87.36,87.56,"83,72,899","73,31,22,232.35","33,769","21,67,176",25.88
HFCL,EQ,25-Feb-2025,87.36,87.56,88.87,85.56,85.8,86.23,87.33,"79,75,278","69,64,77,230.24","30,329","16,27,973",20.41
HFCL,EQ,27-Feb-2025,86.23,86.2,86.69,82.78,82.9,83.15,84.08,"95,34,116","80,16,72,475.93","36,763","26,52,002",27.82
HFCL,EQ,28-Feb-2025,83.15,81.81,82.83,78.47,79.32,79.19,80.04,"1,81,16,989","1,45,00,68,711.35","65,060","53,89,645",29.75
HFCL,EQ,03-Mar-2025,79.19,79.5,81.59,77.23,79.85,79.6,79.58,"2,67,46,217","2,12,84,76,399.05","64,208","95,95,087",35.87
HFCL,EQ,04-Mar-2025,79.6,78.51,81.31,77.95,79.81,79.95,79.93,"1,26,19,830","1,00,86,88,009.62","41,857","37,54,488",29.75
HFCL,EQ,05-Mar-2025,79.95,80.49,83.77,80.33,83.3,83.44,82.59,"1,15,61,710","95,48,88,462.51","37,014","33,72,376",29.17
HFCL,EQ,06-Mar-2025,83.44,84.2,85.5,82.66,82.76,82.99,83.87,"1,18,10,000","99,04,78,996.63","37,565","41,10,374",34.8
HFCL,EQ,07-Mar-2025,82.99,82.95,85.25,82.42,83.9,83.87,83.81,"1,17,37,506","98,36,94,585.59","42,083","33,27,447",28.35
HFCL,EQ,10-Mar-2025,83.87,84.6,87.0,79.63,79.89,80.25,82.69,"1,36,80,805","1,13,12,47,916.14","41,875","45,25,373",33.08
HFCL,EQ,11-Mar-2025,80.25,79.89,81.0,78.26,80.8,80.26,79.64,"1,21,96,162","97,13,20,233.72","37,389","33,00,677",27.06
HFCL,EQ,12-Mar-2025,80.26,80.85,81.25,78.05,79.18,79.12,79.39,"1,00,75,241","79,98,56,507.82","34,641","33,37,473",33.13
HFCL,EQ,13-Mar-2025,79.12,79.7,80.26,77.0,77.45,77.55,78.17,"1,79,94,296","1,40,65,39,083.78","37,602","1,00,80,405",56.02
HFCL,EQ,17-Mar-2025,77.55,78.46,79.45,77.05,77.44,77.64,78.1,"1,17,45,897","91,73,82,265.15","29,087","46,50,536",39.59
HFCL,EQ,18-Mar-2025,77.64,78.2,80.79,78.17,80.38,80.44,79.56,"1,07,90,013","85,84,94,327.23","32,491","37,91,099",35.14
HFCL,EQ,19-Mar-2025,80.44,80.9,82.79,80.15,81.98,82.01,81.59,"1,39,86,473","1,14,10,93,413.10","43,973","43,44,552",31.06
HFCL,EQ,20-Mar-2025,82.01,83.33,83.61,80.82,81.25,81.44,82.07,"1,37,78,436","1,13,07,52,200.46","37,898","57,95,959",42.07
HFCL,EQ,21-Mar-2025,81.44,81.7,84.42,81.3,83.56,82.81,83.24,"2,97,80,674","2,47,90,15,295.52","51,777","1,26,31,059",42.41
HFCL,EQ,24-Mar-2025,82.81,84.79,85.4,83.4,85.2,84.94,84.55,"2,36,75,047","2,00,18,31,446.04","46,686","78,18,739",33.03
HFCL,EQ,25-Mar-2025,84.94,85.6,85.71,80.95,81.15,81.25,82.39,"1,70,53,762","1,40,50,27,966.77","45,108","99,59,873",58.4
HFCL,EQ,26-Mar-2025,81.25,81.65,82.45,79.5,80.0,79.77,81.05,"1,38,88,936","1,12,57,65,177.30","40,367","59,16,089",42.6
HFCL,EQ,27-Mar-2025,79.77,79.73,81.65,79.29,81.38,81.25,80.7,"1,62,35,932","1,31,02,22,913.86","41,840","73,59,301",45.33
HFCL,EQ,28-Mar-2025,81.25,81.5,83.5,78.7,78.86,79.1,80.93,"1,47,83,782","1,19,64,16,854.44","44,241","55,66,347",37.65
HFCL,EQ,01-Apr-2025,79.1,79.2,81.69,78.76,80.84,80.77,80.64,"1,13,13,467","91,23,58,503.72","30,637","29,76,106",26.31
