symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDALCO,EQ,25-Mar-2026,854.65,866.00,874.80,862.30,867.50,868.65,868.56,"44,91,373","3,90,10,37,097.60","1,22,595","25,74,265",57.32
HINDALCO,EQ,24-Mar-2026,840.25,849.00,864.50,843.50,852.00,854.65,854.98,"35,26,970","3,01,55,01,367.20","92,652","14,31,007",40.57
HINDALCO,EQ,23-Mar-2026,874.25,855.00,857.35,835.95,839.85,840.25,843.44,"1,13,72,786","9,59,22,14,957.65","2,35,268","67,23,968",59.12
HINDALCO,EQ,20-Mar-2026,897.05,884.95,907.50,870.00,871.95,874.25,884.96,"1,00,63,637","8,90,59,28,964.00","2,04,546","53,62,964",53.29
HINDALCO,EQ,19-Mar-2026,933.05,912.00,933.05,892.15,900.00,897.05,910.30,"47,33,569","4,30,89,59,002.85","1,10,745","21,85,690",46.17
HINDALCO,EQ,18-Mar-2026,936.65,932.90,938.40,923.00,931.80,933.05,931.16,"39,06,519","3,63,75,78,696.35","1,09,355","17,16,012",43.93
HINDALCO,EQ,17-Mar-2026,921.15,928.90,942.00,916.35,935.00,936.65,932.13,"48,62,641","4,53,26,14,289.15","1,40,887","18,62,403",38.30
HINDALCO,EQ,16-Mar-2026,910.05,906.85,943.15,901.30,921.00,921.15,926.76,"1,07,55,610","9,96,78,37,917.85","1,88,055","39,30,164",36.54
HINDALCO,EQ,13-Mar-2026,969.75,967.00,968.15,904.30,910.90,910.05,920.58,"1,03,47,187","9,52,53,73,128.95","2,00,113","41,01,057",39.63
HINDALCO,EQ,12-Mar-2026,959.10,968.00,972.00,934.45,968.00,969.75,955.11,"46,64,967","4,45,55,77,847.10","1,11,401","19,71,217",42.26
HINDALCO,EQ,11-Mar-2026,956.60,959.95,978.90,952.50,959.50,959.10,963.34,"44,56,510","4,29,31,42,702.15","96,388","21,03,747",47.21
HINDALCO,EQ,10-Mar-2026,945.35,956.00,959.75,933.35,958.45,956.60,947.32,"48,39,199","4,58,42,80,794.05","1,46,791","22,15,214",45.78
HINDALCO,EQ,09-Mar-2026,958.90,940.00,956.25,925.25,944.95,945.35,939.70,"70,16,889","6,59,37,65,963.60","1,56,578","35,68,268",50.85
HINDALCO,EQ,06-Mar-2026,954.95,955.00,971.65,943.15,960.60,958.90,958.98,"82,95,000","7,95,47,62,064.05","3,56,279","46,68,015",56.28
