symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDPETRO,EQ,25-Mar-2026,336.8,345.0,348.95,337.55,345.3,344.0,343.84,"1,31,28,269","4,51,39,84,111.90","1,29,526","58,49,348",44.56
HINDPETRO,EQ,24-Mar-2026,319.15,331.0,338.45,319.6,336.1,336.8,331.59,"1,15,12,642","3,81,75,28,021.60","1,16,081","41,71,736",36.24
HINDPETRO,EQ,23-Mar-2026,336.3,324.0,329.65,316.2,321.5,319.15,320.71,"1,31,82,560","4,22,77,40,897.85","1,33,399","60,22,447",45.68
HINDPETRO,EQ,20-Mar-2026,324.8,330.05,345.35,330.05,338.95,336.3,337.51,"2,41,69,602","8,15,74,50,355.50","2,14,662","1,02,12,093",42.25
HINDPETRO,EQ,19-Mar-2026,349.35,340.2,340.2,321.5,327.45,324.8,328.33,"2,58,18,465","8,47,69,52,461.50","3,08,238","1,08,29,449",41.94
HINDPETRO,EQ,18-Mar-2026,346.2,350.0,355.45,346.25,349.0,349.35,350.38,"93,19,269","3,26,53,15,562.25","1,37,079","51,61,212",55.38
HINDPETRO,EQ,17-Mar-2026,353.8,354.15,355.05,340.0,346.0,346.2,345.06,"1,46,66,300","5,06,07,21,216.05","1,64,030","77,58,547",52.9
HINDPETRO,EQ,16-Mar-2026,368.75,361.0,364.95,348.3,355.6,353.8,353.51,"1,46,57,696","5,18,16,34,915.80","1,88,450","77,23,453",52.69
HINDPETRO,EQ,13-Mar-2026,384.35,379.55,379.55,366.3,369.35,368.75,371.05,"58,16,666","2,15,82,82,629.10","75,155","31,81,010",54.69
HINDPETRO,EQ,12-Mar-2026,384.25,376.4,388.85,367.5,384.2,384.35,380.82,"85,73,492","3,26,49,47,719.05","82,645","35,60,011",41.52
HINDPETRO,EQ,11-Mar-2026,387.35,388.75,393.55,382.95,383.3,384.25,388.03,"78,83,718","3,05,91,22,681.95","1,14,881","41,23,838",52.31
HINDPETRO,EQ,10-Mar-2026,384.55,396.0,406.65,381.1,388.7,387.35,386.0,"1,14,11,957","4,40,49,67,719.30","1,79,199","52,96,354",46.41
HINDPETRO,EQ,09-Mar-2026,404.95,385.2,389.45,370.15,384.65,384.55,380.57,"2,48,36,194","9,45,18,84,954.60","1,83,717","1,11,14,337",44.75
HINDPETRO,EQ,06-Mar-2026,418.4,420.0,420.0,402.1,405.25,404.95,410.82,"71,96,619","2,95,65,09,500.65","1,28,204","36,84,646",51.2
HINDPETRO,EQ,05-Mar-2026,401.45,403.8,426.5,400.1,416.8,418.4,412.57,"1,01,65,454","4,19,39,70,106.35","98,473","38,65,823",38.03
HINDPETRO,EQ,04-Mar-2026,424.5,413.8,416.4,400.1,401.8,401.45,405.65,"65,82,702","2,67,02,89,053.30","1,09,364","27,01,451",41.04
HINDPETRO,EQ,02-Mar-2026,438.75,421.1,435.6,415.95,425.3,424.5,427.78,"1,22,50,296","5,24,04,72,775.15","1,31,333","56,91,301",46.46
HINDPETRO,EQ,27-Feb-2026,444.0,444.0,444.05,436.1,438.5,438.75,439.62,"53,41,791","2,34,83,33,455.85","76,864","31,17,631",58.36
HINDPETRO,EQ,26-Feb-2026,436.7,438.8,445.35,436.05,444.05,444.0,440.27,"44,63,697","1,96,52,28,784.00","59,003","24,77,268",55.5
HINDPETRO,EQ,25-Feb-2026,447.05,449.7,454.7,432.45,437.35,436.7,439.1,"54,42,008","2,38,95,61,062.80","61,830","21,39,791",39.32
HINDPETRO,EQ,24-Feb-2026,438.5,437.0,448.95,436.15,447.5,447.05,442.18,"35,15,127","1,55,43,28,255.30","60,164","17,12,675",48.72
HINDPETRO,EQ,23-Feb-2026,430.9,435.0,442.0,432.6,438.45,438.5,437.88,"28,26,172","1,23,75,35,383.55","40,242","12,13,550",42.94
HINDPETRO,EQ,20-Feb-2026,434.35,430.0,435.5,426.75,431.1,430.9,430.26,"47,38,497","2,03,87,78,459.90","50,545","23,56,303",49.73
HINDPETRO,EQ,19-Feb-2026,457.05,452.8,453.3,430.9,433.3,434.35,439.7,"52,62,959","2,31,41,18,907.50","47,274","28,02,712",53.25
HINDPETRO,EQ,18-Feb-2026,454.25,456.05,458.7,454.0,457.35,457.05,456.39,"11,51,972","52,57,53,369.95","20,295","3,43,066",29.78
HINDPETRO,EQ,17-Feb-2026,452.05,451.6,454.9,444.3,454.7,454.25,449.93,"14,20,593","63,91,70,353.90","28,480","4,56,989",32.17
HINDPETRO,EQ,16-Feb-2026,450.2,448.0,452.6,445.0,451.9,452.05,448.51,"8,79,388","39,44,11,641.40","21,494","2,71,075",30.83
