symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDUNILVR,EQ,25-Mar-2026,"2,085.00","2,098.00","2,154.70","2,086.00","2,136.00","2,134.80","2,135.29","20,69,217","4,41,83,85,771.00","1,40,711","13,26,703",64.12
HINDUNILVR,EQ,24-Mar-2026,"2,052.20","2,070.00","2,115.00","2,066.00","2,091.00","2,085.00","2,087.97","17,02,418","3,55,45,99,148.20","74,728","9,48,416",55.71
HINDUNILVR,EQ,23-Mar-2026,"2,082.70","2,062.30","2,097.00","2,033.30","2,050.00","2,052.20","2,057.46","25,99,535","5,34,84,33,321.50","1,67,567","16,68,199",64.17
HINDUNILVR,EQ,20-Mar-2026,"2,077.30","2,099.70","2,099.80","2,069.00","2,095.00","2,082.70","2,084.35","24,29,744","5,06,44,26,600.50","96,599","16,41,208",67.55
HINDUNILVR,EQ,19-Mar-2026,"2,135.30","2,112.00","2,133.60","2,070.10","2,085.00","2,077.30","2,089.58","20,98,905","4,38,58,34,674.90","1,27,166","12,75,284",60.76
HINDUNILVR,EQ,18-Mar-2026,"2,158.20","2,165.00","2,175.00","2,129.70","2,134.50","2,135.30","2,144.12","24,41,148","5,23,41,08,033.30","91,203","17,34,779",71.06
HINDUNILVR,EQ,17-Mar-2026,"2,175.70","2,172.80","2,184.80","2,145.50","2,166.60","2,158.20","2,158.64","17,05,956","3,68,25,50,300.90","96,887","10,06,869",59.02
HINDUNILVR,EQ,16-Mar-2026,"2,160.00","2,169.60","2,186.70","2,154.00","2,165.40","2,175.70","2,172.66","19,81,511","4,30,51,42,503.30","81,380","12,50,939",63.13
HINDUNILVR,EQ,13-Mar-2026,"2,136.90","2,136.00","2,191.90","2,120.30","2,161.80","2,160.00","2,165.91","22,98,875","4,97,91,62,739.30","1,13,184","10,95,695",47.66
HINDUNILVR,EQ,12-Mar-2026,"2,161.40","2,165.10","2,165.10","2,109.30","2,133.90","2,136.90","2,130.18","17,91,973","3,81,72,23,090.00","1,07,326","10,07,989",56.25
HINDUNILVR,EQ,11-Mar-2026,"2,190.20","2,190.20","2,195.00","2,156.00","2,160.40","2,161.40","2,168.40","13,13,256","2,84,76,70,382.90","1,11,697","7,76,182",59.1
HINDUNILVR,EQ,10-Mar-2026,"2,194.60","2,224.00","2,224.00","2,175.00","2,191.00","2,190.20","2,192.48","10,84,986","2,37,88,11,069.00","84,905","5,39,399",49.71
HINDUNILVR,EQ,09-Mar-2026,"2,225.70","2,199.00","2,200.00","2,170.40","2,193.00","2,194.60","2,188.02","15,12,817","3,31,00,66,767.20","90,048","9,36,892",61.93
HINDUNILVR,EQ,06-Mar-2026,"2,255.00","2,245.10","2,250.00","2,219.50","2,223.10","2,225.70","2,229.55","16,74,258","3,73,28,36,889.50","1,34,825","10,89,906",65.1
HINDUNILVR,EQ,05-Mar-2026,"2,261.30","2,275.50","2,277.80","2,228.40","2,254.90","2,255.00","2,245.23","17,51,288","3,93,20,38,615.60","1,48,905","9,55,897",54.58
HINDUNILVR,EQ,04-Mar-2026,"2,320.60","2,292.90","2,311.60","2,252.10","2,260.00","2,261.30","2,284.98","26,48,737","6,05,23,10,332.80","1,39,227","17,34,781",65.49
HINDUNILVR,EQ,02-Mar-2026,"2,338.10","2,303.00","2,354.00","2,290.20","2,320.00","2,320.60","2,313.19","22,73,224","5,25,83,89,732.30","1,62,389","11,46,334",50.43
HINDUNILVR,EQ,27-Feb-2026,"2,383.30","2,369.30","2,378.90","2,330.60","2,340.00","2,338.10","2,342.97","30,53,227","7,15,36,25,939.80","94,884","22,31,242",73.08
HINDUNILVR,EQ,26-Feb-2026,"2,374.90","2,378.00","2,387.30","2,355.20","2,380.20","2,383.30","2,373.79","14,70,677","3,49,10,72,288.60","80,564","9,61,598",65.38
HINDUNILVR,EQ,25-Feb-2026,"2,358.60","2,368.90","2,380.00","2,349.00","2,374.20","2,374.90","2,368.34","11,58,620","2,74,40,01,485.40","63,805","7,62,889",65.84
HINDUNILVR,EQ,24-Feb-2026,"2,345.40","2,331.10","2,372.00","2,330.30","2,364.80","2,358.60","2,358.14","15,44,803","3,64,28,59,564.00","63,566","8,99,933",58.26
HINDUNILVR,EQ,23-Feb-2026,"2,314.50","2,325.00","2,350.00","2,320.80","2,349.00","2,345.40","2,338.97","13,00,035","3,04,07,45,720.30","53,416","7,81,116",60.08
HINDUNILVR,EQ,20-Feb-2026,"2,279.30","2,285.00","2,331.20","2,278.30","2,318.30","2,314.50","2,315.18","17,16,316","3,97,35,76,871.50","43,733","10,24,786",59.71
