symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDZINC,EQ,25-Mar-2026,497.05,511.0,521.4,510.75,518.7,517.7,516.41,"84,98,265","4,38,85,58,866.55","85,329","24,25,814",28.54
HINDZINC,EQ,24-Mar-2026,487.65,499.0,501.55,484.75,496.0,497.05,493.81,"82,85,874","4,09,16,69,353.10","74,341","24,98,097",30.15
HINDZINC,EQ,23-Mar-2026,514.75,499.35,499.5,484.0,487.2,487.65,489.96,"92,06,594","4,51,08,28,041.15","1,20,099","35,31,013",38.35
HINDZINC,EQ,20-Mar-2026,506.15,511.95,526.5,510.7,513.65,514.75,517.02,"1,00,46,753","5,19,43,43,512.70","71,127","52,39,405",52.15
HINDZINC,EQ,19-Mar-2026,537.6,524.0,524.95,503.65,511.95,506.15,513.38,"1,07,48,632","5,51,81,48,856.35","1,24,608","50,11,995",46.63
HINDZINC,EQ,18-Mar-2026,546.35,538.8,540.8,529.35,537.5,537.6,535.63,"63,87,274","3,42,12,04,510.00","72,465","20,27,884",31.75
HINDZINC,EQ,17-Mar-2026,533.85,539.0,548.0,534.15,547.3,546.35,543.2,"46,36,685","2,51,86,49,384.15","64,235","16,89,339",36.43
HINDZINC,EQ,16-Mar-2026,551.95,548.0,551.9,529.6,533.5,533.85,536.04,"77,74,885","4,16,76,67,193.75","1,02,635","32,39,473",41.67
HINDZINC,EQ,13-Mar-2026,583.0,578.0,581.15,545.55,551.35,551.95,554.56,"68,84,706","3,81,79,64,593.95","92,404","25,61,380",37.2
HINDZINC,EQ,12-Mar-2026,587.6,584.0,585.65,568.85,582.8,583.0,577.41,"43,78,868","2,52,83,93,362.80","59,420","16,06,362",36.68
HINDZINC,EQ,11-Mar-2026,589.95,590.0,602.0,585.5,587.0,587.6,594.03,"48,38,138","2,87,39,76,982.20","56,432","12,41,739",25.67
HINDZINC,EQ,10-Mar-2026,575.0,585.0,591.0,580.05,590.0,589.95,586.48,"35,81,854","2,10,06,94,555.20","52,836","12,01,920",33.56
HINDZINC,EQ,09-Mar-2026,586.85,572.0,578.9,566.5,575.0,575.0,572.49,"63,04,945","3,60,95,24,823.70","75,763","23,82,048",37.78
