symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ICICIBANK,EQ,25-Mar-2026,"1,251.20","1,258.90","1,272.90","1,254.40","1,258.40","1,259.70","1,262.48","1,72,90,030","21,82,83,49,228.10","2,45,636","86,56,583",50.07
ICICIBANK,EQ,24-Mar-2026,"1,222.70","1,237.10","1,253.90","1,223.70","1,252.60","1,251.20","1,242.48","2,06,17,782","25,61,72,06,863.50","2,41,682","1,14,75,766",55.66
ICICIBANK,EQ,23-Mar-2026,"1,245.40","1,226.60","1,234.90","1,218.10","1,225.00","1,222.70","1,225.36","1,70,49,534","20,89,17,71,051.10","2,79,421","1,16,39,598",68.27
ICICIBANK,EQ,20-Mar-2026,"1,250.10","1,258.40","1,274.00","1,241.70","1,249.80","1,245.40","1,256.05","1,64,21,006","20,62,56,09,488.50","3,20,542","1,16,85,036",71.16
ICICIBANK,EQ,19-Mar-2026,"1,289.30","1,267.60","1,285.90","1,243.70","1,259.70","1,250.10","1,258.87","1,44,22,899","18,15,66,25,895.60","2,85,591","65,90,960",45.70
ICICIBANK,EQ,18-Mar-2026,"1,288.70","1,286.00","1,297.10","1,270.80","1,292.00","1,289.30","1,287.83","1,29,61,135","16,69,17,03,269.00","2,24,259","80,74,954",62.30
ICICIBANK,EQ,17-Mar-2026,"1,272.90","1,278.90","1,294.40","1,273.00","1,287.00","1,288.70","1,285.58","2,23,03,102","28,67,25,15,530.30","2,42,007","96,99,357",43.49
ICICIBANK,EQ,16-Mar-2026,"1,254.80","1,255.00","1,276.80","1,240.10","1,267.60","1,272.90","1,261.00","2,27,40,688","28,67,59,65,063.50","2,64,944","1,31,12,471",57.66
ICICIBANK,EQ,13-Mar-2026,"1,266.50","1,251.90","1,262.30","1,248.70","1,255.00","1,254.80","1,254.83","1,73,44,394","21,76,42,18,501.60","2,48,517","1,05,65,554",60.92
ICICIBANK,EQ,12-Mar-2026,"1,294.60","1,275.70","1,280.50","1,258.30","1,269.90","1,266.50","1,270.55","1,96,76,187","24,99,95,30,425.90","3,35,143","1,02,59,179",52.14
ICICIBANK,EQ,11-Mar-2026,"1,311.90","1,300.00","1,306.50","1,290.90","1,292.00","1,294.60","1,297.44","1,32,24,259","17,15,77,29,375.10","2,65,729","69,77,904",52.77
ICICIBANK,EQ,10-Mar-2026,"1,278.40","1,287.60","1,315.00","1,285.60","1,312.80","1,311.90","1,304.25","1,91,36,143","24,95,83,13,823.40","3,18,391","91,04,535",47.58
ICICIBANK,EQ,09-Mar-2026,"1,313.40","1,272.70","1,282.70","1,251.10","1,275.00","1,278.40","1,271.54","1,61,16,652","20,49,29,13,753.00","3,21,194","92,26,113",57.25
