symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IEX,EQ,25-Mar-2026,119.62,120.5,124.0,120.12,121.85,121.68,122.36,"79,93,787","97,81,12,751.90","41,516","39,95,420",49.98
IEX,EQ,24-Mar-2026,115.38,117.8,120.0,115.5,119.77,119.62,118.24,"59,96,523","70,90,53,350.70","34,573","23,15,663",38.62
IEX,EQ,23-Mar-2026,120.53,118.71,119.42,114.72,115.2,115.38,116.85,"77,73,470","90,83,13,256.25","54,286","34,58,011",44.48
IEX,EQ,20-Mar-2026,118.25,119.7,121.8,119.01,120.5,120.53,120.94,"50,86,862","61,52,12,408.07","32,096","22,63,528",44.5
IEX,EQ,19-Mar-2026,123.06,120.5,121.79,117.69,119.0,118.25,119.31,"48,67,877","58,07,95,367.87","33,721","21,25,582",43.67
IEX,EQ,18-Mar-2026,119.88,120.23,124.1,120.02,123.05,123.06,122.57,"49,31,026","60,43,93,322.92","23,898","16,89,959",34.27
IEX,EQ,17-Mar-2026,118.8,119.35,120.8,118.76,119.95,119.88,119.95,"47,36,128","56,80,77,605.36","36,602","22,15,439",46.78
IEX,EQ,16-Mar-2026,120.25,120.28,120.89,117.19,118.85,118.8,118.78,"65,59,285","77,91,07,918.11","36,557","23,42,402",35.71
IEX,EQ,13-Mar-2026,122.76,122.5,124.19,119.98,120.35,120.25,121.59,"52,04,393","63,27,98,183.09","34,492","19,05,735",36.62
IEX,EQ,12-Mar-2026,122.85,122.5,124.48,119.87,122.97,122.76,121.76,"57,91,203","70,51,52,270.72","32,823","19,19,935",33.15
IEX,EQ,11-Mar-2026,121.13,122.0,126.19,122.0,122.72,122.85,124.21,"89,46,792","1,11,13,00,507.13","41,354","20,91,870",23.38
IEX,EQ,10-Mar-2026,120.26,121.41,122.13,119.6,121.75,121.13,120.55,"76,51,092","92,23,49,904.34","33,481","38,74,542",50.64
IEX,EQ,09-Mar-2026,121.76,119.01,120.75,117.5,120.65,120.26,119.6,"78,43,517","93,80,49,325.07","41,200","35,07,940",44.72
IEX,EQ,06-Mar-2026,121.63,121.01,123.5,121.01,121.2,121.76,122.17,"43,51,385","53,15,98,672.58","22,780","13,16,690",30.26
IEX,EQ,05-Mar-2026,118.59,120.4,121.95,119.1,121.56,121.63,120.19,"56,57,344","67,99,79,229.40","47,339","21,20,289",37.48
IEX,EQ,04-Mar-2026,121.52,120.27,120.91,117.84,118.61,118.59,118.85,"52,36,510","62,23,57,518.83","38,814","20,85,845",39.83
IEX,EQ,02-Mar-2026,125.64,122.14,124.27,120.52,121.8,121.52,122.1,"66,17,593","80,80,35,371.42","59,190","30,90,281",46.7
IEX,EQ,27-Feb-2026,127.51,127.5,128.2,125.07,125.16,125.64,126.36,"50,72,021","64,08,90,611.33","31,738","28,01,100",55.23
IEX,EQ,26-Feb-2026,127.72,128.7,130.7,126.81,127.5,127.51,128.47,"58,28,741","74,87,99,441.54","42,039","18,78,514",32.23
IEX,EQ,25-Feb-2026,125.63,125.63,129.0,125.63,127.57,127.72,127.47,"55,25,290","70,42,95,063.34","40,050","25,14,225",45.5
IEX,EQ,24-Feb-2026,125.72,125.5,126.5,124.5,126.2,125.63,125.47,"64,05,727","80,37,21,955.65","39,100","29,26,102",45.68
IEX,EQ,23-Feb-2026,125.42,125.75,126.52,124.7,126.0,125.72,125.39,"43,19,720","54,16,53,283.93","48,892","19,44,543",45.02
IEX,EQ,20-Feb-2026,123.87,123.87,125.89,123.22,125.45,125.42,124.76,"30,70,434","38,30,79,271.02","25,309","11,41,731",37.18
IEX,EQ,19-Feb-2026,126.13,126.01,126.49,123.36,123.58,123.87,124.95,"29,45,718","36,80,56,613.91","19,281","9,54,137",32.39
IEX,EQ,18-Feb-2026,126.25,126.22,127.08,125.0,125.95,126.13,126.03,"47,36,952","59,70,20,258.00","33,659","25,35,397",53.52
IEX,EQ,17-Feb-2026,124.97,124.7,126.45,124.26,126.3,126.25,125.63,"40,16,445","50,45,92,472.18","29,119","15,01,280",37.38
IEX,EQ,16-Feb-2026,123.95,123.5,125.16,122.28,125.0,124.97,123.86,"50,33,142","62,34,24,941.47","43,634","18,34,142",36.44
IEX,EQ,13-Feb-2026,125.91,125.01,125.29,119.38,123.56,123.95,122.5,"1,95,51,693","2,39,51,12,047.36","95,002","38,60,192",19.74
IEX,EQ,12-Feb-2026,127.16,127.16,127.16,125.6,125.75,125.91,126.04,"43,63,115","54,99,08,534.02","38,517","22,04,481",50.53
IEX,EQ,11-Feb-2026,126.14,126.93,127.65,125.03,126.83,127.16,126.37,"62,89,575","79,48,22,520.37","41,430","30,88,374",49.1
IEX,EQ,10-Feb-2026,125.34,125.99,127.65,125.04,126.0,126.14,126.62,"95,92,050","1,21,45,53,462.64","56,011","47,89,755",49.93
IEX,EQ,09-Feb-2026,120.94,121.5,126.21,120.43,125.34,125.34,124.24,"1,16,46,073","1,44,69,27,500.23","54,580","36,61,685",31.44
IEX,EQ,06-Feb-2026,124.85,124.85,125.0,119.85,120.7,120.94,120.79,"1,19,69,646","1,44,58,29,004.62","74,781","46,71,427",39.03
IEX,EQ,05-Feb-2026,127.69,127.7,127.75,124.45,124.6,124.85,125.47,"54,86,599","68,84,20,354.67","53,469","23,14,670",42.19
IEX,EQ,04-Feb-2026,126.26,126.0,128.09,124.89,127.7,127.69,126.51,"63,94,701","80,90,17,740.51","38,549","25,32,600",39.6
IEX,EQ,03-Feb-2026,122.62,126.51,128.17,124.26,126.1,126.26,125.78,"77,86,225","97,93,23,051.05","58,917","35,17,482",45.18
IEX,EQ,02-Feb-2026,124.87,125.0,125.59,119.0,123.0,122.62,121.0,"1,49,61,487","1,81,02,82,554.25","96,763","50,38,336",33.68
IEX,EQ,01-Feb-2026,126.79,127.0,128.36,122.06,125.2,124.87,125.94,"68,36,901","86,10,56,163.26","53,494","20,08,871",29.38
IEX,EQ,30-Jan-2026,127.58,127.42,127.8,125.8,126.7,126.79,126.72,"66,67,712","84,49,09,799.34","53,850","26,94,359",40.41
IEX,EQ,29-Jan-2026,128.71,129.0,129.47,125.94,127.42,127.58,127.36,"1,10,54,197","1,40,78,39,736.94","88,900","44,00,388",39.81
IEX,EQ,28-Jan-2026,127.55,127.55,128.89,126.57,128.72,128.71,127.97,"68,73,060","87,95,53,863.45","59,369","30,63,771",44.58
IEX,EQ,27-Jan-2026,127.53,128.16,128.6,125.28,127.75,127.55,126.85,"1,43,28,607","1,81,76,16,144.99","95,680","54,88,217",38.3
IEX,EQ,23-Jan-2026,131.06,131.4,132.45,127.06,127.5,127.53,129.51,"92,39,745","1,19,66,52,160.27","56,804","33,10,011",35.82
IEX,EQ,22-Jan-2026,128.42,130.0,132.99,128.84,131.0,131.06,131.1,"83,99,163","1,10,11,16,974.20","42,426","16,22,665",19.32
IEX,EQ,21-Jan-2026,130.29,130.3,132.44,128.0,128.95,128.42,130.2,"1,52,13,155","1,98,07,64,630.65","71,152","30,25,191",19.89
IEX,EQ,20-Jan-2026,137.0,136.5,136.99,129.73,130.69,130.29,132.58,"1,89,21,695","2,50,86,87,225.41","1,11,220","49,00,562",25.9
IEX,EQ,19-Jan-2026,139.29,139.0,141.9,133.41,136.47,137.0,138.13,"3,01,92,612","4,17,04,81,165.17","1,58,565","48,52,924",16.07
IEX,EQ,16-Jan-2026,139.37,140.0,140.95,138.24,139.6,139.29,139.57,"1,02,28,954","1,42,76,93,864.64","93,155","32,15,909",31.44
IEX,EQ,14-Jan-2026,141.31,141.73,142.6,138.76,139.05,139.37,140.01,"95,49,194","1,33,69,99,634.93","95,321","28,78,718",30.15
IEX,EQ,13-Jan-2026,142.02,142.99,143.14,139.62,141.45,141.31,141.42,"1,47,95,538","2,09,23,79,170.02","50,483","25,85,056",17.47
IEX,EQ,12-Jan-2026,138.36,139.69,144.5,138.4,142.05,142.02,141.63,"6,04,52,419","8,56,21,57,552.80","2,60,426","55,95,145",9.26
IEX,EQ,09-Jan-2026,150.09,150.09,160.27,137.7,139.19,138.36,147.86,"22,18,86,899","32,80,82,05,089.41","7,30,985","2,58,95,720",11.67
IEX,EQ,08-Jan-2026,154.78,151.96,154.47,149.0,149.41,150.09,151.52,"2,41,69,978","3,66,23,13,004.37","1,20,420","56,62,923",23.43
IEX,EQ,07-Jan-2026,148.67,146.44,156.25,144.04,153.55,154.78,152.43,"11,05,09,071","16,84,52,55,851.74","4,14,398","1,79,42,084",16.24
IEX,EQ,06-Jan-2026,134.38,135.5,153.43,133.25,146.21,148.67,145.03,"8,02,73,941","11,64,20,14,049.60","2,64,627","2,07,31,847",25.83
IEX,EQ,05-Jan-2026,134.36,135.02,135.24,133.15,134.43,134.38,134.23,"43,45,865","58,33,28,323.11","51,513","22,65,161",52.12
IEX,EQ,02-Jan-2026,133.39,133.4,134.72,132.85,134.49,134.36,133.88,"44,22,757","59,21,37,055.49","66,506","19,50,065",44.09
IEX,EQ,01-Jan-2026,134.22,134.5,134.7,132.84,133.72,133.39,133.52,"27,25,291","36,38,72,197.24","36,659","9,93,840",36.47
IEX,EQ,31-Dec-2025,132.01,132.2,135.49,132.2,134.16,134.22,134.55,"42,34,487","56,97,47,050.41","35,088","18,55,235",43.81
IEX,EQ,30-Dec-2025,133.77,133.56,133.7,131.27,132.5,132.01,132.31,"84,87,616","1,12,29,86,090.50","79,952","40,62,987",47.87
IEX,EQ,29-Dec-2025,135.36,135.4,135.66,133.0,133.69,133.77,133.88,"62,63,750","83,85,72,846.23","39,669","28,16,742",44.97
IEX,EQ,26-Dec-2025,139.14,137.5,137.5,133.29,135.49,135.36,135.72,"1,42,51,319","1,93,41,18,222.10","84,964","51,75,594",36.32
IEX,EQ,24-Dec-2025,142.05,142.94,143.4,138.8,139.13,139.14,140.29,"37,52,961","52,65,08,571.61","22,479","17,34,423",46.21
IEX,EQ,23-Dec-2025,140.95,141.0,143.25,140.81,142.07,142.05,142.16,"25,45,162","36,18,24,396.77","19,985","8,06,433",31.68
IEX,EQ,22-Dec-2025,141.4,141.48,142.58,140.61,140.96,140.95,141.43,"24,31,892","34,39,34,845.75","23,042","10,21,126",41.99
IEX,EQ,19-Dec-2025,139.76,140.0,141.75,138.72,141.25,141.4,140.62,"42,43,823","59,67,55,859.29","25,135","23,83,517",56.16
IEX,EQ,18-Dec-2025,140.22,139.8,141.82,138.5,139.8,139.76,140.18,"32,84,400","46,03,98,314.44","27,399","13,02,560",39.66
IEX,EQ,17-Dec-2025,140.4,140.0,141.49,139.88,140.07,140.22,140.68,"19,28,963","27,13,61,840.94","20,798","7,69,666",39.9
IEX,EQ,16-Dec-2025,142.32,141.5,143.19,140.0,140.02,140.4,140.91,"31,65,431","44,60,35,370.59","29,608","16,20,781",51.2
IEX,EQ,15-Dec-2025,143.2,143.15,144.15,142.01,142.15,142.32,142.94,"28,66,964","40,98,15,933.11","30,051","10,67,121",37.22
IEX,EQ,12-Dec-2025,142.45,143.03,143.95,141.66,142.81,143.2,142.76,"33,01,998","47,13,92,452.00","20,049","12,12,458",36.72
IEX,EQ,11-Dec-2025,139.47,140.0,142.85,137.65,142.5,142.45,140.88,"53,19,103","74,93,65,651.65","34,922","17,46,753",32.84
IEX,EQ,10-Dec-2025,141.19,141.19,143.25,138.91,139.0,139.47,140.47,"55,25,570","77,61,83,082.94","31,776","24,18,959",43.78
IEX,EQ,09-Dec-2025,141.91,141.0,142.4,140.11,141.25,141.19,141.05,"47,41,807","66,88,38,048.20","33,291","16,19,863",34.16
IEX,EQ,08-Dec-2025,145.31,145.0,145.83,140.82,141.9,141.91,143.04,"43,76,767","62,60,67,633.54","37,522","17,71,948",40.49
IEX,EQ,05-Dec-2025,147.93,147.1,148.47,144.41,145.63,145.31,145.94,"39,46,371","57,59,17,820.83","28,835","12,33,551",31.26
IEX,EQ,04-Dec-2025,148.89,151.0,151.76,147.14,147.66,147.93,149.18,"1,28,42,838","1,91,58,62,939.21","64,721","43,26,880",33.69
IEX,EQ,03-Dec-2025,148.54,148.8,149.38,145.7,148.9,148.89,148.1,"92,29,144","1,36,68,36,056.46","54,621","39,62,568",42.94
IEX,EQ,02-Dec-2025,146.7,146.46,150.53,145.09,148.35,148.54,148.34,"1,66,65,166","2,47,20,30,810.85","72,262","63,07,039",37.85
IEX,EQ,01-Dec-2025,139.29,140.0,147.75,139.92,147.0,146.7,146.06,"3,23,23,758","4,72,13,40,931.02","1,41,489","92,53,989",28.63
IEX,EQ,28-Nov-2025,140.9,141.0,143.0,137.77,139.75,139.29,140.06,"1,11,80,306","1,56,59,39,021.23","61,509","40,44,635",36.18
IEX,EQ,27-Nov-2025,141.76,141.77,142.0,140.0,140.75,140.9,140.96,"40,94,515","57,71,80,119.85","28,665","16,64,233",40.65
IEX,EQ,26-Nov-2025,140.24,140.4,142.94,140.0,141.77,141.76,142.02,"35,00,889","49,71,98,833.64","19,715","15,19,787",43.41
IEX,EQ,25-Nov-2025,140.29,140.29,142.3,139.8,140.25,140.24,140.91,"44,77,483","63,09,17,834.82","23,172","17,63,011",39.38
IEX,EQ,24-Nov-2025,141.12,141.79,142.05,140.0,140.0,140.29,140.85,"49,73,886","70,05,59,705.58","28,066","25,55,432",51.38
IEX,EQ,21-Nov-2025,143.13,143.0,145.19,140.48,140.89,141.12,142.48,"97,13,151","1,38,39,11,234.21","48,626","26,12,652",26.9
IEX,EQ,20-Nov-2025,137.11,137.5,143.73,137.3,142.86,143.13,141.43,"2,49,15,170","3,52,36,64,203.99","1,01,714","90,57,027",36.35
IEX,EQ,19-Nov-2025,136.65,136.73,137.25,135.01,137.17,137.11,136.19,"35,28,588","48,05,70,073.70","27,098","14,48,197",41.04
IEX,EQ,18-Nov-2025,137.55,137.61,138.26,136.4,136.78,136.65,136.95,"19,26,629","26,38,47,977.35","16,280","7,99,210",41.48
IEX,EQ,17-Nov-2025,137.55,137.7,139.44,137.42,137.88,137.55,138.08,"32,64,778","45,08,13,557.66","25,519","17,84,944",54.67
IEX,EQ,14-Nov-2025,138.45,138.45,138.8,136.57,137.75,137.55,137.6,"24,61,071","33,86,51,377.78","32,158","12,37,596",50.29
IEX,EQ,13-Nov-2025,139.43,139.6,140.3,138.25,138.44,138.45,139.43,"32,61,261","45,47,27,602.33","25,813","13,88,308",42.57
IEX,EQ,12-Nov-2025,139.34,139.46,139.98,138.75,139.54,139.43,139.4,"27,75,641","38,69,18,160.80","25,011","12,53,466",45.16
IEX,EQ,11-Nov-2025,139.58,140.0,140.04,137.56,139.45,139.34,138.7,"38,51,447","53,41,85,575.52","30,329","17,13,149",44.48
IEX,EQ,10-Nov-2025,138.96,139.65,140.8,138.85,139.5,139.58,139.93,"34,98,788","48,95,93,139.60","29,553","12,81,008",36.61
IEX,EQ,07-Nov-2025,138.14,137.5,140.57,136.17,139.1,138.96,139.53,"80,04,546","1,11,68,76,168.84","41,062","36,52,186",45.63
IEX,EQ,06-Nov-2025,137.66,138.15,140.0,135.64,138.1,138.14,137.43,"62,01,879","85,23,45,433.25","33,104","29,42,678",47.45
IEX,EQ,04-Nov-2025,140.01,141.0,142.33,137.26,138.15,137.66,139.51,"59,38,097","82,84,14,399.94","38,993","24,05,337",40.51
IEX,EQ,03-Nov-2025,139.06,140.09,140.5,138.0,140.15,140.01,139.4,"47,20,034","65,79,51,247.53","30,272","16,46,154",34.88
IEX,EQ,31-Oct-2025,143.55,145.99,145.99,138.8,139.31,139.06,141.42,"1,45,49,711","2,05,76,59,508.01","66,728","51,68,063",35.52
IEX,EQ,30-Oct-2025,148.66,149.0,149.32,140.0,143.35,143.55,144.2,"1,83,04,555","2,63,94,90,156.93","81,513","40,44,311",22.09
IEX,EQ,29-Oct-2025,147.52,147.0,149.49,146.85,148.75,148.66,148.58,"60,25,893","89,53,41,066.79","35,391","21,61,114",35.86
IEX,EQ,28-Oct-2025,147.14,147.0,149.27,144.87,147.26,147.52,147.47,"89,35,101","1,31,76,90,202.28","55,917","43,43,160",48.61
IEX,EQ,27-Oct-2025,147.05,148.0,149.39,145.95,147.0,147.14,147.44,"75,57,240","1,11,42,56,119.96","48,064","32,82,984",43.44
IEX,EQ,24-Oct-2025,144.52,144.97,148.49,144.06,146.98,147.05,146.69,"1,24,65,685","1,82,85,77,087.38","62,427","37,02,454",29.7
IEX,EQ,23-Oct-2025,139.14,140.0,145.0,137.94,144.8,144.52,142.39,"92,80,059","1,32,13,92,518.84","56,086","41,86,789",45.12
IEX,EQ,21-Oct-2025,138.29,140.0,140.46,138.61,139.1,139.14,139.36,"17,59,872","24,52,50,611.73","17,809","8,43,954",47.97
IEX,EQ,20-Oct-2025,134.18,134.18,139.16,133.85,139.0,138.29,136.9,"73,67,382","1,00,85,74,441.69","95,411","31,07,784",42.18
IEX,EQ,17-Oct-2025,134.79,134.79,135.03,133.5,134.1,134.18,134.18,"46,75,489","62,73,41,472.71","52,887","23,04,787",49.3
IEX,EQ,16-Oct-2025,135.36,135.0,136.39,133.5,134.97,134.79,134.91,"68,46,625","92,37,08,943.83","72,739","24,65,095",36.0
IEX,EQ,15-Oct-2025,136.09,136.09,136.8,134.65,135.85,135.36,135.64,"48,02,387","65,14,02,419.11","44,365","18,82,135",39.19
IEX,EQ,14-Oct-2025,137.03,137.03,138.56,134.02,136.2,136.09,135.68,"72,14,347","97,88,31,952.46","55,910","28,29,227",39.22
IEX,EQ,13-Oct-2025,139.87,139.0,140.0,136.1,137.17,137.03,137.18,"63,93,814","87,70,81,412.35","62,440","28,93,831",45.26
IEX,EQ,10-Oct-2025,140.42,140.42,141.0,139.57,139.8,139.87,140.24,"21,61,199","30,30,82,807.36","22,827","8,64,132",39.98
IEX,EQ,09-Oct-2025,139.22,139.0,140.69,138.86,140.49,140.42,139.93,"20,93,488","29,29,47,216.68","18,752","7,25,652",34.66
IEX,EQ,08-Oct-2025,141.58,141.7,142.08,138.85,139.2,139.22,140.0,"26,71,977","37,40,85,464.22","23,464","11,95,909",44.76
IEX,EQ,07-Oct-2025,142.55,142.96,143.6,141.09,141.68,141.58,142.08,"21,42,047","30,43,50,066.76","20,404","8,04,756",37.57
IEX,EQ,06-Oct-2025,143.59,144.31,144.8,141.87,142.8,142.55,142.84,"28,30,105","40,42,57,983.21","29,009","10,93,812",38.65
IEX,EQ,03-Oct-2025,141.18,141.77,143.89,141.6,143.69,143.59,142.87,"68,85,047","98,36,63,528.14","35,450","34,52,804",50.15
IEX,EQ,01-Oct-2025,139.19,139.8,142.0,138.32,141.77,141.18,140.51,"94,57,649","1,32,89,02,821.77","32,407","57,89,286",61.21
IEX,EQ,30-Sep-2025,139.72,140.0,140.24,137.62,139.25,139.19,138.86,"35,99,755","49,98,66,969.02","31,193","11,05,151",30.7
IEX,EQ,29-Sep-2025,137.76,138.0,140.99,137.59,139.68,139.72,139.66,"57,53,855","80,35,59,407.11","52,943","25,17,774",43.76
IEX,EQ,26-Sep-2025,139.82,139.09,140.35,136.75,137.5,137.76,138.48,"35,31,957","48,91,08,776.82","32,102","12,57,391",35.6
IEX,EQ,25-Sep-2025,140.41,140.4,142.11,139.36,140.01,139.82,140.85,"37,14,601","52,32,07,205.58","33,842","12,48,971",33.62
