symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IGL,EQ,25-Mar-2026,149.89,152.0,153.79,148.35,149.0,149.0,151.24,"44,41,902","67,17,95,503.83","57,952","25,40,495",57.19
IGL,EQ,24-Mar-2026,147.98,152.53,152.58,147.56,150.2,149.89,149.62,"48,33,193","72,31,24,945.42","50,504","28,97,836",59.96
IGL,EQ,23-Mar-2026,156.63,156.0,156.0,147.4,147.72,147.98,149.85,"17,91,088","26,83,87,232.64","36,467","8,23,543",45.98
IGL,EQ,20-Mar-2026,153.69,155.0,158.46,154.65,156.0,156.63,156.79,"25,25,650","39,60,09,080.03","30,225","14,22,296",56.31
IGL,EQ,19-Mar-2026,157.33,155.99,158.41,153.0,154.41,153.69,155.65,"20,85,896","32,46,70,008.13","32,388","7,18,593",34.45
IGL,EQ,18-Mar-2026,156.82,157.0,159.5,156.82,157.5,157.33,157.94,"16,87,844","26,65,80,014.28","36,883","7,32,403",43.39
IGL,EQ,17-Mar-2026,155.49,156.0,157.36,155.01,156.95,156.82,156.46,"12,26,756","19,19,34,051.45","27,451","5,49,377",44.78
IGL,EQ,16-Mar-2026,156.51,156.9,157.72,152.2,155.39,155.49,154.32,"19,76,280","30,49,74,144.29","30,901","5,98,448",30.28
IGL,EQ,13-Mar-2026,161.91,161.9,165.29,156.05,156.8,156.51,159.36,"30,77,409","49,04,29,068.14","42,621","12,85,762",41.78
IGL,EQ,12-Mar-2026,162.67,164.4,164.85,157.82,161.5,161.91,161.98,"63,54,075","1,02,92,08,671.22","75,236","10,56,229",16.62
IGL,EQ,11-Mar-2026,157.66,158.66,166.4,157.82,163.21,162.67,162.54,"1,06,12,994","1,72,50,52,775.27","87,006","18,84,326",17.75
IGL,EQ,10-Mar-2026,154.76,156.04,163.74,156.02,157.6,157.66,159.45,"33,91,447","54,07,65,833.47","47,483","14,49,992",42.75
IGL,EQ,09-Mar-2026,157.27,154.05,155.4,152.24,155.3,154.76,154.29,"17,38,155","26,81,79,274.49","40,837","8,68,844",49.99
IGL,EQ,06-Mar-2026,160.13,159.0,159.2,156.08,157.65,157.27,157.58,"20,74,749","32,69,32,273.19","33,757","8,93,684",43.07
IGL,EQ,05-Mar-2026,157.41,157.99,163.5,157.88,160.0,160.13,160.6,"43,11,565","69,24,26,907.64","57,028","18,95,098",43.95
IGL,EQ,04-Mar-2026,166.79,165.0,165.26,156.8,157.2,157.41,159.32,"44,44,132","70,80,27,465.02","72,937","21,19,952",47.7
