symbol,series,date,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover ₹,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
IIFL,EQ,25-Mar-2026,455.9,462.0,474.2,459.0,462.8,464.3,466.62,"12,28,722","57,33,46,359.30","33,037","7,99,397",65.06
IIFL,EQ,24-Mar-2026,453.5,464.5,465.0,441.35,455.0,455.9,451.23,"20,78,659","93,79,63,679.70","48,545","11,60,109",55.81
IIFL,EQ,23-Mar-2026,473.0,466.8,467.0,443.6,454.0,453.5,451.33,"15,18,705","68,54,34,332.40","43,320","7,83,052",51.56
IIFL,EQ,20-Mar-2026,467.3,474.0,486.4,466.45,473.65,473.0,475.87,"12,84,553","61,12,83,184.85","42,326","5,34,058",41.58
IIFL,EQ,19-Mar-2026,488.85,479.2,481.7,462.05,466.2,467.3,474.6,"11,58,332","54,97,40,075.85","29,995","6,01,563",51.93
IIFL,EQ,18-Mar-2026,471.55,475.0,491.8,470.6,489.1,488.85,483.36,"9,50,060","45,92,16,605.10","34,975","4,06,109",42.75
IIFL,EQ,17-Mar-2026,475.45,475.0,475.9,462.6,474.0,471.55,469.2,"13,67,487","64,16,25,496.25","52,753","7,06,666",51.68
IIFL,EQ,16-Mar-2026,477.45,475.1,479.0,460.85,478.25,475.45,470.02,"9,71,832","45,67,78,528.85","46,258","4,73,540",48.73
IIFL,EQ,13-Mar-2026,480.7,480.6,483.7,472.15,475.0,477.45,477.16,"7,27,231","34,70,05,560.75","34,731","3,55,121",48.83
IIFL,EQ,12-Mar-2026,480.85,478.9,482.85,469.0,481.5,480.7,479.29,"9,96,470","47,75,94,471.35","24,887","5,79,324",58.14
IIFL,EQ,11-Mar-2026,491.4,491.0,491.0,475.5,475.7,480.85,484.18,"13,11,499","63,50,00,692.90","27,926","8,01,723",61.13
IIFL,EQ,10-Mar-2026,471.4,479.0,493.0,470.6,493.0,491.4,484.11,"8,66,432","41,94,51,512.90","33,981","3,78,430",43.68
IIFL,EQ,09-Mar-2026,485.1,473.6,475.65,456.85,472.1,471.4,467.14,"8,84,840","41,33,42,435.90","34,149","3,25,026",36.73
IIFL,EQ,06-Mar-2026,491.4,490.1,497.45,482.7,485.0,485.1,489.45,"9,65,741","47,26,77,986.00","36,388","4,55,458",47.16
IIFL,EQ,05-Mar-2026,479.95,486.0,494.2,479.1,493.0,491.4,487.26,"7,29,132","35,52,74,459.95","29,007","3,51,439",48.2
IIFL,EQ,04-Mar-2026,499.5,494.0,494.0,475.0,477.95,479.95,480.0,"14,21,872","68,24,91,671.50","48,030","6,31,234",44.39
IIFL,EQ,02-Mar-2026,496.2,487.4,505.0,482.0,502.0,499.5,493.22,"14,66,472","72,32,95,448.90","39,006","6,67,698",45.53
